,county,avg_ghi
0,MCHENRY,156.84229452054794
1,BOONE,157.59503424657535
2,OGLE,158.62094748858448
3,WILL,157.68635844748857
4,LASALLE,159.29623287671234
5,BUREAU,158.8509703196347
6,HENRY,161.39446347031964
7,GRUNDY,159.62568493150684
8,MERCER,162.7828196347032
9,PUTNAM,160.9566780821918
10,MCLEAN,164.2023401826484
11,TAZEWELL,165.99845890410958
12,FULTON,165.07026255707763
13,ADAMS,167.9230593607306
14,CHAMPAIGN,165.01124429223745
15,LOGAN,166.47380136986303
16,PIATT,166.59623287671232
17,STARK,161.0667808219178
18,KNOX,161.8115296803653
19,MARSHALL,159.72716894977168
20,LIVINGSTON,162.3234589041096
21,HENDERSON,164.5832191780822
22,WARREN,162.94223744292236
23,IROQUOIS,160.9583904109589
24,PEORIA,163.0214611872146
25,WOODFORD,163.14109589041095
26,CARROLL,160.1449200913242
27,KANE,156.0478881278539
28,DEKALB,157.7622716894977
29,COOK,155.32865296803652
30,ROCK ISLAND,160.06535388127853
31,KENDALL,158.53938356164383
32,KANKAKEE,159.9041095890411
33,FORD,162.47522831050227
34,MENARD,168.8457191780822
35,MASON,167.448002283105
36,DEWITT,166.4087899543379
37,SCHUYLER,166.84269406392693
38,HANCOCK,167.55319634703196
39,BROWN,168.84651826484017
40,DOUGLAS,166.9900684931507
41,PIKE,168.17688356164385
42,CASS,169.75262557077625
43,CUMBERLAND,169.236301369863
44,CALHOUN,168.5841894977169
45,CLAY,169.67442922374428
46,JERSEY,169.6103881278539
47,EFFINGHAM,169.1035388127854
48,GREENE,169.25473744292236
49,CLINTON,171.13978310502284
50,WABASH,168.52431506849314
51,EDWARDS,169.20171232876712
52,WASHINGTON,170.59640410958903
53,RICHLAND,167.62243150684932
54,RANDOLPH,171.9890410958904
55,PERRY,170.98487442922374
56,FRANKLIN,170.685901826484
57,JACKSON,171.03561643835616
58,SALINE,172.52140410958904
59,WHITE,170.78367579908675
60,PULASKI,174.65987442922375
61,ALEXANDER,175.2167808219178
62,DUPAGE,155.9980593607306
63,WHITESIDE,161.7542808219178
64,LEE,158.14851598173516
65,JO DAVIESS,157.09223744292237
66,STEPHENSON,158.80827625570777
67,WINNEBAGO,158.40091324200912
68,LAKE,156.17311643835617
69,GALLATIN,173.77779680365296
70,WILLIAMSON,171.9753424657534
71,JOHNSON,173.12345890410958
72,HAMILTON,171.27328767123288
73,HARDIN,173.47922374429223
74,MASSAC,175.04697488584475
75,MCDONOUGH,167.31666666666666
76,VERMILION,161.90325342465752
77,MACON,168.14029680365297
78,SANGAMON,167.33869863013697
79,EDGAR,166.488299086758
80,MORGAN,168.50844748858447
81,CHRISTIAN,168.71438356164384
82,MOULTRIE,167.70542237442922
83,SCOTT,168.82288812785387
84,COLES,169.12825342465754
85,SHELBY,168.22003424657535
86,MONTGOMERY,167.95102739726028
87,MACOUPIN,168.83544520547946
88,CLARK,166.86917808219178
89,CRAWFORD,168.5410388127854
90,JASPER,169.39366438356166
91,BOND,169.11997716894976
92,MADISON,168.98601598173516
93,FAYETTE,169.46849315068494
94,ST. CLAIR,171.9618721461187
95,WAYNE,170.52151826484018
96,MONROE,171.2
97,JEFFERSON,170.45827625570777
98,LAWRENCE,168.46535388127853
99,MARION,168.92414383561643
100,UNION,173.6001712328767
101,POPE,174.62808219178083
