,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,-1.5,94.34,993
1,2019,1,1,0,30,0,4.0,-1.4,93.74,994
2,2019,1,1,1,0,0,3.9,-1.4,92.54,994
3,2019,1,1,1,30,0,3.8,-1.5,93.31,995
4,2019,1,1,2,0,0,3.7,-1.7000000000000002,93.31,995
5,2019,1,1,2,30,0,3.5,-1.8,94.0,995
6,2019,1,1,3,0,0,3.4000000000000004,-1.8,93.42,996
7,2019,1,1,3,30,0,3.5,-1.8,93.42,996
8,2019,1,1,4,0,0,3.5,-1.8,93.14,996
9,2019,1,1,4,30,0,3.7,-1.7000000000000002,92.55,997
10,2019,1,1,5,0,0,3.8,-1.7000000000000002,91.47,997
11,2019,1,1,5,30,0,3.9,-1.8,92.24,998
12,2019,1,1,6,0,0,4.0,-1.8,89.61,998
13,2019,1,1,6,30,0,4.0,-1.9,90.37,999
14,2019,1,1,7,0,0,4.1000000000000005,-2.0,86.12,999
15,2019,1,1,7,30,1,4.3,-1.9,85.58,1000
16,2019,1,1,8,0,5,4.4,-1.7000000000000002,81.21000000000001,1000
17,2019,1,1,8,30,11,4.4,-1.4,79.52,1001
18,2019,1,1,9,0,17,4.5,-1.2000000000000002,74.95,1001
19,2019,1,1,9,30,22,4.2,-0.9,73.32000000000001,1001
20,2019,1,1,10,0,35,3.9,-0.7000000000000001,71.79,1001
21,2019,1,1,10,30,46,3.7,-0.5,70.75,1001
22,2019,1,1,11,0,50,3.5,-0.3,70.39,1001
23,2019,1,1,11,30,47,3.4000000000000004,-0.2,69.88,1001
24,2019,1,1,12,0,52,3.3000000000000003,-0.1,69.92,1001
25,2019,1,1,12,30,55,3.4000000000000004,-0.2,70.35000000000001,1000
26,2019,1,1,13,0,59,3.4000000000000004,-0.2,70.2,1000
27,2019,1,1,13,30,52,3.3000000000000003,-0.4,71.23,1000
28,2019,1,1,14,0,53,3.3000000000000003,-0.6000000000000001,71.45,1000
29,2019,1,1,14,30,35,3.2,-0.9,73.10000000000001,1001
30,2019,1,1,15,0,25,3.1,-1.2000000000000002,73.67,1001
31,2019,1,1,15,30,18,2.7,-1.7000000000000002,76.42,1001
32,2019,1,1,16,0,10,2.4000000000000004,-2.3000000000000003,80.37,1001
33,2019,1,1,16,30,6,2.3000000000000003,-2.8000000000000003,83.4,1001
34,2019,1,1,17,0,0,2.3000000000000003,-3.2,84.78,1001
35,2019,1,1,17,30,0,2.3000000000000003,-3.2,84.78,1001
36,2019,1,1,18,0,0,2.5,-3.6,85.21000000000001,1002
