,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.5,2.4000000000000004,100.0,1000
1,2019,1,1,0,30,0,1.5,2.2,100.0,1001
2,2019,1,1,1,0,0,1.5,1.9,100.0,1001
3,2019,1,1,1,30,0,1.5,1.7000000000000002,100.0,1002
4,2019,1,1,2,0,0,1.5,1.4,100.0,1002
5,2019,1,1,2,30,0,1.6,1.3,100.0,1002
6,2019,1,1,3,0,0,1.7000000000000002,1.2000000000000002,100.0,1002
7,2019,1,1,3,30,0,1.8,1.1,100.0,1002
8,2019,1,1,4,0,0,1.9,0.9,100.0,1002
9,2019,1,1,4,30,0,2.0,0.7000000000000001,100.0,1003
10,2019,1,1,5,0,0,2.1,0.5,100.0,1003
11,2019,1,1,5,30,0,2.1,0.3,100.0,1003
12,2019,1,1,6,0,0,2.1,0.1,100.0,1004
13,2019,1,1,6,30,0,2.3000000000000003,0.2,100.0,1004
14,2019,1,1,7,0,0,2.5,0.3,99.49,1005
15,2019,1,1,7,30,7,3.0,1.2000000000000002,93.34,1006
16,2019,1,1,8,0,16,3.4000000000000004,2.1,88.57000000000001,1006
17,2019,1,1,8,30,31,3.6,3.1,82.51,1006
18,2019,1,1,9,0,73,3.7,4.1000000000000005,78.25,1007
19,2019,1,1,9,30,78,3.6,5.0,73.49,1007
20,2019,1,1,10,0,68,3.4000000000000004,5.800000000000001,71.15,1007
21,2019,1,1,10,30,84,3.3000000000000003,6.1000000000000005,69.69,1007
22,2019,1,1,11,0,70,3.2,6.4,69.64,1006
23,2019,1,1,11,30,96,3.2,6.6000000000000005,68.69,1006
24,2019,1,1,12,0,95,3.2,6.7,68.7,1006
25,2019,1,1,12,30,122,3.1,6.6000000000000005,69.18,1006
26,2019,1,1,13,0,111,3.1,6.5,69.17,1006
27,2019,1,1,13,30,87,3.0,6.300000000000001,70.13,1006
28,2019,1,1,14,0,81,3.0,6.1000000000000005,70.06,1006
29,2019,1,1,14,30,68,2.9000000000000004,5.7,72.02,1006
30,2019,1,1,15,0,97,2.9000000000000004,5.2,73.24,1006
31,2019,1,1,15,30,68,2.4000000000000004,4.5,76.9,1006
32,2019,1,1,16,0,37,1.9,3.7,82.84,1007
33,2019,1,1,16,30,13,1.7000000000000002,3.0,87.03,1007
34,2019,1,1,17,0,0,1.6,2.4000000000000004,89.72,1007
35,2019,1,1,17,30,0,1.6,2.4000000000000004,89.72,1007
36,2019,1,1,18,0,0,1.7000000000000002,1.8,91.13,1008
37,2019,1,1,18,30,0,1.8,1.6,92.44,1008
38,2019,1,1,19,0,0,1.9,1.5,91.18,1008
39,2019,1,1,19,30,0,1.8,1.3,92.49,1008
40,2019,1,1,20,0,0,1.8,1.1,92.69,1008
41,2019,1,1,20,30,0,1.6,0.9,94.03,1008
42,2019,1,1,21,0,0,1.5,0.7000000000000001,94.26,1008
43,2019,1,1,21,30,0,1.5,0.5,95.54,1007
44,2019,1,1,22,0,0,1.4,0.3,95.52,1007
45,2019,1,1,22,30,0,1.3,0.2,96.21,1007
46,2019,1,1,23,0,0,1.3,0.0,96.22,1007
47,2019,1,1,23,30,0,1.3,0.0,96.22,1007
48,2019,1,2,0,0,0,1.4,-0.1,95.76,1007
49,2019,1,2,0,30,0,1.4,-0.2,96.46,1007
50,2019,1,2,1,0,0,1.4,-0.3,96.1,1007
51,2019,1,2,1,30,0,1.5,-0.3,96.1,1007
52,2019,1,2,2,0,0,1.5,-0.4,95.62,1007
53,2019,1,2,2,30,0,1.5,-0.5,96.22,1006
54,2019,1,2,3,0,0,1.5,-0.6000000000000001,95.58,1006
55,2019,1,2,3,30,0,1.3,-0.7000000000000001,96.28,1006
56,2019,1,2,4,0,0,1.2000000000000002,-0.8,95.87,1006
57,2019,1,2,4,30,0,1.1,-0.8,95.87,1006
58,2019,1,2,5,0,0,1.1,-0.9,95.75,1006
59,2019,1,2,5,30,0,1.0,-0.9,95.75,1006
60,2019,1,2,6,0,0,1.0,-1.0,95.68,1006
61,2019,1,2,6,30,0,0.9,-0.9,94.98,1006
62,2019,1,2,7,0,0,0.8,-0.9,95.38,1007
63,2019,1,2,7,30,7,0.9,-0.4,91.97,1007
64,2019,1,2,8,0,14,1.0,0.1,90.01,1007
65,2019,1,2,8,30,23,0.8,0.5,87.45,1007
66,2019,1,2,9,0,35,0.6000000000000001,0.9,83.53,1007
67,2019,1,2,9,30,54,0.8,1.3,81.17,1007
