,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,0.4,99.32,998
1,2019,1,1,0,30,0,4.0,0.2,100.0,999
2,2019,1,1,1,0,0,3.9,0.1,98.09,1000
3,2019,1,1,1,30,0,3.6,-0.1,99.52,1000
4,2019,1,1,2,0,0,3.3000000000000003,-0.4,97.62,1001
5,2019,1,1,2,30,0,3.0,-0.6000000000000001,99.05,1001
6,2019,1,1,3,0,0,2.7,-0.8,97.09,1001
7,2019,1,1,3,30,0,2.5,-1.2000000000000002,99.97,1001
8,2019,1,1,4,0,0,2.3000000000000003,-1.6,100.0,1001
9,2019,1,1,4,30,0,2.2,-1.9,100.0,1002
10,2019,1,1,5,0,0,2.1,-2.1,100.0,1002
11,2019,1,1,5,30,0,2.1,-2.1,100.0,1002
12,2019,1,1,6,0,0,2.2,-2.0,100.0,1003
13,2019,1,1,6,30,0,2.4000000000000004,-1.6,97.13,1003
14,2019,1,1,7,0,0,2.6,-1.2000000000000002,95.05,1004
15,2019,1,1,7,30,4,2.9000000000000004,-0.3,89.01,1004
16,2019,1,1,8,0,9,3.2,0.6000000000000001,87.85000000000001,1005
17,2019,1,1,8,30,16,3.1,1.5,82.35000000000001,1005
18,2019,1,1,9,0,28,3.0,2.4000000000000004,81.81,1005
19,2019,1,1,9,30,36,2.8000000000000003,3.1,77.85000000000001,1005
20,2019,1,1,10,0,53,2.6,3.8,77.01,1005
21,2019,1,1,10,30,54,2.6,4.1000000000000005,75.41,1005
22,2019,1,1,11,0,57,2.5,4.3,74.52,1005
23,2019,1,1,11,30,91,2.6,4.3,74.52,1005
24,2019,1,1,12,0,78,2.8000000000000003,4.4,73.27,1005
25,2019,1,1,12,30,77,2.8000000000000003,4.4,73.27,1005
26,2019,1,1,13,0,92,2.9000000000000004,4.4,72.13,1004
27,2019,1,1,13,30,71,2.9000000000000004,4.2,73.22,1005
28,2019,1,1,14,0,52,2.9000000000000004,4.1000000000000005,72.55,1005
29,2019,1,1,14,30,33,2.8000000000000003,3.8,74.09,1005
30,2019,1,1,15,0,30,2.7,3.6,75.0,1005
31,2019,1,1,15,30,19,2.1,2.7,79.92,1005
32,2019,1,1,16,0,10,1.6,1.9,86.83,1005
33,2019,1,1,16,30,3,1.7000000000000002,1.3,90.73,1006
34,2019,1,1,17,0,0,1.8,0.8,90.06,1006
35,2019,1,1,17,30,0,1.8,0.8,90.06,1006
36,2019,1,1,18,0,0,2.0,0.1,90.93,1006
37,2019,1,1,18,30,0,2.1,-0.2,92.93,1006
38,2019,1,1,19,0,0,2.2,-0.4,91.35,1006
39,2019,1,1,19,30,0,2.1,-0.7000000000000001,93.37,1006
40,2019,1,1,20,0,0,1.9,-1.1,93.17,1006
41,2019,1,1,20,30,0,1.8,-1.3,94.54,1006
42,2019,1,1,21,0,0,1.7000000000000002,-1.6,93.83,1006
43,2019,1,1,21,30,0,1.6,-1.8,95.22,1006
44,2019,1,1,22,0,0,1.5,-2.0,94.24,1006
45,2019,1,1,22,30,0,1.4,-2.3000000000000003,96.35,1006
46,2019,1,1,23,0,0,1.3,-2.5,95.17,1005
47,2019,1,1,23,30,0,1.2000000000000002,-2.5,95.17,1005
48,2019,1,2,0,0,0,1.2000000000000002,-2.6,94.84,1006
49,2019,1,2,0,30,0,1.2000000000000002,-2.5,94.14,1006
50,2019,1,2,1,0,0,1.2000000000000002,-2.5,93.41,1006
51,2019,1,2,1,30,0,1.3,-2.5,93.41,1006
52,2019,1,2,2,0,0,1.4,-2.5,92.89,1006
53,2019,1,2,2,30,0,1.4,-2.5,92.8,1005
54,2019,1,2,3,0,0,1.3,-2.6,92.4,1005
55,2019,1,2,3,30,0,1.2000000000000002,-2.6,92.4,1005
56,2019,1,2,4,0,0,1.0,-2.7,92.41,1004
57,2019,1,2,4,30,0,0.9,-2.6,91.73,1004
58,2019,1,2,5,0,0,0.8,-2.6,91.16,1004
59,2019,1,2,5,30,0,0.7000000000000001,-2.5,90.49,1004
60,2019,1,2,6,0,0,0.7000000000000001,-2.5,89.53,1005
61,2019,1,2,6,30,0,0.7000000000000001,-2.3000000000000003,88.22,1005
62,2019,1,2,7,0,0,0.6000000000000001,-2.2,88.23,1005
63,2019,1,2,7,30,6,0.9,-1.5,83.8,1005
64,2019,1,2,8,0,12,1.1,-0.9,81.63,1005
65,2019,1,2,8,30,20,1.5,-0.4,78.71000000000001,1005
66,2019,1,2,9,0,29,1.8,0.1,73.61,1005
67,2019,1,2,9,30,65,2.2,0.4,71.96000000000001,1004
68,2019,1,2,10,0,75,2.7,0.8,70.19,1004
69,2019,1,2,10,30,104,3.1,0.9,69.62,1003
70,2019,1,2,11,0,122,3.5,1.0,70.51,1003
71,2019,1,2,11,30,85,3.6,1.0,70.44,1002
72,2019,1,2,12,0,64,3.7,1.1,71.60000000000001,1002
73,2019,1,2,12,30,44,3.7,1.0,72.04,1001
74,2019,1,2,13,0,48,3.7,1.0,73.83,1001
75,2019,1,2,13,30,32,3.6,0.9,74.29,1000
76,2019,1,2,14,0,30,3.5,0.8,76.76,1000
77,2019,1,2,14,30,21,3.2,0.6000000000000001,77.87,1000
78,2019,1,2,15,0,20,2.9000000000000004,0.3,82.51,1000
79,2019,1,2,15,30,14,2.5,-0.1,84.93,1000
80,2019,1,2,16,0,9,2.1,-0.5,89.21000000000001,1000
81,2019,1,2,16,30,4,2.1,-0.7000000000000001,90.52,1000
82,2019,1,2,17,0,0,2.2,-0.9,90.89,1000
83,2019,1,2,17,30,0,2.2,-0.9,90.89,1000
84,2019,1,2,18,0,0,2.3000000000000003,-1.2000000000000002,91.17,1000
85,2019,1,2,18,30,0,2.3000000000000003,-1.4,92.51,1000
86,2019,1,2,19,0,0,2.4000000000000004,-1.6,90.54,1001
87,2019,1,2,19,30,0,2.1,-1.8,91.88,1001
88,2019,1,2,20,0,0,1.9,-2.1,90.22,1001
89,2019,1,2,20,30,0,1.7000000000000002,-2.3000000000000003,91.56,1001
90,2019,1,2,21,0,0,1.4,-2.6,90.79,1001
91,2019,1,2,21,30,0,1.3,-2.7,91.47,1001
92,2019,1,2,22,0,0,1.2000000000000002,-2.8000000000000003,90.58,1001
93,2019,1,2,22,30,0,1.3,-2.9000000000000004,91.26,1001
94,2019,1,2,23,0,0,1.3,-2.9000000000000004,90.32,1001
95,2019,1,2,23,30,0,1.3,-2.9000000000000004,90.32,1001
96,2019,1,3,0,0,0,1.3,-3.0,90.28,1001
97,2019,1,3,0,30,0,1.2000000000000002,-3.0,90.28,1001
98,2019,1,3,1,0,0,1.1,-3.1,90.46,1001
99,2019,1,3,1,30,0,1.0,-3.2,91.13,1001
100,2019,1,3,2,0,0,1.0,-3.3000000000000003,90.48,1001
101,2019,1,3,2,30,0,0.9,-3.6,92.53,1001
102,2019,1,3,3,0,0,0.9,-3.9,91.12,1000
103,2019,1,3,3,30,0,0.9,-4.2,93.19,1000
