,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.9,-3.3000000000000003,87.03,987
1,2019,1,1,0,30,0,4.7,-3.6,89.10000000000001,988
2,2019,1,1,1,0,0,4.6000000000000005,-4.0,84.81,989
3,2019,1,1,1,30,0,4.5,-4.3,86.83,990
4,2019,1,1,2,0,0,4.4,-4.6000000000000005,82.88,991
5,2019,1,1,2,30,0,4.6000000000000005,-4.800000000000001,84.14,991
6,2019,1,1,3,0,0,4.7,-5.0,82.11,992
7,2019,1,1,3,30,0,4.800000000000001,-5.300000000000001,84.0,992
8,2019,1,1,4,0,0,4.800000000000001,-5.5,81.83,992
9,2019,1,1,4,30,0,4.800000000000001,-5.9,84.44,993
10,2019,1,1,5,0,0,4.7,-6.300000000000001,82.02,993
11,2019,1,1,5,30,0,4.2,-6.800000000000001,85.31,994
12,2019,1,1,6,0,0,3.7,-7.300000000000001,82.69,994
13,2019,1,1,6,30,0,3.4000000000000004,-7.6,84.71000000000001,995
14,2019,1,1,7,0,0,3.0,-7.9,82.81,996
15,2019,1,1,7,30,5,3.3000000000000003,-7.4,79.67,996
16,2019,1,1,8,0,22,3.5,-6.9,79.41,996
17,2019,1,1,8,30,48,3.8,-6.4,76.5,997
18,2019,1,1,9,0,79,4.0,-6.0,77.33,997
19,2019,1,1,9,30,104,3.8,-5.6000000000000005,75.01,997
20,2019,1,1,10,0,164,3.6,-5.300000000000001,76.71000000000001,997
21,2019,1,1,10,30,233,3.4000000000000004,-5.0,74.99,997
22,2019,1,1,11,0,239,3.2,-4.7,76.63,997
23,2019,1,1,11,30,168,3.1,-4.5,75.49,997
24,2019,1,1,12,0,179,2.9000000000000004,-4.3,76.67,996
25,2019,1,1,12,30,194,2.7,-4.2,76.09,996
26,2019,1,1,13,0,207,2.6,-4.1000000000000005,76.4,996
27,2019,1,1,13,30,173,2.4000000000000004,-4.2,76.98,996
28,2019,1,1,14,0,143,2.2,-4.3,77.22,997
29,2019,1,1,14,30,107,2.0,-4.6000000000000005,78.99,997
30,2019,1,1,15,0,75,1.8,-4.9,80.08,997
31,2019,1,1,15,30,82,1.7000000000000002,-5.4,83.17,997
32,2019,1,1,16,0,38,1.7000000000000002,-6.0,80.71000000000001,997
33,2019,1,1,16,30,4,1.7000000000000002,-6.300000000000001,82.58,997
34,2019,1,1,17,0,0,1.8,-6.7,81.28,997
35,2019,1,1,17,30,0,1.8,-6.7,81.28,997
36,2019,1,1,18,0,0,1.7000000000000002,-7.1000000000000005,82.08,997
37,2019,1,1,18,30,0,1.6,-7.2,82.71000000000001,997
38,2019,1,1,19,0,0,1.5,-7.300000000000001,82.51,997
39,2019,1,1,19,30,0,1.4,-7.5,83.8,997
40,2019,1,1,20,0,0,1.3,-7.6,84.04,997
41,2019,1,1,20,30,0,1.1,-7.7,84.61,996
42,2019,1,1,21,0,0,0.9,-7.9,85.61,996
43,2019,1,1,21,30,0,0.7000000000000001,-8.0,86.28,996
44,2019,1,1,22,0,0,0.5,-8.200000000000001,87.8,996
45,2019,1,1,22,30,0,0.4,-8.3,88.4,995
46,2019,1,1,23,0,0,0.3,-8.4,87.93,995
47,2019,1,1,23,30,0,0.3,-8.6,89.32000000000001,995
48,2019,1,2,0,0,0,0.2,-8.700000000000001,88.99,995
49,2019,1,2,0,30,0,0.4,-8.9,90.4,995
50,2019,1,2,1,0,0,0.5,-9.1,90.99,995
51,2019,1,2,1,30,0,0.7000000000000001,-9.3,92.43,995
52,2019,1,2,2,0,0,0.9,-9.6,93.28,995
53,2019,1,2,2,30,0,1.0,-9.5,92.55,995
54,2019,1,2,3,0,0,1.2000000000000002,-9.4,92.7,994
55,2019,1,2,3,30,0,1.2000000000000002,-9.1,90.54,994
56,2019,1,2,4,0,0,1.3,-8.8,90.46,993
57,2019,1,2,4,30,0,1.4,-8.6,89.05,993
58,2019,1,2,5,0,0,1.5,-8.3,89.89,993
59,2019,1,2,5,30,0,1.5,-8.1,88.5,993
60,2019,1,2,6,0,0,1.6,-7.800000000000001,89.23,993
61,2019,1,2,6,30,0,1.7000000000000002,-7.5,87.19,993
62,2019,1,2,7,0,0,1.8,-7.300000000000001,89.34,993
63,2019,1,2,7,30,5,2.1,-6.4,83.28,992
64,2019,1,2,8,0,25,2.4000000000000004,-5.6000000000000005,86.77,992
65,2019,1,2,8,30,55,3.0,-4.7,81.06,992
66,2019,1,2,9,0,91,3.6,-3.9,83.35000000000001,992
67,2019,1,2,9,30,125,4.1000000000000005,-3.6,81.5,992
68,2019,1,2,10,0,180,4.5,-3.3000000000000003,79.28,991
69,2019,1,2,10,30,230,4.800000000000001,-3.0,77.45,990
70,2019,1,2,11,0,264,5.0,-2.8000000000000003,75.81,989
71,2019,1,2,11,30,246,5.2,-2.6,74.62,988
72,2019,1,2,12,0,246,5.4,-2.4000000000000004,73.94,988
73,2019,1,2,12,30,257,5.5,-2.3000000000000003,73.32000000000001,987
74,2019,1,2,13,0,225,5.6000000000000005,-2.2,74.41,987
75,2019,1,2,13,30,205,5.4,-2.3000000000000003,74.88,986
76,2019,1,2,14,0,160,5.300000000000001,-2.3000000000000003,76.73,986
77,2019,1,2,14,30,110,5.0,-2.6,78.45,986
78,2019,1,2,15,0,74,4.7,-2.8000000000000003,80.84,986
79,2019,1,2,15,30,45,4.6000000000000005,-3.2,83.28,986
80,2019,1,2,16,0,21,4.4,-3.7,84.4,986
81,2019,1,2,16,30,4,4.5,-4.0,86.4,987
82,2019,1,2,17,0,0,4.7,-4.3,85.07000000000001,987
83,2019,1,2,17,30,0,4.7,-4.3,85.07000000000001,987
84,2019,1,2,18,0,0,4.6000000000000005,-4.800000000000001,83.3,987
85,2019,1,2,18,30,0,4.0,-5.7,89.18,987
86,2019,1,2,19,0,0,3.4000000000000004,-6.5,84.25,987
87,2019,1,2,19,30,0,3.1,-7.4,90.29,987
88,2019,1,2,20,0,0,2.8000000000000003,-8.3,86.28,987
89,2019,1,2,20,30,0,2.8000000000000003,-8.700000000000001,89.01,987
90,2019,1,2,21,0,0,2.7,-9.1,87.97,987
91,2019,1,2,21,30,0,2.9000000000000004,-9.2,88.67,987
92,2019,1,2,22,0,0,3.0,-9.3,88.76,987
93,2019,1,2,22,30,0,3.2,-9.3,88.76,987
94,2019,1,2,23,0,0,3.4000000000000004,-9.2,89.4,986
95,2019,1,2,23,30,0,3.5,-9.2,89.49,987
96,2019,1,3,0,0,0,3.6,-9.1,90.65,987
97,2019,1,3,0,30,0,3.6,-9.1,90.65,987
98,2019,1,3,1,0,0,3.5,-9.1,91.48,987
99,2019,1,3,1,30,0,3.5,-9.2,92.2,987
100,2019,1,3,2,0,0,3.4000000000000004,-9.3,92.85,987
101,2019,1,3,2,30,0,3.3000000000000003,-9.4,93.58,987
102,2019,1,3,3,0,0,3.2,-9.5,93.13,987
103,2019,1,3,3,30,0,3.1,-9.6,93.87,987
104,2019,1,3,4,0,0,3.1,-9.7,93.44,987
105,2019,1,3,4,30,0,3.1,-9.7,93.44,987
106,2019,1,3,5,0,0,3.0,-9.7,93.39,987
107,2019,1,3,5,30,0,3.0,-9.6,92.66,987
108,2019,1,3,6,0,0,2.9000000000000004,-9.5,92.72,987
109,2019,1,3,6,30,0,3.0,-9.3,91.28,987
110,2019,1,3,7,0,0,3.1,-9.1,91.99,987
111,2019,1,3,7,30,6,3.7,-8.0,84.43,987
112,2019,1,3,8,0,49,4.2,-6.9,89.42,987
113,2019,1,3,8,30,124,4.3,-5.800000000000001,82.2,987
114,2019,1,3,9,0,208,4.4,-4.7,86.21000000000001,987
115,2019,1,3,9,30,275,4.7,-3.5,78.71000000000001,986
116,2019,1,3,10,0,333,4.9,-2.2,81.11,986
117,2019,1,3,10,30,380,5.1000000000000005,-1.2000000000000002,75.36,986
118,2019,1,3,11,0,414,5.2,-0.3,79.42,985
