,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.1,-0.8,99.69,993
1,2019,1,1,0,30,0,2.9000000000000004,-1.0,100.0,993
2,2019,1,1,1,0,0,2.7,-1.1,98.73,994
3,2019,1,1,1,30,0,2.4000000000000004,-1.4,100.0,994
4,2019,1,1,2,0,0,2.2,-1.6,99.3,994
5,2019,1,1,2,30,0,2.2,-1.8,100.0,995
6,2019,1,1,3,0,0,2.1,-1.9,98.85,995
7,2019,1,1,3,30,0,2.2,-1.8,98.12,995
8,2019,1,1,4,0,0,2.4000000000000004,-1.7000000000000002,96.16,995
9,2019,1,1,4,30,0,2.5,-1.5,94.85,996
10,2019,1,1,5,0,0,2.5,-1.4,93.48,996
11,2019,1,1,5,30,0,2.6,-1.3,92.89,997
12,2019,1,1,6,0,0,2.6,-1.2000000000000002,92.13,997
13,2019,1,1,6,30,0,2.6,-1.1,91.55,998
14,2019,1,1,7,0,0,2.6,-1.1,91.99,998
15,2019,1,1,7,30,1,2.8000000000000003,-0.6000000000000001,88.69,998
16,2019,1,1,8,0,6,3.0,-0.1,87.83,999
17,2019,1,1,8,30,12,3.2,0.4,84.71000000000001,999
18,2019,1,1,9,0,17,3.4000000000000004,0.9,82.66,1000
19,2019,1,1,9,30,25,3.4000000000000004,1.4,79.74,1000
20,2019,1,1,10,0,39,3.3000000000000003,1.8,77.5,1000
21,2019,1,1,10,30,51,3.2,2.0,76.4,1000
22,2019,1,1,11,0,53,3.1,2.2,73.87,1000
23,2019,1,1,11,30,59,3.1,2.3000000000000003,73.27,999
24,2019,1,1,12,0,63,3.1,2.3000000000000003,71.56,999
25,2019,1,1,12,30,70,3.1,2.3000000000000003,71.56,999
26,2019,1,1,13,0,66,3.1,2.3000000000000003,69.82000000000001,999
27,2019,1,1,13,30,62,3.1,2.1,70.82000000000001,999
28,2019,1,1,14,0,50,3.0,2.0,69.35000000000001,999
29,2019,1,1,14,30,33,2.9000000000000004,1.7000000000000002,70.85000000000001,999
30,2019,1,1,15,0,26,2.9000000000000004,1.3,71.36,999
31,2019,1,1,15,30,19,2.4000000000000004,0.6000000000000001,75.11,1000
32,2019,1,1,16,0,11,1.9,-0.2,81.35000000000001,1000
33,2019,1,1,16,30,4,1.8,-0.8,84.98,1000
34,2019,1,1,17,0,0,1.8,-1.4,86.98,1000
35,2019,1,1,17,30,0,1.8,-1.4,86.98,1000
36,2019,1,1,18,0,0,1.8,-2.1,88.64,1001
37,2019,1,1,18,30,0,1.7000000000000002,-2.5,91.3,1001
38,2019,1,1,19,0,0,1.5,-2.9000000000000004,91.31,1000
39,2019,1,1,19,30,0,1.4,-3.2,93.37,1000
40,2019,1,1,20,0,0,1.3,-3.4000000000000004,92.77,1000
41,2019,1,1,20,30,0,1.2000000000000002,-3.6,94.17,1000
42,2019,1,1,21,0,0,1.1,-3.8,93.87,1000
43,2019,1,1,21,30,0,1.0,-3.9,94.57,1000
44,2019,1,1,22,0,0,1.0,-4.0,94.19,1000
45,2019,1,1,22,30,0,1.0,-4.1000000000000005,94.81,999
46,2019,1,1,23,0,0,0.9,-4.1000000000000005,94.05,999
47,2019,1,1,23,30,0,0.9,-4.1000000000000005,94.05,999
48,2019,1,2,0,0,0,0.9,-4.0,93.55,999
49,2019,1,2,0,30,0,0.8,-3.9,92.85,999
50,2019,1,2,1,0,0,0.8,-3.9,93.38,999
51,2019,1,2,1,30,0,0.8,-3.8,92.68,999
52,2019,1,2,2,0,0,0.8,-3.7,92.31,999
53,2019,1,2,2,30,0,0.7000000000000001,-3.7,92.31,999
54,2019,1,2,3,0,0,0.7000000000000001,-3.6,92.2,998
55,2019,1,2,3,30,0,0.6000000000000001,-3.5,91.51,998
56,2019,1,2,4,0,0,0.5,-3.3000000000000003,90.38,998
57,2019,1,2,4,30,0,0.4,-3.1,88.96000000000001,997
58,2019,1,2,5,0,0,0.4,-2.9000000000000004,87.48,997
59,2019,1,2,5,30,0,0.5,-2.8000000000000003,86.92,998
60,2019,1,2,6,0,0,0.5,-2.7,88.62,998
61,2019,1,2,6,30,0,0.7000000000000001,-2.5,87.31,998
62,2019,1,2,7,0,0,0.8,-2.3000000000000003,89.43,998
63,2019,1,2,7,30,3,1.2000000000000002,-1.7000000000000002,85.56,998
64,2019,1,2,8,0,11,1.7000000000000002,-1.1,80.84,998
65,2019,1,2,8,30,19,1.9,-0.7000000000000001,78.51,998
66,2019,1,2,9,0,34,2.2,-0.3,75.05,997
67,2019,1,2,9,30,103,2.5,0.0,73.44,997
68,2019,1,2,10,0,146,2.8000000000000003,0.3,72.68,997
69,2019,1,2,10,30,202,3.1,0.4,72.09,996
70,2019,1,2,11,0,114,3.4000000000000004,0.5,72.89,996
71,2019,1,2,11,30,66,3.5,0.5,72.81,995
72,2019,1,2,12,0,65,3.6,0.5,73.57000000000001,995
73,2019,1,2,12,30,63,3.6,0.4,74.03,994
74,2019,1,2,13,0,98,3.5,0.3,74.37,994
75,2019,1,2,13,30,78,3.5,0.1,75.38,993
76,2019,1,2,14,0,52,3.4000000000000004,0.0,74.84,993
77,2019,1,2,14,30,46,3.3000000000000003,-0.3,76.49,993
78,2019,1,2,15,0,34,3.1,-0.5,76.51,993
79,2019,1,2,15,30,22,2.7,-1.0,79.35000000000001,993
80,2019,1,2,16,0,15,2.3000000000000003,-1.4,80.95,993
81,2019,1,2,16,30,6,2.2,-1.8,83.37,993
82,2019,1,2,17,0,0,2.0,-2.2,84.45,993
83,2019,1,2,17,30,0,2.0,-2.2,84.45,993
84,2019,1,2,18,0,0,1.7000000000000002,-2.7,86.61,993
85,2019,1,2,18,30,0,1.5,-2.8000000000000003,87.35000000000001,994
86,2019,1,2,19,0,0,1.4,-3.0,88.53,994
87,2019,1,2,19,30,0,1.4,-3.1,89.2,994
88,2019,1,2,20,0,0,1.3,-3.1,89.10000000000001,994
89,2019,1,2,20,30,0,1.3,-3.2,89.76,994
90,2019,1,2,21,0,0,1.3,-3.2,89.58,994
91,2019,1,2,21,30,0,1.3,-3.3000000000000003,90.25,994
92,2019,1,2,22,0,0,1.2000000000000002,-3.3000000000000003,90.23,994
93,2019,1,2,22,30,0,1.2000000000000002,-3.3000000000000003,90.23,994
94,2019,1,2,23,0,0,1.2000000000000002,-3.4000000000000004,90.64,994
95,2019,1,2,23,30,0,1.2000000000000002,-3.4000000000000004,90.64,994
96,2019,1,3,0,0,0,1.2000000000000002,-3.5,91.02,994
97,2019,1,3,0,30,0,1.1,-3.6,91.71,994
98,2019,1,3,1,0,0,1.0,-3.8,91.84,994
99,2019,1,3,1,30,0,1.0,-4.2,94.64,994
100,2019,1,3,2,0,0,1.0,-4.5,93.96,994
101,2019,1,3,2,30,0,1.0,-4.7,95.39,994
102,2019,1,3,3,0,0,1.0,-4.9,96.08,993
103,2019,1,3,3,30,0,1.0,-4.9,96.08,993
104,2019,1,3,4,0,0,1.0,-4.9,96.36,993
105,2019,1,3,4,30,0,1.1,-4.9,96.36,993
106,2019,1,3,5,0,0,1.2000000000000002,-4.800000000000001,96.13,993
107,2019,1,3,5,30,0,1.2000000000000002,-4.800000000000001,96.13,993
108,2019,1,3,6,0,0,1.2000000000000002,-4.800000000000001,96.62,994
109,2019,1,3,6,30,0,1.2000000000000002,-4.6000000000000005,95.17,994
110,2019,1,3,7,0,0,1.3,-4.4,94.6,994
111,2019,1,3,7,30,13,1.6,-3.5,88.43,994
112,2019,1,3,8,0,76,2.0,-2.6,85.67,994
113,2019,1,3,8,30,155,1.8,-1.3,77.85000000000001,994
114,2019,1,3,9,0,235,1.6,0.0,70.48,994
115,2019,1,3,9,30,309,1.6,1.3,64.11,993
