,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.3,-0.6000000000000001,98.46,990
1,2019,1,1,0,30,0,4.2,-0.7000000000000001,99.28,991
2,2019,1,1,1,0,0,4.1000000000000005,-0.8,97.76,992
3,2019,1,1,1,30,0,3.8,-0.9,98.58,993
4,2019,1,1,2,0,0,3.4000000000000004,-1.0,98.13,993
5,2019,1,1,2,30,0,2.9000000000000004,-1.1,98.95,994
6,2019,1,1,3,0,0,2.5,-1.2000000000000002,98.79,994
7,2019,1,1,3,30,0,2.2,-1.4,100.0,994
8,2019,1,1,4,0,0,1.8,-1.6,100.0,994
9,2019,1,1,4,30,0,1.7000000000000002,-1.7000000000000002,100.0,995
10,2019,1,1,5,0,0,1.5,-1.7000000000000002,99.4,995
11,2019,1,1,5,30,0,1.6,-1.7000000000000002,99.5,996
12,2019,1,1,6,0,0,1.8,-1.6,96.54,996
13,2019,1,1,6,30,0,2.1,-1.5,95.93,997
14,2019,1,1,7,0,0,2.5,-1.3,92.24,997
15,2019,1,1,7,30,5,3.0,-0.8,89.02,998
16,2019,1,1,8,0,10,3.6,-0.2,84.53,998
17,2019,1,1,8,30,19,3.5,0.3,81.53,998
18,2019,1,1,9,0,30,3.5,0.9,78.21000000000001,999
19,2019,1,1,9,30,30,3.2,1.6,74.38,999
20,2019,1,1,10,0,35,3.0,2.3000000000000003,74.42,999
21,2019,1,1,10,30,43,2.6,2.8000000000000003,71.75,998
22,2019,1,1,11,0,50,2.2,3.2,72.58,998
23,2019,1,1,11,30,59,2.1,3.4000000000000004,71.56,998
24,2019,1,1,12,0,64,2.0,3.6,71.75,998
25,2019,1,1,12,30,73,2.1,3.7,71.25,998
26,2019,1,1,13,0,69,2.3000000000000003,3.7,71.45,998
27,2019,1,1,13,30,50,2.4000000000000004,3.6,71.95,998
28,2019,1,1,14,0,36,2.5,3.5,72.07000000000001,998
29,2019,1,1,14,30,21,2.3000000000000003,3.1,74.13,998
30,2019,1,1,15,0,15,2.1,2.8000000000000003,77.32000000000001,999
31,2019,1,1,15,30,10,1.6,1.7000000000000002,83.62,999
32,2019,1,1,16,0,5,1.2000000000000002,0.7000000000000001,90.3,999
33,2019,1,1,16,30,1,1.4,0.2,93.62,999
34,2019,1,1,17,0,0,1.6,-0.2,91.2,999
35,2019,1,1,17,30,0,1.6,-0.2,91.2,999
36,2019,1,1,18,0,0,1.9,-0.8,91.52,1000
37,2019,1,1,18,30,0,1.9,-1.2000000000000002,94.23,1000
38,2019,1,1,19,0,0,1.8,-1.5,92.56,1000
39,2019,1,1,19,30,0,1.7000000000000002,-1.8,94.62,1000
40,2019,1,1,20,0,0,1.6,-2.1,93.75,1000
41,2019,1,1,20,30,0,1.4,-2.4000000000000004,95.75,999
42,2019,1,1,21,0,0,1.2000000000000002,-2.7,95.08,999
43,2019,1,1,21,30,0,1.1,-2.9000000000000004,96.5,999
44,2019,1,1,22,0,0,0.9,-3.1,96.47,999
45,2019,1,1,22,30,0,0.8,-3.1,96.47,999
46,2019,1,1,23,0,0,0.7000000000000001,-3.0,95.24,999
47,2019,1,1,23,30,0,0.7000000000000001,-2.9000000000000004,94.54,999
48,2019,1,2,0,0,0,0.6000000000000001,-2.8000000000000003,93.63,999
49,2019,1,2,0,30,0,0.6000000000000001,-2.7,92.94,999
50,2019,1,2,1,0,0,0.5,-2.5,90.77,999
51,2019,1,2,1,30,0,0.3,-2.3000000000000003,89.44,999
52,2019,1,2,2,0,0,0.1,-2.2,88.75,999
53,2019,1,2,2,30,0,0.3,-2.2,88.66,998
54,2019,1,2,3,0,0,0.5,-2.2,89.44,998
55,2019,1,2,3,30,0,0.5,-2.2,89.44,998
56,2019,1,2,4,0,0,0.6000000000000001,-2.1,90.87,997
57,2019,1,2,4,30,0,0.6000000000000001,-2.1,90.87,997
58,2019,1,2,5,0,0,0.7000000000000001,-2.0,91.52,997
59,2019,1,2,5,30,0,0.8,-2.0,91.52,997
60,2019,1,2,6,0,0,0.9,-1.9,91.7,997
61,2019,1,2,6,30,0,1.0,-1.7000000000000002,90.45,998
62,2019,1,2,7,0,0,1.2000000000000002,-1.5,90.36,998
63,2019,1,2,7,30,12,1.9,-0.9,86.48,998
64,2019,1,2,8,0,41,2.6,-0.3,82.21000000000001,998
65,2019,1,2,8,30,78,3.2,0.1,79.86,998
66,2019,1,2,9,0,113,3.7,0.4,74.77,998
67,2019,1,2,9,30,164,4.0,0.5,74.15,997
68,2019,1,2,10,0,88,4.3,0.5,71.35000000000001,997
69,2019,1,2,10,30,81,4.6000000000000005,0.5,71.28,996
70,2019,1,2,11,0,62,4.800000000000001,0.4,70.25,995
71,2019,1,2,11,30,144,5.0,0.3,70.76,995
72,2019,1,2,12,0,183,5.2,0.2,70.55,995
73,2019,1,2,12,30,52,5.2,0.0,71.5,994
74,2019,1,2,13,0,32,5.1000000000000005,-0.1,72.18,993
75,2019,1,2,13,30,43,4.9,-0.2,72.7,993
76,2019,1,2,14,0,38,4.800000000000001,-0.3,74.37,993
77,2019,1,2,14,30,27,4.4,-0.5,75.38,992
78,2019,1,2,15,0,14,4.1000000000000005,-0.7000000000000001,78.91,992
79,2019,1,2,15,30,10,3.7,-0.9,80.07000000000001,992
80,2019,1,2,16,0,7,3.2,-1.2000000000000002,84.72,992
81,2019,1,2,16,30,2,3.1,-1.3,85.34,992
82,2019,1,2,17,0,0,3.0,-1.5,88.55,992
83,2019,1,2,17,30,0,3.0,-1.5,88.55,992
84,2019,1,2,18,0,0,3.3000000000000003,-1.6,89.82000000000001,993
85,2019,1,2,18,30,0,3.2,-1.7000000000000002,90.48,993
86,2019,1,2,19,0,0,3.1,-1.9,89.64,993
87,2019,1,2,19,30,0,3.1,-2.1,90.98,993
88,2019,1,2,20,0,0,3.0,-2.3000000000000003,88.46000000000001,993
89,2019,1,2,20,30,0,2.7,-2.5,89.86,994
90,2019,1,2,21,0,0,2.4000000000000004,-2.7,89.14,994
91,2019,1,2,21,30,0,2.3000000000000003,-2.9000000000000004,90.47,994
92,2019,1,2,22,0,0,2.1,-3.0,89.92,994
93,2019,1,2,22,30,0,2.1,-3.0,89.92,994
94,2019,1,2,23,0,0,2.1,-3.1,89.49,993
95,2019,1,2,23,30,0,2.2,-3.1,89.58,994
96,2019,1,3,0,0,0,2.3000000000000003,-3.1,88.67,994
97,2019,1,3,0,30,0,2.3000000000000003,-3.1,88.67,994
98,2019,1,3,1,0,0,2.2,-3.2,88.77,994
99,2019,1,3,1,30,0,2.1,-3.3000000000000003,89.43,994
100,2019,1,3,2,0,0,2.0,-3.5,89.92,994
101,2019,1,3,2,30,0,1.9,-3.7,91.27,994
102,2019,1,3,3,0,0,1.9,-3.9,90.89,993
