,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-0.2,96.76,996
1,2019,1,1,0,30,0,3.9,-0.4,98.27,997
2,2019,1,1,1,0,0,3.6,-0.5,96.89,998
3,2019,1,1,1,30,0,3.3000000000000003,-0.8,99.04,998
4,2019,1,1,2,0,0,2.9000000000000004,-1.0,97.5,998
5,2019,1,1,2,30,0,2.6,-1.4,100.0,999
6,2019,1,1,3,0,0,2.4000000000000004,-1.7000000000000002,100.0,999
7,2019,1,1,3,30,0,2.3000000000000003,-1.9,100.0,999
8,2019,1,1,4,0,0,2.2,-2.0,100.0,999
9,2019,1,1,4,30,0,2.1,-2.0,100.0,1000
10,2019,1,1,5,0,0,2.0,-2.0,99.78,1000
11,2019,1,1,5,30,0,1.9,-2.0,99.78,1000
12,2019,1,1,6,0,0,1.8,-2.0,99.54,1001
13,2019,1,1,6,30,0,1.9,-1.5,95.95,1001
14,2019,1,1,7,0,0,1.9,-1.0,94.81,1002
15,2019,1,1,7,30,2,2.3000000000000003,-0.1,88.79,1002
16,2019,1,1,8,0,7,2.8000000000000003,0.9,88.0,1003
17,2019,1,1,8,30,12,2.8000000000000003,1.6,83.69,1003
18,2019,1,1,9,0,18,2.9000000000000004,2.3000000000000003,81.7,1003
19,2019,1,1,9,30,25,2.7,2.7,79.41,1003
20,2019,1,1,10,0,38,2.6,3.2,76.24,1003
21,2019,1,1,10,30,53,2.4000000000000004,3.4000000000000004,75.18,1003
22,2019,1,1,11,0,64,2.2,3.6,73.74,1003
23,2019,1,1,11,30,66,2.3000000000000003,3.8,72.71000000000001,1003
24,2019,1,1,12,0,64,2.3000000000000003,3.9,71.42,1003
25,2019,1,1,12,30,91,2.5,3.9,71.42,1003
26,2019,1,1,13,0,84,2.6,3.8,70.82000000000001,1003
27,2019,1,1,13,30,70,2.6,3.7,71.32000000000001,1003
28,2019,1,1,14,0,58,2.7,3.5,71.01,1003
29,2019,1,1,14,30,33,2.6,3.2,72.52,1003
30,2019,1,1,15,0,26,2.5,2.8000000000000003,74.5,1003
31,2019,1,1,15,30,17,2.0,1.9,79.5,1004
32,2019,1,1,16,0,9,1.5,1.0,87.18,1004
33,2019,1,1,16,30,4,1.6,0.4,91.03,1004
34,2019,1,1,17,0,0,1.8,-0.1,89.62,1004
35,2019,1,1,17,30,0,1.8,-0.1,89.62,1004
36,2019,1,1,18,0,0,2.0,-0.8,90.14,1005
37,2019,1,1,18,30,0,2.0,-1.1,92.14,1005
38,2019,1,1,19,0,0,1.9,-1.4,91.3,1005
39,2019,1,1,19,30,0,1.8,-1.7000000000000002,93.25,1004
40,2019,1,1,20,0,0,1.6,-2.0,92.71,1004
41,2019,1,1,20,30,0,1.4,-2.3000000000000003,94.78,1004
42,2019,1,1,21,0,0,1.3,-2.5,93.9,1004
43,2019,1,1,21,30,0,1.2000000000000002,-2.7,95.3,1004
44,2019,1,1,22,0,0,1.0,-2.8000000000000003,94.75,1004
45,2019,1,1,22,30,0,1.0,-3.0,96.17,1004
46,2019,1,1,23,0,0,0.9,-3.1,95.54,1003
47,2019,1,1,23,30,0,0.9,-3.2,96.25,1003
48,2019,1,2,0,0,0,0.9,-3.2,95.48,1003
49,2019,1,2,0,30,0,0.9,-3.1,94.87,1004
50,2019,1,2,1,0,0,0.9,-3.1,94.38,1004
51,2019,1,2,1,30,0,1.0,-3.0,93.68,1004
52,2019,1,2,2,0,0,1.1,-3.0,93.32,1004
53,2019,1,2,2,30,0,1.1,-2.9000000000000004,92.54,1003
54,2019,1,2,3,0,0,1.2000000000000002,-2.9000000000000004,92.7,1003
55,2019,1,2,3,30,0,1.1,-2.9000000000000004,92.7,1003
56,2019,1,2,4,0,0,1.0,-2.9000000000000004,92.34,1002
57,2019,1,2,4,30,0,0.9,-2.9000000000000004,92.34,1002
58,2019,1,2,5,0,0,0.8,-2.9000000000000004,91.54,1002
59,2019,1,2,5,30,0,0.8,-2.9000000000000004,91.54,1002
60,2019,1,2,6,0,0,0.8,-2.8000000000000003,90.49,1002
61,2019,1,2,6,30,0,0.9,-2.7,89.91,1003
62,2019,1,2,7,0,0,0.9,-2.5,89.23,1003
63,2019,1,2,7,30,10,1.5,-1.8,84.73,1003
64,2019,1,2,8,0,44,2.0,-1.2000000000000002,78.74,1003
65,2019,1,2,8,30,85,2.5,-0.6000000000000001,75.29,1002
66,2019,1,2,9,0,137,2.9000000000000004,-0.1,70.79,1002
67,2019,1,2,9,30,173,3.2,0.1,69.77,1002
68,2019,1,2,10,0,182,3.5,0.3,69.18,1001
69,2019,1,2,10,30,244,3.8,0.4,68.68,1001
70,2019,1,2,11,0,211,4.1000000000000005,0.5,69.79,1001
71,2019,1,2,11,30,91,4.3,0.5,69.72,1000
72,2019,1,2,12,0,55,4.4,0.5,71.76,999
73,2019,1,2,12,30,58,4.4,0.5,71.76,999
74,2019,1,2,13,0,55,4.4,0.4,74.25,998
75,2019,1,2,13,30,35,4.3,0.3,74.79,998
76,2019,1,2,14,0,27,4.3,0.2,76.9,997
77,2019,1,2,14,30,24,4.0,0.0,78.02,997
78,2019,1,2,15,0,30,3.8,-0.2,80.97,997
79,2019,1,2,15,30,20,3.4000000000000004,-0.5,82.76,997
80,2019,1,2,16,0,13,3.1,-0.9,86.16,997
81,2019,1,2,16,30,6,3.0,-1.1,87.43,997
82,2019,1,2,17,0,0,2.9000000000000004,-1.3,87.86,998
83,2019,1,2,17,30,0,2.9000000000000004,-1.3,87.86,998
84,2019,1,2,18,0,0,2.7,-1.8,88.62,998
85,2019,1,2,18,30,0,2.5,-2.1,90.6,998
86,2019,1,2,19,0,0,2.3000000000000003,-2.4000000000000004,88.59,998
87,2019,1,2,19,30,0,2.2,-2.6,90.0,999
88,2019,1,2,20,0,0,2.1,-2.8000000000000003,88.5,999
89,2019,1,2,20,30,0,2.0,-2.9000000000000004,89.16,999
90,2019,1,2,21,0,0,2.0,-2.9000000000000004,87.96000000000001,999
91,2019,1,2,21,30,0,1.9,-3.0,88.62,999
92,2019,1,2,22,0,0,1.8,-3.1,88.79,998
93,2019,1,2,22,30,0,1.8,-3.1,88.79,998
94,2019,1,2,23,0,0,1.8,-3.1,88.39,998
95,2019,1,2,23,30,0,1.8,-3.1,88.48,999
