,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.9,1.1,97.39,995
1,2019,1,1,0,30,0,3.8,0.9,98.89,996
2,2019,1,1,1,0,0,3.8,0.6000000000000001,98.43,997
3,2019,1,1,1,30,0,3.6,0.5,99.14,997
4,2019,1,1,2,0,0,3.4000000000000004,0.4,97.68,998
5,2019,1,1,2,30,0,3.0,0.3,98.39,998
6,2019,1,1,3,0,0,2.6,0.1,98.16,998
7,2019,1,1,3,30,0,2.2,0.0,98.98,999
8,2019,1,1,4,0,0,1.9,-0.2,98.88,999
9,2019,1,1,4,30,0,1.7000000000000002,-0.2,98.88,999
10,2019,1,1,5,0,0,1.6,-0.2,97.88,1000
11,2019,1,1,5,30,0,1.5,-0.2,97.88,1000
12,2019,1,1,6,0,0,1.4,-0.3,97.28,1000
13,2019,1,1,6,30,0,1.6,-0.2,96.67,1001
14,2019,1,1,7,0,0,1.7000000000000002,0.0,95.47,1001
15,2019,1,1,7,30,14,2.3000000000000003,0.8,90.2,1002
16,2019,1,1,8,0,43,2.8000000000000003,1.7000000000000002,86.95,1002
17,2019,1,1,8,30,107,2.8000000000000003,2.5,82.22,1003
18,2019,1,1,9,0,129,2.8000000000000003,3.3000000000000003,79.47,1003
19,2019,1,1,9,30,71,2.5,4.0,75.65,1003
20,2019,1,1,10,0,70,2.3000000000000003,4.7,74.52,1003
21,2019,1,1,10,30,78,2.0,5.0,72.98,1003
22,2019,1,1,11,0,75,1.7000000000000002,5.4,72.2,1002
23,2019,1,1,11,30,62,1.8,5.4,72.2,1002
24,2019,1,1,12,0,66,2.0,5.5,71.9,1002
25,2019,1,1,12,30,74,2.1,5.4,72.4,1002
26,2019,1,1,13,0,59,2.3000000000000003,5.300000000000001,72.52,1002
27,2019,1,1,13,30,42,2.3000000000000003,5.2,73.03,1002
28,2019,1,1,14,0,41,2.3000000000000003,5.0,73.36,1002
29,2019,1,1,14,30,25,2.1,4.7,74.99,1003
30,2019,1,1,15,0,14,2.0,4.4,77.64,1003
31,2019,1,1,15,30,9,1.6,3.5,82.69,1003
32,2019,1,1,16,0,5,1.1,2.6,90.26,1003
33,2019,1,1,16,30,1,1.2000000000000002,2.1,93.52,1003
34,2019,1,1,17,0,0,1.3,1.6,92.51,1004
35,2019,1,1,17,30,0,1.3,1.6,92.51,1004
36,2019,1,1,18,0,0,1.6,1.1,93.05,1004
37,2019,1,1,18,30,0,1.6,0.9,94.4,1004
38,2019,1,1,19,0,0,1.6,0.6000000000000001,93.6,1004
39,2019,1,1,19,30,0,1.6,0.3,95.65,1004
40,2019,1,1,20,0,0,1.5,0.0,95.03,1004
41,2019,1,1,20,30,0,1.4,-0.2,96.42,1004
42,2019,1,1,21,0,0,1.3,-0.5,96.38,1004
43,2019,1,1,21,30,0,1.2000000000000002,-0.6000000000000001,97.08,1004
44,2019,1,1,22,0,0,1.1,-0.8,96.83,1003
45,2019,1,1,22,30,0,1.0,-0.9,97.54,1003
46,2019,1,1,23,0,0,0.9,-1.0,96.99,1003
47,2019,1,1,23,30,0,0.9,-1.0,96.99,1003
48,2019,1,2,0,0,0,0.9,-1.0,95.87,1003
49,2019,1,2,0,30,0,0.8,-1.0,95.87,1003
50,2019,1,2,1,0,0,0.7000000000000001,-1.0,94.91,1003
51,2019,1,2,1,30,0,0.7000000000000001,-0.9,94.22,1003
52,2019,1,2,2,0,0,0.7000000000000001,-0.9,93.5,1003
53,2019,1,2,2,30,0,0.7000000000000001,-0.8,92.82,1003
54,2019,1,2,3,0,0,0.7000000000000001,-0.8,92.48,1003
55,2019,1,2,3,30,0,0.6000000000000001,-0.7000000000000001,91.72,1002
56,2019,1,2,4,0,0,0.6000000000000001,-0.7000000000000001,91.71,1002
57,2019,1,2,4,30,0,0.6000000000000001,-0.6000000000000001,91.05,1002
58,2019,1,2,5,0,0,0.6000000000000001,-0.6000000000000001,90.96,1002
59,2019,1,2,5,30,0,0.6000000000000001,-0.6000000000000001,90.96,1002
60,2019,1,2,6,0,0,0.7000000000000001,-0.7000000000000001,91.51,1002
61,2019,1,2,6,30,0,0.8,-0.6000000000000001,90.94,1003
62,2019,1,2,7,0,0,0.8,-0.6000000000000001,92.49,1003
63,2019,1,2,7,30,7,1.3,0.0,88.55,1003
64,2019,1,2,8,0,12,1.7000000000000002,0.5,86.87,1003
65,2019,1,2,8,30,19,2.1,0.8,85.01,1003
66,2019,1,2,9,0,34,2.5,1.2000000000000002,80.53,1003
67,2019,1,2,9,30,42,2.8000000000000003,1.4,79.3,1002
68,2019,1,2,10,0,38,3.1,1.6,76.28,1002
69,2019,1,2,10,30,61,3.5,1.7000000000000002,75.66,1001
70,2019,1,2,11,0,94,3.9,1.7000000000000002,74.39,1001
71,2019,1,2,11,30,120,4.2,1.7000000000000002,74.31,1000
72,2019,1,2,12,0,92,4.5,1.6,73.57000000000001,1000
73,2019,1,2,12,30,60,4.4,1.5,74.03,999
74,2019,1,2,13,0,49,4.4,1.4,73.47,999
75,2019,1,2,13,30,56,4.2,1.2000000000000002,74.45,998
76,2019,1,2,14,0,39,4.1000000000000005,1.0,75.13,998
77,2019,1,2,14,30,32,3.7,0.8,76.22,998
78,2019,1,2,15,0,19,3.3000000000000003,0.6000000000000001,78.89,998
79,2019,1,2,15,30,13,2.8000000000000003,0.2,81.2,998
