,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.0,1.0,100.0,1002
1,2019,1,1,0,30,0,3.1,0.8,100.0,1002
2,2019,1,1,1,0,0,3.2,0.6000000000000001,100.0,1003
3,2019,1,1,1,30,0,3.1,0.3,100.0,1003
4,2019,1,1,2,0,0,3.0,0.1,100.0,1004
5,2019,1,1,2,30,0,3.0,0.0,100.0,1004
6,2019,1,1,3,0,0,3.1,-0.1,97.64,1004
7,2019,1,1,3,30,0,3.0,-0.3,99.07,1004
8,2019,1,1,4,0,0,3.0,-0.5,96.89,1005
9,2019,1,1,4,30,0,2.7,-0.8,99.03,1005
10,2019,1,1,5,0,0,2.4000000000000004,-1.1,98.7,1005
11,2019,1,1,5,30,0,2.3000000000000003,-1.2000000000000002,99.52,1006
12,2019,1,1,6,0,0,2.2,-1.3,99.11,1006
13,2019,1,1,6,30,0,2.5,-0.9,96.35,1007
14,2019,1,1,7,0,0,2.8000000000000003,-0.5,93.62,1007
15,2019,1,1,7,30,5,3.1,0.3,88.43,1008
16,2019,1,1,8,0,12,3.5,1.1,86.57000000000001,1008
17,2019,1,1,8,30,23,3.5,2.0,81.17,1008
18,2019,1,1,9,0,35,3.5,2.8000000000000003,79.73,1008
19,2019,1,1,9,30,36,3.3000000000000003,3.6,75.43,1009
20,2019,1,1,10,0,55,3.2,4.3,74.58,1009
21,2019,1,1,10,30,74,3.2,4.5,73.55,1009
22,2019,1,1,11,0,83,3.2,4.7,72.89,1009
23,2019,1,1,11,30,86,3.3000000000000003,4.6000000000000005,73.33,1008
24,2019,1,1,12,0,90,3.3000000000000003,4.6000000000000005,72.56,1008
25,2019,1,1,12,30,90,3.3000000000000003,4.6000000000000005,72.56,1008
26,2019,1,1,13,0,89,3.3000000000000003,4.6000000000000005,71.79,1008
27,2019,1,1,13,30,69,3.2,4.5,72.29,1008
28,2019,1,1,14,0,45,3.2,4.3,72.44,1008
29,2019,1,1,14,30,27,3.1,4.1000000000000005,73.46000000000001,1008
30,2019,1,1,15,0,19,2.9000000000000004,3.8,74.94,1008
31,2019,1,1,15,30,13,2.3000000000000003,3.0,79.29,1008
32,2019,1,1,16,0,7,1.7000000000000002,2.2,86.56,1009
33,2019,1,1,16,30,2,1.7000000000000002,1.6,90.34,1009
34,2019,1,1,17,0,0,1.7000000000000002,1.0,91.2,1009
35,2019,1,1,17,30,0,1.7000000000000002,1.0,91.2,1009
36,2019,1,1,18,0,0,1.9,0.5,91.88,1010
37,2019,1,1,18,30,0,1.9,0.3,93.21,1010
38,2019,1,1,19,0,0,2.0,0.1,92.59,1010
39,2019,1,1,19,30,0,2.1,-0.1,93.94,1010
40,2019,1,1,20,0,0,2.1,-0.3,93.45,1010
41,2019,1,1,20,30,0,2.1,-0.5,94.82,1010
42,2019,1,1,21,0,0,2.0,-0.7000000000000001,93.93,1009
43,2019,1,1,21,30,0,2.0,-0.8,94.62,1009
44,2019,1,1,22,0,0,2.0,-1.0,93.7,1009
45,2019,1,1,22,30,0,1.9,-1.2000000000000002,95.08,1009
46,2019,1,1,23,0,0,1.8,-1.4,93.92,1009
47,2019,1,1,23,30,0,1.7000000000000002,-1.5,94.62,1009
48,2019,1,2,0,0,0,1.7000000000000002,-1.6,93.44,1009
49,2019,1,2,0,30,0,1.7000000000000002,-1.7000000000000002,94.13,1009
50,2019,1,2,1,0,0,1.8,-1.7000000000000002,92.41,1009
51,2019,1,2,1,30,0,1.8,-1.8,93.09,1009
52,2019,1,2,2,0,0,1.8,-1.9,92.14,1009
53,2019,1,2,2,30,0,1.6,-2.0,92.73,1008
54,2019,1,2,3,0,0,1.5,-2.1,91.89,1008
55,2019,1,2,3,30,0,1.3,-2.2,92.57,1008
56,2019,1,2,4,0,0,1.1,-2.2,91.92,1007
57,2019,1,2,4,30,0,1.0,-2.2,92.01,1008
58,2019,1,2,5,0,0,0.8,-2.2,91.22,1008
59,2019,1,2,5,30,0,0.8,-2.2,91.22,1008
60,2019,1,2,6,0,0,0.7000000000000001,-2.1,89.14,1008
61,2019,1,2,6,30,0,0.6000000000000001,-1.9,87.84,1008
62,2019,1,2,7,0,0,0.6000000000000001,-1.7000000000000002,86.4,1008
63,2019,1,2,7,30,7,0.5,-1.1,82.68,1008
64,2019,1,2,8,0,19,0.5,-0.5,82.74,1008
65,2019,1,2,8,30,32,0.8,-0.1,80.37,1008
66,2019,1,2,9,0,45,1.0,0.4,74.25,1008
67,2019,1,2,9,30,48,1.5,0.7000000000000001,72.66,1008
68,2019,1,2,10,0,61,2.0,1.0,72.08,1007
69,2019,1,2,10,30,97,2.4000000000000004,1.2000000000000002,71.05,1007
70,2019,1,2,11,0,118,2.9000000000000004,1.4,71.47,1007
71,2019,1,2,11,30,78,3.0,1.4,71.4,1006
72,2019,1,2,12,0,62,3.1,1.5,72.33,1005
73,2019,1,2,12,30,68,3.0,1.5,72.33,1005
74,2019,1,2,13,0,61,3.0,1.5,73.92,1004
75,2019,1,2,13,30,46,2.9000000000000004,1.5,73.92,1004
76,2019,1,2,14,0,40,2.7,1.4,76.47,1003
77,2019,1,2,14,30,33,2.4000000000000004,1.2000000000000002,77.58,1003
78,2019,1,2,15,0,22,2.1,1.0,82.81,1003
79,2019,1,2,15,30,16,1.8,0.6000000000000001,85.23,1003
80,2019,1,2,16,0,10,1.5,0.2,89.7,1003
81,2019,1,2,16,30,4,1.5,-0.1,91.67,1003
82,2019,1,2,17,0,0,1.5,-0.3,91.74,1003
83,2019,1,2,17,30,0,1.5,-0.3,91.74,1003
84,2019,1,2,18,0,0,1.7000000000000002,-0.5,91.6,1003
85,2019,1,2,18,30,0,1.8,-0.7000000000000001,93.04,1004
86,2019,1,2,19,0,0,1.9,-0.8,91.31,1004
87,2019,1,2,19,30,0,1.8,-1.1,93.34,1004
88,2019,1,2,20,0,0,1.7000000000000002,-1.3,91.7,1005
89,2019,1,2,20,30,0,1.6,-1.6,93.74,1005
90,2019,1,2,21,0,0,1.4,-2.0,92.45,1004
91,2019,1,2,21,30,0,1.3,-2.2,93.82,1004
92,2019,1,2,22,0,0,1.2000000000000002,-2.4000000000000004,92.18,1004
93,2019,1,2,22,30,0,1.1,-2.4000000000000004,92.18,1004
94,2019,1,2,23,0,0,1.1,-2.5,91.11,1004
95,2019,1,2,23,30,0,1.1,-2.6,91.79,1004
96,2019,1,3,0,0,0,1.0,-2.7,91.45,1004
97,2019,1,3,0,30,0,0.9,-2.7,91.45,1004
98,2019,1,3,1,0,0,0.8,-2.8000000000000003,91.24,1004
99,2019,1,3,1,30,0,0.8,-2.9000000000000004,91.92,1004
100,2019,1,3,2,0,0,0.8,-2.9000000000000004,90.64,1004
101,2019,1,3,2,30,0,0.8,-3.2,92.68,1004
102,2019,1,3,3,0,0,0.8,-3.4000000000000004,91.88,1004
103,2019,1,3,3,30,0,0.9,-3.7,93.96,1004
104,2019,1,3,4,0,0,0.9,-4.1000000000000005,94.77,1003
105,2019,1,3,4,30,0,0.9,-4.2,95.58,1004
106,2019,1,3,5,0,0,0.9,-4.3,96.06,1004
107,2019,1,3,5,30,0,0.9,-4.3,96.06,1004
108,2019,1,3,6,0,0,0.8,-4.3,95.49,1004
109,2019,1,3,6,30,0,0.8,-4.1000000000000005,94.06,1004
110,2019,1,3,7,0,0,0.7000000000000001,-3.9,93.15,1004
111,2019,1,3,7,30,25,0.8,-2.7,85.18,1004
112,2019,1,3,8,0,94,0.8,-1.6,77.76,1005
113,2019,1,3,8,30,175,0.6000000000000001,-0.7000000000000001,72.73,1004
114,2019,1,3,9,0,255,0.3,0.3,65.42,1004
115,2019,1,3,9,30,329,0.6000000000000001,1.0,62.2,1004
116,2019,1,3,10,0,393,0.8,1.7000000000000002,62.48,1004
117,2019,1,3,10,30,445,1.2000000000000002,2.4000000000000004,59.38,1003
118,2019,1,3,11,0,484,1.6,3.2,58.94,1002
119,2019,1,3,11,30,507,1.9,3.8,56.5,1002
120,2019,1,3,12,0,516,2.2,4.4,55.57,1001
121,2019,1,3,12,30,507,2.2,4.6000000000000005,54.8,1001
122,2019,1,3,13,0,484,2.3000000000000003,4.9,55.24,1001
123,2019,1,3,13,30,448,2.2,4.800000000000001,55.63,1001
124,2019,1,3,14,0,398,2.2,4.7,58.17,1001
125,2019,1,3,14,30,336,1.8,4.1000000000000005,60.66,1001
126,2019,1,3,15,0,264,1.5,3.5,74.03,1002
127,2019,1,3,15,30,186,1.3,2.4000000000000004,80.01,1002
128,2019,1,3,16,0,105,1.0,1.2000000000000002,76.75,1001
129,2019,1,3,16,30,34,0.9,1.2000000000000002,76.75,1001
130,2019,1,3,17,0,0,0.7000000000000001,1.2000000000000002,70.82000000000001,1000
131,2019,1,3,17,30,0,0.7000000000000001,1.2000000000000002,70.82000000000001,1000
132,2019,1,3,18,0,0,1.0,0.6000000000000001,74.36,1000
133,2019,1,3,18,30,0,1.1,0.3,75.99,1000
134,2019,1,3,19,0,0,1.2000000000000002,0.0,78.73,1001
135,2019,1,3,19,30,0,1.2000000000000002,-0.2,79.88,1001
136,2019,1,3,20,0,0,1.2000000000000002,-0.3,82.96000000000001,1000
137,2019,1,3,20,30,0,1.2000000000000002,-0.3,82.96000000000001,1000
138,2019,1,3,21,0,0,1.2000000000000002,-0.4,85.10000000000001,999
139,2019,1,3,21,30,0,1.2000000000000002,-0.5,85.63,998
