,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,0.3,98.71,993
1,2019,1,1,0,30,0,3.9,0.2,99.53,994
2,2019,1,1,1,0,0,3.9,0.1,98.21,995
3,2019,1,1,1,30,0,3.7,0.1,98.21,995
4,2019,1,1,2,0,0,3.4000000000000004,0.1,97.0,996
5,2019,1,1,2,30,0,3.0,-0.1,98.42,996
6,2019,1,1,3,0,0,2.5,-0.2,97.66,996
7,2019,1,1,3,30,0,2.2,-0.3,98.37,996
8,2019,1,1,4,0,0,1.8,-0.5,98.22,997
9,2019,1,1,4,30,0,1.8,-0.5,98.22,997
10,2019,1,1,5,0,0,1.7000000000000002,-0.5,97.11,997
11,2019,1,1,5,30,0,1.6,-0.5,97.2,998
12,2019,1,1,6,0,0,1.5,-0.6000000000000001,96.82,998
13,2019,1,1,6,30,0,1.7000000000000002,-0.4,95.52,999
14,2019,1,1,7,0,0,1.8,-0.2,94.59,999
15,2019,1,1,7,30,8,2.4000000000000004,0.5,90.01,1000
16,2019,1,1,8,0,30,3.0,1.3,87.24,1000
17,2019,1,1,8,30,58,3.0,1.8,84.17,1000
18,2019,1,1,9,0,84,3.1,2.4000000000000004,80.8,1001
19,2019,1,1,9,30,72,2.8000000000000003,3.0,77.44,1001
20,2019,1,1,10,0,50,2.6,3.5,76.58,1001
21,2019,1,1,10,30,51,2.3000000000000003,3.9,74.46000000000001,1001
22,2019,1,1,11,0,57,1.9,4.3,73.97,1000
23,2019,1,1,11,30,63,2.0,4.4,73.45,1000
24,2019,1,1,12,0,59,2.0,4.5,72.99,1000
25,2019,1,1,12,30,65,2.2,4.5,72.99,1000
26,2019,1,1,13,0,54,2.3000000000000003,4.5,72.53,1000
27,2019,1,1,13,30,53,2.3000000000000003,4.3,73.55,1000
28,2019,1,1,14,0,38,2.4000000000000004,4.2,73.27,1000
29,2019,1,1,14,30,32,2.2,3.9,74.83,1000
30,2019,1,1,15,0,21,2.1,3.6,77.27,1001
31,2019,1,1,15,30,13,1.6,2.7,82.34,1001
32,2019,1,1,16,0,7,1.2000000000000002,1.8,90.1,1001
33,2019,1,1,16,30,4,1.3,1.3,93.38,1001
34,2019,1,1,17,0,0,1.4,0.7000000000000001,92.2,1001
35,2019,1,1,17,30,0,1.4,0.7000000000000001,92.2,1001
36,2019,1,1,18,0,0,1.6,0.3,92.42,1002
37,2019,1,1,18,30,0,1.6,0.0,94.45,1002
38,2019,1,1,19,0,0,1.6,-0.3,93.29,1002
39,2019,1,1,19,30,0,1.5,-0.7000000000000001,96.05,1002
40,2019,1,1,20,0,0,1.5,-1.1,95.68,1002
41,2019,1,1,20,30,0,1.3,-1.4,97.8,1002
42,2019,1,1,21,0,0,1.2000000000000002,-1.6,97.05,1002
43,2019,1,1,21,30,0,1.1,-1.7000000000000002,97.67,1001
44,2019,1,1,22,0,0,1.0,-1.7000000000000002,96.26,1001
45,2019,1,1,22,30,0,0.9,-1.8,96.97,1001
46,2019,1,1,23,0,0,0.8,-1.8,95.82,1001
47,2019,1,1,23,30,0,0.8,-1.9,96.53,1001
48,2019,1,2,0,0,0,0.8,-1.9,95.36,1001
49,2019,1,2,0,30,0,0.7000000000000001,-1.7000000000000002,93.97,1001
50,2019,1,2,1,0,0,0.7000000000000001,-1.6,92.5,1001
51,2019,1,2,1,30,0,0.6000000000000001,-1.4,91.15,1001
52,2019,1,2,2,0,0,0.5,-1.3,90.23,1001
53,2019,1,2,2,30,0,0.6000000000000001,-1.4,90.89,1001
54,2019,1,2,3,0,0,0.6000000000000001,-1.4,90.83,1000
55,2019,1,2,3,30,0,0.6000000000000001,-1.4,90.83,1000
56,2019,1,2,4,0,0,0.6000000000000001,-1.4,91.46,1000
57,2019,1,2,4,30,0,0.7000000000000001,-1.4,91.46,1000
58,2019,1,2,5,0,0,0.7000000000000001,-1.4,92.13,1000
59,2019,1,2,5,30,0,0.7000000000000001,-1.4,92.13,1000
60,2019,1,2,6,0,0,0.8,-1.4,92.38,1000
61,2019,1,2,6,30,0,0.9,-1.3,91.7,1000
62,2019,1,2,7,0,0,1.1,-1.1,91.43,1000
63,2019,1,2,7,30,3,1.6,-0.6000000000000001,88.24,1001
64,2019,1,2,8,0,8,2.2,0.0,83.71000000000001,1001
65,2019,1,2,8,30,12,2.6,0.3,81.83,1000
66,2019,1,2,9,0,25,2.9000000000000004,0.6000000000000001,77.21000000000001,1000
67,2019,1,2,9,30,48,3.2,0.7000000000000001,76.66,1000
68,2019,1,2,10,0,161,3.5,0.8,73.66,999
69,2019,1,2,10,30,184,3.9,0.9,73.13,999
70,2019,1,2,11,0,132,4.2,0.9,72.05,998
71,2019,1,2,11,30,114,4.5,0.8,72.57000000000001,998
72,2019,1,2,12,0,96,4.7,0.8,71.76,998
73,2019,1,2,12,30,71,4.6000000000000005,0.6000000000000001,72.73,997
74,2019,1,2,13,0,41,4.6000000000000005,0.5,72.98,996
75,2019,1,2,13,30,34,4.4,0.3,74.05,996
76,2019,1,2,14,0,24,4.2,0.2,75.43,996
77,2019,1,2,14,30,19,3.9,0.0,76.45,995
78,2019,1,2,15,0,15,3.5,-0.2,79.83,995
