,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.8,1.7000000000000002,96.82,997
1,2019,1,1,0,30,0,3.8,1.4,99.02,998
2,2019,1,1,1,0,0,3.9,1.1,98.45,999
3,2019,1,1,1,30,0,3.8,0.9,99.97,1000
4,2019,1,1,2,0,0,3.7,0.7000000000000001,98.33,1000
5,2019,1,1,2,30,0,3.4000000000000004,0.6000000000000001,99.04,1000
6,2019,1,1,3,0,0,3.1,0.5,97.95,1000
7,2019,1,1,3,30,0,2.6,0.3,99.48,1001
8,2019,1,1,4,0,0,2.0,0.1,99.54,1001
9,2019,1,1,4,30,0,2.0,0.2,98.82,1001
10,2019,1,1,5,0,0,1.9,0.3,97.6,1002
11,2019,1,1,5,30,0,1.7000000000000002,0.2,98.3,1002
12,2019,1,1,6,0,0,1.5,0.1,98.17,1002
13,2019,1,1,6,30,0,1.6,0.3,96.86,1003
14,2019,1,1,7,0,0,1.6,0.5,96.19,1003
15,2019,1,1,7,30,7,2.0,1.5,89.61,1004
16,2019,1,1,8,0,16,2.5,2.5,86.39,1004
17,2019,1,1,8,30,28,2.5,3.5,80.5,1004
18,2019,1,1,9,0,44,2.4000000000000004,4.5,77.47,1005
19,2019,1,1,9,30,57,2.1,5.1000000000000005,74.3,1005
20,2019,1,1,10,0,61,1.8,5.800000000000001,72.83,1004
21,2019,1,1,10,30,68,1.7000000000000002,6.1000000000000005,71.34,1004
22,2019,1,1,11,0,77,1.5,6.300000000000001,71.51,1004
23,2019,1,1,11,30,80,1.8,6.4,71.02,1004
24,2019,1,1,12,0,66,2.1,6.4,71.36,1004
25,2019,1,1,12,30,57,2.3000000000000003,6.300000000000001,71.85000000000001,1004
26,2019,1,1,13,0,55,2.4000000000000004,6.2,71.88,1004
27,2019,1,1,13,30,48,2.4000000000000004,6.0,72.88,1004
28,2019,1,1,14,0,38,2.4000000000000004,5.7,73.60000000000001,1004
29,2019,1,1,14,30,29,2.2,5.4,75.15,1004
30,2019,1,1,15,0,15,2.1,5.0,78.03,1005
31,2019,1,1,15,30,10,1.6,4.1000000000000005,83.09,1005
32,2019,1,1,16,0,5,1.2000000000000002,3.2,90.71,1005
33,2019,1,1,16,30,3,1.2000000000000002,2.8000000000000003,93.31,1005
34,2019,1,1,17,0,0,1.3,2.3000000000000003,92.38,1005
35,2019,1,1,17,30,0,1.3,2.3000000000000003,92.38,1005
36,2019,1,1,18,0,0,1.5,1.8,92.82,1006
37,2019,1,1,18,30,0,1.5,1.5,94.84,1006
38,2019,1,1,19,0,0,1.5,1.3,93.66,1006
39,2019,1,1,19,30,0,1.5,1.1,95.02,1006
40,2019,1,1,20,0,0,1.5,0.9,94.44,1006
41,2019,1,1,20,30,0,1.5,0.7000000000000001,95.81,1006
42,2019,1,1,21,0,0,1.4,0.5,95.34,1006
43,2019,1,1,21,30,0,1.3,0.3,96.63,1005
44,2019,1,1,22,0,0,1.2000000000000002,0.2,95.86,1005
45,2019,1,1,22,30,0,1.1,0.1,96.55,1005
46,2019,1,1,23,0,0,1.0,0.0,95.99,1005
47,2019,1,1,23,30,0,1.0,-0.1,96.68,1005
48,2019,1,2,0,0,0,0.9,-0.2,96.17,1005
49,2019,1,2,0,30,0,0.9,-0.2,96.17,1005
50,2019,1,2,1,0,0,0.8,-0.2,95.07,1005
51,2019,1,2,1,30,0,0.8,-0.3,95.76,1005
52,2019,1,2,2,0,0,0.8,-0.3,94.94,1005
53,2019,1,2,2,30,0,0.8,-0.3,94.94,1005
54,2019,1,2,3,0,0,0.7000000000000001,-0.3,94.63,1005
55,2019,1,2,3,30,0,0.7000000000000001,-0.2,93.85,1004
56,2019,1,2,4,0,0,0.7000000000000001,-0.1,93.12,1004
57,2019,1,2,4,30,0,0.7000000000000001,-0.1,93.12,1004
58,2019,1,2,5,0,0,0.7000000000000001,-0.1,92.78,1004
59,2019,1,2,5,30,0,0.7000000000000001,-0.1,92.78,1004
60,2019,1,2,6,0,0,0.7000000000000001,-0.1,92.3,1004
