,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,0.5,98.42,995
1,2019,1,1,0,30,0,3.9,0.4,99.23,996
2,2019,1,1,1,0,0,3.9,0.3,97.75,997
3,2019,1,1,1,30,0,3.7,0.2,98.56,998
4,2019,1,1,2,0,0,3.4000000000000004,0.1,97.46,998
5,2019,1,1,2,30,0,3.0,0.0,98.17,998
6,2019,1,1,3,0,0,2.6,-0.1,97.08,999
7,2019,1,1,3,30,0,2.3000000000000003,-0.4,99.22,999
8,2019,1,1,4,0,0,1.9,-0.6000000000000001,98.73,999
9,2019,1,1,4,30,0,1.8,-0.7000000000000001,99.45,999
10,2019,1,1,5,0,0,1.7000000000000002,-0.8,98.77,1000
11,2019,1,1,5,30,0,1.6,-0.9,99.49,1000
12,2019,1,1,6,0,0,1.5,-1.0,98.86,1001
13,2019,1,1,6,30,0,1.7000000000000002,-0.8,97.42,1001
14,2019,1,1,7,0,0,1.8,-0.6000000000000001,96.34,1002
15,2019,1,1,7,30,4,2.3000000000000003,0.3,90.25,1002
16,2019,1,1,8,0,12,2.9000000000000004,1.3,87.62,1003
17,2019,1,1,8,30,22,2.9000000000000004,2.1,82.75,1003
18,2019,1,1,9,0,36,2.9000000000000004,2.8000000000000003,80.52,1003
19,2019,1,1,9,30,42,2.7,3.4000000000000004,77.18,1003
20,2019,1,1,10,0,39,2.5,4.0,76.17,1003
21,2019,1,1,10,30,43,2.2,4.4,74.07000000000001,1003
22,2019,1,1,11,0,52,1.9,4.7,73.87,1003
23,2019,1,1,11,30,59,2.0,4.800000000000001,73.35000000000001,1003
24,2019,1,1,12,0,55,2.1,4.800000000000001,73.25,1003
25,2019,1,1,12,30,53,2.2,4.800000000000001,73.17,1002
26,2019,1,1,13,0,54,2.4000000000000004,4.800000000000001,72.51,1002
27,2019,1,1,13,30,46,2.4000000000000004,4.6000000000000005,73.53,1002
28,2019,1,1,14,0,39,2.4000000000000004,4.5,73.15,1003
29,2019,1,1,14,30,21,2.3000000000000003,4.2,74.7,1003
30,2019,1,1,15,0,16,2.1,3.9,76.86,1003
31,2019,1,1,15,30,11,1.7000000000000002,3.0,81.89,1003
32,2019,1,1,16,0,6,1.2000000000000002,2.1,89.54,1003
33,2019,1,1,16,30,3,1.3,1.6,92.89,1004
34,2019,1,1,17,0,0,1.4,1.0,92.01,1004
35,2019,1,1,17,30,0,1.4,1.0,92.01,1004
36,2019,1,1,18,0,0,1.6,0.6000000000000001,91.93,1004
37,2019,1,1,18,30,0,1.6,0.3,93.95,1004
38,2019,1,1,19,0,0,1.6,0.0,93.08,1004
39,2019,1,1,19,30,0,1.6,-0.3,95.13,1004
40,2019,1,1,20,0,0,1.5,-0.7000000000000001,94.97,1004
41,2019,1,1,20,30,0,1.4,-0.9,96.36,1004
42,2019,1,1,21,0,0,1.2000000000000002,-1.1,95.51,1004
43,2019,1,1,21,30,0,1.1,-1.2000000000000002,96.21,1004
44,2019,1,1,22,0,0,1.0,-1.3,95.36,1004
45,2019,1,1,22,30,0,0.9,-1.4,96.07,1004
46,2019,1,1,23,0,0,0.8,-1.5,95.32,1003
47,2019,1,1,23,30,0,0.8,-1.5,95.32,1003
48,2019,1,2,0,0,0,0.8,-1.6,94.72,1003
49,2019,1,2,0,30,0,0.7000000000000001,-1.5,94.02,1003
50,2019,1,2,1,0,0,0.7000000000000001,-1.4,92.52,1004
51,2019,1,2,1,30,0,0.7000000000000001,-1.4,92.52,1004
52,2019,1,2,2,0,0,0.6000000000000001,-1.3,91.22,1003
53,2019,1,2,2,30,0,0.7000000000000001,-1.4,91.89,1003
54,2019,1,2,3,0,0,0.7000000000000001,-1.4,91.7,1003
55,2019,1,2,3,30,0,0.7000000000000001,-1.4,91.7,1003
56,2019,1,2,4,0,0,0.7000000000000001,-1.4,91.98,1002
57,2019,1,2,4,30,0,0.7000000000000001,-1.4,91.98,1002
58,2019,1,2,5,0,0,0.7000000000000001,-1.4,92.13,1002
59,2019,1,2,5,30,0,0.8,-1.4,92.13,1002
60,2019,1,2,6,0,0,0.8,-1.4,92.03,1003
61,2019,1,2,6,30,0,0.9,-1.3,91.35,1003
62,2019,1,2,7,0,0,1.0,-1.2000000000000002,91.73,1003
63,2019,1,2,7,30,4,1.6,-0.6000000000000001,87.8,1003
64,2019,1,2,8,0,10,2.1,-0.1,83.93,1003
65,2019,1,2,8,30,14,2.4000000000000004,0.3,81.54,1003
66,2019,1,2,9,0,24,2.7,0.6000000000000001,77.03,1003
67,2019,1,2,9,30,29,3.0,0.8,75.85000000000001,1002
68,2019,1,2,10,0,88,3.3000000000000003,1.0,73.08,1002
69,2019,1,2,10,30,117,3.7,1.1,72.49,1001
70,2019,1,2,11,0,111,4.1000000000000005,1.1,71.94,1001
71,2019,1,2,11,30,118,4.3,1.1,71.87,1000
72,2019,1,2,12,0,97,4.5,1.0,71.94,1000
73,2019,1,2,12,30,74,4.4,0.9,72.38,999
74,2019,1,2,13,0,74,4.4,0.8,72.99,999
75,2019,1,2,13,30,59,4.2,0.7000000000000001,73.44,998
76,2019,1,2,14,0,25,4.1000000000000005,0.6000000000000001,74.94,998
77,2019,1,2,14,30,20,3.7,0.4,76.03,998
78,2019,1,2,15,0,11,3.3000000000000003,0.2,79.69,998
79,2019,1,2,15,30,8,2.8000000000000003,-0.2,82.03,998
80,2019,1,2,16,0,6,2.3000000000000003,-0.6000000000000001,87.34,998
81,2019,1,2,16,30,2,2.3000000000000003,-0.7000000000000001,87.98,998
82,2019,1,2,17,0,0,2.3000000000000003,-0.9,89.79,998
83,2019,1,2,17,30,0,2.3000000000000003,-0.9,89.79,998
84,2019,1,2,18,0,0,2.8000000000000003,-0.9,89.69,998
85,2019,1,2,18,30,0,2.8000000000000003,-1.0,90.35,998
86,2019,1,2,19,0,0,2.9000000000000004,-1.1,90.57,998
87,2019,1,2,19,30,0,2.8000000000000003,-1.3,91.99,999
88,2019,1,2,20,0,0,2.7,-1.5,91.07,999
89,2019,1,2,20,30,0,2.4000000000000004,-1.8,93.1,999
90,2019,1,2,21,0,0,2.1,-2.1,91.21,999
91,2019,1,2,21,30,0,1.9,-2.4000000000000004,93.25,999
92,2019,1,2,22,0,0,1.7000000000000002,-2.6,91.63,999
93,2019,1,2,22,30,0,1.7000000000000002,-2.7,92.31,999
94,2019,1,2,23,0,0,1.6,-2.8000000000000003,90.96,999
95,2019,1,2,23,30,0,1.6,-2.9000000000000004,91.63,999
96,2019,1,3,0,0,0,1.6,-2.9000000000000004,90.12,999
97,2019,1,3,0,30,0,1.5,-3.0,90.79,999
98,2019,1,3,1,0,0,1.3,-3.0,89.91,999
99,2019,1,3,1,30,0,1.3,-3.1,90.58,999
100,2019,1,3,2,0,0,1.3,-3.1,89.83,999
101,2019,1,3,2,30,0,1.2000000000000002,-3.3000000000000003,91.17,999
102,2019,1,3,3,0,0,1.2000000000000002,-3.5,90.93,999
103,2019,1,3,3,30,0,1.1,-3.8,92.9,998
104,2019,1,3,4,0,0,1.0,-4.2,92.46,998
105,2019,1,3,4,30,0,1.0,-4.4,93.87,998
106,2019,1,3,5,0,0,1.0,-4.5,93.66,998
107,2019,1,3,5,30,0,1.0,-4.5,93.75,999
108,2019,1,3,6,0,0,1.0,-4.5,93.22,999
109,2019,1,3,6,30,0,1.1,-4.2,91.14,999
110,2019,1,3,7,0,0,1.2000000000000002,-3.9,90.54,999
111,2019,1,3,7,30,28,1.6,-2.8000000000000003,83.41,999
112,2019,1,3,8,0,99,2.0,-1.7000000000000002,76.02,1000
113,2019,1,3,8,30,179,2.0,-0.8,71.10000000000001,999
114,2019,1,3,9,0,258,2.0,0.1,65.68,999
115,2019,1,3,9,30,329,2.2,0.7000000000000001,62.89,999
116,2019,1,3,10,0,390,2.3000000000000003,1.4,62.93,999
117,2019,1,3,10,30,442,2.4000000000000004,2.1,59.8,998
118,2019,1,3,11,0,480,2.5,2.7,60.29,997
119,2019,1,3,11,30,501,2.6,3.3000000000000003,57.79,997
120,2019,1,3,12,0,507,2.8000000000000003,3.9,56.47,996
121,2019,1,3,12,30,498,2.9000000000000004,4.1000000000000005,55.69,996
122,2019,1,3,13,0,475,3.1,4.4,55.97,996
123,2019,1,3,13,30,436,3.0,4.3,56.36,996
124,2019,1,3,14,0,385,2.9000000000000004,4.2,58.81,996
125,2019,1,3,14,30,321,2.3000000000000003,3.4000000000000004,62.21,996
126,2019,1,3,15,0,248,1.7000000000000002,2.7,74.19,997
127,2019,1,3,15,30,169,1.6,0.9,84.36,997
128,2019,1,3,16,0,88,1.5,-0.8,82.46000000000001,997
129,2019,1,3,16,30,20,1.5,-1.2000000000000002,84.9,997
130,2019,1,3,17,0,0,1.5,-1.5,81.42,997
131,2019,1,3,17,30,0,1.5,-1.5,81.42,997
132,2019,1,3,18,0,0,1.2000000000000002,-1.0,77.79,996
