,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-0.2,98.11,993
1,2019,1,1,0,30,0,4.1000000000000005,-0.3,98.92,994
2,2019,1,1,1,0,0,4.0,-0.4,97.75,995
3,2019,1,1,1,30,0,3.7,-0.4,97.84,996
4,2019,1,1,2,0,0,3.4000000000000004,-0.5,97.35,996
5,2019,1,1,2,30,0,2.9000000000000004,-0.6000000000000001,98.07,996
6,2019,1,1,3,0,0,2.5,-0.8,98.29,996
7,2019,1,1,3,30,0,2.2,-1.0,99.84,997
8,2019,1,1,4,0,0,1.8,-1.1,99.14,997
9,2019,1,1,4,30,0,1.7000000000000002,-1.2000000000000002,99.87,997
10,2019,1,1,5,0,0,1.6,-1.2000000000000002,98.89,998
11,2019,1,1,5,30,0,1.6,-1.1,98.17,998
12,2019,1,1,6,0,0,1.7000000000000002,-1.1,96.82,999
13,2019,1,1,6,30,0,2.0,-0.9,95.41,999
14,2019,1,1,7,0,0,2.3000000000000003,-0.7000000000000001,93.12,1000
15,2019,1,1,7,30,5,2.8000000000000003,-0.1,89.14,1000
16,2019,1,1,8,0,15,3.4000000000000004,0.6000000000000001,85.46000000000001,1001
17,2019,1,1,8,30,28,3.4000000000000004,1.1,82.44,1001
18,2019,1,1,9,0,40,3.4000000000000004,1.6,79.11,1001
19,2019,1,1,9,30,41,3.1,2.3000000000000003,75.25,1001
20,2019,1,1,10,0,55,2.9000000000000004,2.9000000000000004,74.65,1001
21,2019,1,1,10,30,63,2.5,3.3000000000000003,72.58,1001
22,2019,1,1,11,0,50,2.2,3.7,72.86,1001
23,2019,1,1,11,30,52,2.1,3.9,71.84,1001
24,2019,1,1,12,0,54,2.0,4.0,72.09,1001
25,2019,1,1,12,30,62,2.1,4.1000000000000005,71.58,1001
26,2019,1,1,13,0,66,2.3000000000000003,4.1000000000000005,71.51,1001
27,2019,1,1,13,30,45,2.4000000000000004,4.0,72.02,1001
28,2019,1,1,14,0,32,2.4000000000000004,3.9,71.97,1001
29,2019,1,1,14,30,20,2.2,3.6,73.5,1001
30,2019,1,1,15,0,14,2.1,3.2,76.8,1001
31,2019,1,1,15,30,9,1.6,2.3000000000000003,81.85000000000001,1001
32,2019,1,1,16,0,5,1.2000000000000002,1.3,89.63,1002
33,2019,1,1,16,30,1,1.4,0.8,92.91,1002
34,2019,1,1,17,0,0,1.5,0.3,91.15,1002
35,2019,1,1,17,30,0,1.5,0.3,91.15,1002
36,2019,1,1,18,0,0,1.8,-0.2,91.15,1002
37,2019,1,1,18,30,0,1.8,-0.6000000000000001,93.84,1002
38,2019,1,1,19,0,0,1.8,-0.9,92.31,1002
39,2019,1,1,19,30,0,1.7000000000000002,-1.3,95.05,1002
40,2019,1,1,20,0,0,1.5,-1.6,93.82,1002
41,2019,1,1,20,30,0,1.4,-1.9,95.91,1002
42,2019,1,1,21,0,0,1.2000000000000002,-2.2,95.32,1002
43,2019,1,1,21,30,0,1.1,-2.3000000000000003,96.03,1002
44,2019,1,1,22,0,0,0.9,-2.5,95.98,1002
45,2019,1,1,22,30,0,0.8,-2.4000000000000004,95.27,1002
46,2019,1,1,23,0,0,0.7000000000000001,-2.4000000000000004,94.4,1001
47,2019,1,1,23,30,0,0.7000000000000001,-2.4000000000000004,94.4,1001
48,2019,1,2,0,0,0,0.7000000000000001,-2.3000000000000003,92.98,1001
49,2019,1,2,0,30,0,0.6000000000000001,-2.2,92.3,1001
50,2019,1,2,1,0,0,0.5,-2.0,90.23,1002
51,2019,1,2,1,30,0,0.4,-1.9,89.57000000000001,1002
52,2019,1,2,2,0,0,0.3,-1.8,88.74,1001
53,2019,1,2,2,30,0,0.4,-1.8,88.74,1001
54,2019,1,2,3,0,0,0.5,-1.9,89.91,1001
55,2019,1,2,3,30,0,0.6000000000000001,-1.9,89.91,1001
56,2019,1,2,4,0,0,0.6000000000000001,-1.8,90.73,1000
57,2019,1,2,4,30,0,0.7000000000000001,-1.8,90.73,1000
58,2019,1,2,5,0,0,0.7000000000000001,-1.8,91.68,1000
59,2019,1,2,5,30,0,0.8,-1.8,91.68,1000
60,2019,1,2,6,0,0,0.9,-1.7000000000000002,91.46,1000
61,2019,1,2,6,30,0,1.0,-1.6,90.89,1001
62,2019,1,2,7,0,0,1.2000000000000002,-1.4,90.51,1001
63,2019,1,2,7,30,6,1.9,-0.8,86.63,1001
64,2019,1,2,8,0,15,2.5,-0.2,81.92,1001
65,2019,1,2,8,30,25,3.0,0.1,80.16,1001
66,2019,1,2,9,0,35,3.5,0.5,74.53,1000
67,2019,1,2,9,30,94,3.8,0.5,74.53,1000
68,2019,1,2,10,0,200,4.1000000000000005,0.6000000000000001,71.52,999
69,2019,1,2,10,30,258,4.4,0.6000000000000001,71.52,999
70,2019,1,2,11,0,255,4.6000000000000005,0.6000000000000001,70.46000000000001,998
71,2019,1,2,11,30,169,4.800000000000001,0.5,70.97,998
72,2019,1,2,12,0,87,5.0,0.4,71.09,998
73,2019,1,2,12,30,66,5.0,0.3,71.54,997
74,2019,1,2,13,0,78,4.9,0.2,72.38,996
75,2019,1,2,13,30,39,4.800000000000001,0.1,72.91,996
76,2019,1,2,14,0,26,4.6000000000000005,0.0,74.68,996
77,2019,1,2,14,30,21,4.3,-0.2,75.69,995
78,2019,1,2,15,0,16,3.9,-0.4,79.23,995
79,2019,1,2,15,30,12,3.5,-0.7000000000000001,80.98,995
80,2019,1,2,16,0,8,3.0,-1.0,85.51,995
81,2019,1,2,16,30,4,2.9000000000000004,-1.1,86.14,995
82,2019,1,2,17,0,0,2.8000000000000003,-1.3,88.81,995
83,2019,1,2,17,30,0,2.8000000000000003,-1.3,88.81,995
84,2019,1,2,18,0,0,3.2,-1.3,89.13,996
85,2019,1,2,18,30,0,3.1,-1.5,90.44,996
86,2019,1,2,19,0,0,3.1,-1.6,89.38,996
87,2019,1,2,19,30,0,3.0,-1.8,90.7,996
88,2019,1,2,20,0,0,2.9000000000000004,-2.1,89.28,997
89,2019,1,2,20,30,0,2.6,-2.3000000000000003,90.61,997
90,2019,1,2,21,0,0,2.3000000000000003,-2.6,89.61,997
91,2019,1,2,21,30,0,2.2,-2.7,90.27,997
92,2019,1,2,22,0,0,2.0,-2.9000000000000004,89.9,997
93,2019,1,2,22,30,0,2.0,-2.9000000000000004,89.81,996
94,2019,1,2,23,0,0,2.0,-3.0,89.35000000000001,996
95,2019,1,2,23,30,0,2.0,-3.0,89.35000000000001,996
96,2019,1,3,0,0,0,2.1,-3.0,88.45,997
97,2019,1,3,0,30,0,2.1,-3.0,88.45,997
98,2019,1,3,1,0,0,2.0,-3.1,88.64,997
99,2019,1,3,1,30,0,1.9,-3.2,89.31,997
100,2019,1,3,2,0,0,1.8,-3.3000000000000003,89.28,997
101,2019,1,3,2,30,0,1.8,-3.5,90.53,996
102,2019,1,3,3,0,0,1.7000000000000002,-3.7,90.21,996
103,2019,1,3,3,30,0,1.6,-4.1000000000000005,92.95,996
104,2019,1,3,4,0,0,1.4,-4.5,93.4,996
105,2019,1,3,4,30,0,1.4,-4.6000000000000005,94.11,996
106,2019,1,3,5,0,0,1.3,-4.7,94.11,996
107,2019,1,3,5,30,0,1.3,-4.7,94.11,996
108,2019,1,3,6,0,0,1.3,-4.7,93.87,997
109,2019,1,3,6,30,0,1.6,-4.4,91.77,997
110,2019,1,3,7,0,0,1.8,-4.1000000000000005,90.65,997
111,2019,1,3,7,30,26,2.3000000000000003,-3.1,84.12,997
112,2019,1,3,8,0,95,2.8000000000000003,-2.1,78.26,997
113,2019,1,3,8,30,174,3.0,-1.1,72.71000000000001,997
114,2019,1,3,9,0,251,3.2,-0.1,66.5,997
115,2019,1,3,9,30,321,3.3000000000000003,0.7000000000000001,62.77,997
116,2019,1,3,10,0,383,3.5,1.5,61.82,996
117,2019,1,3,10,30,434,3.5,2.1,59.23,996
118,2019,1,3,11,0,470,3.4000000000000004,2.8000000000000003,59.47,995
119,2019,1,3,11,30,491,3.4000000000000004,3.4000000000000004,56.95,994
120,2019,1,3,12,0,498,3.3000000000000003,4.0,55.98,994
121,2019,1,3,12,30,489,3.4000000000000004,4.2,55.21,994
122,2019,1,3,13,0,462,3.4000000000000004,4.4,56.03,993
123,2019,1,3,13,30,423,3.4000000000000004,4.3,56.48,994
124,2019,1,3,14,0,372,3.4000000000000004,4.2,59.29,994
125,2019,1,3,14,30,310,2.9000000000000004,3.4000000000000004,62.72,994
126,2019,1,3,15,0,238,2.3000000000000003,2.6,72.53,994
127,2019,1,3,15,30,159,2.1,0.9,81.89,994
128,2019,1,3,16,0,82,1.9,-0.8,83.19,995
129,2019,1,3,16,30,18,2.0,-1.2000000000000002,85.65,995
130,2019,1,3,17,0,0,2.0,-1.6,84.67,994
131,2019,1,3,17,30,0,2.0,-1.6,84.67,994
132,2019,1,3,18,0,0,1.8,-1.7000000000000002,84.58,994
133,2019,1,3,18,30,0,1.7000000000000002,-1.8,85.12,993
134,2019,1,3,19,0,0,1.6,-1.9,85.03,993
135,2019,1,3,19,30,0,1.9,-1.6,83.17,993
136,2019,1,3,20,0,0,2.2,-1.4,84.2,993
137,2019,1,3,20,30,0,2.3000000000000003,-1.2000000000000002,82.97,993
138,2019,1,3,21,0,0,2.4000000000000004,-1.0,83.91,993
139,2019,1,3,21,30,0,2.1,-1.1,84.44,992
140,2019,1,3,22,0,0,1.8,-1.3,85.51,992
141,2019,1,3,22,30,0,1.6,-1.4,86.14,992
142,2019,1,3,23,0,0,1.4,-1.4,84.7,991
143,2019,1,3,23,30,0,1.4,-1.6,85.95,991
144,2019,1,4,0,0,0,1.5,-1.8,86.98,991
145,2019,1,4,0,30,0,1.5,-1.9,87.62,991
146,2019,1,4,1,0,0,1.6,-1.9,85.62,991
147,2019,1,4,1,30,0,1.2000000000000002,-1.5,83.05,990
148,2019,1,4,2,0,0,0.9,-1.0,76.76,990
149,2019,1,4,2,30,0,0.9,-1.0,76.69,989
150,2019,1,4,3,0,0,0.8,-1.0,76.73,989
151,2019,1,4,3,30,0,1.0,-1.8,81.37,989
152,2019,1,4,4,0,0,1.2000000000000002,-2.6,87.41,989
153,2019,1,4,4,30,0,1.2000000000000002,-2.6,87.41,989
154,2019,1,4,5,0,0,1.3,-2.6,87.23,989
155,2019,1,4,5,30,0,1.2000000000000002,-2.2,84.69,989
156,2019,1,4,6,0,0,1.0,-1.8,80.0,989
157,2019,1,4,6,30,0,0.8,-1.4,77.61,988
158,2019,1,4,7,0,0,0.6000000000000001,-0.9,75.67,988
159,2019,1,4,7,30,6,1.0,0.2,69.85000000000001,988
160,2019,1,4,8,0,27,1.4,1.3,70.73,988
161,2019,1,4,8,30,29,1.6,2.1,66.73,987
162,2019,1,4,9,0,56,1.9,3.0,64.87,987
163,2019,1,4,9,30,73,1.8,4.0,60.46,987
164,2019,1,4,10,0,238,1.7000000000000002,5.1000000000000005,63.16,986
165,2019,1,4,10,30,248,1.8,6.2,58.48,985
166,2019,1,4,11,0,128,1.8,7.300000000000001,55.95,985
167,2019,1,4,11,30,96,1.7000000000000002,7.800000000000001,54.02,984
168,2019,1,4,12,0,106,1.5,8.4,53.2,984
169,2019,1,4,12,30,147,1.2000000000000002,7.800000000000001,55.4,984
170,2019,1,4,13,0,99,1.0,7.2,63.32,983
171,2019,1,4,13,30,65,1.0,6.6000000000000005,65.98,983
172,2019,1,4,14,0,46,1.0,6.0,67.19,983
173,2019,1,4,14,30,72,1.2000000000000002,5.2,71.02,983
174,2019,1,4,15,0,57,1.3,4.5,68.98,983
175,2019,1,4,15,30,37,1.4,3.6,73.47,983
176,2019,1,4,16,0,21,1.5,2.8000000000000003,75.85000000000001,983
177,2019,1,4,16,30,5,1.7000000000000002,2.5,77.48,983
178,2019,1,4,17,0,0,1.9,2.2,81.7,983
