,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.5,-1.5,92.1,987
1,2019,1,1,0,30,0,4.5,-1.8,94.35,989
2,2019,1,1,1,0,0,4.5,-2.2,90.12,990
3,2019,1,1,1,30,0,4.5,-2.4000000000000004,91.56,991
4,2019,1,1,2,0,0,4.5,-2.6,87.03,992
5,2019,1,1,2,30,0,4.6000000000000005,-2.9000000000000004,88.99,992
6,2019,1,1,3,0,0,4.7,-3.1,86.43,993
7,2019,1,1,3,30,0,4.800000000000001,-3.3000000000000003,87.73,993
8,2019,1,1,4,0,0,5.0,-3.5,85.16,993
9,2019,1,1,4,30,0,5.0,-3.8,87.18,994
10,2019,1,1,5,0,0,5.1000000000000005,-4.0,83.94,994
11,2019,1,1,5,30,0,4.9,-4.3,85.94,995
12,2019,1,1,6,0,0,4.6000000000000005,-4.6000000000000005,84.48,995
13,2019,1,1,6,30,0,4.3,-4.800000000000001,85.85000000000001,996
14,2019,1,1,7,0,0,4.1000000000000005,-5.0,84.83,997
15,2019,1,1,7,30,7,4.1000000000000005,-4.7,82.93,997
16,2019,1,1,8,0,31,4.1000000000000005,-4.4,82.67,998
17,2019,1,1,8,30,65,4.1000000000000005,-3.9,79.63,998
18,2019,1,1,9,0,104,4.1000000000000005,-3.5,80.84,998
19,2019,1,1,9,30,143,3.9,-3.0,77.88,998
20,2019,1,1,10,0,154,3.7,-2.6,80.05,998
21,2019,1,1,10,30,81,3.6,-2.2,77.72,998
22,2019,1,1,11,0,202,3.4000000000000004,-1.9,79.16,998
23,2019,1,1,11,30,256,3.3000000000000003,-1.8,78.58,998
24,2019,1,1,12,0,234,3.2,-1.6,78.82000000000001,998
25,2019,1,1,12,30,247,3.2,-1.6,78.82000000000001,998
26,2019,1,1,13,0,239,3.1,-1.6,78.8,998
27,2019,1,1,13,30,188,3.0,-1.7000000000000002,79.38,998
28,2019,1,1,14,0,153,2.9000000000000004,-1.9,79.68,998
29,2019,1,1,14,30,119,2.8000000000000003,-2.2,81.47,998
30,2019,1,1,15,0,96,2.7,-2.5,81.73,998
31,2019,1,1,15,30,74,2.6,-2.9000000000000004,84.19,998
32,2019,1,1,16,0,25,2.5,-3.4000000000000004,84.04,999
33,2019,1,1,16,30,4,2.6,-3.6,85.31,999
34,2019,1,1,17,0,0,2.6,-3.9,84.86,999
35,2019,1,1,17,30,0,2.6,-3.9,84.86,999
36,2019,1,1,18,0,0,2.5,-4.3,85.23,999
37,2019,1,1,18,30,0,2.4000000000000004,-4.5,86.52,999
38,2019,1,1,19,0,0,2.3000000000000003,-4.7,85.7,999
39,2019,1,1,19,30,0,2.2,-4.9,87.01,999
40,2019,1,1,20,0,0,2.1,-5.0,85.78,999
41,2019,1,1,20,30,0,1.9,-5.2,87.0,998
42,2019,1,1,21,0,0,1.8,-5.4,86.86,998
43,2019,1,1,21,30,0,1.6,-5.5,87.53,998
44,2019,1,1,22,0,0,1.4,-5.6000000000000005,87.52,998
45,2019,1,1,22,30,0,1.3,-5.7,88.19,998
46,2019,1,1,23,0,0,1.1,-5.800000000000001,88.05,997
47,2019,1,1,23,30,0,1.0,-5.9,88.72,997
48,2019,1,2,0,0,0,0.8,-6.0,88.54,997
49,2019,1,2,0,30,0,0.7000000000000001,-6.1000000000000005,89.22,997
50,2019,1,2,1,0,0,0.6000000000000001,-6.1000000000000005,88.52,997
51,2019,1,2,1,30,0,0.7000000000000001,-6.2,89.2,997
52,2019,1,2,2,0,0,0.8,-6.300000000000001,89.41,997
53,2019,1,2,2,30,0,0.9,-6.2,88.73,997
54,2019,1,2,3,0,0,1.0,-6.1000000000000005,89.3,996
55,2019,1,2,3,30,0,1.1,-5.800000000000001,87.28,996
56,2019,1,2,4,0,0,1.1,-5.6000000000000005,88.72,996
57,2019,1,2,4,30,0,1.2000000000000002,-5.300000000000001,86.64,995
58,2019,1,2,5,0,0,1.2000000000000002,-5.1000000000000005,88.28,995
59,2019,1,2,5,30,0,1.3,-4.9,86.96000000000001,995
60,2019,1,2,6,0,0,1.4,-4.7,88.37,995
61,2019,1,2,6,30,0,1.5,-4.6000000000000005,87.71000000000001,995
62,2019,1,2,7,0,0,1.7000000000000002,-4.4,89.14,995
63,2019,1,2,7,30,7,2.2,-3.6,83.95,995
64,2019,1,2,8,0,27,2.7,-2.9000000000000004,86.01,995
65,2019,1,2,8,30,55,3.3000000000000003,-2.2,81.67,995
66,2019,1,2,9,0,84,3.9,-1.6,82.21000000000001,994
67,2019,1,2,9,30,109,4.3,-1.3,80.42,994
68,2019,1,2,10,0,170,4.800000000000001,-1.0,76.63,994
69,2019,1,2,10,30,213,5.0,-1.0,76.56,993
70,2019,1,2,11,0,251,5.1000000000000005,-1.0,73.7,992
71,2019,1,2,11,30,175,5.300000000000001,-1.0,73.62,991
72,2019,1,2,12,0,213,5.4,-1.0,72.14,990
73,2019,1,2,12,30,233,5.5,-1.0,72.14,990
74,2019,1,2,13,0,219,5.6000000000000005,-1.0,71.43,989
75,2019,1,2,13,30,180,5.6000000000000005,-1.1,71.95,989
76,2019,1,2,14,0,143,5.6000000000000005,-1.2000000000000002,72.92,989
77,2019,1,2,14,30,118,5.300000000000001,-1.4,73.99,989
78,2019,1,2,15,0,98,5.0,-1.5,76.16,989
79,2019,1,2,15,30,56,4.7,-1.9,78.43,989
80,2019,1,2,16,0,24,4.4,-2.2,81.49,989
81,2019,1,2,16,30,3,4.5,-2.4000000000000004,82.7,989
82,2019,1,2,17,0,0,4.5,-2.6,83.95,989
83,2019,1,2,17,30,0,4.5,-2.6,83.95,989
84,2019,1,2,18,0,0,4.5,-3.2,85.54,989
85,2019,1,2,18,30,0,4.5,-3.4000000000000004,86.82000000000001,989
86,2019,1,2,19,0,0,4.5,-3.6,84.51,989
87,2019,1,2,19,30,0,4.2,-4.0,87.17,990
88,2019,1,2,20,0,0,3.8,-4.5,84.73,990
89,2019,1,2,20,30,0,3.5,-5.0,87.98,990
90,2019,1,2,21,0,0,3.1,-5.6000000000000005,87.04,990
91,2019,1,2,21,30,0,3.0,-5.800000000000001,88.37,990
92,2019,1,2,22,0,0,3.0,-6.0,88.04,990
93,2019,1,2,22,30,0,3.3000000000000003,-5.9,87.29,989
94,2019,1,2,23,0,0,3.6,-5.9,88.13,989
95,2019,1,2,23,30,0,3.8,-5.800000000000001,87.47,989
96,2019,1,3,0,0,0,4.0,-5.800000000000001,89.25,990
97,2019,1,3,0,30,0,4.1000000000000005,-5.800000000000001,89.25,990
98,2019,1,3,1,0,0,4.1000000000000005,-5.800000000000001,90.81,990
