,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,0.5,98.04,991
1,2019,1,1,0,30,0,3.9,0.3,99.57,992
2,2019,1,1,1,0,0,3.8,0.1,98.25,993
3,2019,1,1,1,30,0,3.6,0.0,99.06,994
4,2019,1,1,2,0,0,3.4000000000000004,-0.2,98.61,995
5,2019,1,1,2,30,0,3.0,-0.3,99.33,995
6,2019,1,1,3,0,0,2.6,-0.4,98.41,995
7,2019,1,1,3,30,0,2.2,-0.6000000000000001,99.85,995
8,2019,1,1,4,0,0,1.9,-0.7000000000000001,99.02,996
9,2019,1,1,4,30,0,1.7000000000000002,-0.8,99.74,996
10,2019,1,1,5,0,0,1.6,-0.8,98.38,996
11,2019,1,1,5,30,0,1.5,-0.8,98.48,997
12,2019,1,1,6,0,0,1.4,-0.9,97.59,997
13,2019,1,1,6,30,0,1.7000000000000002,-0.7000000000000001,96.27,998
14,2019,1,1,7,0,0,1.9,-0.6000000000000001,94.94,998
15,2019,1,1,7,30,6,2.4000000000000004,0.1,90.32,999
16,2019,1,1,8,0,21,2.9000000000000004,0.8,87.31,999
17,2019,1,1,8,30,40,2.9000000000000004,1.5,83.11,1000
18,2019,1,1,9,0,70,3.0,2.3000000000000003,80.10000000000001,1000
19,2019,1,1,9,30,83,2.7,3.0,76.22,1000
20,2019,1,1,10,0,55,2.5,3.7,75.57000000000001,1000
21,2019,1,1,10,30,56,2.1,4.1000000000000005,73.41,999
22,2019,1,1,11,0,58,1.8,4.5,73.08,999
23,2019,1,1,11,30,61,1.8,4.6000000000000005,72.57000000000001,999
24,2019,1,1,12,0,60,1.9,4.7,72.43,999
25,2019,1,1,12,30,64,2.0,4.7,72.43,999
26,2019,1,1,13,0,61,2.2,4.7,72.31,999
27,2019,1,1,13,30,45,2.3000000000000003,4.6000000000000005,72.82000000000001,999
28,2019,1,1,14,0,33,2.3000000000000003,4.4,73.33,999
29,2019,1,1,14,30,22,2.1,4.1000000000000005,74.89,999
30,2019,1,1,15,0,17,1.9,3.8,78.2,1000
31,2019,1,1,15,30,11,1.5,2.8000000000000003,83.91,1000
32,2019,1,1,16,0,6,1.1,1.9,90.86,1000
33,2019,1,1,16,30,1,1.3,1.5,93.49,1000
34,2019,1,1,17,0,0,1.4,1.0,92.34,1000
35,2019,1,1,17,30,0,1.4,1.0,92.34,1000
36,2019,1,1,18,0,0,1.7000000000000002,0.5,92.83,1001
37,2019,1,1,18,30,0,1.7000000000000002,0.2,94.87,1001
38,2019,1,1,19,0,0,1.7000000000000002,-0.2,94.41,1001
39,2019,1,1,19,30,0,1.7000000000000002,-0.5,96.49,1001
40,2019,1,1,20,0,0,1.6,-0.8,95.6,1001
41,2019,1,1,20,30,0,1.5,-1.1,97.72,1001
42,2019,1,1,21,0,0,1.3,-1.4,97.51,1001
43,2019,1,1,21,30,0,1.2000000000000002,-1.5,98.13,1000
44,2019,1,1,22,0,0,1.1,-1.7000000000000002,97.95,1000
45,2019,1,1,22,30,0,1.0,-1.8,98.68,1000
46,2019,1,1,23,0,0,0.9,-1.9,98.13,1000
47,2019,1,1,23,30,0,0.9,-1.9,98.13,1000
48,2019,1,2,0,0,0,0.8,-1.9,97.32,1000
49,2019,1,2,0,30,0,0.8,-1.8,96.6,1000
50,2019,1,2,1,0,0,0.7000000000000001,-1.6,94.49,1000
51,2019,1,2,1,30,0,0.7000000000000001,-1.5,93.8,1000
52,2019,1,2,2,0,0,0.6000000000000001,-1.4,92.6,1000
53,2019,1,2,2,30,0,0.6000000000000001,-1.3,91.93,1000
54,2019,1,2,3,0,0,0.6000000000000001,-1.3,91.6,999
55,2019,1,2,3,30,0,0.6000000000000001,-1.2000000000000002,90.93,999
56,2019,1,2,4,0,0,0.5,-1.1,90.49,999
57,2019,1,2,4,30,0,0.5,-1.1,90.49,999
58,2019,1,2,5,0,0,0.5,-1.0,89.99,999
59,2019,1,2,5,30,0,0.6000000000000001,-1.1,90.65,999
60,2019,1,2,6,0,0,0.7000000000000001,-1.1,91.01,999
61,2019,1,2,6,30,0,0.8,-1.0,90.35,999
62,2019,1,2,7,0,0,0.9,-1.0,92.4,999
63,2019,1,2,7,30,5,1.3,-0.4,88.53,1000
64,2019,1,2,8,0,15,1.8,0.2,86.32000000000001,1000
65,2019,1,2,8,30,23,2.3000000000000003,0.6000000000000001,83.78,999
66,2019,1,2,9,0,30,2.7,0.9,80.22,999
67,2019,1,2,9,30,40,3.0,1.1,79.08,999
68,2019,1,2,10,0,97,3.4000000000000004,1.3,75.34,998
69,2019,1,2,10,30,174,3.8,1.3,75.34,998
70,2019,1,2,11,0,131,4.2,1.3,73.33,997
71,2019,1,2,11,30,95,4.4,1.2000000000000002,73.86,997
72,2019,1,2,12,0,101,4.7,1.1,72.73,996
73,2019,1,2,12,30,61,4.7,0.9,73.79,996
74,2019,1,2,13,0,46,4.7,0.7000000000000001,73.61,995
75,2019,1,2,13,30,33,4.5,0.6000000000000001,74.14,995
76,2019,1,2,14,0,33,4.3,0.4,74.78,994
77,2019,1,2,14,30,20,4.0,0.1,76.42,994
78,2019,1,2,15,0,15,3.6,-0.1,78.91,994
79,2019,1,2,15,30,11,3.0,-0.4,80.65,994
80,2019,1,2,16,0,7,2.5,-0.8,85.73,994
81,2019,1,2,16,30,2,2.4000000000000004,-1.0,86.99,994
82,2019,1,2,17,0,0,2.2,-1.1,88.78,994
83,2019,1,2,17,30,0,2.2,-1.1,88.78,994
84,2019,1,2,18,0,0,2.5,-1.2000000000000002,89.68,994
85,2019,1,2,18,30,0,2.7,-1.2000000000000002,89.77,995
