,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.2,2.1,96.96,1000
1,2019,1,1,0,30,0,3.2,1.8,99.15,1001
2,2019,1,1,1,0,0,3.1,1.6,99.26,1002
3,2019,1,1,1,30,0,2.7,1.0,100.0,1002
4,2019,1,1,2,0,0,2.4000000000000004,0.5,100.0,1003
5,2019,1,1,2,30,0,2.3000000000000003,0.3,100.0,1003
6,2019,1,1,3,0,0,2.1,0.0,100.0,1003
7,2019,1,1,3,30,0,2.3000000000000003,0.0,100.0,1003
8,2019,1,1,4,0,0,2.5,-0.1,100.0,1003
9,2019,1,1,4,30,0,2.6,-0.1,100.0,1004
10,2019,1,1,5,0,0,2.7,-0.2,99.48,1004
11,2019,1,1,5,30,0,2.5,-0.4,100.0,1004
12,2019,1,1,6,0,0,2.3000000000000003,-0.6000000000000001,100.0,1005
13,2019,1,1,6,30,0,2.2,-0.6000000000000001,100.0,1005
14,2019,1,1,7,0,0,2.1,-0.6000000000000001,98.94,1006
15,2019,1,1,7,30,5,2.5,0.3,92.68,1006
16,2019,1,1,8,0,13,2.9000000000000004,1.3,89.49,1007
17,2019,1,1,8,30,23,2.8000000000000003,2.5,82.15,1007
18,2019,1,1,9,0,30,2.7,3.8,79.54,1007
19,2019,1,1,9,30,32,2.4000000000000004,4.800000000000001,74.17,1007
20,2019,1,1,10,0,51,2.1,5.800000000000001,73.64,1007
21,2019,1,1,10,30,55,2.2,6.1000000000000005,72.13,1007
22,2019,1,1,11,0,64,2.2,6.4,72.08,1007
23,2019,1,1,11,30,77,2.6,6.4,72.01,1006
24,2019,1,1,12,0,77,2.9000000000000004,6.300000000000001,72.54,1006
25,2019,1,1,12,30,70,2.9000000000000004,6.2,73.04,1006
26,2019,1,1,13,0,47,2.9000000000000004,6.1000000000000005,72.72,1006
27,2019,1,1,13,30,41,2.9000000000000004,5.9,73.73,1006
28,2019,1,1,14,0,48,2.8000000000000003,5.7,73.72,1006
29,2019,1,1,14,30,32,2.7,5.300000000000001,75.87,1007
30,2019,1,1,15,0,33,2.5,5.0,77.39,1007
31,2019,1,1,15,30,19,1.9,4.2,81.84,1007
32,2019,1,1,16,0,15,1.4,3.4000000000000004,89.46000000000001,1007
33,2019,1,1,16,30,3,1.4,2.9000000000000004,92.67,1007
34,2019,1,1,17,0,0,1.3,2.4000000000000004,93.02,1008
35,2019,1,1,17,30,0,1.3,2.4000000000000004,93.02,1008
36,2019,1,1,18,0,0,1.5,1.9,93.81,1008
37,2019,1,1,18,30,0,1.5,1.6,95.84,1008
38,2019,1,1,19,0,0,1.6,1.4,94.89,1008
39,2019,1,1,19,30,0,1.6,1.3,95.57,1008
40,2019,1,1,20,0,0,1.5,1.1,95.15,1008
41,2019,1,1,20,30,0,1.5,1.0,95.83,1008
42,2019,1,1,21,0,0,1.5,0.8,95.72,1008
43,2019,1,1,21,30,0,1.4,0.7000000000000001,96.41,1008
44,2019,1,1,22,0,0,1.3,0.6000000000000001,95.4,1008
45,2019,1,1,22,30,0,1.2000000000000002,0.4,96.69,1007
46,2019,1,1,23,0,0,1.2000000000000002,0.3,95.42,1007
47,2019,1,1,23,30,0,1.1,0.2,96.12,1007
48,2019,1,2,0,0,0,1.1,0.1,95.65,1007
49,2019,1,2,0,30,0,1.1,0.1,95.65,1007
50,2019,1,2,1,0,0,1.0,0.0,95.29,1008
51,2019,1,2,1,30,0,1.0,-0.1,95.89,1007
52,2019,1,2,2,0,0,1.0,-0.1,94.72,1007
53,2019,1,2,2,30,0,1.0,-0.2,95.41,1007
54,2019,1,2,3,0,0,1.0,-0.2,94.72,1007
55,2019,1,2,3,30,0,1.0,-0.2,94.72,1007
56,2019,1,2,4,0,0,1.0,-0.2,94.31,1006
57,2019,1,2,4,30,0,1.0,-0.3,95.0,1006
58,2019,1,2,5,0,0,1.0,-0.3,94.39,1006
59,2019,1,2,5,30,0,0.9,-0.3,94.49,1007
60,2019,1,2,6,0,0,0.9,-0.3,94.01,1007
61,2019,1,2,6,30,0,0.9,-0.2,93.33,1007
