,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,0.7000000000000001,98.14,997
1,2019,1,1,0,30,0,4.1000000000000005,0.5,99.66,998
2,2019,1,1,1,0,0,3.9,0.3,98.74,999
3,2019,1,1,1,30,0,3.6,0.2,99.46,999
4,2019,1,1,2,0,0,3.3000000000000003,0.1,97.72,1000
5,2019,1,1,2,30,0,3.1,0.0,98.43,1000
6,2019,1,1,3,0,0,2.9000000000000004,-0.2,96.27,1000
7,2019,1,1,3,30,0,2.6,-0.6000000000000001,99.12,1000
8,2019,1,1,4,0,0,2.2,-0.9,98.52,1001
9,2019,1,1,4,30,0,2.1,-1.3,100.0,1001
10,2019,1,1,5,0,0,1.9,-1.7000000000000002,100.0,1001
11,2019,1,1,5,30,0,1.8,-2.0,100.0,1002
12,2019,1,1,6,0,0,1.7000000000000002,-2.2,100.0,1002
13,2019,1,1,6,30,0,1.9,-2.0,100.0,1003
14,2019,1,1,7,0,0,2.0,-1.7000000000000002,99.71,1003
15,2019,1,1,7,30,4,2.6,-0.5,91.33,1003
16,2019,1,1,8,0,15,3.2,0.7000000000000001,88.65,1004
17,2019,1,1,8,30,27,3.0,1.7000000000000002,82.51,1004
18,2019,1,1,9,0,37,2.8000000000000003,2.7,81.66,1004
19,2019,1,1,9,30,35,2.5,3.5,77.18,1004
20,2019,1,1,10,0,57,2.3000000000000003,4.2,76.72,1004
21,2019,1,1,10,30,57,2.2,4.5,75.12,1004
22,2019,1,1,11,0,63,2.2,4.800000000000001,74.75,1004
23,2019,1,1,11,30,70,2.3000000000000003,4.800000000000001,74.75,1004
24,2019,1,1,12,0,79,2.5,4.9,73.78,1004
25,2019,1,1,12,30,68,2.6,4.800000000000001,74.3,1004
26,2019,1,1,13,0,56,2.7,4.800000000000001,73.18,1004
27,2019,1,1,13,30,44,2.6,4.7,73.69,1004
28,2019,1,1,14,0,39,2.6,4.5,73.39,1004
29,2019,1,1,14,30,25,2.5,4.2,74.95,1004
30,2019,1,1,15,0,17,2.3000000000000003,3.9,77.01,1004
31,2019,1,1,15,30,12,1.7000000000000002,3.0,82.13,1005
32,2019,1,1,16,0,6,1.2000000000000002,2.1,89.68,1005
33,2019,1,1,16,30,2,1.3,1.6,92.93,1005
34,2019,1,1,17,0,0,1.3,1.1,91.96,1005
35,2019,1,1,17,30,0,1.3,1.1,91.96,1005
36,2019,1,1,18,0,0,1.6,0.6000000000000001,92.59,1006
37,2019,1,1,18,30,0,1.6,0.4,93.94,1006
38,2019,1,1,19,0,0,1.7000000000000002,0.1,93.22,1006
39,2019,1,1,19,30,0,1.6,-0.2,95.27,1006
40,2019,1,1,20,0,0,1.6,-0.4,94.0,1006
41,2019,1,1,20,30,0,1.5,-0.6000000000000001,95.28,1005
42,2019,1,1,21,0,0,1.4,-0.9,95.17,1005
43,2019,1,1,21,30,0,1.3,-1.0,95.87,1005
44,2019,1,1,22,0,0,1.2000000000000002,-1.1,94.82,1005
45,2019,1,1,22,30,0,1.1,-1.3,96.22,1005
46,2019,1,1,23,0,0,1.1,-1.5,95.5,1005
47,2019,1,1,23,30,0,1.0,-1.7000000000000002,96.92,1005
48,2019,1,2,0,0,0,1.0,-1.9,96.58,1005
49,2019,1,2,0,30,0,0.9,-1.9,96.58,1005
50,2019,1,2,1,0,0,0.9,-1.9,95.51,1005
