,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,0.6000000000000001,98.56,999
1,2019,1,1,0,30,0,4.0,0.5,99.27,999
2,2019,1,1,1,0,0,3.9,0.3,98.13,1000
3,2019,1,1,1,30,0,3.6,0.2,98.95,1001
4,2019,1,1,2,0,0,3.3000000000000003,0.0,97.31,1001
5,2019,1,1,2,30,0,3.1,-0.2,98.73,1001
6,2019,1,1,3,0,0,2.9000000000000004,-0.4,96.54,1001
7,2019,1,1,3,30,0,2.6,-0.7000000000000001,98.77,1002
8,2019,1,1,4,0,0,2.3000000000000003,-1.1,98.76,1002
9,2019,1,1,4,30,0,2.1,-1.4,100.0,1002
10,2019,1,1,5,0,0,1.9,-1.8,100.0,1003
11,2019,1,1,5,30,0,1.9,-2.0,100.0,1003
12,2019,1,1,6,0,0,1.8,-2.2,100.0,1003
13,2019,1,1,6,30,0,2.0,-1.8,99.78,1004
14,2019,1,1,7,0,0,2.1,-1.5,97.71,1004
15,2019,1,1,7,30,5,2.7,-0.4,90.26,1005
16,2019,1,1,8,0,11,3.2,0.7000000000000001,88.01,1005
17,2019,1,1,8,30,21,3.0,1.7000000000000002,81.91,1005
18,2019,1,1,9,0,30,2.8000000000000003,2.6,81.62,1006
19,2019,1,1,9,30,36,2.6,3.3000000000000003,77.68,1006
20,2019,1,1,10,0,48,2.4000000000000004,4.1000000000000005,76.5,1006
21,2019,1,1,10,30,53,2.3000000000000003,4.3,75.43,1006
22,2019,1,1,11,0,63,2.2,4.6000000000000005,74.76,1006
23,2019,1,1,11,30,80,2.4000000000000004,4.7,74.17,1005
24,2019,1,1,12,0,74,2.6,4.7,73.64,1005
25,2019,1,1,12,30,72,2.6,4.7,73.64,1005
26,2019,1,1,13,0,73,2.7,4.7,72.55,1005
27,2019,1,1,13,30,74,2.7,4.6000000000000005,73.06,1005
28,2019,1,1,14,0,50,2.7,4.4,72.8,1005
29,2019,1,1,14,30,31,2.5,4.1000000000000005,74.35000000000001,1005
30,2019,1,1,15,0,30,2.4000000000000004,3.8,76.34,1006
31,2019,1,1,15,30,20,1.8,2.9000000000000004,81.34,1006
32,2019,1,1,16,0,11,1.3,2.0,88.92,1006
33,2019,1,1,16,30,5,1.4,1.5,92.15,1006
34,2019,1,1,17,0,0,1.4,1.0,91.23,1006
35,2019,1,1,17,30,0,1.4,1.0,91.23,1006
36,2019,1,1,18,0,0,1.7000000000000002,0.5,91.58,1007
37,2019,1,1,18,30,0,1.7000000000000002,0.2,93.58,1007
38,2019,1,1,19,0,0,1.8,0.0,92.17,1007
39,2019,1,1,19,30,0,1.7000000000000002,-0.3,94.19,1007
40,2019,1,1,20,0,0,1.6,-0.6000000000000001,93.51,1007
41,2019,1,1,20,30,0,1.5,-0.8,94.88,1007
42,2019,1,1,21,0,0,1.4,-1.1,94.61,1007
43,2019,1,1,21,30,0,1.3,-1.2000000000000002,95.21,1006
44,2019,1,1,22,0,0,1.3,-1.4,94.7,1006
45,2019,1,1,22,30,0,1.2000000000000002,-1.6,96.1,1006
46,2019,1,1,23,0,0,1.1,-1.8,95.2,1006
47,2019,1,1,23,30,0,1.1,-1.9,95.9,1006
48,2019,1,2,0,0,0,1.0,-2.1,95.72,1006
49,2019,1,2,0,30,0,1.0,-2.1,95.72,1006
50,2019,1,2,1,0,0,1.0,-2.0,94.09,1006
51,2019,1,2,1,30,0,1.0,-2.1,94.79,1006
52,2019,1,2,2,0,0,1.1,-2.1,94.05,1006
53,2019,1,2,2,30,0,1.1,-2.1,94.05,1006
54,2019,1,2,3,0,0,1.1,-2.1,93.03,1005
55,2019,1,2,3,30,0,1.1,-2.1,93.03,1005
56,2019,1,2,4,0,0,1.0,-2.1,92.79,1005
57,2019,1,2,4,30,0,0.9,-2.1,92.79,1005
58,2019,1,2,5,0,0,0.9,-2.1,92.11,1005
59,2019,1,2,5,30,0,0.9,-2.1,92.11,1005
60,2019,1,2,6,0,0,0.8,-2.1,91.17,1005
61,2019,1,2,6,30,0,0.8,-1.9,89.83,1005
62,2019,1,2,7,0,0,0.8,-1.8,90.52,1006
63,2019,1,2,7,30,4,1.2000000000000002,-1.2000000000000002,86.62,1006
64,2019,1,2,8,0,7,1.5,-0.6000000000000001,82.28,1006
65,2019,1,2,8,30,9,1.7000000000000002,-0.1,79.26,1005
66,2019,1,2,9,0,19,2.0,0.3,75.04,1005
67,2019,1,2,9,30,51,2.3000000000000003,0.6000000000000001,73.43,1005
68,2019,1,2,10,0,89,2.7,0.9,71.16,1004
69,2019,1,2,10,30,115,3.1,1.0,70.65,1004
70,2019,1,2,11,0,162,3.5,1.1,70.68,1004
71,2019,1,2,11,30,122,3.7,1.2000000000000002,70.10000000000001,1003
72,2019,1,2,12,0,73,3.8,1.2000000000000002,71.09,1003
73,2019,1,2,12,30,45,3.7,1.2000000000000002,71.02,1002
74,2019,1,2,13,0,45,3.7,1.1,72.83,1001
75,2019,1,2,13,30,28,3.5,1.0,73.35000000000001,1001
76,2019,1,2,14,0,22,3.4000000000000004,0.9,75.63,1001
77,2019,1,2,14,30,17,3.1,0.7000000000000001,76.65,1000
78,2019,1,2,15,0,22,2.8000000000000003,0.5,80.9,1000
79,2019,1,2,15,30,17,2.4000000000000004,0.1,83.27,1000
80,2019,1,2,16,0,11,2.0,-0.3,88.09,1000
81,2019,1,2,16,30,6,2.0,-0.5,89.38,1000
82,2019,1,2,17,0,0,2.1,-0.7000000000000001,90.38,1000
83,2019,1,2,17,30,0,2.1,-0.7000000000000001,90.38,1000
84,2019,1,2,18,0,0,2.2,-1.0,91.79,1001
85,2019,1,2,18,30,0,2.2,-1.1,92.46,1001
86,2019,1,2,19,0,0,2.2,-1.3,91.87,1001
87,2019,1,2,19,30,0,2.2,-1.5,93.32,1002
88,2019,1,2,20,0,0,2.2,-1.7000000000000002,91.69,1002
89,2019,1,2,20,30,0,1.9,-2.0,93.74,1002
