,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.3,-1.1,99.29,988
1,2019,1,1,0,30,0,4.1000000000000005,-1.2000000000000002,100.0,989
2,2019,1,1,1,0,0,4.0,-1.2000000000000002,97.92,990
3,2019,1,1,1,30,0,3.6,-1.3,98.74,991
4,2019,1,1,2,0,0,3.3000000000000003,-1.3,97.56,991
5,2019,1,1,2,30,0,2.9000000000000004,-1.4,98.37,992
6,2019,1,1,3,0,0,2.6,-1.5,97.86,992
7,2019,1,1,3,30,0,2.4000000000000004,-1.7000000000000002,99.3,992
8,2019,1,1,4,0,0,2.2,-1.9,97.06,992
9,2019,1,1,4,30,0,2.1,-2.2,99.33,993
10,2019,1,1,5,0,0,2.0,-2.4000000000000004,95.74,993
11,2019,1,1,5,30,0,2.1,-2.4000000000000004,95.83,994
12,2019,1,1,6,0,0,2.3000000000000003,-2.5,91.7,994
13,2019,1,1,6,30,0,2.6,-2.4000000000000004,91.12,995
14,2019,1,1,7,0,0,2.9000000000000004,-2.3000000000000003,88.08,996
15,2019,1,1,7,30,2,3.4000000000000004,-1.8,84.89,996
16,2019,1,1,8,0,8,3.8,-1.4,82.03,997
17,2019,1,1,8,30,15,3.7,-0.8,78.51,997
18,2019,1,1,9,0,23,3.7,-0.2,77.31,997
19,2019,1,1,9,30,30,3.4000000000000004,0.5,73.49,997
20,2019,1,1,10,0,46,3.1,1.1,74.07000000000001,997
21,2019,1,1,10,30,72,2.8000000000000003,1.6,71.46000000000001,997
22,2019,1,1,11,0,77,2.5,2.0,71.84,997
23,2019,1,1,11,30,82,2.4000000000000004,2.3000000000000003,70.32000000000001,997
24,2019,1,1,12,0,90,2.2,2.5,70.42,996
25,2019,1,1,12,30,89,2.3000000000000003,2.6,69.92,996
26,2019,1,1,13,0,71,2.5,2.6,70.06,996
27,2019,1,1,13,30,54,2.6,2.4000000000000004,71.13,997
28,2019,1,1,14,0,39,2.7,2.2,71.47,997
29,2019,1,1,14,30,33,2.3000000000000003,1.8,73.54,997
30,2019,1,1,15,0,27,2.0,1.3,78.4,997
31,2019,1,1,15,30,17,1.7000000000000002,0.2,84.86,997
32,2019,1,1,16,0,8,1.3,-1.0,90.23,997
