,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.7,-1.2000000000000002,96.62,994
1,2019,1,1,0,30,0,3.5,-1.2000000000000002,96.71,995
2,2019,1,1,1,0,0,3.3000000000000003,-1.2000000000000002,96.29,996
3,2019,1,1,1,30,0,2.9000000000000004,-1.2000000000000002,96.29,996
4,2019,1,1,2,0,0,2.6,-1.2000000000000002,96.02,997
5,2019,1,1,2,30,0,2.5,-1.1,95.32,997
6,2019,1,1,3,0,0,2.4000000000000004,-1.1,95.31,997
7,2019,1,1,3,30,0,2.5,-1.1,95.31,997
8,2019,1,1,4,0,0,2.5,-1.0,94.12,998
9,2019,1,1,4,30,0,2.6,-1.0,94.12,998
10,2019,1,1,5,0,0,2.7,-1.0,92.24,999
11,2019,1,1,5,30,0,2.9000000000000004,-1.0,92.24,999
12,2019,1,1,6,0,0,3.0,-1.0,88.69,1000
13,2019,1,1,6,30,0,3.2,-1.1,89.44,1001
14,2019,1,1,7,0,0,3.3000000000000003,-1.2000000000000002,85.52,1001
15,2019,1,1,7,30,3,3.5,-1.0,84.36,1002
16,2019,1,1,8,0,8,3.8,-0.8,79.85000000000001,1002
17,2019,1,1,8,30,17,3.7,-0.5,78.12,1002
18,2019,1,1,9,0,27,3.6,-0.2,72.49,1003
19,2019,1,1,9,30,24,3.3000000000000003,0.1,70.93,1003
20,2019,1,1,10,0,32,3.0,0.4,68.9,1003
21,2019,1,1,10,30,39,2.7,0.7000000000000001,67.42,1003
22,2019,1,1,11,0,43,2.4000000000000004,1.0,67.01,1003
23,2019,1,1,11,30,47,2.4000000000000004,1.1,66.53,1003
24,2019,1,1,12,0,46,2.3000000000000003,1.2000000000000002,66.9,1002
25,2019,1,1,12,30,54,2.4000000000000004,1.2000000000000002,66.9,1002
26,2019,1,1,13,0,54,2.5,1.1,67.56,1002
27,2019,1,1,13,30,50,2.6,0.9,68.54,1002
28,2019,1,1,14,0,44,2.6,0.7000000000000001,69.2,1002
29,2019,1,1,14,30,24,2.5,0.4,70.71000000000001,1002
30,2019,1,1,15,0,17,2.3000000000000003,0.0,73.84,1003
