,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,2.7,2.2,98.57,1001
1,2019,1,1,0,30,0,2.6,2.0,100.0,1002
2,2019,1,1,1,0,0,2.5,1.7000000000000002,100.0,1002
3,2019,1,1,1,30,0,2.4000000000000004,1.3,100.0,1003
4,2019,1,1,2,0,0,2.2,0.9,100.0,1003
5,2019,1,1,2,30,0,2.2,0.7000000000000001,100.0,1003
6,2019,1,1,3,0,0,2.3000000000000003,0.4,100.0,1003
7,2019,1,1,3,30,0,2.5,0.3,100.0,1003
8,2019,1,1,4,0,0,2.8000000000000003,0.2,100.0,1004
9,2019,1,1,4,30,0,2.7,0.0,100.0,1004
10,2019,1,1,5,0,0,2.7,-0.2,100.0,1004
11,2019,1,1,5,30,0,2.5,-0.4,100.0,1005
12,2019,1,1,6,0,0,2.4000000000000004,-0.5,99.92,1005
13,2019,1,1,6,30,0,2.4000000000000004,-0.5,100.0,1006
14,2019,1,1,7,0,0,2.4000000000000004,-0.5,97.98,1006
15,2019,1,1,7,30,7,2.9000000000000004,0.5,91.22,1007
16,2019,1,1,8,0,17,3.4000000000000004,1.5,87.7,1007
17,2019,1,1,8,30,31,3.4000000000000004,2.5,81.67,1007
18,2019,1,1,9,0,45,3.5,3.6,79.39,1008
19,2019,1,1,9,30,40,3.3000000000000003,4.5,74.53,1008
20,2019,1,1,10,0,45,3.1,5.5,73.27,1008
21,2019,1,1,10,30,53,3.1,5.7,72.19,1007
22,2019,1,1,11,0,54,3.1,6.0,72.0,1007
23,2019,1,1,11,30,67,3.3000000000000003,5.9,72.5,1007
24,2019,1,1,12,0,100,3.5,5.9,72.26,1007
25,2019,1,1,12,30,108,3.5,5.7,73.27,1007
26,2019,1,1,13,0,60,3.5,5.5,73.17,1007
27,2019,1,1,13,30,66,3.4000000000000004,5.300000000000001,74.19,1007
28,2019,1,1,14,0,56,3.4000000000000004,5.1000000000000005,74.06,1007
29,2019,1,1,14,30,44,3.2,4.800000000000001,75.62,1007
30,2019,1,1,15,0,46,3.0,4.5,76.53,1007
31,2019,1,1,15,30,35,2.4000000000000004,3.7,81.02,1008
32,2019,1,1,16,0,15,1.7000000000000002,3.0,87.48,1008
33,2019,1,1,16,30,8,1.6,2.4000000000000004,91.28,1008
34,2019,1,1,17,0,0,1.4,1.8,92.73,1008
35,2019,1,1,17,30,0,1.4,1.8,92.73,1008
36,2019,1,1,18,0,0,1.5,1.3,93.75,1009
37,2019,1,1,18,30,0,1.6,1.1,95.11,1009
38,2019,1,1,19,0,0,1.6,1.0,94.26,1009
39,2019,1,1,19,30,0,1.7000000000000002,0.9,94.94,1009
40,2019,1,1,20,0,0,1.7000000000000002,0.8,94.82,1009
41,2019,1,1,20,30,0,1.7000000000000002,0.7000000000000001,95.51,1009
42,2019,1,1,21,0,0,1.8,0.7000000000000001,94.78,1008
43,2019,1,1,21,30,0,1.7000000000000002,0.6000000000000001,95.47,1008
44,2019,1,1,22,0,0,1.7000000000000002,0.5,95.47,1008
45,2019,1,1,22,30,0,1.6,0.3,96.86,1008
46,2019,1,1,23,0,0,1.5,0.2,95.93,1008
47,2019,1,1,23,30,0,1.5,0.1,96.63,1008
48,2019,1,2,0,0,0,1.5,-0.1,96.45,1008
49,2019,1,2,0,30,0,1.6,-0.1,96.45,1008
50,2019,1,2,1,0,0,1.6,-0.2,96.0,1008
51,2019,1,2,1,30,0,1.7000000000000002,-0.2,96.0,1008
52,2019,1,2,2,0,0,1.7000000000000002,-0.3,95.38,1008
53,2019,1,2,2,30,0,1.7000000000000002,-0.4,95.98,1007
54,2019,1,2,3,0,0,1.7000000000000002,-0.4,94.75,1007
55,2019,1,2,3,30,0,1.7000000000000002,-0.5,95.45,1007
56,2019,1,2,4,0,0,1.6,-0.5,94.57,1007
57,2019,1,2,4,30,0,1.4,-0.5,94.57,1007
58,2019,1,2,5,0,0,1.3,-0.6000000000000001,94.64,1007
59,2019,1,2,5,30,0,1.1,-0.6000000000000001,94.64,1007
60,2019,1,2,6,0,0,1.0,-0.6000000000000001,94.3,1007
61,2019,1,2,6,30,0,1.0,-0.5,93.62,1007
62,2019,1,2,7,0,0,0.9,-0.5,93.95,1008
63,2019,1,2,7,30,9,1.1,0.0,90.6,1008
64,2019,1,2,8,0,22,1.3,0.4,86.16,1008
65,2019,1,2,8,30,36,1.2000000000000002,0.8,83.71000000000001,1008
66,2019,1,2,9,0,52,1.0,1.2000000000000002,80.75,1008
67,2019,1,2,9,30,43,1.3,1.7000000000000002,77.83,1007
68,2019,1,2,10,0,57,1.6,2.1,76.44,1007
69,2019,1,2,10,30,97,2.0,2.2,75.89,1007
70,2019,1,2,11,0,120,2.4000000000000004,2.3000000000000003,75.83,1006
71,2019,1,2,11,30,140,2.5,2.4000000000000004,75.29,1006
72,2019,1,2,12,0,139,2.6,2.4000000000000004,75.24,1005
73,2019,1,2,12,30,136,2.6,2.4000000000000004,75.16,1004
74,2019,1,2,13,0,162,2.5,2.4000000000000004,75.13,1004
75,2019,1,2,13,30,144,2.4000000000000004,2.3000000000000003,75.59,1003
76,2019,1,2,14,0,92,2.3000000000000003,2.3000000000000003,76.31,1003
77,2019,1,2,14,30,91,2.0,2.0,77.96000000000001,1003
78,2019,1,2,15,0,70,1.6,1.8,83.7,1003
79,2019,1,2,15,30,54,1.4,1.3,86.75,1003
80,2019,1,2,16,0,30,1.2000000000000002,0.8,91.2,1002
81,2019,1,2,16,30,10,1.3,0.6000000000000001,92.61,1003
82,2019,1,2,17,0,0,1.4,0.4,92.09,1003
