,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.3,-1.3,92.4,993
1,2019,1,1,0,30,0,4.2,-1.3,92.49,994
2,2019,1,1,1,0,0,4.1000000000000005,-1.2000000000000002,91.93,995
3,2019,1,1,1,30,0,3.9,-1.4,93.29,995
4,2019,1,1,2,0,0,3.8,-1.5,93.34,996
5,2019,1,1,2,30,0,3.7,-1.6,94.03,996
6,2019,1,1,3,0,0,3.7,-1.7000000000000002,93.38,996
7,2019,1,1,3,30,0,3.9,-1.7000000000000002,93.47,997
8,2019,1,1,4,0,0,4.0,-1.7000000000000002,90.12,997
9,2019,1,1,4,30,0,4.1000000000000005,-1.9,91.45,997
10,2019,1,1,5,0,0,4.3,-2.0,86.53,998
11,2019,1,1,5,30,0,4.3,-2.2,87.9,999
12,2019,1,1,6,0,0,4.4,-2.4000000000000004,83.25,999
13,2019,1,1,6,30,0,4.4,-2.6,84.57000000000001,1000
14,2019,1,1,7,0,0,4.4,-2.7,80.78,1000
15,2019,1,1,7,30,1,4.4,-2.5,79.67,1001
16,2019,1,1,8,0,5,4.4,-2.3000000000000003,76.54,1001
17,2019,1,1,8,30,11,4.3,-2.1,75.42,1001
18,2019,1,1,9,0,18,4.3,-1.8,72.84,1002
19,2019,1,1,9,30,26,4.0,-1.5,71.26,1002
20,2019,1,1,10,0,35,3.8,-1.3,70.93,1002
21,2019,1,1,10,30,54,3.6,-1.1,69.89,1002
22,2019,1,1,11,0,57,3.4000000000000004,-1.0,70.46000000000001,1002
23,2019,1,1,11,30,55,3.4000000000000004,-1.0,70.39,1001
24,2019,1,1,12,0,53,3.3000000000000003,-0.9,70.41,1001
25,2019,1,1,12,30,57,3.4000000000000004,-1.0,70.93,1001
26,2019,1,1,13,0,63,3.4000000000000004,-1.1,71.25,1001
27,2019,1,1,13,30,52,3.4000000000000004,-1.3,72.3,1001
28,2019,1,1,14,0,56,3.3000000000000003,-1.5,72.36,1001
29,2019,1,1,14,30,27,3.2,-1.8,73.97,1001
30,2019,1,1,15,0,20,3.1,-2.1,74.25,1001
31,2019,1,1,15,30,14,2.9000000000000004,-2.5,76.55,1002
32,2019,1,1,16,0,8,2.7,-3.0,77.97,1002
33,2019,1,1,16,30,5,2.6,-3.4000000000000004,80.33,1002
34,2019,1,1,17,0,0,2.6,-3.8,81.14,1002
35,2019,1,1,17,30,0,2.6,-3.8,81.14,1002
36,2019,1,1,18,0,0,2.6,-4.2,81.75,1002
37,2019,1,1,18,30,0,2.6,-4.4,82.99,1002
38,2019,1,1,19,0,0,2.5,-4.6000000000000005,82.61,1002
39,2019,1,1,19,30,0,2.3000000000000003,-4.800000000000001,83.86,1002
40,2019,1,1,20,0,0,2.2,-5.0,83.98,1002
41,2019,1,1,20,30,0,2.1,-5.2,85.17,1001
42,2019,1,1,21,0,0,2.0,-5.300000000000001,84.59,1001
43,2019,1,1,21,30,0,1.9,-5.5,85.89,1001
44,2019,1,1,22,0,0,1.7000000000000002,-5.6000000000000005,85.44,1001
45,2019,1,1,22,30,0,1.7000000000000002,-5.7,86.01,1000
46,2019,1,1,23,0,0,1.6,-5.7,85.26,1000
47,2019,1,1,23,30,0,1.6,-5.7,85.26,1000
48,2019,1,2,0,0,0,1.6,-5.7,84.2,1000
49,2019,1,2,0,30,0,1.7000000000000002,-5.7,84.2,1000
50,2019,1,2,1,0,0,1.8,-5.6000000000000005,83.02,1000
51,2019,1,2,1,30,0,1.8,-5.6000000000000005,83.02,1000
52,2019,1,2,2,0,0,1.8,-5.6000000000000005,83.01,1000
53,2019,1,2,2,30,0,1.7000000000000002,-5.6000000000000005,83.01,1000
54,2019,1,2,3,0,0,1.6,-5.6000000000000005,83.8,999
55,2019,1,2,3,30,0,1.4,-5.5,83.17,999
56,2019,1,2,4,0,0,1.3,-5.4,84.37,998
57,2019,1,2,4,30,0,1.2000000000000002,-5.4,84.37,998
58,2019,1,2,5,0,0,1.1,-5.300000000000001,85.92,998
59,2019,1,2,5,30,0,1.2000000000000002,-5.300000000000001,85.92,998
60,2019,1,2,6,0,0,1.3,-5.2,86.79,998
61,2019,1,2,6,30,0,1.4,-5.1000000000000005,86.13,998
62,2019,1,2,7,0,0,1.6,-5.0,87.09,998
63,2019,1,2,7,30,1,2.2,-4.4,83.23,998
64,2019,1,2,8,0,29,2.7,-3.8,82.05,998
65,2019,1,2,8,30,19,3.1,-3.3000000000000003,79.04,998
66,2019,1,2,9,0,16,3.6,-2.9000000000000004,78.74,998
67,2019,1,2,9,30,27,3.9,-2.6,76.93,997
68,2019,1,2,10,0,44,4.2,-2.3000000000000003,76.12,997
69,2019,1,2,10,30,64,4.5,-2.2,75.49,996
70,2019,1,2,11,0,69,4.800000000000001,-2.0,73.84,996
71,2019,1,2,11,30,93,5.0,-1.8,72.69,995
72,2019,1,2,12,0,108,5.1000000000000005,-1.7000000000000002,71.24,994
73,2019,1,2,12,30,140,5.2,-1.5,70.2,994
74,2019,1,2,13,0,205,5.2,-1.3,68.59,993
75,2019,1,2,13,30,227,5.2,-1.2000000000000002,68.09,993
76,2019,1,2,14,0,122,5.300000000000001,-1.2000000000000002,67.49,993
77,2019,1,2,14,30,136,5.1000000000000005,-1.3,67.98,993
78,2019,1,2,15,0,135,4.9,-1.4,67.89,993
79,2019,1,2,15,30,104,4.1000000000000005,-2.1,71.47,993
80,2019,1,2,16,0,41,3.3000000000000003,-2.7,74.98,993
81,2019,1,2,16,30,13,2.8000000000000003,-3.3000000000000003,78.4,993
82,2019,1,2,17,0,0,2.3000000000000003,-3.9,81.54,993
83,2019,1,2,17,30,0,2.3000000000000003,-3.9,81.54,993
84,2019,1,2,18,0,0,2.0,-4.5,84.35000000000001,993
85,2019,1,2,18,30,0,2.1,-4.6000000000000005,84.99,993
86,2019,1,2,19,0,0,2.2,-4.7,85.52,993
87,2019,1,2,19,30,0,2.3000000000000003,-4.7,85.52,993
88,2019,1,2,20,0,0,2.4000000000000004,-4.7,86.05,993
89,2019,1,2,20,30,0,2.6,-4.7,86.05,993
90,2019,1,2,21,0,0,2.8000000000000003,-4.7,86.93,994
91,2019,1,2,21,30,0,2.9000000000000004,-4.800000000000001,87.59,994
92,2019,1,2,22,0,0,3.0,-4.9,88.69,994
93,2019,1,2,22,30,0,3.0,-5.2,90.73,994
94,2019,1,2,23,0,0,3.0,-5.4,91.22,994
95,2019,1,2,23,30,0,3.0,-5.7,93.32,994
96,2019,1,3,0,0,0,2.9000000000000004,-5.9,93.5,994
97,2019,1,3,0,30,0,2.8000000000000003,-6.2,95.67,994
98,2019,1,3,1,0,0,2.7,-6.5,96.43,994
99,2019,1,3,1,30,0,2.6,-6.7,97.91,994
100,2019,1,3,2,0,0,2.5,-6.9,98.21,994
101,2019,1,3,2,30,0,2.3000000000000003,-7.1000000000000005,99.64,993
102,2019,1,3,3,0,0,2.2,-7.300000000000001,100.0,993
103,2019,1,3,3,30,0,2.1,-7.4,100.0,993
104,2019,1,3,4,0,0,2.0,-7.5,100.0,993
105,2019,1,3,4,30,0,1.9,-7.6,100.0,993
106,2019,1,3,5,0,0,1.9,-7.7,100.0,993
107,2019,1,3,5,30,0,2.0,-7.7,100.0,993
108,2019,1,3,6,0,0,2.1,-7.800000000000001,100.0,993
109,2019,1,3,6,30,0,2.4000000000000004,-7.7,100.0,993
110,2019,1,3,7,0,0,2.7,-7.6,98.3,993
111,2019,1,3,7,30,3,3.2,-6.800000000000001,92.43,993
112,2019,1,3,8,0,18,3.7,-6.0,90.54,993
113,2019,1,3,8,30,87,3.7,-4.9,83.28,993
114,2019,1,3,9,0,184,3.7,-3.9,84.83,993
115,2019,1,3,9,30,282,3.7,-2.4000000000000004,75.87,993
116,2019,1,3,10,0,346,3.7,-0.9,76.62,993
117,2019,1,3,10,30,397,3.8,0.5,69.15,992
118,2019,1,3,11,0,435,3.8,2.0,66.94,991
119,2019,1,3,11,30,461,3.6,2.7,63.620000000000005,990
120,2019,1,3,12,0,474,3.4000000000000004,3.5,65.86,990
121,2019,1,3,12,30,470,3.4000000000000004,3.9,63.97,989
122,2019,1,3,13,0,451,3.5,4.4,65.49,989
123,2019,1,3,13,30,419,3.7,4.5,65.1,990
124,2019,1,3,14,0,375,3.9,4.6000000000000005,66.68,990
125,2019,1,3,14,30,318,3.7,4.1000000000000005,69.05,990
126,2019,1,3,15,0,250,3.4000000000000004,3.5,74.96000000000001,991
127,2019,1,3,15,30,177,3.1,2.2,82.19,991
128,2019,1,3,16,0,102,2.8000000000000003,0.9,84.12,991
129,2019,1,3,16,30,30,2.6,0.3,87.83,991
130,2019,1,3,17,0,0,2.5,-0.3,86.08,990
131,2019,1,3,17,30,0,2.5,-0.3,86.08,990
132,2019,1,3,18,0,0,2.0,-0.7000000000000001,86.44,990
133,2019,1,3,18,30,0,2.0,-0.8,87.08,990
134,2019,1,3,19,0,0,2.0,-0.9,86.67,989
135,2019,1,3,19,30,0,2.4000000000000004,-0.7000000000000001,85.5,990
136,2019,1,3,20,0,0,2.8000000000000003,-0.5,85.33,990
137,2019,1,3,20,30,0,2.8000000000000003,-0.6000000000000001,85.95,990
138,2019,1,3,21,0,0,2.8000000000000003,-0.7000000000000001,85.5,989
139,2019,1,3,21,30,0,2.3000000000000003,-1.0,87.39,989
140,2019,1,3,22,0,0,1.9,-1.3,86.48,988
141,2019,1,3,22,30,0,1.7000000000000002,-1.4,87.11,988
142,2019,1,3,23,0,0,1.5,-1.5,86.16,987
143,2019,1,3,23,30,0,1.5,-1.5,86.16,987
144,2019,1,4,0,0,0,1.5,-1.6,86.53,987
145,2019,1,4,0,30,0,1.5,-1.6,86.53,987
146,2019,1,4,1,0,0,1.5,-1.6,86.36,988
147,2019,1,4,1,30,0,1.4,-1.6,86.27,987
148,2019,1,4,2,0,0,1.4,-1.7000000000000002,84.61,987
149,2019,1,4,2,30,0,1.3,-1.9,85.78,986
150,2019,1,4,3,0,0,1.3,-2.1,83.99,986
151,2019,1,4,3,30,0,1.4,-2.5,86.51,986
152,2019,1,4,4,0,0,1.4,-2.8000000000000003,87.0,986
153,2019,1,4,4,30,0,1.4,-3.1,88.96000000000001,986
154,2019,1,4,5,0,0,1.4,-3.3000000000000003,89.74,986
155,2019,1,4,5,30,0,1.4,-3.5,91.09,986
156,2019,1,4,6,0,0,1.4,-3.6,90.91,985
157,2019,1,4,6,30,0,1.4,-3.6,90.91,985
158,2019,1,4,7,0,0,1.4,-3.7,90.94,985
159,2019,1,4,7,30,5,1.4,-2.6,83.79,985
160,2019,1,4,8,0,43,1.5,-1.6,86.78,985
161,2019,1,4,8,30,78,2.0,-0.3,78.92,985
162,2019,1,4,9,0,164,2.6,0.9,76.44,985
163,2019,1,4,9,30,279,2.5,1.8,71.67,985
164,2019,1,4,10,0,342,2.4000000000000004,2.7,75.01,985
165,2019,1,4,10,30,392,2.3000000000000003,3.7,69.83,984
166,2019,1,4,11,0,432,2.2,4.6000000000000005,75.04,983
167,2019,1,4,11,30,457,2.4000000000000004,5.5,70.49,983
168,2019,1,4,12,0,468,2.6,6.4,71.37,982
169,2019,1,4,12,30,465,2.8000000000000003,6.9,68.96000000000001,982
170,2019,1,4,13,0,446,2.9000000000000004,7.300000000000001,68.08,982
171,2019,1,4,13,30,416,2.6,7.2,68.54,982
172,2019,1,4,14,0,371,2.3000000000000003,7.1000000000000005,73.69,982
173,2019,1,4,14,30,315,1.8,6.0,79.47,982
174,2019,1,4,15,0,249,1.4,4.9,86.75,982
175,2019,1,4,15,30,176,1.5,3.4000000000000004,96.36,982
176,2019,1,4,16,0,102,1.6,2.0,94.33,983
177,2019,1,4,16,30,32,1.7000000000000002,1.5,97.76,983
178,2019,1,4,17,0,0,1.8,1.1,99.19,983
179,2019,1,4,17,30,0,1.8,1.1,99.19,983
180,2019,1,4,18,0,0,1.9,0.9,100.0,984
181,2019,1,4,18,30,0,2.0,0.9,100.0,984
182,2019,1,4,19,0,0,2.1,0.9,100.0,984
183,2019,1,4,19,30,0,2.1,0.8,100.0,984
184,2019,1,4,20,0,0,2.1,0.7000000000000001,100.0,984
185,2019,1,4,20,30,0,2.1,0.6000000000000001,100.0,984
186,2019,1,4,21,0,0,2.1,0.5,100.0,984
187,2019,1,4,21,30,0,2.1,0.5,100.0,984
188,2019,1,4,22,0,0,2.1,0.4,100.0,984
189,2019,1,4,22,30,0,2.1,0.3,100.0,984
190,2019,1,4,23,0,0,2.1,0.2,100.0,984
191,2019,1,4,23,30,0,2.1,0.2,100.0,985
192,2019,1,5,0,0,0,2.2,0.1,100.0,985
193,2019,1,5,0,30,0,2.2,0.1,100.0,985
194,2019,1,5,1,0,0,2.3000000000000003,0.0,100.0,985
195,2019,1,5,1,30,0,2.4000000000000004,-0.1,100.0,985
196,2019,1,5,2,0,0,2.5,-0.2,100.0,985
197,2019,1,5,2,30,0,2.5,-0.3,100.0,985
198,2019,1,5,3,0,0,2.5,-0.4,100.0,985
199,2019,1,5,3,30,0,2.5,-0.5,100.0,986
200,2019,1,5,4,0,0,2.5,-0.6000000000000001,100.0,986
201,2019,1,5,4,30,0,2.5,-0.7000000000000001,100.0,986
202,2019,1,5,5,0,0,2.5,-0.7000000000000001,100.0,986
203,2019,1,5,5,30,0,2.4000000000000004,-0.8,100.0,987
204,2019,1,5,6,0,0,2.3000000000000003,-0.9,100.0,987
205,2019,1,5,6,30,0,2.3000000000000003,-1.0,100.0,987
206,2019,1,5,7,0,0,2.2,-1.0,100.0,988
207,2019,1,5,7,30,3,2.6,-0.2,96.51,988
208,2019,1,5,8,0,36,3.0,0.6000000000000001,95.72,989
209,2019,1,5,8,30,87,2.9000000000000004,1.4,90.37,989
210,2019,1,5,9,0,156,2.9000000000000004,2.3000000000000003,91.15,989
211,2019,1,5,9,30,276,2.8000000000000003,3.3000000000000003,84.92,989
212,2019,1,5,10,0,338,2.8000000000000003,4.4,86.87,989
213,2019,1,5,10,30,390,2.8000000000000003,5.5,80.47,989
214,2019,1,5,11,0,430,2.9000000000000004,6.7,82.57000000000001,989
215,2019,1,5,11,30,445,2.9000000000000004,7.7,77.12,989
216,2019,1,5,12,0,471,2.9000000000000004,8.700000000000001,78.21000000000001,988
217,2019,1,5,12,30,457,2.8000000000000003,9.3,75.11,988
218,2019,1,5,13,0,452,2.8000000000000003,9.9,75.79,988
219,2019,1,5,13,30,421,2.4000000000000004,9.7,76.81,988
220,2019,1,5,14,0,377,2.0,9.5,81.71000000000001,988
221,2019,1,5,14,30,315,1.8,8.1,89.89,989
222,2019,1,5,15,0,256,1.6,6.7,91.72,989
223,2019,1,5,15,30,163,1.7000000000000002,4.9,100.0,989
224,2019,1,5,16,0,68,1.9,3.1,100.0,989
225,2019,1,5,16,30,25,2.0,2.6,100.0,990
226,2019,1,5,17,0,0,2.1,2.0,100.0,990
227,2019,1,5,17,30,0,2.1,2.0,100.0,990
228,2019,1,5,18,0,0,2.2,1.9,100.0,991
229,2019,1,5,18,30,0,2.1,1.6,100.0,992
230,2019,1,5,19,0,0,2.1,1.3,100.0,992
231,2019,1,5,19,30,0,1.9,1.0,100.0,992
232,2019,1,5,20,0,0,1.8,0.7000000000000001,100.0,992
233,2019,1,5,20,30,0,1.6,0.8,100.0,992
234,2019,1,5,21,0,0,1.5,0.9,100.0,992
235,2019,1,5,21,30,0,1.4,1.1,100.0,992
236,2019,1,5,22,0,0,1.4,1.4,100.0,992
237,2019,1,5,22,30,0,1.5,1.2000000000000002,100.0,992
238,2019,1,5,23,0,0,1.6,1.1,100.0,993
239,2019,1,5,23,30,0,1.9,1.0,100.0,993
240,2019,1,6,0,0,0,2.1,0.9,100.0,993
241,2019,1,6,0,30,0,2.4000000000000004,0.6000000000000001,100.0,993
242,2019,1,6,1,0,0,2.6,0.3,100.0,993
243,2019,1,6,1,30,0,2.7,0.2,100.0,993
244,2019,1,6,2,0,0,2.8000000000000003,0.0,99.47,994
245,2019,1,6,2,30,0,2.8000000000000003,0.0,99.47,994
246,2019,1,6,3,0,0,2.8000000000000003,-0.1,99.17,994
247,2019,1,6,3,30,0,2.8000000000000003,-0.1,99.17,994
248,2019,1,6,4,0,0,2.8000000000000003,-0.1,98.51,994
249,2019,1,6,4,30,0,2.9000000000000004,-0.2,99.22,994
250,2019,1,6,5,0,0,3.0,-0.3,98.94,994
251,2019,1,6,5,30,0,3.1,-0.3,98.94,994
252,2019,1,6,6,0,0,3.2,-0.3,98.53,994
253,2019,1,6,6,30,0,3.4000000000000004,-0.3,98.53,994
254,2019,1,6,7,0,0,3.6,-0.3,98.62,994
255,2019,1,6,7,30,3,3.9,0.2,95.11,994
256,2019,1,6,8,0,33,4.2,0.7000000000000001,95.42,995
257,2019,1,6,8,30,76,4.2,1.3,91.4,995
258,2019,1,6,9,0,125,4.2,1.9,92.63,995
259,2019,1,6,9,30,151,4.6000000000000005,2.7,87.51,995
260,2019,1,6,10,0,226,4.9,3.4000000000000004,88.57000000000001,994
261,2019,1,6,10,30,276,5.0,3.9,85.51,994
262,2019,1,6,11,0,303,5.1000000000000005,4.4,87.23,993
263,2019,1,6,11,30,186,4.9,4.7,85.34,992
264,2019,1,6,12,0,211,4.7,5.1000000000000005,87.72,992
265,2019,1,6,12,30,213,4.7,5.5,85.23,991
266,2019,1,6,13,0,185,4.7,6.0,87.14,991
267,2019,1,6,13,30,151,4.6000000000000005,5.9,87.74,991
268,2019,1,6,14,0,179,4.6000000000000005,5.9,89.91,990
269,2019,1,6,14,30,137,4.9,5.7,91.16,990
270,2019,1,6,15,0,148,5.2,5.5,92.95,990
271,2019,1,6,15,30,109,5.300000000000001,5.2,94.81,989
272,2019,1,6,16,0,55,5.4,4.9,96.66,989
273,2019,1,6,16,30,17,5.5,4.800000000000001,97.33,989
274,2019,1,6,17,0,0,5.6000000000000005,4.7,98.82,989
275,2019,1,6,17,30,0,5.6000000000000005,4.7,98.82,989
276,2019,1,6,18,0,0,6.1000000000000005,5.300000000000001,98.7,989
277,2019,1,6,18,30,0,6.2,5.5,97.24,988
278,2019,1,6,19,0,0,6.300000000000001,5.7,100.0,987
279,2019,1,6,19,30,0,6.2,6.0,98.51,987
280,2019,1,6,20,0,0,6.1000000000000005,6.2,100.0,986
281,2019,1,6,20,30,0,6.0,6.4,100.0,986
282,2019,1,6,21,0,0,5.9,6.5,100.0,985
283,2019,1,6,21,30,0,6.300000000000001,6.800000000000001,100.0,985
284,2019,1,6,22,0,0,6.7,7.2,100.0,985
285,2019,1,6,22,30,0,6.7,7.4,99.18,984
286,2019,1,6,23,0,0,6.7,7.7,98.57,984
287,2019,1,6,23,30,0,6.6000000000000005,7.9,97.24,984
288,2019,1,7,0,0,0,6.4,8.1,97.37,983
289,2019,1,7,0,30,0,6.1000000000000005,8.1,97.37,983
290,2019,1,7,1,0,0,5.7,8.200000000000001,97.68,983
291,2019,1,7,1,30,0,5.4,8.200000000000001,97.68,983
292,2019,1,7,2,0,0,5.2,8.1,98.46,982
293,2019,1,7,2,30,0,5.4,8.3,97.03,981
294,2019,1,7,3,0,0,5.6000000000000005,8.4,96.97,981
295,2019,1,7,3,30,0,6.2,8.8,94.29,980
296,2019,1,7,4,0,0,6.7,9.2,94.92,980
297,2019,1,7,4,30,0,6.7,9.4,93.56,979
298,2019,1,7,5,0,0,6.7,9.5,96.05,979
299,2019,1,7,5,30,0,6.7,9.6,95.41,979
300,2019,1,7,6,0,0,6.6000000000000005,9.8,96.79,979
301,2019,1,7,6,30,0,6.6000000000000005,9.9,96.05,978
302,2019,1,7,7,0,0,6.6000000000000005,10.1,97.27,978
303,2019,1,7,7,30,3,6.7,10.5,94.71,978
304,2019,1,7,8,0,26,6.9,10.9,95.79,978
305,2019,1,7,8,30,30,7.1000000000000005,11.5,92.06,978
306,2019,1,7,9,0,48,7.2,12.1,93.7,977
307,2019,1,7,9,30,67,7.4,12.8,89.5,977
308,2019,1,7,10,0,92,7.5,13.5,92.04,977
309,2019,1,7,10,30,202,7.5,14.2,87.87,976
310,2019,1,7,11,0,181,7.5,14.8,88.19,976
311,2019,1,7,11,30,38,7.800000000000001,15.2,85.95,976
312,2019,1,7,12,0,334,8.1,15.6,79.24,976
313,2019,1,7,12,30,407,8.1,15.5,79.83,977
314,2019,1,7,13,0,448,8.0,15.3,71.61,978
315,2019,1,7,13,30,421,7.300000000000001,14.9,73.47,978
316,2019,1,7,14,0,380,6.7,14.5,68.54,979
317,2019,1,7,14,30,326,5.7,13.7,72.25,980
318,2019,1,7,15,0,261,4.800000000000001,13.0,72.56,980
319,2019,1,7,15,30,188,3.7,11.2,81.74,981
320,2019,1,7,16,0,106,2.6,9.4,86.87,981
321,2019,1,7,16,30,24,2.3000000000000003,8.4,93.01,982
322,2019,1,7,17,0,2,2.1,7.4,93.38,983
323,2019,1,7,17,30,0,2.1,7.4,93.38,983
324,2019,1,7,18,0,0,2.0,7.4,92.78,984
325,2019,1,7,18,30,0,1.9,7.1000000000000005,94.7,984
326,2019,1,7,19,0,0,1.8,6.800000000000001,95.52,984
327,2019,1,7,19,30,0,1.7000000000000002,6.5,97.51,984
328,2019,1,7,20,0,0,1.6,6.2,98.85,984
329,2019,1,7,20,30,0,1.6,5.9,100.0,984
330,2019,1,7,21,0,0,1.7000000000000002,5.7,100.0,984
331,2019,1,7,21,30,0,1.7000000000000002,5.4,100.0,984
332,2019,1,7,22,0,0,1.8,5.1000000000000005,100.0,985
333,2019,1,7,22,30,0,1.8,4.6000000000000005,100.0,985
334,2019,1,7,23,0,0,1.9,4.1000000000000005,100.0,984
335,2019,1,7,23,30,0,1.9,3.6,100.0,984
336,2019,1,8,0,0,0,1.9,3.1,100.0,984
337,2019,1,8,0,30,0,2.0,3.0,100.0,985
338,2019,1,8,1,0,0,2.1,2.9000000000000004,100.0,985
339,2019,1,8,1,30,0,2.2,2.9000000000000004,100.0,985
340,2019,1,8,2,0,0,2.4000000000000004,2.8000000000000003,100.0,984
341,2019,1,8,2,30,0,2.9000000000000004,2.9000000000000004,100.0,984
342,2019,1,8,3,0,0,3.4000000000000004,3.0,100.0,983
343,2019,1,8,3,30,0,4.1000000000000005,3.2,100.0,983
344,2019,1,8,4,0,0,4.800000000000001,3.4000000000000004,96.61,983
345,2019,1,8,4,30,0,5.4,3.3000000000000003,97.29,983
346,2019,1,8,5,0,0,6.0,3.3000000000000003,90.96,984
347,2019,1,8,5,30,0,6.6000000000000005,3.3000000000000003,90.96,984
348,2019,1,8,6,0,0,7.2,3.2,87.2,985
349,2019,1,8,6,30,0,7.6,3.1,87.82000000000001,985
350,2019,1,8,7,0,0,7.9,2.9000000000000004,88.60000000000001,986
351,2019,1,8,7,30,3,8.1,3.2,86.83,987
352,2019,1,8,8,0,41,8.200000000000001,3.5,87.15,988
353,2019,1,8,8,30,88,8.4,4.2,83.05,989
354,2019,1,8,9,0,184,8.5,4.800000000000001,78.3,990
355,2019,1,8,9,30,286,8.6,5.300000000000001,75.7,991
356,2019,1,8,10,0,352,8.6,5.9,65.5,992
357,2019,1,8,10,30,408,8.700000000000001,6.300000000000001,63.72,992
358,2019,1,8,11,0,450,8.700000000000001,6.800000000000001,56.43,992
359,2019,1,8,11,30,479,8.6,7.1000000000000005,55.28,992
360,2019,1,8,12,0,493,8.6,7.5,51.9,993
361,2019,1,8,12,30,491,8.6,7.7,51.2,993
362,2019,1,8,13,0,474,8.6,8.0,49.26,993
363,2019,1,8,13,30,443,8.700000000000001,8.0,49.26,993
364,2019,1,8,14,0,399,8.8,8.0,48.83,993
365,2019,1,8,14,30,341,8.6,7.6,50.17,993
366,2019,1,8,15,0,274,8.4,7.2,53.36,994
367,2019,1,8,15,30,198,8.0,6.4,56.36,994
368,2019,1,8,16,0,120,7.6,5.6000000000000005,62.82,994
369,2019,1,8,16,30,44,7.6,5.0,65.55,995
370,2019,1,8,17,0,2,7.6,4.3,69.73,995
371,2019,1,8,17,30,0,7.6,4.3,69.73,995
372,2019,1,8,18,0,0,7.7,3.4000000000000004,73.52,996
373,2019,1,8,18,30,0,7.7,2.9000000000000004,76.16,996
374,2019,1,8,19,0,0,7.7,2.5,75.89,997
375,2019,1,8,19,30,0,7.6,2.0,78.63,997
376,2019,1,8,20,0,0,7.6,1.4,77.68,998
377,2019,1,8,20,30,0,7.5,0.8,81.10000000000001,998
378,2019,1,8,21,0,0,7.300000000000001,0.2,78.18,998
379,2019,1,8,21,30,0,7.2,-0.4,81.74,999
380,2019,1,8,22,0,0,7.1000000000000005,-1.0,77.42,999
381,2019,1,8,22,30,0,6.9,-1.5,80.31,999
382,2019,1,8,23,0,0,6.7,-2.1,75.61,999
383,2019,1,8,23,30,0,6.6000000000000005,-2.6,78.46000000000001,999
384,2019,1,9,0,0,0,6.5,-3.1,74.57000000000001,1000
385,2019,1,9,0,30,0,6.5,-3.5,76.82000000000001,1000
386,2019,1,9,1,0,0,6.4,-3.8,74.0,1000
387,2019,1,9,1,30,0,6.5,-4.0,75.12,1000
388,2019,1,9,2,0,0,6.5,-4.1000000000000005,72.76,1001
389,2019,1,9,2,30,0,6.5,-4.3,73.86,1001
