,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.8,-1.1,92.65,994
1,2019,1,1,0,30,0,3.8,-1.1,92.75,995
2,2019,1,1,1,0,0,3.8,-1.0,92.47,996
3,2019,1,1,1,30,0,3.9,-1.1,93.15,996
4,2019,1,1,2,0,0,4.1000000000000005,-1.1,91.95,997
5,2019,1,1,2,30,0,4.1000000000000005,-1.3,93.31,997
6,2019,1,1,3,0,0,4.2,-1.4,89.9,997
7,2019,1,1,3,30,0,4.2,-1.7000000000000002,92.0,998
8,2019,1,1,4,0,0,4.2,-1.9,86.7,998
9,2019,1,1,4,30,0,4.2,-2.1,88.08,999
10,2019,1,1,5,0,0,4.1000000000000005,-2.3000000000000003,83.8,999
11,2019,1,1,5,30,0,4.0,-2.5,85.14,1000
12,2019,1,1,6,0,0,4.0,-2.7,81.72,1001
13,2019,1,1,6,30,0,4.0,-2.8000000000000003,82.33,1001
14,2019,1,1,7,0,0,4.0,-2.9000000000000004,80.22,1002
15,2019,1,1,7,30,1,4.1000000000000005,-2.7,79.04,1002
16,2019,1,1,8,0,4,4.2,-2.5,75.99,1002
17,2019,1,1,8,30,9,4.1000000000000005,-2.2,74.4,1003
18,2019,1,1,9,0,14,4.1000000000000005,-2.0,72.19,1003
19,2019,1,1,9,30,24,3.8,-1.7000000000000002,70.61,1003
20,2019,1,1,10,0,37,3.5,-1.5,70.10000000000001,1003
21,2019,1,1,10,30,51,3.3000000000000003,-1.3,69.08,1003
22,2019,1,1,11,0,50,3.1,-1.1,69.26,1003
23,2019,1,1,11,30,46,3.1,-1.1,69.26,1003
24,2019,1,1,12,0,45,3.0,-1.0,69.37,1002
25,2019,1,1,12,30,52,3.1,-1.1,69.88,1002
26,2019,1,1,13,0,51,3.1,-1.2000000000000002,70.32000000000001,1002
27,2019,1,1,13,30,48,3.1,-1.4,71.36,1002
28,2019,1,1,14,0,34,3.1,-1.6,71.51,1002
29,2019,1,1,14,30,24,3.0,-1.9,73.11,1002
30,2019,1,1,15,0,16,2.9000000000000004,-2.2,73.71000000000001,1003
31,2019,1,1,15,30,11,2.7,-2.6,75.92,1003
32,2019,1,1,16,0,6,2.5,-3.1,77.19,1003
33,2019,1,1,16,30,2,2.5,-3.5,79.53,1003
34,2019,1,1,17,0,0,2.4000000000000004,-3.8,79.65,1003
35,2019,1,1,17,30,0,2.4000000000000004,-3.8,79.65,1003
36,2019,1,1,18,0,0,2.4000000000000004,-4.3,81.54,1003
37,2019,1,1,18,30,0,2.3000000000000003,-4.5,82.78,1003
38,2019,1,1,19,0,0,2.2,-4.7,83.42,1003
39,2019,1,1,19,30,0,2.0,-4.9,84.69,1003
40,2019,1,1,20,0,0,1.8,-5.1000000000000005,85.3,1003
41,2019,1,1,20,30,0,1.6,-5.300000000000001,86.51,1002
42,2019,1,1,21,0,0,1.5,-5.5,86.71000000000001,1002
43,2019,1,1,21,30,0,1.4,-5.7,88.04,1002
44,2019,1,1,22,0,0,1.3,-5.800000000000001,87.78,1002
