,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-0.6000000000000001,98.51,992
1,2019,1,1,0,30,0,4.1000000000000005,-0.7000000000000001,99.33,993
2,2019,1,1,1,0,0,4.1000000000000005,-0.8,97.33,994
3,2019,1,1,1,30,0,3.8,-0.9,98.14,995
4,2019,1,1,2,0,0,3.6,-1.0,96.59,996
5,2019,1,1,2,30,0,3.3000000000000003,-1.1,97.3,996
6,2019,1,1,3,0,0,3.0,-1.2000000000000002,95.21,997
7,2019,1,1,3,30,0,2.9000000000000004,-1.5,97.33,997
8,2019,1,1,4,0,0,2.8000000000000003,-1.7000000000000002,94.15,997
9,2019,1,1,4,30,0,2.6,-2.0,96.25,997
10,2019,1,1,5,0,0,2.4000000000000004,-2.4000000000000004,94.35,998
11,2019,1,1,5,30,0,2.4000000000000004,-2.5,95.05,998
12,2019,1,1,6,0,0,2.4000000000000004,-2.6,92.33,999
13,2019,1,1,6,30,0,2.6,-2.4000000000000004,91.06,1000
14,2019,1,1,7,0,0,2.8000000000000003,-2.2,89.07000000000001,1000
15,2019,1,1,7,30,5,3.3000000000000003,-1.6,85.31,1001
16,2019,1,1,8,0,12,3.7,-1.0,83.52,1001
17,2019,1,1,8,30,22,3.7,-0.3,79.37,1001
18,2019,1,1,9,0,33,3.6,0.4,78.41,1002
19,2019,1,1,9,30,48,3.4000000000000004,1.0,75.09,1002
20,2019,1,1,10,0,70,3.1,1.7000000000000002,74.56,1002
21,2019,1,1,10,30,79,2.8000000000000003,2.1,72.39,1001
22,2019,1,1,11,0,70,2.6,2.4000000000000004,72.68,1001
23,2019,1,1,11,30,70,2.4000000000000004,2.6,71.66,1001
24,2019,1,1,12,0,93,2.3000000000000003,2.7,71.72,1001
25,2019,1,1,12,30,111,2.4000000000000004,2.7,71.72,1001
26,2019,1,1,13,0,81,2.5,2.7,71.53,1001
27,2019,1,1,13,30,56,2.6,2.5,72.55,1001
28,2019,1,1,14,0,48,2.7,2.3000000000000003,72.9,1001
29,2019,1,1,14,30,42,2.4000000000000004,1.9,75.0,1001
30,2019,1,1,15,0,33,2.2,1.4,79.18,1002
31,2019,1,1,15,30,20,1.8,0.4,85.09,1002
32,2019,1,1,16,0,10,1.4,-0.7000000000000001,90.15,1002
33,2019,1,1,16,30,3,1.7000000000000002,-1.0,92.15,1002
34,2019,1,1,17,0,0,1.9,-1.3,90.34,1003
35,2019,1,1,17,30,0,1.9,-1.3,90.34,1003
36,2019,1,1,18,0,0,2.2,-1.8,91.23,1003
37,2019,1,1,18,30,0,2.1,-2.0,92.58,1003
38,2019,1,1,19,0,0,2.0,-2.3000000000000003,92.76,1003
39,2019,1,1,19,30,0,1.8,-2.5,94.15,1003
40,2019,1,1,20,0,0,1.6,-2.7,94.02,1003
41,2019,1,1,20,30,0,1.4,-2.9000000000000004,95.33,1002
42,2019,1,1,21,0,0,1.2000000000000002,-3.1,95.48,1002
43,2019,1,1,21,30,0,1.1,-3.3000000000000003,96.91,1002
44,2019,1,1,22,0,0,0.9,-3.5,96.92,1002
45,2019,1,1,22,30,0,0.9,-3.5,96.92,1002
46,2019,1,1,23,0,0,0.8,-3.6,96.61,1002
47,2019,1,1,23,30,0,0.7000000000000001,-3.5,95.9,1002
48,2019,1,2,0,0,0,0.7000000000000001,-3.3000000000000003,94.25,1001
49,2019,1,2,0,30,0,0.6000000000000001,-3.1,92.95,1002
50,2019,1,2,1,0,0,0.5,-2.9000000000000004,91.24,1002
51,2019,1,2,1,30,0,0.4,-2.8000000000000003,90.57,1002
52,2019,1,2,2,0,0,0.3,-2.6,89.36,1002
53,2019,1,2,2,30,0,0.4,-2.5,88.61,1001
54,2019,1,2,3,0,0,0.5,-2.4000000000000004,89.74,1001
55,2019,1,2,3,30,0,0.5,-2.3000000000000003,88.99,1000
56,2019,1,2,4,0,0,0.6000000000000001,-2.2,90.43,1000
57,2019,1,2,4,30,0,0.6000000000000001,-2.1,89.77,1000
58,2019,1,2,5,0,0,0.7000000000000001,-2.1,91.0,1000
59,2019,1,2,5,30,0,0.8,-2.0,90.33,1000
60,2019,1,2,6,0,0,0.9,-2.0,91.15,1000
61,2019,1,2,6,30,0,1.1,-1.8,89.82000000000001,1000
62,2019,1,2,7,0,0,1.3,-1.5,89.8,1000
63,2019,1,2,7,30,4,2.0,-0.9,85.94,1000
64,2019,1,2,8,0,10,2.8000000000000003,-0.2,82.43,1000
65,2019,1,2,8,30,20,3.4000000000000004,0.3,79.5,1000
66,2019,1,2,9,0,53,4.1000000000000005,0.7000000000000001,73.89,1000
67,2019,1,2,9,30,38,4.4,0.8,73.28,999
68,2019,1,2,10,0,54,4.800000000000001,0.9,69.81,999
69,2019,1,2,10,30,77,5.0,0.8,70.24,998
70,2019,1,2,11,0,120,5.2,0.7000000000000001,69.09,997
71,2019,1,2,11,30,80,5.4,0.6000000000000001,69.59,997
72,2019,1,2,12,0,66,5.6000000000000005,0.5,68.48,996
73,2019,1,2,12,30,122,5.6000000000000005,0.3,69.47,996
74,2019,1,2,13,0,96,5.6000000000000005,0.1,69.29,995
75,2019,1,2,13,30,54,5.5,-0.1,70.31,995
76,2019,1,2,14,0,41,5.300000000000001,-0.3,71.39,994
77,2019,1,2,14,30,56,5.0,-0.5,72.44,994
78,2019,1,2,15,0,39,4.6000000000000005,-0.7000000000000001,75.38,994
79,2019,1,2,15,30,26,4.2,-0.9,76.49,994
80,2019,1,2,16,0,15,3.8,-1.2000000000000002,81.01,994
81,2019,1,2,16,30,4,3.7,-1.3,81.69,995
