,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.8,1.7000000000000002,100.0,1003
1,2019,1,1,0,30,0,1.8,1.4,100.0,1003
2,2019,1,1,1,0,0,1.7000000000000002,1.1,100.0,1004
3,2019,1,1,1,30,0,1.7000000000000002,0.9,100.0,1004
4,2019,1,1,2,0,0,1.7000000000000002,0.6000000000000001,100.0,1004
5,2019,1,1,2,30,0,1.9,0.4,100.0,1005
6,2019,1,1,3,0,0,2.1,0.3,100.0,1005
7,2019,1,1,3,30,0,2.2,0.2,100.0,1005
8,2019,1,1,4,0,0,2.3000000000000003,0.1,100.0,1005
9,2019,1,1,4,30,0,2.4000000000000004,0.0,100.0,1006
10,2019,1,1,5,0,0,2.5,-0.1,100.0,1006
11,2019,1,1,5,30,0,2.4000000000000004,-0.3,100.0,1006
12,2019,1,1,6,0,0,2.2,-0.4,98.9,1007
13,2019,1,1,6,30,0,2.3000000000000003,-0.3,98.19,1007
14,2019,1,1,7,0,0,2.4000000000000004,-0.1,95.25,1008
15,2019,1,1,7,30,5,2.7,0.8,89.25,1008
16,2019,1,1,8,0,20,3.1,1.8,85.71000000000001,1009
17,2019,1,1,8,30,37,3.2,2.7,80.4,1009
18,2019,1,1,9,0,56,3.4000000000000004,3.7,76.39,1009
19,2019,1,1,9,30,59,3.3000000000000003,4.4,72.74,1009
20,2019,1,1,10,0,70,3.2,5.0,71.55,1010
21,2019,1,1,10,30,77,3.2,5.2,70.5,1009
22,2019,1,1,11,0,51,3.2,5.300000000000001,70.44,1009
23,2019,1,1,11,30,87,3.2,5.300000000000001,70.44,1009
24,2019,1,1,12,0,107,3.3000000000000003,5.2,70.44,1009
25,2019,1,1,12,30,86,3.2,5.2,70.37,1008
26,2019,1,1,13,0,109,3.1,5.1000000000000005,70.09,1008
27,2019,1,1,13,30,116,3.1,4.9,71.07000000000001,1008
28,2019,1,1,14,0,86,3.0,4.7,71.15,1009
29,2019,1,1,14,30,53,2.9000000000000004,4.4,72.66,1009
30,2019,1,1,15,0,83,2.8000000000000003,4.1000000000000005,73.37,1009
31,2019,1,1,15,30,52,2.2,3.4000000000000004,77.07000000000001,1009
