,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.4000000000000004,-0.4,98.35,996
1,2019,1,1,0,30,0,3.2,-0.6000000000000001,99.89,997
2,2019,1,1,1,0,0,3.0,-0.8,97.82,998
3,2019,1,1,1,30,0,2.7,-1.1,99.98,998
4,2019,1,1,2,0,0,2.4000000000000004,-1.4,98.99,998
5,2019,1,1,2,30,0,2.2,-1.6,100.0,999
6,2019,1,1,3,0,0,2.1,-1.8,99.36,999
7,2019,1,1,3,30,0,2.2,-1.7000000000000002,98.63,999
8,2019,1,1,4,0,0,2.4000000000000004,-1.6,96.61,999
9,2019,1,1,4,30,0,2.4000000000000004,-1.5,96.0,1000
10,2019,1,1,5,0,0,2.5,-1.3,93.83,1000
11,2019,1,1,5,30,0,2.6,-1.2000000000000002,93.14,1000
12,2019,1,1,6,0,0,2.6,-1.1,92.5,1001
13,2019,1,1,6,30,0,2.6,-1.0,91.83,1001
14,2019,1,1,7,0,0,2.7,-0.8,91.39,1002
15,2019,1,1,7,30,4,2.9000000000000004,-0.3,88.12,1002
16,2019,1,1,8,0,8,3.1,0.3,87.36,1003
17,2019,1,1,8,30,15,3.2,0.9,83.66,1003
18,2019,1,1,9,0,21,3.4000000000000004,1.5,81.96000000000001,1003
19,2019,1,1,9,30,30,3.3000000000000003,2.0,79.17,1004
20,2019,1,1,10,0,48,3.3000000000000003,2.5,76.87,1004
21,2019,1,1,10,30,58,3.2,2.7,75.78,1004
22,2019,1,1,11,0,60,3.1,2.9000000000000004,73.45,1004
23,2019,1,1,11,30,60,3.1,2.9000000000000004,73.37,1003
24,2019,1,1,12,0,63,3.1,3.0,71.21000000000001,1003
25,2019,1,1,12,30,70,3.1,3.0,71.21000000000001,1003
26,2019,1,1,13,0,72,3.1,2.9000000000000004,69.99,1003
27,2019,1,1,13,30,61,3.1,2.8000000000000003,70.49,1003
28,2019,1,1,14,0,47,3.1,2.6,69.51,1003
29,2019,1,1,14,30,30,3.0,2.3000000000000003,71.01,1003
30,2019,1,1,15,0,22,2.9000000000000004,2.0,71.05,1003
31,2019,1,1,15,30,16,2.4000000000000004,1.2000000000000002,75.3,1004
32,2019,1,1,16,0,9,1.9,0.4,81.39,1004
33,2019,1,1,16,30,5,1.9,-0.2,85.01,1004
34,2019,1,1,17,0,0,1.9,-0.8,86.33,1004
35,2019,1,1,17,30,0,1.9,-0.8,86.33,1004
36,2019,1,1,18,0,0,2.0,-1.5,87.69,1005
37,2019,1,1,18,30,0,1.8,-1.9,90.31,1005
38,2019,1,1,19,0,0,1.7000000000000002,-2.3000000000000003,90.27,1005
39,2019,1,1,19,30,0,1.6,-2.6,92.2,1004
40,2019,1,1,20,0,0,1.4,-2.9000000000000004,91.99,1004
41,2019,1,1,20,30,0,1.3,-3.1,93.37,1004
42,2019,1,1,21,0,0,1.2000000000000002,-3.4000000000000004,93.3,1004
43,2019,1,1,21,30,0,1.1,-3.5,93.99,1004
44,2019,1,1,22,0,0,1.1,-3.7,93.9,1004
45,2019,1,1,22,30,0,1.1,-3.8,94.51,1003
46,2019,1,1,23,0,0,1.0,-3.8,93.47,1003
47,2019,1,1,23,30,0,1.0,-3.8,93.47,1003
48,2019,1,2,0,0,0,0.9,-3.8,93.39,1003
49,2019,1,2,0,30,0,0.9,-3.7,92.69,1003
50,2019,1,2,1,0,0,0.9,-3.6,92.36,1004
51,2019,1,2,1,30,0,0.9,-3.6,92.27,1003
52,2019,1,2,2,0,0,0.9,-3.5,91.71,1003
53,2019,1,2,2,30,0,0.8,-3.5,91.71,1003
54,2019,1,2,3,0,0,0.8,-3.4000000000000004,91.37,1002
55,2019,1,2,3,30,0,0.7000000000000001,-3.3000000000000003,90.69,1002
56,2019,1,2,4,0,0,0.6000000000000001,-3.2,90.21,1002
57,2019,1,2,4,30,0,0.5,-3.0,88.88,1002
58,2019,1,2,5,0,0,0.4,-2.8000000000000003,87.21000000000001,1002
59,2019,1,2,5,30,0,0.5,-2.7,86.57000000000001,1002
60,2019,1,2,6,0,0,0.5,-2.5,86.71000000000001,1002
61,2019,1,2,6,30,0,0.6000000000000001,-2.4000000000000004,86.07000000000001,1002
62,2019,1,2,7,0,0,0.7000000000000001,-2.2,87.91,1002
63,2019,1,2,7,30,11,1.2000000000000002,-1.5,83.5,1002
64,2019,1,2,8,0,51,1.6,-0.9,79.36,1002
65,2019,1,2,8,30,105,1.9,-0.5,77.07000000000001,1002
66,2019,1,2,9,0,159,2.2,-0.1,73.75,1002
67,2019,1,2,9,30,217,2.5,0.2,72.09,1001
68,2019,1,2,10,0,257,2.8000000000000003,0.5,71.52,1001
69,2019,1,2,10,30,204,3.2,0.6000000000000001,71.01,1001
70,2019,1,2,11,0,56,3.5,0.8,71.53,1000
71,2019,1,2,11,30,58,3.6,0.8,71.53,1000
72,2019,1,2,12,0,63,3.7,0.7000000000000001,73.26,999
73,2019,1,2,12,30,62,3.6,0.7000000000000001,73.19,998
74,2019,1,2,13,0,49,3.6,0.6000000000000001,74.21000000000001,998
75,2019,1,2,13,30,49,3.5,0.4,75.21000000000001,997
76,2019,1,2,14,0,48,3.5,0.3,75.4,997
77,2019,1,2,14,30,44,3.2,0.0,77.05,997
78,2019,1,2,15,0,35,3.0,-0.2,77.73,997
79,2019,1,2,15,30,25,2.7,-0.6000000000000001,80.03,997
80,2019,1,2,16,0,15,2.3000000000000003,-1.1,82.16,997
81,2019,1,2,16,30,8,2.2,-1.5,84.61,997
82,2019,1,2,17,0,0,2.1,-1.8,84.52,997
83,2019,1,2,17,30,0,2.1,-1.8,84.52,997
84,2019,1,2,18,0,0,1.8,-2.3000000000000003,85.99,998
85,2019,1,2,18,30,0,1.7000000000000002,-2.5,87.27,998
86,2019,1,2,19,0,0,1.5,-2.7,87.63,998
87,2019,1,2,19,30,0,1.5,-2.8000000000000003,88.29,998
88,2019,1,2,20,0,0,1.4,-2.9000000000000004,88.59,999
89,2019,1,2,20,30,0,1.4,-3.0,89.25,999
90,2019,1,2,21,0,0,1.3,-3.0,88.93,998
91,2019,1,2,21,30,0,1.3,-3.1,89.59,998
92,2019,1,2,22,0,0,1.2000000000000002,-3.1,89.55,998
93,2019,1,2,22,30,0,1.2000000000000002,-3.1,89.55,998
94,2019,1,2,23,0,0,1.2000000000000002,-3.1,89.27,998
95,2019,1,2,23,30,0,1.2000000000000002,-3.2,89.93,998
96,2019,1,3,0,0,0,1.2000000000000002,-3.2,89.56,998
97,2019,1,3,0,30,0,1.1,-3.4000000000000004,90.9,998
98,2019,1,3,1,0,0,1.1,-3.5,90.64,998
99,2019,1,3,1,30,0,1.0,-3.8,92.7,998
100,2019,1,3,2,0,0,1.0,-4.2,92.7,998
101,2019,1,3,2,30,0,1.0,-4.4,94.1,998
