,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,5.2,-3.3000000000000003,84.98,988
1,2019,1,1,0,30,0,5.0,-3.8,88.3,989
2,2019,1,1,1,0,0,4.9,-4.3,83.53,990
3,2019,1,1,1,30,0,4.800000000000001,-4.7,86.17,991
4,2019,1,1,2,0,0,4.7,-5.0,82.16,992
5,2019,1,1,2,30,0,4.800000000000001,-5.300000000000001,84.05,992
6,2019,1,1,3,0,0,4.800000000000001,-5.6000000000000005,81.93,993
7,2019,1,1,3,30,0,4.7,-6.0,84.46000000000001,993
8,2019,1,1,4,0,0,4.6000000000000005,-6.300000000000001,82.48,993
9,2019,1,1,4,30,0,4.3,-6.7,85.04,993
10,2019,1,1,5,0,0,4.0,-7.1000000000000005,82.56,994
11,2019,1,1,5,30,0,3.6,-7.5,85.23,995
12,2019,1,1,6,0,0,3.3000000000000003,-7.800000000000001,82.11,995
13,2019,1,1,6,30,0,3.1,-8.0,83.48,996
14,2019,1,1,7,0,0,3.0,-8.1,81.45,996
15,2019,1,1,7,30,3,3.0,-7.800000000000001,79.66,997
16,2019,1,1,8,0,12,3.1,-7.5,79.3,997
17,2019,1,1,8,30,28,3.4000000000000004,-7.0,76.3,997
18,2019,1,1,9,0,47,3.7,-6.5,75.88,997
19,2019,1,1,9,30,57,3.5,-6.2,74.16,997
20,2019,1,1,10,0,127,3.4000000000000004,-6.0,74.92,998
21,2019,1,1,10,30,144,3.2,-5.7,73.15,997
22,2019,1,1,11,0,228,2.9000000000000004,-5.4,73.93,997
23,2019,1,1,11,30,236,2.8000000000000003,-5.300000000000001,73.37,997
24,2019,1,1,12,0,180,2.6,-5.1000000000000005,74.42,997
25,2019,1,1,12,30,240,2.5,-5.0,73.86,997
26,2019,1,1,13,0,211,2.3000000000000003,-4.9,74.12,997
27,2019,1,1,13,30,120,2.2,-5.0,74.69,997
28,2019,1,1,14,0,111,2.0,-5.1000000000000005,74.65,997
29,2019,1,1,14,30,146,1.8,-5.4,76.36,997
30,2019,1,1,15,0,118,1.5,-5.7,78.54,997
31,2019,1,1,15,30,80,1.5,-6.300000000000001,82.22,997
32,2019,1,1,16,0,35,1.5,-6.9,78.46000000000001,997
33,2019,1,1,16,30,6,1.6,-7.300000000000001,80.92,997
34,2019,1,1,17,0,0,1.6,-7.7,78.49,997
35,2019,1,1,17,30,0,1.6,-7.7,78.49,997
36,2019,1,1,18,0,0,1.5,-8.200000000000001,79.91,997
37,2019,1,1,18,30,0,1.4,-8.4,81.17,997
38,2019,1,1,19,0,0,1.3,-8.6,81.78,997
39,2019,1,1,19,30,0,1.1,-8.8,83.07000000000001,997
40,2019,1,1,20,0,0,1.0,-9.1,84.79,996
41,2019,1,1,20,30,0,0.8,-9.3,86.13,996
42,2019,1,1,21,0,0,0.6000000000000001,-9.5,87.5,996
43,2019,1,1,21,30,0,0.4,-9.6,88.19,996
44,2019,1,1,22,0,0,0.2,-9.7,87.9,995
45,2019,1,1,22,30,0,0.3,-9.8,88.60000000000001,995
46,2019,1,1,23,0,0,0.3,-10.0,89.28,995
47,2019,1,1,23,30,0,0.5,-10.1,89.98,995
48,2019,1,2,0,0,0,0.7000000000000001,-10.3,90.31,995
49,2019,1,2,0,30,0,0.9,-10.7,93.22,995
50,2019,1,2,1,0,0,1.2000000000000002,-11.0,93.61,995
51,2019,1,2,1,30,0,1.4,-11.2,95.11,995
52,2019,1,2,2,0,0,1.6,-11.5,94.75,995
53,2019,1,2,2,30,0,1.7000000000000002,-11.4,93.9,994
54,2019,1,2,3,0,0,1.8,-11.3,93.15,994
55,2019,1,2,3,30,0,1.9,-11.0,90.86,993
56,2019,1,2,4,0,0,1.9,-10.7,90.76,993
57,2019,1,2,4,30,0,1.9,-10.4,88.53,992
58,2019,1,2,5,0,0,1.9,-10.1,88.82000000000001,992
59,2019,1,2,5,30,0,1.9,-9.8,86.74,992
60,2019,1,2,6,0,0,1.8,-9.5,87.23,992
61,2019,1,2,6,30,0,1.9,-9.4,86.55,992
62,2019,1,2,7,0,0,2.0,-9.2,86.97,992
63,2019,1,2,7,30,3,2.2,-8.6,82.98,992
64,2019,1,2,8,0,16,2.4000000000000004,-8.0,85.14,992
65,2019,1,2,8,30,41,3.0,-7.2,80.03,992
66,2019,1,2,9,0,70,3.7,-6.4,82.43,992
67,2019,1,2,9,30,96,4.0,-5.9,79.26,991
68,2019,1,2,10,0,117,4.3,-5.4,80.57000000000001,991
69,2019,1,2,10,30,170,4.5,-4.9,77.5,990
70,2019,1,2,11,0,195,4.800000000000001,-4.4,79.61,989
71,2019,1,2,11,30,173,5.1000000000000005,-4.1000000000000005,77.76,988
72,2019,1,2,12,0,168,5.4,-3.8,79.46000000000001,987
73,2019,1,2,12,30,145,5.5,-3.7,78.86,987
74,2019,1,2,13,0,143,5.6000000000000005,-3.6,79.8,986
75,2019,1,2,13,30,139,5.5,-3.5,79.21000000000001,986
76,2019,1,2,14,0,125,5.300000000000001,-3.5,78.9,986
77,2019,1,2,14,30,140,5.0,-3.7,80.09,986
78,2019,1,2,15,0,105,4.7,-3.8,78.56,986
79,2019,1,2,15,30,66,4.4,-4.4,82.18,986
80,2019,1,2,16,0,38,4.0,-5.1000000000000005,80.41,986
81,2019,1,2,16,30,7,3.8,-5.800000000000001,84.8,986
82,2019,1,2,17,0,0,3.6,-6.6000000000000005,81.69,986
83,2019,1,2,17,30,0,3.6,-6.6000000000000005,81.69,986
84,2019,1,2,18,0,0,3.0,-8.1,83.47,987
85,2019,1,2,18,30,0,2.9000000000000004,-8.700000000000001,87.46000000000001,987
86,2019,1,2,19,0,0,2.7,-9.2,85.61,987
87,2019,1,2,19,30,0,2.7,-9.5,87.65,987
88,2019,1,2,20,0,0,2.7,-9.7,87.3,987
89,2019,1,2,20,30,0,2.7,-9.9,88.60000000000001,986
90,2019,1,2,21,0,0,2.7,-10.0,88.79,986
91,2019,1,2,21,30,0,2.6,-10.2,90.2,986
92,2019,1,2,22,0,0,2.6,-10.3,90.66,986
93,2019,1,2,22,30,0,2.7,-10.4,91.38,986
94,2019,1,2,23,0,0,2.7,-10.5,91.91,986
95,2019,1,2,23,30,0,2.7,-10.6,92.64,986
96,2019,1,3,0,0,0,2.7,-10.7,93.26,986
97,2019,1,3,0,30,0,2.7,-10.8,94.1,987
98,2019,1,3,1,0,0,2.7,-10.8,93.97,987
99,2019,1,3,1,30,0,2.7,-10.8,93.97,987
100,2019,1,3,2,0,0,2.7,-10.7,93.94,987
101,2019,1,3,2,30,0,2.7,-10.5,92.46,987
102,2019,1,3,3,0,0,2.7,-10.2,92.24,987
103,2019,1,3,3,30,0,2.6,-10.0,90.79,987
104,2019,1,3,4,0,0,2.6,-9.9,92.32,987
105,2019,1,3,4,30,0,2.5,-9.8,91.59,987
106,2019,1,3,5,0,0,2.5,-9.7,91.94,987
107,2019,1,3,5,30,0,2.5,-9.6,91.13,986
108,2019,1,3,6,0,0,2.5,-9.5,91.78,986
109,2019,1,3,6,30,0,2.8000000000000003,-9.3,90.35,986
110,2019,1,3,7,0,0,3.0,-9.2,91.96,986
111,2019,1,3,7,30,3,3.6,-8.200000000000001,85.05,986
112,2019,1,3,8,0,20,4.1000000000000005,-7.300000000000001,90.7,986
113,2019,1,3,8,30,54,4.1000000000000005,-6.1000000000000005,82.73,986
114,2019,1,3,9,0,118,4.2,-4.9,88.43,986
115,2019,1,3,9,30,255,4.3,-3.8,81.41,986
116,2019,1,3,10,0,312,4.3,-2.7,86.10000000000001,986
117,2019,1,3,10,30,360,4.7,-1.5,78.73,985
118,2019,1,3,11,0,395,5.1000000000000005,-0.3,82.03,985
119,2019,1,3,11,30,417,5.0,0.5,77.33,984
120,2019,1,3,12,0,421,4.9,1.2000000000000002,80.34,984
121,2019,1,3,12,30,421,4.5,1.5,78.55,983
122,2019,1,3,13,0,402,4.1000000000000005,1.8,80.98,983
123,2019,1,3,13,30,371,3.7,2.0,79.83,983
124,2019,1,3,14,0,327,3.3000000000000003,2.1,82.4,982
125,2019,1,3,14,30,256,3.2,1.9,83.67,983
126,2019,1,3,15,0,184,3.2,1.6,86.85000000000001,983
127,2019,1,3,15,30,141,3.5,1.1,90.02,983
128,2019,1,3,16,0,72,3.9,0.5,89.21000000000001,983
129,2019,1,3,16,30,16,4.5,0.4,89.86,983
130,2019,1,3,17,0,0,5.0,0.4,89.75,983
131,2019,1,3,17,30,0,5.0,0.4,89.75,983
132,2019,1,3,18,0,0,5.1000000000000005,-0.1,92.47,983
133,2019,1,3,18,30,0,5.0,-0.3,93.82,983
134,2019,1,3,19,0,0,4.9,-0.5,93.45,983
135,2019,1,3,19,30,0,4.800000000000001,-0.7000000000000001,94.72,982
136,2019,1,3,20,0,0,4.6000000000000005,-0.9,93.46,982
137,2019,1,3,20,30,0,4.6000000000000005,-1.0,94.15,982
138,2019,1,3,21,0,0,4.5,-1.1,92.29,982
139,2019,1,3,21,30,0,4.4,-1.3,93.65,982
140,2019,1,3,22,0,0,4.4,-1.5,92.56,982
