,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.4,2.8000000000000003,100.0,1004
1,2019,1,1,0,30,0,1.3,2.6,100.0,1005
2,2019,1,1,1,0,0,1.3,2.3000000000000003,100.0,1005
3,2019,1,1,1,30,0,1.2000000000000002,2.0,100.0,1006
4,2019,1,1,2,0,0,1.2000000000000002,1.6,100.0,1006
5,2019,1,1,2,30,0,1.3,1.5,100.0,1006
6,2019,1,1,3,0,0,1.4,1.4,100.0,1006
7,2019,1,1,3,30,0,1.4,1.2000000000000002,100.0,1006
8,2019,1,1,4,0,0,1.5,1.0,100.0,1006
9,2019,1,1,4,30,0,1.5,0.7000000000000001,100.0,1007
10,2019,1,1,5,0,0,1.5,0.4,100.0,1007
11,2019,1,1,5,30,0,1.6,0.3,100.0,1007
12,2019,1,1,6,0,0,1.6,0.2,100.0,1008
13,2019,1,1,6,30,0,1.8,0.4,100.0,1008
14,2019,1,1,7,0,0,2.1,0.5,97.06,1009
15,2019,1,1,7,30,5,2.4000000000000004,1.3,91.64,1009
16,2019,1,1,8,0,10,2.6,2.0,88.29,1010
17,2019,1,1,8,30,17,2.7,3.1,81.66,1010
18,2019,1,1,9,0,20,2.7,4.1000000000000005,78.79,1011
19,2019,1,1,9,30,61,2.6,5.1000000000000005,73.49,1011
20,2019,1,1,10,0,46,2.6,6.1000000000000005,70.84,1011
21,2019,1,1,10,30,57,2.5,6.4,69.32000000000001,1010
22,2019,1,1,11,0,80,2.5,6.800000000000001,68.87,1010
23,2019,1,1,11,30,61,2.6,6.800000000000001,68.87,1010
24,2019,1,1,12,0,85,2.7,6.800000000000001,69.06,1010
25,2019,1,1,12,30,94,2.7,6.7,69.54,1010
26,2019,1,1,13,0,72,2.7,6.5,69.73,1010
27,2019,1,1,13,30,65,2.7,6.300000000000001,70.7,1010
28,2019,1,1,14,0,68,2.6,6.0,70.92,1010
29,2019,1,1,14,30,120,2.5,5.5,73.41,1010
30,2019,1,1,15,0,42,2.4000000000000004,5.1000000000000005,74.08,1010
31,2019,1,1,15,30,15,2.0,4.4,77.78,1010
32,2019,1,1,16,0,10,1.5,3.6,83.57000000000001,1011
33,2019,1,1,16,30,5,1.3,3.0,87.18,1011
34,2019,1,1,17,0,0,1.1,2.4000000000000004,90.02,1011
35,2019,1,1,17,30,0,1.1,2.4000000000000004,90.02,1011
