,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.4,-2.3000000000000003,92.85,982
1,2019,1,1,0,30,0,4.4,-2.6,95.03,983
2,2019,1,1,1,0,0,4.4,-2.8000000000000003,89.56,985
3,2019,1,1,1,30,0,4.4,-3.1,91.68,986
4,2019,1,1,2,0,0,4.4,-3.3000000000000003,86.86,987
5,2019,1,1,2,30,0,4.5,-3.5,88.16,987
6,2019,1,1,3,0,0,4.6000000000000005,-3.7,85.38,987
7,2019,1,1,3,30,0,4.7,-4.0,87.41,988
8,2019,1,1,4,0,0,4.800000000000001,-4.2,84.82000000000001,988
9,2019,1,1,4,30,0,4.800000000000001,-4.5,86.75,988
10,2019,1,1,5,0,0,4.9,-4.800000000000001,84.03,989
11,2019,1,1,5,30,0,4.6000000000000005,-5.2,86.61,989
12,2019,1,1,6,0,0,4.3,-5.5,84.35000000000001,990
13,2019,1,1,6,30,0,4.1000000000000005,-5.7,85.73,991
14,2019,1,1,7,0,0,3.8,-5.9,84.16,991
15,2019,1,1,7,30,5,3.9,-5.6000000000000005,82.34,992
16,2019,1,1,8,0,31,4.0,-5.300000000000001,81.53,992
17,2019,1,1,8,30,66,4.0,-4.800000000000001,78.5,992
18,2019,1,1,9,0,107,4.0,-4.4,79.25,993
19,2019,1,1,9,30,103,3.8,-3.9,76.33,993
20,2019,1,1,10,0,158,3.6,-3.5,78.32000000000001,993
21,2019,1,1,10,30,181,3.4000000000000004,-3.1,76.02,993
22,2019,1,1,11,0,183,3.3000000000000003,-2.8000000000000003,77.8,992
23,2019,1,1,11,30,271,3.1,-2.6,76.66,992
24,2019,1,1,12,0,250,3.0,-2.4000000000000004,77.69,992
25,2019,1,1,12,30,237,2.9000000000000004,-2.3000000000000003,77.12,992
26,2019,1,1,13,0,229,2.8000000000000003,-2.3000000000000003,77.71000000000001,992
27,2019,1,1,13,30,186,2.8000000000000003,-2.4000000000000004,78.28,992
28,2019,1,1,14,0,150,2.7,-2.5,78.44,992
29,2019,1,1,14,30,110,2.6,-2.8000000000000003,80.28,993
30,2019,1,1,15,0,129,2.4000000000000004,-3.2,81.48,993
31,2019,1,1,15,30,90,2.4000000000000004,-3.7,84.58,993
32,2019,1,1,16,0,24,2.3000000000000003,-4.2,84.31,993
33,2019,1,1,16,30,3,2.3000000000000003,-4.4,85.58,993
34,2019,1,1,17,0,0,2.3000000000000003,-4.7,85.03,993
35,2019,1,1,17,30,0,2.3000000000000003,-4.7,85.03,993
36,2019,1,1,18,0,0,2.2,-5.1000000000000005,85.57000000000001,994
37,2019,1,1,18,30,0,2.1,-5.300000000000001,86.88,994
38,2019,1,1,19,0,0,2.0,-5.5,86.22,993
39,2019,1,1,19,30,0,1.9,-5.7,87.54,993
40,2019,1,1,20,0,0,1.8,-5.9,87.35000000000001,993
41,2019,1,1,20,30,0,1.6,-6.1000000000000005,88.7,993
42,2019,1,1,21,0,0,1.4,-6.300000000000001,88.82000000000001,992
43,2019,1,1,21,30,0,1.2000000000000002,-6.4,89.5,992
44,2019,1,1,22,0,0,1.0,-6.6000000000000005,90.2,992
45,2019,1,1,22,30,0,0.9,-6.7,90.89,992
46,2019,1,1,23,0,0,0.8,-6.800000000000001,90.48,992
47,2019,1,1,23,30,0,0.7000000000000001,-6.9,91.18,992
48,2019,1,2,0,0,0,0.6000000000000001,-6.9,90.29,991
49,2019,1,2,0,30,0,0.5,-7.0,90.99,991
50,2019,1,2,1,0,0,0.5,-7.0,90.5,991
51,2019,1,2,1,30,0,0.6000000000000001,-7.2,91.91,991
52,2019,1,2,2,0,0,0.8,-7.300000000000001,92.18,991
53,2019,1,2,2,30,0,0.9,-7.2,91.47,991
54,2019,1,2,3,0,0,1.0,-7.0,91.94,991
55,2019,1,2,3,30,0,1.1,-6.800000000000001,90.45,990
56,2019,1,2,4,0,0,1.2000000000000002,-6.5,91.45,990
57,2019,1,2,4,30,0,1.2000000000000002,-6.2,89.38,990
58,2019,1,2,5,0,0,1.3,-5.9,90.4,989
59,2019,1,2,5,30,0,1.3,-5.800000000000001,89.71000000000001,989
60,2019,1,2,6,0,0,1.4,-5.6000000000000005,90.89,989
61,2019,1,2,6,30,0,1.5,-5.4,89.52,989
62,2019,1,2,7,0,0,1.6,-5.300000000000001,91.31,989
63,2019,1,2,7,30,4,2.1,-4.5,85.95,989
64,2019,1,2,8,0,23,2.6,-3.7,87.36,989
65,2019,1,2,8,30,48,3.2,-3.0,82.91,989
66,2019,1,2,9,0,78,3.8,-2.3000000000000003,82.04,989
67,2019,1,2,9,30,128,4.3,-2.1,80.76,988
68,2019,1,2,10,0,178,4.800000000000001,-1.8,76.35000000000001,988
69,2019,1,2,10,30,234,4.9,-1.8,76.27,987
70,2019,1,2,11,0,200,5.1000000000000005,-1.7000000000000002,73.04,986
71,2019,1,2,11,30,174,5.2,-1.7000000000000002,72.97,985
72,2019,1,2,12,0,232,5.4,-1.6,71.66,985
73,2019,1,2,12,30,228,5.5,-1.6,71.58,984
74,2019,1,2,13,0,230,5.6000000000000005,-1.6,71.87,983
75,2019,1,2,13,30,202,5.6000000000000005,-1.6,71.87,983
76,2019,1,2,14,0,160,5.5,-1.7000000000000002,73.61,983
77,2019,1,2,14,30,130,5.300000000000001,-1.8,74.16,983
78,2019,1,2,15,0,102,5.0,-2.0,77.18,983
79,2019,1,2,15,30,55,4.7,-2.4000000000000004,79.49,983
80,2019,1,2,16,0,24,4.4,-2.7,82.14,983
81,2019,1,2,16,30,3,4.4,-3.0,83.99,983
82,2019,1,2,17,0,0,4.4,-3.3000000000000003,84.74,983
83,2019,1,2,17,30,0,4.4,-3.3000000000000003,84.74,983
84,2019,1,2,18,0,0,4.5,-3.9,85.79,984
85,2019,1,2,18,30,0,4.3,-4.2,87.74,984
86,2019,1,2,19,0,0,4.2,-4.4,84.63,984
87,2019,1,2,19,30,0,3.8,-5.0,88.54,984
88,2019,1,2,20,0,0,3.4000000000000004,-5.6000000000000005,86.11,984
89,2019,1,2,20,30,0,3.1,-6.1000000000000005,89.45,984
90,2019,1,2,21,0,0,2.9000000000000004,-6.6000000000000005,88.57000000000001,984
91,2019,1,2,21,30,0,2.9000000000000004,-6.800000000000001,89.94,984
92,2019,1,2,22,0,0,2.9000000000000004,-6.9,89.63,984
93,2019,1,2,22,30,0,3.2,-6.9,89.63,984
94,2019,1,2,23,0,0,3.5,-6.800000000000001,90.36,984
95,2019,1,2,23,30,0,3.7,-6.800000000000001,90.36,984
96,2019,1,3,0,0,0,3.8,-6.7,91.65,984
97,2019,1,3,0,30,0,3.8,-6.800000000000001,92.35,984
98,2019,1,3,1,0,0,3.9,-6.800000000000001,93.63,984
99,2019,1,3,1,30,0,3.8,-6.9,94.35,984
100,2019,1,3,2,0,0,3.8,-7.0,95.1,984
101,2019,1,3,2,30,0,3.7,-7.2,96.57,984
102,2019,1,3,3,0,0,3.6,-7.300000000000001,96.25,984
103,2019,1,3,3,30,0,3.5,-7.5,97.74,984
104,2019,1,3,4,0,0,3.4000000000000004,-7.7,97.64,984
105,2019,1,3,4,30,0,3.3000000000000003,-7.800000000000001,98.4,984
106,2019,1,3,5,0,0,3.2,-8.0,98.58,984
107,2019,1,3,5,30,0,3.2,-8.0,98.58,984
108,2019,1,3,6,0,0,3.1,-8.0,97.65,984
109,2019,1,3,6,30,0,3.3000000000000003,-7.800000000000001,96.14,984
110,2019,1,3,7,0,0,3.4000000000000004,-7.6,95.73,984
111,2019,1,3,7,30,3,3.8,-6.800000000000001,90.01,984
112,2019,1,3,8,0,30,4.2,-5.9,91.15,984
113,2019,1,3,8,30,60,4.4,-4.800000000000001,83.85000000000001,984
114,2019,1,3,9,0,126,4.6000000000000005,-3.8,85.01,984
115,2019,1,3,9,30,279,4.800000000000001,-2.5,77.17,984
116,2019,1,3,10,0,335,5.0,-1.3,77.51,983
117,2019,1,3,10,30,381,5.1000000000000005,-0.3,72.06,983
118,2019,1,3,11,0,414,5.2,0.7000000000000001,73.41,983
119,2019,1,3,11,30,433,5.2,1.4,69.74,982
120,2019,1,3,12,0,438,5.2,2.1,70.38,981
121,2019,1,3,12,30,430,5.0,2.5,68.4,981
122,2019,1,3,13,0,407,4.7,2.9000000000000004,68.63,981
123,2019,1,3,13,30,372,4.3,3.0,68.08,980
124,2019,1,3,14,0,324,3.9,3.0,70.63,980
125,2019,1,3,14,30,265,3.5,2.4000000000000004,73.7,980
126,2019,1,3,15,0,199,3.2,1.9,79.26,981
127,2019,1,3,15,30,128,3.6,1.1,83.93,981
128,2019,1,3,16,0,59,4.0,0.3,83.82000000000001,981
129,2019,1,3,16,30,9,4.7,0.2,84.43,981
130,2019,1,3,17,0,0,5.300000000000001,0.2,84.4,981
131,2019,1,3,17,30,0,5.300000000000001,0.2,84.4,981
132,2019,1,3,18,0,0,5.4,-0.3,87.92,981
133,2019,1,3,18,30,0,5.2,-0.4,88.57000000000001,981
134,2019,1,3,19,0,0,5.0,-0.6000000000000001,89.56,980
135,2019,1,3,19,30,0,4.9,-0.8,90.88,980
136,2019,1,3,20,0,0,4.7,-0.9,90.96,980
137,2019,1,3,20,30,0,4.9,-1.0,91.62,980
138,2019,1,3,21,0,0,5.0,-1.0,91.36,979
139,2019,1,3,21,30,0,5.1000000000000005,-1.1,92.12,980
140,2019,1,3,22,0,0,5.1000000000000005,-1.2000000000000002,92.79,980
141,2019,1,3,22,30,0,4.800000000000001,-1.3,93.47,980
142,2019,1,3,23,0,0,4.5,-1.5,93.68,979
143,2019,1,3,23,30,0,4.0,-1.7000000000000002,95.07,979
