,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.5,-1.4,93.38,990
1,2019,1,1,0,30,0,3.5,-1.6,94.86,991
2,2019,1,1,1,0,0,3.6,-1.7000000000000002,89.83,993
3,2019,1,1,1,30,0,3.8,-1.9,91.26,994
4,2019,1,1,2,0,0,3.9,-2.1,86.4,995
5,2019,1,1,2,30,0,4.0,-2.4000000000000004,88.34,995
6,2019,1,1,3,0,0,4.1000000000000005,-2.7,84.73,995
7,2019,1,1,3,30,0,4.2,-2.9000000000000004,86.08,996
8,2019,1,1,4,0,0,4.4,-3.2,83.48,996
9,2019,1,1,4,30,0,4.4,-3.4000000000000004,84.73,996
10,2019,1,1,5,0,0,4.4,-3.7,82.85000000000001,997
11,2019,1,1,5,30,0,4.3,-3.9,84.10000000000001,997
12,2019,1,1,6,0,0,4.1000000000000005,-4.1000000000000005,82.25,998
13,2019,1,1,6,30,0,4.0,-4.2,82.95,999
14,2019,1,1,7,0,0,3.9,-4.3,81.47,999
15,2019,1,1,7,30,6,4.0,-4.1000000000000005,80.34,1000
16,2019,1,1,8,0,22,4.1000000000000005,-3.8,77.83,1000
17,2019,1,1,8,30,46,4.0,-3.4000000000000004,75.53,1000
18,2019,1,1,9,0,74,3.9,-3.0,75.21000000000001,1001
19,2019,1,1,9,30,103,3.7,-2.6,73.01,1001
20,2019,1,1,10,0,92,3.4000000000000004,-2.1,73.88,1001
21,2019,1,1,10,30,46,3.2,-1.7000000000000002,71.66,1000
22,2019,1,1,11,0,89,3.0,-1.3,72.86,1000
23,2019,1,1,11,30,185,2.9000000000000004,-1.1,71.8,1000
24,2019,1,1,12,0,159,2.8000000000000003,-0.8,72.38,1000
25,2019,1,1,12,30,166,2.7,-0.8,72.38,1000
26,2019,1,1,13,0,173,2.7,-0.7000000000000001,72.67,1000
27,2019,1,1,13,30,143,2.7,-0.9,73.74,1000
28,2019,1,1,14,0,113,2.7,-1.0,74.14,1000
29,2019,1,1,14,30,53,2.6,-1.4,76.34,1000
30,2019,1,1,15,0,45,2.5,-1.7000000000000002,77.51,1001
31,2019,1,1,15,30,44,2.3000000000000003,-2.3000000000000003,81.01,1001
32,2019,1,1,16,0,13,2.1,-2.8000000000000003,82.79,1001
33,2019,1,1,16,30,3,2.3000000000000003,-3.1,84.66,1001
34,2019,1,1,17,0,0,2.4000000000000004,-3.3000000000000003,83.66,1001
35,2019,1,1,17,30,0,2.4000000000000004,-3.3000000000000003,83.66,1001
36,2019,1,1,18,0,0,2.4000000000000004,-3.8,84.94,1002
37,2019,1,1,18,30,0,2.3000000000000003,-4.0,86.13,1001
38,2019,1,1,19,0,0,2.1,-4.2,85.74,1001
39,2019,1,1,19,30,0,2.0,-4.4,87.04,1001
40,2019,1,1,20,0,0,1.8,-4.6000000000000005,86.98,1001
41,2019,1,1,20,30,0,1.6,-4.800000000000001,88.3,1001
42,2019,1,1,21,0,0,1.4,-4.9,87.93,1001
43,2019,1,1,21,30,0,1.2000000000000002,-5.0,88.5,1000
44,2019,1,1,22,0,0,1.1,-5.1000000000000005,87.94,1000
45,2019,1,1,22,30,0,1.0,-5.2,88.61,1000
46,2019,1,1,23,0,0,0.9,-5.300000000000001,88.51,1000
47,2019,1,1,23,30,0,0.7000000000000001,-5.300000000000001,88.51,1000
48,2019,1,2,0,0,0,0.5,-5.300000000000001,88.89,1000
49,2019,1,2,0,30,0,0.4,-5.300000000000001,88.89,1000
50,2019,1,2,1,0,0,0.3,-5.2,87.61,1000
51,2019,1,2,1,30,0,0.4,-5.300000000000001,88.28,1000
52,2019,1,2,2,0,0,0.6000000000000001,-5.4,88.71000000000001,1000
53,2019,1,2,2,30,0,0.7000000000000001,-5.300000000000001,87.95,999
54,2019,1,2,3,0,0,0.8,-5.300000000000001,90.15,999
55,2019,1,2,3,30,0,0.8,-5.0,88.04,998
56,2019,1,2,4,0,0,0.8,-4.800000000000001,89.85000000000001,998
57,2019,1,2,4,30,0,0.9,-4.6000000000000005,88.5,998
58,2019,1,2,5,0,0,0.9,-4.5,90.47,998
59,2019,1,2,5,30,0,1.0,-4.3,89.12,998
60,2019,1,2,6,0,0,1.1,-4.2,90.02,998
61,2019,1,2,6,30,0,1.2000000000000002,-4.0,88.68,998
62,2019,1,2,7,0,0,1.4,-3.9,89.75,998
63,2019,1,2,7,30,4,2.0,-3.1,84.46000000000001,997
64,2019,1,2,8,0,8,2.5,-2.3000000000000003,84.18,997
65,2019,1,2,8,30,16,3.3000000000000003,-1.7000000000000002,80.54,997
66,2019,1,2,9,0,33,4.1000000000000005,-1.2000000000000002,77.05,997
67,2019,1,2,9,30,81,4.5,-1.0,75.93,997
68,2019,1,2,10,0,87,4.9,-0.9,71.82000000000001,996
69,2019,1,2,10,30,136,5.0,-0.9,71.74,995
70,2019,1,2,11,0,139,5.1000000000000005,-0.8,69.14,994
71,2019,1,2,11,30,99,5.2,-0.8,69.14,994
72,2019,1,2,12,0,138,5.300000000000001,-0.8,68.23,993
73,2019,1,2,12,30,135,5.4,-0.8,68.23,993
74,2019,1,2,13,0,147,5.6000000000000005,-0.8,68.33,992
75,2019,1,2,13,30,119,5.6000000000000005,-0.8,68.33,992
76,2019,1,2,14,0,89,5.6000000000000005,-0.9,69.82000000000001,991
77,2019,1,2,14,30,66,5.300000000000001,-1.1,70.85000000000001,991
78,2019,1,2,15,0,34,5.0,-1.3,73.93,991
79,2019,1,2,15,30,21,4.6000000000000005,-1.6,75.57000000000001,991
80,2019,1,2,16,0,9,4.3,-1.9,78.97,992
81,2019,1,2,16,30,3,4.3,-2.2,80.73,992
82,2019,1,2,17,0,0,4.3,-2.4000000000000004,81.59,992
83,2019,1,2,17,30,0,4.3,-2.4000000000000004,81.59,992
84,2019,1,2,18,0,0,4.5,-2.8000000000000003,81.63,992
85,2019,1,2,18,30,0,4.4,-3.0,82.85000000000001,992
86,2019,1,2,19,0,0,4.3,-3.2,80.42,992
87,2019,1,2,19,30,0,4.0,-3.7,83.48,992
88,2019,1,2,20,0,0,3.7,-4.1000000000000005,81.97,993
89,2019,1,2,20,30,0,3.3000000000000003,-4.5,84.48,993
90,2019,1,2,21,0,0,2.9000000000000004,-4.9,84.74,993
91,2019,1,2,21,30,0,2.9000000000000004,-5.0,85.38,993
92,2019,1,2,22,0,0,2.9000000000000004,-5.1000000000000005,85.52,992
93,2019,1,2,22,30,0,3.1,-5.1000000000000005,85.52,992
94,2019,1,2,23,0,0,3.3000000000000003,-5.1000000000000005,86.8,992
95,2019,1,2,23,30,0,3.4000000000000004,-5.1000000000000005,86.8,992
96,2019,1,3,0,0,0,3.5,-5.1000000000000005,88.44,992
97,2019,1,3,0,30,0,3.5,-5.300000000000001,89.88,993
98,2019,1,3,1,0,0,3.5,-5.4,91.52,993
99,2019,1,3,1,30,0,3.4000000000000004,-5.5,92.22,993
100,2019,1,3,2,0,0,3.3000000000000003,-5.7,93.38,993
101,2019,1,3,2,30,0,3.3000000000000003,-5.800000000000001,94.1,993
102,2019,1,3,3,0,0,3.3000000000000003,-6.0,94.54,992
103,2019,1,3,3,30,0,3.1,-6.2,95.99,992
104,2019,1,3,4,0,0,2.9000000000000004,-6.4,96.29,992
105,2019,1,3,4,30,0,2.7,-6.6000000000000005,97.88,993
106,2019,1,3,5,0,0,2.5,-6.800000000000001,98.22,993
107,2019,1,3,5,30,0,2.5,-6.800000000000001,98.22,993
108,2019,1,3,6,0,0,2.5,-6.9,98.03,993
109,2019,1,3,6,30,0,2.9000000000000004,-6.7,96.43,992
110,2019,1,3,7,0,0,3.2,-6.4,94.6,992
111,2019,1,3,7,30,6,3.6,-5.7,89.68,992
112,2019,1,3,8,0,11,4.0,-4.9,89.05,992
113,2019,1,3,8,30,46,4.2,-3.8,81.98,992
114,2019,1,3,9,0,156,4.4,-2.7,80.48,992
115,2019,1,3,9,30,284,4.7,-1.4,73.12,992
116,2019,1,3,10,0,342,4.9,-0.2,71.7,992
117,2019,1,3,10,30,387,5.1000000000000005,0.9,66.15,991
118,2019,1,3,11,0,421,5.2,1.9,65.88,991
119,2019,1,3,11,30,441,5.1000000000000005,2.5,63.07,990
