,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,5.300000000000001,-1.7000000000000002,91.09,985
1,2019,1,1,0,30,0,5.300000000000001,-2.0,93.31,987
2,2019,1,1,1,0,0,5.2,-2.4000000000000004,89.29,988
3,2019,1,1,1,30,0,5.1000000000000005,-2.7,91.39,989
4,2019,1,1,2,0,0,4.9,-3.0,87.92,990
5,2019,1,1,2,30,0,5.0,-3.3000000000000003,90.0,991
6,2019,1,1,3,0,0,5.2,-3.5,87.29,991
7,2019,1,1,3,30,0,5.300000000000001,-3.7,88.7,992
8,2019,1,1,4,0,0,5.5,-4.0,86.86,992
9,2019,1,1,4,30,0,5.5,-4.2,88.17,992
10,2019,1,1,5,0,0,5.4,-4.4,86.10000000000001,993
11,2019,1,1,5,30,0,5.1000000000000005,-4.7,88.07000000000001,993
12,2019,1,1,6,0,0,4.7,-4.9,87.2,994
13,2019,1,1,6,30,0,4.3,-5.0,87.86,994
14,2019,1,1,7,0,0,3.9,-5.2,87.55,995
15,2019,1,1,7,30,5,4.0,-4.9,85.67,996
16,2019,1,1,8,0,28,4.1000000000000005,-4.5,85.65,996
17,2019,1,1,8,30,59,4.2,-4.1000000000000005,83.11,996
18,2019,1,1,9,0,96,4.3,-3.6,83.72,996
19,2019,1,1,9,30,104,4.2,-3.2,81.26,996
20,2019,1,1,10,0,110,4.1000000000000005,-2.9000000000000004,82.86,996
21,2019,1,1,10,30,217,3.9,-2.7,81.64,996
22,2019,1,1,11,0,253,3.8,-2.5,82.14,996
23,2019,1,1,11,30,238,3.7,-2.5,82.14,996
24,2019,1,1,12,0,223,3.6,-2.4000000000000004,81.85000000000001,996
25,2019,1,1,12,30,231,3.5,-2.4000000000000004,81.85000000000001,996
26,2019,1,1,13,0,208,3.4000000000000004,-2.5,81.95,996
27,2019,1,1,13,30,157,3.2,-2.6,82.56,996
28,2019,1,1,14,0,104,3.0,-2.7,82.03,996
29,2019,1,1,14,30,79,2.8000000000000003,-2.9000000000000004,83.34,997
30,2019,1,1,15,0,66,2.5,-3.2,83.74,997
31,2019,1,1,15,30,97,2.4000000000000004,-3.6,86.28,997
32,2019,1,1,16,0,43,2.3000000000000003,-4.0,84.82000000000001,997
33,2019,1,1,16,30,5,2.4000000000000004,-4.2,86.10000000000001,997
34,2019,1,1,17,0,0,2.4000000000000004,-4.5,85.26,997
35,2019,1,1,17,30,0,2.4000000000000004,-4.5,85.26,997
36,2019,1,1,18,0,0,2.3000000000000003,-4.9,85.78,997
37,2019,1,1,18,30,0,2.2,-5.1000000000000005,87.09,997
38,2019,1,1,19,0,0,2.1,-5.4,86.87,997
39,2019,1,1,19,30,0,2.1,-5.6000000000000005,88.2,997
40,2019,1,1,20,0,0,2.0,-5.800000000000001,87.3,997
41,2019,1,1,20,30,0,1.9,-5.9,87.87,996
42,2019,1,1,21,0,0,1.8,-6.0,86.94,996
43,2019,1,1,21,30,0,1.7000000000000002,-6.1000000000000005,87.61,996
44,2019,1,1,22,0,0,1.5,-6.1000000000000005,86.79,996
45,2019,1,1,22,30,0,1.5,-6.2,87.45,996
46,2019,1,1,23,0,0,1.4,-6.300000000000001,87.14,995
47,2019,1,1,23,30,0,1.4,-6.5,88.49,995
48,2019,1,2,0,0,0,1.3,-6.6000000000000005,88.11,995
49,2019,1,2,0,30,0,1.3,-6.7,88.79,995
50,2019,1,2,1,0,0,1.2000000000000002,-6.800000000000001,88.87,995
51,2019,1,2,1,30,0,1.3,-6.800000000000001,88.87,995
52,2019,1,2,2,0,0,1.5,-6.9,89.33,995
53,2019,1,2,2,30,0,1.6,-6.9,89.33,995
54,2019,1,2,3,0,0,1.8,-6.800000000000001,89.21000000000001,995
55,2019,1,2,3,30,0,1.8,-6.6000000000000005,87.76,994
56,2019,1,2,4,0,0,1.8,-6.4,88.09,994
57,2019,1,2,4,30,0,1.8,-6.2,86.67,993
58,2019,1,2,5,0,0,1.8,-6.0,87.58,993
59,2019,1,2,5,30,0,1.9,-5.800000000000001,86.25,993
60,2019,1,2,6,0,0,1.9,-5.6000000000000005,87.38,993
61,2019,1,2,6,30,0,2.1,-5.4,86.06,993
62,2019,1,2,7,0,0,2.2,-5.2,87.93,993
63,2019,1,2,7,30,9,2.5,-4.6000000000000005,84.03,993
64,2019,1,2,8,0,49,2.8000000000000003,-4.0,87.12,993
65,2019,1,2,8,30,106,3.3000000000000003,-3.2,82.07000000000001,993
66,2019,1,2,9,0,167,3.8,-2.5,85.42,992
67,2019,1,2,9,30,174,4.3,-2.1,82.93,992
68,2019,1,2,10,0,168,4.7,-1.6,81.65,991
69,2019,1,2,10,30,202,5.0,-1.5,80.98,990
70,2019,1,2,11,0,225,5.2,-1.3,78.17,989
71,2019,1,2,11,30,219,5.4,-1.3,78.17,989
72,2019,1,2,12,0,230,5.5,-1.3,76.08,988
73,2019,1,2,12,30,237,5.6000000000000005,-1.3,76.0,987
74,2019,1,2,13,0,210,5.7,-1.3,75.21000000000001,987
75,2019,1,2,13,30,191,5.7,-1.4,75.76,987
76,2019,1,2,14,0,150,5.6000000000000005,-1.5,76.56,986
77,2019,1,2,14,30,116,5.2,-1.7000000000000002,77.69,986
78,2019,1,2,15,0,82,4.9,-1.8,79.66,986
79,2019,1,2,15,30,48,4.7,-2.2,82.04,986
