,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.2,-0.8,92.64,998
1,2019,1,1,0,30,0,3.4000000000000004,-0.8,92.73,999
2,2019,1,1,1,0,0,3.5,-0.7000000000000001,88.65,1000
3,2019,1,1,1,30,0,3.7,-0.9,90.04,1001
4,2019,1,1,2,0,0,3.8,-1.1,86.61,1002
5,2019,1,1,2,30,0,3.9,-1.3,87.89,1002
6,2019,1,1,3,0,0,4.0,-1.6,84.37,1003
7,2019,1,1,3,30,0,4.0,-1.8,85.62,1003
8,2019,1,1,4,0,0,4.1000000000000005,-2.1,82.44,1003
9,2019,1,1,4,30,0,4.1000000000000005,-2.3000000000000003,83.75,1004
10,2019,1,1,5,0,0,4.1000000000000005,-2.6,81.21000000000001,1004
11,2019,1,1,5,30,0,4.0,-2.7,81.89,1005
12,2019,1,1,6,0,0,3.9,-2.9000000000000004,80.07000000000001,1005
13,2019,1,1,6,30,0,3.8,-3.0,80.75,1006
14,2019,1,1,7,0,0,3.7,-3.1,79.42,1007
15,2019,1,1,7,30,2,3.9,-2.9000000000000004,78.24,1007
16,2019,1,1,8,0,14,4.1000000000000005,-2.7,74.59,1008
17,2019,1,1,8,30,28,4.0,-2.3000000000000003,72.41,1008
18,2019,1,1,9,0,44,3.9,-2.0,70.17,1008
19,2019,1,1,9,30,52,3.6,-1.6,68.14,1008
20,2019,1,1,10,0,49,3.3000000000000003,-1.2000000000000002,67.96000000000001,1008
21,2019,1,1,10,30,32,3.1,-0.8,66.0,1008
22,2019,1,1,11,0,68,2.8000000000000003,-0.4,66.53,1008
23,2019,1,1,11,30,100,2.7,-0.1,65.09,1008
24,2019,1,1,12,0,82,2.5,0.1,66.12,1007
25,2019,1,1,12,30,78,2.5,0.2,65.64,1007
26,2019,1,1,13,0,73,2.5,0.3,66.2,1007
27,2019,1,1,13,30,63,2.5,0.2,66.68,1007
28,2019,1,1,14,0,42,2.5,0.0,67.94,1007
29,2019,1,1,14,30,31,2.4000000000000004,-0.3,69.51,1008
30,2019,1,1,15,0,16,2.3000000000000003,-0.7000000000000001,72.2,1008
31,2019,1,1,15,30,11,2.1,-1.3,75.43,1008
32,2019,1,1,16,0,5,1.9,-2.0,80.51,1008
33,2019,1,1,16,30,1,2.0,-2.3000000000000003,82.31,1008
34,2019,1,1,17,0,0,2.2,-2.5,81.25,1009
35,2019,1,1,17,30,0,2.2,-2.5,81.25,1009
36,2019,1,1,18,0,0,2.2,-3.0,82.8,1009
37,2019,1,1,18,30,0,2.1,-3.2,84.04,1009
38,2019,1,1,19,0,0,2.0,-3.5,84.88,1009
39,2019,1,1,19,30,0,1.7000000000000002,-3.7,86.07000000000001,1008
40,2019,1,1,20,0,0,1.5,-3.9,86.61,1008
41,2019,1,1,20,30,0,1.2000000000000002,-4.1000000000000005,87.92,1008
42,2019,1,1,21,0,0,1.0,-4.3,88.76,1008
43,2019,1,1,21,30,0,0.9,-4.4,89.43,1008
44,2019,1,1,22,0,0,0.8,-4.5,88.89,1007
45,2019,1,1,22,30,0,0.7000000000000001,-4.5,88.89,1007
46,2019,1,1,23,0,0,0.6000000000000001,-4.5,88.64,1007
47,2019,1,1,23,30,0,0.5,-4.5,88.64,1007
48,2019,1,2,0,0,0,0.4,-4.4,88.25,1007
49,2019,1,2,0,30,0,0.4,-4.4,88.25,1007
50,2019,1,2,1,0,0,0.4,-4.3,87.78,1007
51,2019,1,2,1,30,0,0.6000000000000001,-4.3,87.78,1007
52,2019,1,2,2,0,0,0.9,-4.3,87.96000000000001,1007
53,2019,1,2,2,30,0,0.9,-4.2,87.22,1006
54,2019,1,2,3,0,0,1.0,-4.0,88.10000000000001,1006
