,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.5,-1.0,98.25,991
1,2019,1,1,0,30,0,3.3000000000000003,-1.0,98.35,992
2,2019,1,1,1,0,0,3.1,-0.9,95.92,993
3,2019,1,1,1,30,0,2.8000000000000003,-1.0,96.72,994
4,2019,1,1,2,0,0,2.6,-1.0,94.71,995
5,2019,1,1,2,30,0,2.7,-1.2000000000000002,96.11,995
6,2019,1,1,3,0,0,2.7,-1.3,92.99,995
7,2019,1,1,3,30,0,3.0,-1.5,94.37,995
8,2019,1,1,4,0,0,3.3000000000000003,-1.7000000000000002,89.95,996
9,2019,1,1,4,30,0,3.3000000000000003,-1.9,91.29,996
10,2019,1,1,5,0,0,3.3000000000000003,-2.2,87.84,997
11,2019,1,1,5,30,0,3.3000000000000003,-2.3000000000000003,88.49,997
12,2019,1,1,6,0,0,3.4000000000000004,-2.4000000000000004,85.4,998
13,2019,1,1,6,30,0,3.4000000000000004,-2.5,86.12,999
14,2019,1,1,7,0,0,3.5,-2.5,84.17,999
15,2019,1,1,7,30,2,3.8,-2.2,82.4,1000
16,2019,1,1,8,0,10,4.0,-1.9,79.04,1000
17,2019,1,1,8,30,18,3.9,-1.4,76.19,1000
18,2019,1,1,9,0,29,3.8,-0.9,73.73,1000
19,2019,1,1,9,30,35,3.5,-0.4,71.16,1001
20,2019,1,1,10,0,43,3.2,0.1,70.9,1001
21,2019,1,1,10,30,39,2.9000000000000004,0.5,68.81,1000
22,2019,1,1,11,0,42,2.6,1.0,68.62,1000
23,2019,1,1,11,30,49,2.5,1.3,67.16,1000
24,2019,1,1,12,0,60,2.3000000000000003,1.5,67.71000000000001,1000
25,2019,1,1,12,30,68,2.4000000000000004,1.6,67.22,1000
26,2019,1,1,13,0,66,2.4000000000000004,1.6,67.62,1000
27,2019,1,1,13,30,48,2.5,1.4,68.60000000000001,1000
28,2019,1,1,14,0,44,2.6,1.3,68.8,1000
29,2019,1,1,14,30,29,2.3000000000000003,0.8,71.31,1000
30,2019,1,1,15,0,34,2.1,0.4,75.55,1000
31,2019,1,1,15,30,15,1.8,-0.6000000000000001,81.31,1001
32,2019,1,1,16,0,7,1.4,-1.5,87.14,1001
33,2019,1,1,16,30,1,1.7000000000000002,-1.8,89.08,1001
34,2019,1,1,17,0,0,1.9,-2.1,87.4,1001
35,2019,1,1,17,30,0,1.9,-2.1,87.4,1001
