,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,-0.8,97.51,996
1,2019,1,1,0,30,0,3.7,-0.9,98.33,997
2,2019,1,1,1,0,0,3.4000000000000004,-0.9,97.29,998
3,2019,1,1,1,30,0,3.1,-1.1,98.73,998
4,2019,1,1,2,0,0,2.7,-1.2000000000000002,98.0,999
5,2019,1,1,2,30,0,2.4000000000000004,-1.4,99.45,999
6,2019,1,1,3,0,0,2.1,-1.5,98.83,999
7,2019,1,1,3,30,0,1.9,-1.5,98.83,999
8,2019,1,1,4,0,0,1.7000000000000002,-1.5,98.56,1000
9,2019,1,1,4,30,0,1.6,-1.4,97.84,1000
10,2019,1,1,5,0,0,1.5,-1.2000000000000002,96.66,1001
11,2019,1,1,5,30,0,1.6,-1.1,95.96,1001
12,2019,1,1,6,0,0,1.6,-1.0,95.16,1002
13,2019,1,1,6,30,0,1.8,-0.8,93.78,1002
14,2019,1,1,7,0,0,2.0,-0.6000000000000001,92.12,1003
15,2019,1,1,7,30,4,2.6,0.0,88.19,1003
16,2019,1,1,8,0,8,3.2,0.6000000000000001,85.55,1004
17,2019,1,1,8,30,16,3.3000000000000003,1.0,83.13,1004
18,2019,1,1,9,0,24,3.4000000000000004,1.4,76.39,1004
19,2019,1,1,9,30,29,3.2,1.7000000000000002,74.76,1004
20,2019,1,1,10,0,36,3.0,2.0,71.26,1005
21,2019,1,1,10,30,55,2.7,2.2,70.19,1004
22,2019,1,1,11,0,69,2.4000000000000004,2.5,69.38,1004
23,2019,1,1,11,30,70,2.3000000000000003,2.6,68.89,1004
24,2019,1,1,12,0,68,2.2,2.8000000000000003,68.75,1004
25,2019,1,1,12,30,62,2.3000000000000003,2.8000000000000003,68.75,1004
26,2019,1,1,13,0,51,2.4000000000000004,2.9000000000000004,68.5,1004
27,2019,1,1,13,30,38,2.5,2.8000000000000003,68.98,1004
28,2019,1,1,14,0,34,2.5,2.6,69.49,1004
29,2019,1,1,14,30,22,2.3000000000000003,2.3000000000000003,70.98,1004
30,2019,1,1,15,0,16,2.1,1.9,74.97,1004
31,2019,1,1,15,30,10,1.7000000000000002,1.0,80.04,1005
32,2019,1,1,16,0,6,1.3,0.0,87.87,1005
33,2019,1,1,16,30,2,1.4,-0.4,90.46,1005
34,2019,1,1,17,0,0,1.6,-0.8,88.69,1005
35,2019,1,1,17,30,0,1.6,-0.8,88.69,1005
36,2019,1,1,18,0,0,1.7000000000000002,-1.3,89.10000000000001,1005
37,2019,1,1,18,30,0,1.7000000000000002,-1.6,91.08,1005
38,2019,1,1,19,0,0,1.6,-2.0,90.79,1005
39,2019,1,1,19,30,0,1.5,-2.5,94.2,1005
40,2019,1,1,20,0,0,1.3,-3.0,94.02,1005
41,2019,1,1,20,30,0,1.2000000000000002,-3.1,94.72,1005
42,2019,1,1,21,0,0,1.1,-3.2,94.54,1005
43,2019,1,1,21,30,0,0.9,-3.1,93.84,1005
44,2019,1,1,22,0,0,0.8,-3.1,93.32,1004
45,2019,1,1,22,30,0,0.8,-3.1,93.32,1004
46,2019,1,1,23,0,0,0.7000000000000001,-3.0,92.28,1004
47,2019,1,1,23,30,0,0.7000000000000001,-3.0,92.28,1004
48,2019,1,2,0,0,0,0.6000000000000001,-2.9000000000000004,90.92,1004
49,2019,1,2,0,30,0,0.6000000000000001,-2.9000000000000004,90.92,1004
50,2019,1,2,1,0,0,0.6000000000000001,-2.9000000000000004,90.66,1004
51,2019,1,2,1,30,0,0.7000000000000001,-3.0,91.34,1004
52,2019,1,2,2,0,0,0.8,-3.1,92.08,1004
53,2019,1,2,2,30,0,0.8,-3.0,91.39,1004
54,2019,1,2,3,0,0,0.8,-3.0,92.25,1003
55,2019,1,2,3,30,0,0.9,-2.9000000000000004,91.57,1003
56,2019,1,2,4,0,0,0.9,-2.8000000000000003,91.39,1003
57,2019,1,2,4,30,0,0.9,-2.8000000000000003,91.39,1003
58,2019,1,2,5,0,0,0.8,-2.9000000000000004,91.39,1002
59,2019,1,2,5,30,0,0.9,-2.9000000000000004,91.48,1003
60,2019,1,2,6,0,0,0.9,-2.9000000000000004,90.3,1003
61,2019,1,2,6,30,0,1.1,-2.7,88.97,1003
62,2019,1,2,7,0,0,1.3,-2.5,87.79,1003
63,2019,1,2,7,30,7,2.0,-1.9,83.99,1003
64,2019,1,2,8,0,27,2.8000000000000003,-1.3,77.16,1003
65,2019,1,2,8,30,78,3.3000000000000003,-0.8,74.39,1003
66,2019,1,2,9,0,73,3.8,-0.4,69.91,1003
