,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-0.7000000000000001,98.12,993
1,2019,1,1,0,30,0,3.9,-0.7000000000000001,98.22,994
2,2019,1,1,1,0,0,3.7,-0.8,98.09,995
3,2019,1,1,1,30,0,3.3000000000000003,-0.9,98.8,995
4,2019,1,1,2,0,0,2.9000000000000004,-1.0,98.18,996
5,2019,1,1,2,30,0,2.5,-1.3,100.0,996
6,2019,1,1,3,0,0,2.1,-1.5,100.0,996
7,2019,1,1,3,30,0,1.9,-1.6,100.0,996
8,2019,1,1,4,0,0,1.7000000000000002,-1.7000000000000002,100.0,996
9,2019,1,1,4,30,0,1.6,-1.6,100.0,997
10,2019,1,1,5,0,0,1.5,-1.5,99.04,997
11,2019,1,1,5,30,0,1.6,-1.4,98.41,998
12,2019,1,1,6,0,0,1.7000000000000002,-1.3,97.22,998
13,2019,1,1,6,30,0,2.0,-1.0,95.2,999
14,2019,1,1,7,0,0,2.3000000000000003,-0.8,93.71,999
15,2019,1,1,7,30,2,2.8000000000000003,-0.1,89.15,1000
16,2019,1,1,8,0,9,3.4000000000000004,0.6000000000000001,86.03,1000
17,2019,1,1,8,30,16,3.5,1.1,83.07000000000001,1001
18,2019,1,1,9,0,24,3.6,1.5,78.04,1001
19,2019,1,1,9,30,30,3.3000000000000003,1.9,75.85000000000001,1001
20,2019,1,1,10,0,42,3.0,2.3000000000000003,73.73,1001
21,2019,1,1,10,30,56,2.7,2.6,72.18,1001
22,2019,1,1,11,0,67,2.3000000000000003,2.9000000000000004,72.02,1001
23,2019,1,1,11,30,74,2.2,3.1,71.01,1001
24,2019,1,1,12,0,100,2.1,3.3000000000000003,70.83,1001
25,2019,1,1,12,30,94,2.2,3.4000000000000004,70.26,1000
26,2019,1,1,13,0,68,2.3000000000000003,3.4000000000000004,70.21000000000001,1000
27,2019,1,1,13,30,52,2.4000000000000004,3.3000000000000003,70.71000000000001,1000
28,2019,1,1,14,0,41,2.5,3.2,70.51,1000
29,2019,1,1,14,30,24,2.3000000000000003,2.9000000000000004,72.09,1001
30,2019,1,1,15,0,20,2.0,2.5,75.64,1001
31,2019,1,1,15,30,13,1.6,1.6,80.64,1001
32,2019,1,1,16,0,7,1.2000000000000002,0.6000000000000001,89.06,1001
33,2019,1,1,16,30,2,1.4,0.2,91.77,1002
34,2019,1,1,17,0,0,1.6,-0.3,90.4,1002
35,2019,1,1,17,30,0,1.6,-0.3,90.4,1002
36,2019,1,1,18,0,0,1.8,-0.8,90.3,1002
37,2019,1,1,18,30,0,1.7000000000000002,-1.1,92.3,1002
38,2019,1,1,19,0,0,1.6,-1.5,91.76,1002
39,2019,1,1,19,30,0,1.5,-1.9,94.5,1002
40,2019,1,1,20,0,0,1.3,-2.4000000000000004,93.7,1002
41,2019,1,1,20,30,0,1.2000000000000002,-2.8000000000000003,96.52,1002
42,2019,1,1,21,0,0,1.0,-3.1,96.13,1002
43,2019,1,1,21,30,0,0.9,-3.1,96.04,1001
44,2019,1,1,22,0,0,0.9,-3.1,94.89,1001
45,2019,1,1,22,30,0,0.8,-3.0,94.18,1001
46,2019,1,1,23,0,0,0.7000000000000001,-2.9000000000000004,92.83,1001
47,2019,1,1,23,30,0,0.6000000000000001,-2.8000000000000003,92.14,1001
48,2019,1,2,0,0,0,0.6000000000000001,-2.8000000000000003,91.28,1001
49,2019,1,2,0,30,0,0.4,-2.7,90.61,1001
50,2019,1,2,1,0,0,0.2,-2.5,88.99,1001
51,2019,1,2,1,30,0,0.4,-2.6,89.65,1001
52,2019,1,2,2,0,0,0.6000000000000001,-2.7,90.5,1001
53,2019,1,2,2,30,0,0.7000000000000001,-2.7,90.5,1001
54,2019,1,2,3,0,0,0.7000000000000001,-2.8000000000000003,92.31,1000
55,2019,1,2,3,30,0,0.8,-2.7,91.63,1000
56,2019,1,2,4,0,0,0.8,-2.6,92.18,1000
57,2019,1,2,4,30,0,0.8,-2.6,92.18,1000
58,2019,1,2,5,0,0,0.8,-2.6,92.01,999
59,2019,1,2,5,30,0,0.9,-2.6,92.1,1000
60,2019,1,2,6,0,0,1.0,-2.6,91.49,1000
61,2019,1,2,6,30,0,1.2000000000000002,-2.4000000000000004,90.14,1000
62,2019,1,2,7,0,0,1.4,-2.3000000000000003,89.62,1000
63,2019,1,2,7,30,11,2.1,-1.7000000000000002,85.74,1000
64,2019,1,2,8,0,50,2.8000000000000003,-1.1,79.35000000000001,1000
65,2019,1,2,8,30,97,3.3000000000000003,-0.7000000000000001,77.06,1000
66,2019,1,2,9,0,149,3.8,-0.3,71.4,1000
67,2019,1,2,9,30,114,4.0,-0.2,70.81,999
68,2019,1,2,10,0,80,4.2,0.0,69.42,999
69,2019,1,2,10,30,81,4.4,0.1,68.85000000000001,998
70,2019,1,2,11,0,102,4.6000000000000005,0.2,69.38,998
71,2019,1,2,11,30,203,4.800000000000001,0.2,69.31,997
72,2019,1,2,12,0,100,4.9,0.2,70.85000000000001,997
73,2019,1,2,12,30,56,4.9,0.1,71.29,996
74,2019,1,2,13,0,41,4.800000000000001,0.0,73.62,996
75,2019,1,2,13,30,52,4.800000000000001,-0.1,74.08,995
76,2019,1,2,14,0,40,4.7,-0.1,76.04,995
77,2019,1,2,14,30,25,4.5,-0.3,77.16,995
78,2019,1,2,15,0,15,4.2,-0.5,80.43,994
79,2019,1,2,15,30,10,3.9,-0.8,82.29,995
80,2019,1,2,16,0,7,3.5,-1.1,85.54,995
81,2019,1,2,16,30,2,3.4000000000000004,-1.3,86.8,995
82,2019,1,2,17,0,0,3.3000000000000003,-1.5,88.16,995
83,2019,1,2,17,30,0,3.3000000000000003,-1.5,88.16,995
84,2019,1,2,18,0,0,3.1,-1.8,88.43,995
85,2019,1,2,18,30,0,3.1,-2.1,90.41,995
86,2019,1,2,19,0,0,3.0,-2.3000000000000003,87.54,995
87,2019,1,2,19,30,0,2.8000000000000003,-2.5,88.94,996
88,2019,1,2,20,0,0,2.6,-2.7,87.41,996
89,2019,1,2,20,30,0,2.5,-2.9000000000000004,88.72,996
90,2019,1,2,21,0,0,2.3000000000000003,-3.0,88.45,996
91,2019,1,2,21,30,0,2.3000000000000003,-3.0,88.45,996
92,2019,1,2,22,0,0,2.3000000000000003,-3.1,88.58,996
93,2019,1,2,22,30,0,2.3000000000000003,-3.1,88.58,996
94,2019,1,2,23,0,0,2.3000000000000003,-3.1,88.12,996
95,2019,1,2,23,30,0,2.4000000000000004,-3.1,88.12,996
96,2019,1,3,0,0,0,2.4000000000000004,-3.2,88.37,996
97,2019,1,3,0,30,0,2.4000000000000004,-3.2,88.37,996
98,2019,1,3,1,0,0,2.3000000000000003,-3.3000000000000003,88.65,996
99,2019,1,3,1,30,0,2.1,-3.5,89.99,996
100,2019,1,3,2,0,0,2.0,-3.7,90.09,996
101,2019,1,3,2,30,0,1.8,-4.0,92.14,996
102,2019,1,3,3,0,0,1.7000000000000002,-4.3,91.56,996
103,2019,1,3,3,30,0,1.6,-4.5,92.85,995
104,2019,1,3,4,0,0,1.6,-4.6000000000000005,92.26,995
