,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.9,-0.3,98.61,997
1,2019,1,1,0,30,0,3.7,-0.4,99.43,998
2,2019,1,1,1,0,0,3.6,-0.6000000000000001,97.35,999
3,2019,1,1,1,30,0,3.2,-0.9,99.51,999
4,2019,1,1,2,0,0,2.8000000000000003,-1.2000000000000002,98.36,999
5,2019,1,1,2,30,0,2.5,-1.5,100.0,999
6,2019,1,1,3,0,0,2.2,-1.8,100.0,1000
7,2019,1,1,3,30,0,2.3000000000000003,-1.9,100.0,1000
8,2019,1,1,4,0,0,2.3000000000000003,-1.9,99.45,1000
9,2019,1,1,4,30,0,2.3000000000000003,-1.9,99.45,1000
10,2019,1,1,5,0,0,2.4000000000000004,-1.8,97.76,1001
11,2019,1,1,5,30,0,2.4000000000000004,-1.7000000000000002,97.04,1001
12,2019,1,1,6,0,0,2.5,-1.5,95.71,1002
13,2019,1,1,6,30,0,2.6,-1.2000000000000002,93.63,1002
14,2019,1,1,7,0,0,2.6,-0.9,93.21,1003
15,2019,1,1,7,30,3,2.9000000000000004,-0.1,87.94,1003
16,2019,1,1,8,0,7,3.1,0.6000000000000001,87.88,1004
17,2019,1,1,8,30,13,3.2,1.3,83.57000000000001,1004
18,2019,1,1,9,0,19,3.3000000000000003,2.0,82.61,1004
19,2019,1,1,9,30,26,3.2,2.6,79.16,1004
20,2019,1,1,10,0,46,3.1,3.1,77.14,1004
21,2019,1,1,10,30,62,3.0,3.3000000000000003,76.06,1004
22,2019,1,1,11,0,79,2.9000000000000004,3.6,73.62,1004
23,2019,1,1,11,30,75,3.0,3.6,73.62,1004
24,2019,1,1,12,0,64,3.0,3.7,71.76,1004
25,2019,1,1,12,30,66,3.1,3.6,72.27,1004
26,2019,1,1,13,0,71,3.1,3.6,70.58,1003
27,2019,1,1,13,30,58,3.1,3.4000000000000004,71.65,1004
28,2019,1,1,14,0,44,3.2,3.3000000000000003,70.36,1004
29,2019,1,1,14,30,24,3.1,2.9000000000000004,72.38,1004
30,2019,1,1,15,0,21,3.0,2.6,72.86,1004
31,2019,1,1,15,30,16,2.4000000000000004,1.8,77.13,1004
32,2019,1,1,16,0,9,1.9,0.9,84.19,1005
