,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.7,0.3,100.0,999
1,2019,1,1,0,30,0,3.6,0.1,100.0,1000
2,2019,1,1,1,0,0,3.5,-0.1,99.13,1001
3,2019,1,1,1,30,0,3.1,-0.4,100.0,1001
4,2019,1,1,2,0,0,2.7,-0.7000000000000001,99.09,1001
5,2019,1,1,2,30,0,2.5,-0.9,100.0,1002
6,2019,1,1,3,0,0,2.2,-1.2000000000000002,99.55,1002
7,2019,1,1,3,30,0,2.3000000000000003,-1.3,100.0,1002
8,2019,1,1,4,0,0,2.3000000000000003,-1.4,98.95,1002
9,2019,1,1,4,30,0,2.4000000000000004,-1.4,99.05,1003
10,2019,1,1,5,0,0,2.4000000000000004,-1.3,96.86,1003
11,2019,1,1,5,30,0,2.5,-1.2000000000000002,96.15,1003
12,2019,1,1,6,0,0,2.5,-1.1,94.8,1004
13,2019,1,1,6,30,0,2.7,-0.9,93.43,1004
14,2019,1,1,7,0,0,2.8000000000000003,-0.6000000000000001,91.96,1005
15,2019,1,1,7,30,3,3.0,0.1,87.4,1005
16,2019,1,1,8,0,11,3.2,0.8,86.47,1006
17,2019,1,1,8,30,20,3.3000000000000003,1.5,82.24,1006
18,2019,1,1,9,0,30,3.3000000000000003,2.3000000000000003,80.74,1006
19,2019,1,1,9,30,35,3.2,2.9000000000000004,77.38,1006
20,2019,1,1,10,0,53,3.1,3.5,76.3,1007
21,2019,1,1,10,30,68,3.1,3.8,74.63,1006
22,2019,1,1,11,0,79,3.0,4.0,73.16,1006
23,2019,1,1,11,30,64,3.1,4.0,73.16,1006
24,2019,1,1,12,0,58,3.1,4.1000000000000005,71.46000000000001,1006
25,2019,1,1,12,30,67,3.2,4.0,71.96000000000001,1006
26,2019,1,1,13,0,62,3.2,4.0,70.65,1005
27,2019,1,1,13,30,51,3.2,3.9,71.22,1006
28,2019,1,1,14,0,44,3.2,3.7,70.73,1006
29,2019,1,1,14,30,36,3.1,3.4000000000000004,72.24,1006
30,2019,1,1,15,0,32,3.0,3.1,72.86,1006
31,2019,1,1,15,30,24,2.5,2.3000000000000003,77.11,1006
32,2019,1,1,16,0,13,2.0,1.5,83.47,1007
33,2019,1,1,16,30,6,2.0,1.0,86.51,1007
34,2019,1,1,17,0,0,2.1,0.4,87.58,1007
35,2019,1,1,17,30,0,2.1,0.4,87.58,1007
36,2019,1,1,18,0,0,2.3000000000000003,-0.3,88.58,1007
37,2019,1,1,18,30,0,2.2,-0.6000000000000001,90.54,1007
38,2019,1,1,19,0,0,2.1,-0.9,89.64,1007
39,2019,1,1,19,30,0,2.0,-1.3,92.3,1007
40,2019,1,1,20,0,0,1.8,-1.6,91.72,1007
41,2019,1,1,20,30,0,1.6,-1.9,93.77,1007
42,2019,1,1,21,0,0,1.5,-2.2,93.05,1007
43,2019,1,1,21,30,0,1.4,-2.4000000000000004,94.43,1007
44,2019,1,1,22,0,0,1.3,-2.7,94.02,1007
45,2019,1,1,22,30,0,1.2000000000000002,-2.8000000000000003,94.72,1007
46,2019,1,1,23,0,0,1.2000000000000002,-3.0,93.93,1006
47,2019,1,1,23,30,0,1.2000000000000002,-3.0,93.93,1006
