,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.0,-0.8,96.33,993
1,2019,1,1,0,30,0,2.8000000000000003,-0.8,96.43,994
2,2019,1,1,1,0,0,2.5,-0.7000000000000001,94.91,995
3,2019,1,1,1,30,0,2.5,-0.8,95.6,995
4,2019,1,1,2,0,0,2.4000000000000004,-0.9,94.35,996
5,2019,1,1,2,30,0,2.7,-0.9,94.35,996
6,2019,1,1,3,0,0,3.0,-1.0,91.31,996
7,2019,1,1,3,30,0,3.2,-1.1,92.07,997
8,2019,1,1,4,0,0,3.4000000000000004,-1.3,87.56,997
9,2019,1,1,4,30,0,3.4000000000000004,-1.6,89.51,997
10,2019,1,1,5,0,0,3.4000000000000004,-1.9,84.16,998
11,2019,1,1,5,30,0,3.3000000000000003,-2.1,85.5,999
12,2019,1,1,6,0,0,3.2,-2.2,82.05,999
13,2019,1,1,6,30,0,3.4000000000000004,-2.3000000000000003,82.74,1000
14,2019,1,1,7,0,0,3.5,-2.4000000000000004,81.38,1001
15,2019,1,1,7,30,2,3.7,-2.1,79.60000000000001,1001
16,2019,1,1,8,0,8,3.9,-1.8,75.78,1001
17,2019,1,1,8,30,16,3.8,-1.4,73.66,1002
18,2019,1,1,9,0,24,3.7,-1.0,70.28,1002
19,2019,1,1,9,30,31,3.4000000000000004,-0.6000000000000001,68.26,1002
20,2019,1,1,10,0,55,3.0,-0.2,67.13,1002
21,2019,1,1,10,30,114,2.7,0.1,65.69,1002
22,2019,1,1,11,0,153,2.4000000000000004,0.5,65.24,1002
23,2019,1,1,11,30,117,2.3000000000000003,0.7000000000000001,64.31,1002
24,2019,1,1,12,0,88,2.2,0.9,64.55,1001
25,2019,1,1,12,30,84,2.2,0.9,64.55,1001
26,2019,1,1,13,0,86,2.3000000000000003,0.9,65.12,1001
27,2019,1,1,13,30,77,2.4000000000000004,0.8,65.59,1001
28,2019,1,1,14,0,66,2.4000000000000004,0.6000000000000001,66.59,1001
29,2019,1,1,14,30,67,2.3000000000000003,0.3,68.05,1001
30,2019,1,1,15,0,96,2.2,-0.1,71.38,1002
31,2019,1,1,15,30,33,1.9,-0.9,75.66,1002
32,2019,1,1,16,0,16,1.6,-1.7000000000000002,83.07000000000001,1002
33,2019,1,1,16,30,5,1.8,-2.0,84.92,1002
34,2019,1,1,17,0,0,2.0,-2.3000000000000003,83.81,1002
35,2019,1,1,17,30,0,2.0,-2.3000000000000003,83.81,1002
36,2019,1,1,18,0,0,2.0,-2.8000000000000003,85.15,1003
37,2019,1,1,18,30,0,2.0,-3.0,86.42,1003
38,2019,1,1,19,0,0,1.9,-3.2,86.56,1003
39,2019,1,1,19,30,0,1.7000000000000002,-3.4000000000000004,87.77,1002
40,2019,1,1,20,0,0,1.6,-3.5,87.93,1002
41,2019,1,1,20,30,0,1.4,-3.6,88.59,1002
42,2019,1,1,21,0,0,1.2000000000000002,-3.7,89.10000000000001,1002
43,2019,1,1,21,30,0,1.0,-3.8,89.68,1001
44,2019,1,1,22,0,0,0.8,-3.8,90.31,1001
45,2019,1,1,22,30,0,0.7000000000000001,-3.7,89.64,1001
46,2019,1,1,23,0,0,0.5,-3.7,90.54,1001
47,2019,1,1,23,30,0,0.4,-3.6,89.87,1001
48,2019,1,2,0,0,0,0.2,-3.5,88.15,1001
49,2019,1,2,0,30,0,0.3,-3.5,88.15,1001
50,2019,1,2,1,0,0,0.4,-3.4000000000000004,87.43,1001
51,2019,1,2,1,30,0,0.8,-3.3000000000000003,86.78,1001
52,2019,1,2,2,0,0,1.1,-3.2,86.57000000000001,1001
53,2019,1,2,2,30,0,1.2000000000000002,-3.1,85.84,1000
54,2019,1,2,3,0,0,1.4,-3.0,86.02,1000
55,2019,1,2,3,30,0,1.5,-2.9000000000000004,85.39,1000
56,2019,1,2,4,0,0,1.6,-2.8000000000000003,85.24,999
57,2019,1,2,4,30,0,1.6,-2.8000000000000003,85.24,999
58,2019,1,2,5,0,0,1.6,-2.7,84.83,999
59,2019,1,2,5,30,0,1.7000000000000002,-2.7,84.83,999
60,2019,1,2,6,0,0,1.8,-2.7,84.27,999
61,2019,1,2,6,30,0,2.1,-2.6,83.65,999
62,2019,1,2,7,0,0,2.4000000000000004,-2.5,81.83,999
63,2019,1,2,7,30,1,2.9000000000000004,-2.2,80.03,999
64,2019,1,2,8,0,5,3.4000000000000004,-1.9,76.83,999
65,2019,1,2,8,30,20,3.9,-1.6,75.15,999
66,2019,1,2,9,0,14,4.4,-1.3,69.94,999
67,2019,1,2,9,30,21,4.5,-1.2000000000000002,69.36,998
68,2019,1,2,10,0,43,4.6000000000000005,-1.0,67.3,998
69,2019,1,2,10,30,43,4.7,-0.9,66.74,997
70,2019,1,2,11,0,46,4.800000000000001,-0.7000000000000001,66.47,996
71,2019,1,2,11,30,50,5.0,-0.6000000000000001,65.98,996
72,2019,1,2,12,0,61,5.2,-0.5,66.79,995
73,2019,1,2,12,30,60,5.4,-0.4,66.23,994
74,2019,1,2,13,0,53,5.6000000000000005,-0.4,67.76,994
75,2019,1,2,13,30,120,5.6000000000000005,-0.4,67.69,993
76,2019,1,2,14,0,173,5.6000000000000005,-0.5,69.66,993
77,2019,1,2,14,30,95,5.5,-0.7000000000000001,70.68,993
78,2019,1,2,15,0,53,5.4,-0.9,72.7,993
79,2019,1,2,15,30,32,5.0,-1.3,74.86,993
80,2019,1,2,16,0,16,4.7,-1.6,76.27,994
81,2019,1,2,16,30,5,4.4,-1.9,77.97,994
82,2019,1,2,17,0,0,4.2,-2.2,77.42,994
83,2019,1,2,17,30,0,4.2,-2.2,77.42,994
84,2019,1,2,18,0,0,3.6,-2.8000000000000003,79.43,994
85,2019,1,2,18,30,0,3.3000000000000003,-3.0,80.62,994
86,2019,1,2,19,0,0,3.1,-3.3000000000000003,81.92,994
87,2019,1,2,19,30,0,2.8000000000000003,-3.5,83.15,994
