,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.8,-0.9,96.52,999
1,2019,1,1,0,30,0,3.5,-0.9,96.61,1000
2,2019,1,1,1,0,0,3.3000000000000003,-1.0,96.2,1001
3,2019,1,1,1,30,0,3.0,-1.0,96.2,1001
4,2019,1,1,2,0,0,2.7,-1.1,96.02,1002
5,2019,1,1,2,30,0,2.5,-1.1,96.02,1002
6,2019,1,1,3,0,0,2.3000000000000003,-1.2000000000000002,96.22,1002
7,2019,1,1,3,30,0,2.2,-1.1,95.51,1002
8,2019,1,1,4,0,0,2.2,-1.1,95.52,1003
9,2019,1,1,4,30,0,2.2,-1.0,94.82,1003
10,2019,1,1,5,0,0,2.2,-0.9,93.8,1004
11,2019,1,1,5,30,0,2.4000000000000004,-0.8,93.12,1004
12,2019,1,1,6,0,0,2.6,-0.7000000000000001,91.11,1005
13,2019,1,1,6,30,0,2.7,-0.7000000000000001,91.11,1005
14,2019,1,1,7,0,0,2.9000000000000004,-0.6000000000000001,88.24,1006
15,2019,1,1,7,30,2,3.2,-0.2,85.71000000000001,1006
16,2019,1,1,8,0,10,3.5,0.2,82.17,1007
17,2019,1,1,8,30,21,3.5,0.5,80.41,1007
18,2019,1,1,9,0,32,3.5,0.8,74.65,1008
19,2019,1,1,9,30,40,3.3000000000000003,1.1,73.05,1008
20,2019,1,1,10,0,49,3.1,1.4,69.75,1008
21,2019,1,1,10,30,51,2.8000000000000003,1.7000000000000002,68.27,1008
22,2019,1,1,11,0,61,2.5,1.9,67.73,1008
23,2019,1,1,11,30,71,2.4000000000000004,2.1,66.7,1007
24,2019,1,1,12,0,66,2.3000000000000003,2.2,66.77,1007
25,2019,1,1,12,30,54,2.4000000000000004,2.2,66.77,1007
26,2019,1,1,13,0,47,2.5,2.2,66.66,1007
27,2019,1,1,13,30,42,2.6,2.0,67.61,1007
28,2019,1,1,14,0,36,2.6,1.9,67.57000000000001,1007
29,2019,1,1,14,30,29,2.4000000000000004,1.5,69.53,1007
30,2019,1,1,15,0,21,2.2,1.1,73.55,1008
31,2019,1,1,15,30,14,1.9,0.2,78.48,1008
32,2019,1,1,16,0,8,1.5,-0.8,85.58,1008
33,2019,1,1,16,30,4,1.7000000000000002,-1.2000000000000002,88.12,1008
34,2019,1,1,17,0,0,1.8,-1.6,86.81,1008
35,2019,1,1,17,30,0,1.8,-1.6,86.81,1008
36,2019,1,1,18,0,0,2.1,-2.0,87.35000000000001,1009
37,2019,1,1,18,30,0,2.0,-2.2,88.56,1008
38,2019,1,1,19,0,0,1.9,-2.5,88.67,1008
39,2019,1,1,19,30,0,1.7000000000000002,-2.7,90.0,1008
40,2019,1,1,20,0,0,1.5,-3.0,90.68,1008
41,2019,1,1,20,30,0,1.4,-3.2,92.04,1008
