,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.4,3.8,100.0,1005
1,2019,1,1,0,30,0,1.4,3.6,100.0,1006
2,2019,1,1,1,0,0,1.3,3.4000000000000004,100.0,1006
3,2019,1,1,1,30,0,1.3,3.0,100.0,1007
4,2019,1,1,2,0,0,1.3,2.7,100.0,1007
5,2019,1,1,2,30,0,1.4,2.5,100.0,1007
6,2019,1,1,3,0,0,1.4,2.3000000000000003,100.0,1007
7,2019,1,1,3,30,0,1.5,2.0,100.0,1007
8,2019,1,1,4,0,0,1.5,1.8,100.0,1007
9,2019,1,1,4,30,0,1.5,1.5,100.0,1008
10,2019,1,1,5,0,0,1.5,1.2000000000000002,100.0,1008
11,2019,1,1,5,30,0,1.5,1.0,100.0,1008
12,2019,1,1,6,0,0,1.5,0.9,100.0,1009
13,2019,1,1,6,30,0,1.7000000000000002,1.0,100.0,1009
14,2019,1,1,7,0,0,1.8,1.2000000000000002,98.29,1010
15,2019,1,1,7,30,15,2.4000000000000004,2.1,92.17,1010
16,2019,1,1,8,0,49,3.0,3.0,87.94,1011
17,2019,1,1,8,30,104,3.0,3.9,82.54,1011
18,2019,1,1,9,0,108,3.1,4.7,80.39,1012
19,2019,1,1,9,30,89,3.0,5.6000000000000005,75.52,1012
20,2019,1,1,10,0,79,2.9000000000000004,6.6000000000000005,72.32000000000001,1012
21,2019,1,1,10,30,96,2.9000000000000004,7.1000000000000005,69.82000000000001,1011
22,2019,1,1,11,0,113,2.8000000000000003,7.5,69.31,1011
23,2019,1,1,11,30,183,2.8000000000000003,7.6,68.84,1011
24,2019,1,1,12,0,104,2.9000000000000004,7.7,68.92,1011
25,2019,1,1,12,30,116,2.9000000000000004,7.6,69.39,1011
26,2019,1,1,13,0,90,2.9000000000000004,7.5,69.52,1011
27,2019,1,1,13,30,76,2.8000000000000003,7.300000000000001,70.47,1011
28,2019,1,1,14,0,62,2.8000000000000003,7.1000000000000005,70.44,1011
29,2019,1,1,14,30,65,2.7,6.6000000000000005,72.89,1011
30,2019,1,1,15,0,47,2.6,6.1000000000000005,74.18,1011
31,2019,1,1,15,30,24,2.1,5.4,77.86,1011
32,2019,1,1,16,0,12,1.7000000000000002,4.6000000000000005,83.64,1012
33,2019,1,1,16,30,5,1.6,4.1000000000000005,86.62,1012
34,2019,1,1,17,0,0,1.5,3.5,88.86,1012
35,2019,1,1,17,30,0,1.5,3.5,88.86,1012
36,2019,1,1,18,0,0,1.7000000000000002,2.9000000000000004,89.97,1013
37,2019,1,1,18,30,0,1.7000000000000002,2.6,91.9,1013
38,2019,1,1,19,0,0,1.8,2.4000000000000004,90.8,1013
39,2019,1,1,19,30,0,1.7000000000000002,2.2,92.1,1013
40,2019,1,1,20,0,0,1.7000000000000002,2.0,91.76,1013
41,2019,1,1,20,30,0,1.6,1.8,93.08,1013
42,2019,1,1,21,0,0,1.5,1.6,93.23,1013
43,2019,1,1,21,30,0,1.4,1.5,93.81,1012
