,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.8,-1.4,95.47,994
1,2019,1,1,0,30,0,3.7,-1.3,94.77,994
2,2019,1,1,1,0,0,3.5,-1.2000000000000002,94.09,995
3,2019,1,1,1,30,0,3.3000000000000003,-1.2000000000000002,94.19,996
4,2019,1,1,2,0,0,3.1,-1.2000000000000002,94.31,996
5,2019,1,1,2,30,0,3.0,-1.2000000000000002,94.31,996
6,2019,1,1,3,0,0,2.9000000000000004,-1.2000000000000002,94.59,996
7,2019,1,1,3,30,0,3.0,-1.2000000000000002,94.69,997
8,2019,1,1,4,0,0,3.1,-1.1,93.24,997
9,2019,1,1,4,30,0,3.3000000000000003,-1.1,93.33,998
10,2019,1,1,5,0,0,3.5,-1.1,90.26,998
11,2019,1,1,5,30,0,3.7,-1.2000000000000002,91.01,999
12,2019,1,1,6,0,0,3.8,-1.3,86.18,1000
13,2019,1,1,6,30,0,3.8,-1.5,87.46000000000001,1000
14,2019,1,1,7,0,0,3.9,-1.7000000000000002,83.24,1001
15,2019,1,1,7,30,3,4.0,-1.5,82.03,1001
16,2019,1,1,8,0,6,4.1000000000000005,-1.3,77.55,1001
17,2019,1,1,8,30,12,4.0,-1.1,76.5,1002
18,2019,1,1,9,0,19,3.9,-0.8,72.17,1002
19,2019,1,1,9,30,24,3.6,-0.5,70.61,1002
20,2019,1,1,10,0,33,3.3000000000000003,-0.2,69.22,1002
21,2019,1,1,10,30,44,3.1,0.1,67.73,1002
22,2019,1,1,11,0,58,2.9000000000000004,0.3,67.89,1002
23,2019,1,1,11,30,55,2.9000000000000004,0.4,67.4,1002
24,2019,1,1,12,0,53,2.9000000000000004,0.4,68.19,1002
25,2019,1,1,12,30,57,2.9000000000000004,0.3,68.68,1002
26,2019,1,1,13,0,57,3.0,0.2,69.05,1001
27,2019,1,1,13,30,48,3.1,0.0,70.06,1001
28,2019,1,1,14,0,36,3.1,-0.2,70.39,1002
29,2019,1,1,14,30,23,3.0,-0.6000000000000001,72.47,1002
30,2019,1,1,15,0,16,3.0,-0.9,73.18,1002
31,2019,1,1,15,30,10,2.6,-1.5,76.47,1002
32,2019,1,1,16,0,6,2.3000000000000003,-2.1,80.74,1002
33,2019,1,1,16,30,2,2.3000000000000003,-2.5,83.16,1002
34,2019,1,1,17,0,0,2.3000000000000003,-2.9000000000000004,84.15,1003
