,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.9,-1.2000000000000002,98.85,987
1,2019,1,1,0,30,0,3.7,-1.2000000000000002,98.95,988
2,2019,1,1,1,0,0,3.4000000000000004,-1.3,98.85,989
3,2019,1,1,1,30,0,3.0,-1.3,98.85,989
4,2019,1,1,2,0,0,2.6,-1.4,99.02,990
5,2019,1,1,2,30,0,2.3000000000000003,-1.4,99.02,990
6,2019,1,1,3,0,0,2.1,-1.5,98.78,990
7,2019,1,1,3,30,0,2.1,-1.5,98.78,990
8,2019,1,1,4,0,0,2.2,-1.5,96.54,991
9,2019,1,1,4,30,0,2.3000000000000003,-1.6,97.26,991
10,2019,1,1,5,0,0,2.3000000000000003,-1.6,93.43,992
11,2019,1,1,5,30,0,2.6,-1.6,93.43,992
12,2019,1,1,6,0,0,2.8000000000000003,-1.6,89.3,993
13,2019,1,1,6,30,0,3.1,-1.7000000000000002,89.96000000000001,993
14,2019,1,1,7,0,0,3.3000000000000003,-1.8,86.17,994
15,2019,1,1,7,30,2,3.7,-1.5,84.38,995
16,2019,1,1,8,0,10,4.0,-1.3,80.68,995
17,2019,1,1,8,30,19,3.9,-0.8,77.79,995
18,2019,1,1,9,0,28,3.8,-0.3,74.92,995
19,2019,1,1,9,30,32,3.5,0.2,72.26,995
20,2019,1,1,10,0,45,3.2,0.7000000000000001,72.56,996
21,2019,1,1,10,30,47,2.9000000000000004,1.2000000000000002,69.92,995
22,2019,1,1,11,0,48,2.5,1.6,70.25,995
23,2019,1,1,11,30,57,2.3000000000000003,1.8,69.26,995
24,2019,1,1,12,0,64,2.1,2.0,69.55,995
25,2019,1,1,12,30,68,2.2,2.0,69.55,995
26,2019,1,1,13,0,53,2.3000000000000003,2.0,69.83,995
27,2019,1,1,13,30,42,2.4000000000000004,1.9,70.33,995
28,2019,1,1,14,0,38,2.5,1.8,70.47,995
29,2019,1,1,14,30,28,2.1,1.3,73.04,995
30,2019,1,1,15,0,25,1.7000000000000002,0.9,78.68,995
31,2019,1,1,15,30,16,1.5,-0.3,85.89,996
32,2019,1,1,16,0,8,1.2000000000000002,-1.4,89.39,996
33,2019,1,1,16,30,4,1.4,-1.7000000000000002,91.38,996
34,2019,1,1,17,0,0,1.6,-2.0,89.74,996
35,2019,1,1,17,30,0,1.6,-2.0,89.74,996
36,2019,1,1,18,0,0,1.7000000000000002,-2.3000000000000003,89.86,996
37,2019,1,1,18,30,0,1.7000000000000002,-2.5,91.2,996
38,2019,1,1,19,0,0,1.6,-2.8000000000000003,91.25,996
39,2019,1,1,19,30,0,1.5,-3.1,93.31,996
40,2019,1,1,20,0,0,1.4,-3.4000000000000004,92.81,996
41,2019,1,1,20,30,0,1.2000000000000002,-3.6,94.2,996
42,2019,1,1,21,0,0,1.1,-3.7,93.75,996
43,2019,1,1,21,30,0,1.0,-3.7,93.75,996
44,2019,1,1,22,0,0,0.9,-3.7,93.67,995
45,2019,1,1,22,30,0,0.8,-3.6,92.97,995
46,2019,1,1,23,0,0,0.7000000000000001,-3.5,92.69,995
47,2019,1,1,23,30,0,0.6000000000000001,-3.4000000000000004,92.0,995
48,2019,1,2,0,0,0,0.5,-3.3000000000000003,91.45,995
49,2019,1,2,0,30,0,0.4,-3.2,90.77,995
50,2019,1,2,1,0,0,0.3,-3.2,90.93,995
51,2019,1,2,1,30,0,0.4,-3.1,90.26,995
52,2019,1,2,2,0,0,0.6000000000000001,-3.1,91.2,995
53,2019,1,2,2,30,0,0.6000000000000001,-3.0,90.53,995
54,2019,1,2,3,0,0,0.7000000000000001,-2.9000000000000004,93.06,994
55,2019,1,2,3,30,0,0.8,-2.8000000000000003,92.37,994
56,2019,1,2,4,0,0,0.9,-2.6,92.43,994
57,2019,1,2,4,30,0,1.0,-2.6,92.34,993
58,2019,1,2,5,0,0,1.0,-2.6,92.65,993
59,2019,1,2,5,30,0,1.1,-2.5,91.97,993
60,2019,1,2,6,0,0,1.2000000000000002,-2.5,92.02,993
61,2019,1,2,6,30,0,1.5,-2.3000000000000003,90.76,994
62,2019,1,2,7,0,0,1.8,-2.1,89.03,994
63,2019,1,2,7,30,2,2.6,-1.7000000000000002,86.45,994
64,2019,1,2,8,0,10,3.4000000000000004,-1.2000000000000002,79.57000000000001,994
65,2019,1,2,8,30,20,4.0,-1.0,78.42,994
66,2019,1,2,9,0,39,4.6000000000000005,-0.8,71.78,993
67,2019,1,2,9,30,43,4.7,-0.7000000000000001,71.25,993
68,2019,1,2,10,0,56,4.9,-0.7000000000000001,69.99,992
69,2019,1,2,10,30,35,5.0,-0.6000000000000001,69.48,992
70,2019,1,2,11,0,48,5.1000000000000005,-0.6000000000000001,69.86,991
71,2019,1,2,11,30,54,5.300000000000001,-0.5,69.35000000000001,991
72,2019,1,2,12,0,51,5.5,-0.5,70.25,990
73,2019,1,2,12,30,99,5.5,-0.5,70.18,989
74,2019,1,2,13,0,57,5.5,-0.6000000000000001,71.96000000000001,989
75,2019,1,2,13,30,48,5.4,-0.6000000000000001,71.89,988
76,2019,1,2,14,0,44,5.4,-0.7000000000000001,74.49,988
77,2019,1,2,14,30,38,5.1000000000000005,-0.8,75.03,988
78,2019,1,2,15,0,25,4.9,-1.0,79.15,988
79,2019,1,2,15,30,17,4.6000000000000005,-1.2000000000000002,80.31,988
80,2019,1,2,16,0,9,4.2,-1.4,84.03,988
81,2019,1,2,16,30,5,4.2,-1.5,84.65,988
82,2019,1,2,17,0,0,4.2,-1.7000000000000002,85.79,988
83,2019,1,2,17,30,0,4.2,-1.7000000000000002,85.79,988
84,2019,1,2,18,0,0,4.2,-2.1,84.13,989
85,2019,1,2,18,30,0,4.0,-2.3000000000000003,85.38,989
