,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.9,-0.9,97.12,997
1,2019,1,1,0,30,0,3.6,-1.1,98.64,998
2,2019,1,1,1,0,0,3.3000000000000003,-1.2000000000000002,97.31,999
3,2019,1,1,1,30,0,3.1,-1.3,98.02,999
4,2019,1,1,2,0,0,2.8000000000000003,-1.4,97.1,1000
5,2019,1,1,2,30,0,2.5,-1.6,98.54,1000
6,2019,1,1,3,0,0,2.2,-1.7000000000000002,97.96,1000
7,2019,1,1,3,30,0,2.0,-1.7000000000000002,97.96,1000
8,2019,1,1,4,0,0,1.9,-1.7000000000000002,97.88,1000
9,2019,1,1,4,30,0,1.9,-1.5,96.55,1001
10,2019,1,1,5,0,0,1.9,-1.3,95.85,1001
11,2019,1,1,5,30,0,2.0,-1.2000000000000002,95.25,1002
12,2019,1,1,6,0,0,2.1,-1.0,94.4,1002
13,2019,1,1,6,30,0,2.3000000000000003,-0.8,93.12,1003
14,2019,1,1,7,0,0,2.5,-0.6000000000000001,92.1,1003
15,2019,1,1,7,30,3,2.8000000000000003,0.0,88.26,1004
16,2019,1,1,8,0,8,3.2,0.6000000000000001,86.16,1004
17,2019,1,1,8,30,15,3.3000000000000003,1.0,83.79,1005
18,2019,1,1,9,0,23,3.5,1.4,78.03,1005
19,2019,1,1,9,30,27,3.3000000000000003,1.6,76.92,1005
20,2019,1,1,10,0,38,3.1,1.9,72.05,1005
21,2019,1,1,10,30,56,2.9000000000000004,2.1,71.03,1005
22,2019,1,1,11,0,61,2.6,2.3000000000000003,69.45,1005
23,2019,1,1,11,30,68,2.5,2.4000000000000004,68.96000000000001,1005
24,2019,1,1,12,0,60,2.5,2.5,68.3,1005
25,2019,1,1,12,30,62,2.6,2.5,68.3,1005
26,2019,1,1,13,0,62,2.7,2.4000000000000004,67.93,1004
27,2019,1,1,13,30,49,2.7,2.2,68.91,1004
28,2019,1,1,14,0,38,2.7,2.1,68.43,1005
29,2019,1,1,14,30,22,2.5,1.7000000000000002,70.41,1005
30,2019,1,1,15,0,15,2.3000000000000003,1.3,73.84,1005
31,2019,1,1,15,30,10,1.9,0.4,78.78,1005
32,2019,1,1,16,0,6,1.5,-0.6000000000000001,86.42,1005
33,2019,1,1,16,30,4,1.7000000000000002,-1.0,89.07000000000001,1006
34,2019,1,1,17,0,0,1.8,-1.5,87.99,1006
35,2019,1,1,17,30,0,1.8,-1.5,87.99,1006
36,2019,1,1,18,0,0,2.1,-2.0,88.75,1006
37,2019,1,1,18,30,0,2.0,-2.3000000000000003,90.73,1006
38,2019,1,1,19,0,0,1.9,-2.7,90.83,1006
39,2019,1,1,19,30,0,1.8,-2.9000000000000004,92.19,1006
40,2019,1,1,20,0,0,1.6,-3.2,92.53,1006
41,2019,1,1,20,30,0,1.5,-3.4000000000000004,93.92,1006
42,2019,1,1,21,0,0,1.3,-3.5,93.5,1005
43,2019,1,1,21,30,0,1.2000000000000002,-3.6,94.2,1005
44,2019,1,1,22,0,0,1.1,-3.7,94.37,1005
45,2019,1,1,22,30,0,1.0,-3.7,94.37,1005
46,2019,1,1,23,0,0,1.0,-3.8,94.69,1005
47,2019,1,1,23,30,0,0.9,-3.8,94.69,1005
48,2019,1,2,0,0,0,0.9,-3.7,93.68,1005
49,2019,1,2,0,30,0,0.9,-3.7,93.68,1005
50,2019,1,2,1,0,0,0.9,-3.6,92.43,1005
51,2019,1,2,1,30,0,1.0,-3.6,92.43,1005
52,2019,1,2,2,0,0,1.1,-3.5,90.5,1005
53,2019,1,2,2,30,0,1.1,-3.5,90.41,1004
54,2019,1,2,3,0,0,1.0,-3.4000000000000004,90.18,1004
55,2019,1,2,3,30,0,0.9,-3.4000000000000004,90.18,1004
56,2019,1,2,4,0,0,0.8,-3.3000000000000003,90.17,1003
57,2019,1,2,4,30,0,0.8,-3.3000000000000003,90.17,1003
58,2019,1,2,5,0,0,0.7000000000000001,-3.3000000000000003,90.09,1003
59,2019,1,2,5,30,0,0.8,-3.2,89.42,1003
60,2019,1,2,6,0,0,0.9,-3.1,88.87,1003
61,2019,1,2,6,30,0,1.1,-2.8000000000000003,86.91,1003
62,2019,1,2,7,0,0,1.3,-2.5,86.14,1003
63,2019,1,2,7,30,4,2.0,-1.9,82.41,1003
64,2019,1,2,8,0,16,2.7,-1.3,76.56,1003
65,2019,1,2,8,30,42,3.1,-0.8,73.81,1003
66,2019,1,2,9,0,58,3.5,-0.4,70.69,1003
67,2019,1,2,9,30,50,3.8,-0.1,69.10000000000001,1002
68,2019,1,2,10,0,57,4.1000000000000005,0.1,68.81,1002
69,2019,1,2,10,30,55,4.4,0.3,67.76,1001
70,2019,1,2,11,0,57,4.6000000000000005,0.5,68.68,1001
71,2019,1,2,11,30,67,4.800000000000001,0.5,68.61,1000
72,2019,1,2,12,0,151,4.9,0.5,70.35000000000001,1000
73,2019,1,2,12,30,82,5.0,0.4,70.79,999
74,2019,1,2,13,0,72,5.0,0.3,72.31,999
75,2019,1,2,13,30,60,5.0,0.1,73.29,998
76,2019,1,2,14,0,62,5.0,-0.1,74.13,998
77,2019,1,2,14,30,57,4.800000000000001,-0.3,75.21000000000001,998
78,2019,1,2,15,0,48,4.6000000000000005,-0.6000000000000001,75.64,998
79,2019,1,2,15,30,35,4.2,-0.9,77.32000000000001,998
80,2019,1,2,16,0,21,3.9,-1.3,78.24,998
81,2019,1,2,16,30,8,3.5,-1.6,79.98,998
82,2019,1,2,17,0,0,3.1,-1.9,80.62,998
83,2019,1,2,17,30,0,3.1,-1.9,80.62,998
84,2019,1,2,18,0,0,2.4000000000000004,-2.4000000000000004,83.21000000000001,999
85,2019,1,2,18,30,0,2.3000000000000003,-2.6,84.45,999
86,2019,1,2,19,0,0,2.1,-2.7,85.02,999
87,2019,1,2,19,30,0,2.2,-2.8000000000000003,85.66,999
88,2019,1,2,20,0,0,2.2,-2.8000000000000003,85.69,999
89,2019,1,2,20,30,0,2.4000000000000004,-2.8000000000000003,85.69,999
90,2019,1,2,21,0,0,2.6,-2.8000000000000003,85.64,999
91,2019,1,2,21,30,0,2.5,-2.8000000000000003,85.64,999
92,2019,1,2,22,0,0,2.5,-2.9000000000000004,86.48,999
93,2019,1,2,22,30,0,2.5,-2.9000000000000004,86.48,999
94,2019,1,2,23,0,0,2.5,-2.9000000000000004,86.23,999
95,2019,1,2,23,30,0,2.5,-3.0,86.87,999
96,2019,1,3,0,0,0,2.5,-3.1,86.97,999
97,2019,1,3,0,30,0,2.3000000000000003,-3.2,87.62,999
98,2019,1,3,1,0,0,2.2,-3.4000000000000004,88.17,999
99,2019,1,3,1,30,0,2.0,-3.7,90.17,999
100,2019,1,3,2,0,0,1.8,-4.0,89.98,999
101,2019,1,3,2,30,0,1.8,-4.2,91.34,999
102,2019,1,3,3,0,0,1.8,-4.3,90.94,999
103,2019,1,3,3,30,0,1.8,-4.3,90.94,999
104,2019,1,3,4,0,0,1.7000000000000002,-4.3,90.85,998
105,2019,1,3,4,30,0,1.7000000000000002,-4.3,90.85,998
106,2019,1,3,5,0,0,1.7000000000000002,-4.3,91.3,998
107,2019,1,3,5,30,0,1.8,-4.3,91.39,999
108,2019,1,3,6,0,0,1.9,-4.2,91.61,999
109,2019,1,3,6,30,0,2.2,-4.1000000000000005,90.93,999
110,2019,1,3,7,0,0,2.4000000000000004,-3.9,91.0,999
111,2019,1,3,7,30,15,2.9000000000000004,-3.2,86.37,999
112,2019,1,3,8,0,53,3.3000000000000003,-2.5,85.51,999
113,2019,1,3,8,30,138,3.4000000000000004,-1.3,78.28,999
114,2019,1,3,9,0,231,3.5,0.0,73.76,999
115,2019,1,3,9,30,303,3.7,1.2000000000000002,67.64,999
116,2019,1,3,10,0,365,3.9,2.4000000000000004,62.01,998
117,2019,1,3,10,30,416,3.7,3.2,58.6,998
118,2019,1,3,11,0,454,3.6,4.0,56.84,997
119,2019,1,3,11,30,478,3.5,4.6000000000000005,54.45,996
120,2019,1,3,12,0,488,3.4000000000000004,5.1000000000000005,54.53,996
