,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.4000000000000004,-1.0,92.4,992
1,2019,1,1,0,30,0,3.5,-1.0,92.49,993
2,2019,1,1,1,0,0,3.6,-1.1,92.31,994
3,2019,1,1,1,30,0,3.8,-1.2000000000000002,92.99,994
4,2019,1,1,2,0,0,4.1000000000000005,-1.4,90.78,995
5,2019,1,1,2,30,0,4.2,-1.7000000000000002,92.8,995
6,2019,1,1,3,0,0,4.3,-2.0,87.98,995
7,2019,1,1,3,30,0,4.3,-2.3000000000000003,90.04,996
8,2019,1,1,4,0,0,4.3,-2.7,84.15,996
9,2019,1,1,4,30,0,4.2,-2.9000000000000004,85.49,997
10,2019,1,1,5,0,0,4.1000000000000005,-3.2,81.8,997
11,2019,1,1,5,30,0,4.0,-3.4000000000000004,83.11,998
12,2019,1,1,6,0,0,3.8,-3.6,80.62,999
13,2019,1,1,6,30,0,3.8,-3.8,81.83,999
14,2019,1,1,7,0,0,3.8,-3.9,80.44,1000
15,2019,1,1,7,30,1,4.0,-3.7,79.24,1000
16,2019,1,1,8,0,4,4.1000000000000005,-3.4000000000000004,76.24,1000
17,2019,1,1,8,30,8,4.0,-3.1,74.63,1001
18,2019,1,1,9,0,13,4.0,-2.8000000000000003,72.36,1001
19,2019,1,1,9,30,18,3.7,-2.6,71.3,1001
20,2019,1,1,10,0,59,3.4000000000000004,-2.3000000000000003,70.37,1001
21,2019,1,1,10,30,57,3.2,-2.1,69.34,1001
22,2019,1,1,11,0,49,3.0,-1.9,69.76,1001
23,2019,1,1,11,30,46,2.9000000000000004,-1.8,69.25,1001
24,2019,1,1,12,0,52,2.9000000000000004,-1.8,70.13,1000
25,2019,1,1,12,30,62,2.9000000000000004,-1.9,70.65,1000
26,2019,1,1,13,0,66,2.9000000000000004,-1.9,70.79,1000
27,2019,1,1,13,30,74,2.9000000000000004,-2.1,71.84,1000
28,2019,1,1,14,0,16,2.9000000000000004,-2.3000000000000003,72.26,1000
29,2019,1,1,14,30,19,2.8000000000000003,-2.5,73.33,1000
30,2019,1,1,15,0,26,2.7,-2.8000000000000003,74.31,1001
31,2019,1,1,15,30,16,2.6,-3.2,76.55,1001
32,2019,1,1,16,0,9,2.5,-3.6,76.42,1001
33,2019,1,1,16,30,4,2.4000000000000004,-3.9,78.16,1001
34,2019,1,1,17,0,0,2.4000000000000004,-4.3,78.86,1001
35,2019,1,1,17,30,0,2.4000000000000004,-4.3,78.86,1001
36,2019,1,1,18,0,0,2.2,-4.7,80.84,1001
37,2019,1,1,18,30,0,2.1,-4.9,82.07000000000001,1001
38,2019,1,1,19,0,0,2.0,-5.2,83.91,1001
39,2019,1,1,19,30,0,1.8,-5.4,85.19,1001
40,2019,1,1,20,0,0,1.6,-5.7,86.60000000000001,1000
41,2019,1,1,20,30,0,1.4,-5.9,87.93,1000
42,2019,1,1,21,0,0,1.2000000000000002,-6.1000000000000005,87.94,1000
43,2019,1,1,21,30,0,1.1,-6.4,89.98,1000
44,2019,1,1,22,0,0,1.0,-6.6000000000000005,90.38,1000
45,2019,1,1,22,30,0,0.9,-6.800000000000001,91.69,999
46,2019,1,1,23,0,0,0.9,-6.9,90.96,999
47,2019,1,1,23,30,0,0.9,-7.0,91.67,999
48,2019,1,2,0,0,0,0.9,-7.1000000000000005,91.4,999
49,2019,1,2,0,30,0,1.0,-7.1000000000000005,91.4,999
50,2019,1,2,1,0,0,1.1,-7.2,91.32,999
51,2019,1,2,1,30,0,1.3,-7.2,91.32,999
52,2019,1,2,2,0,0,1.5,-7.2,89.98,999
53,2019,1,2,2,30,0,1.5,-7.2,89.98,999
54,2019,1,2,3,0,0,1.4,-7.2,89.0,998
55,2019,1,2,3,30,0,1.4,-7.2,89.0,998
56,2019,1,2,4,0,0,1.4,-7.1000000000000005,88.12,997
57,2019,1,2,4,30,0,1.4,-7.1000000000000005,88.12,997
58,2019,1,2,5,0,0,1.3,-7.0,87.66,997
59,2019,1,2,5,30,0,1.4,-6.9,86.99,997
60,2019,1,2,6,0,0,1.5,-6.9,87.02,997
61,2019,1,2,6,30,0,1.7000000000000002,-6.7,85.69,997
62,2019,1,2,7,0,0,1.9,-6.6000000000000005,85.89,997
63,2019,1,2,7,30,1,2.4000000000000004,-6.0,82.04,997
64,2019,1,2,8,0,8,2.9000000000000004,-5.4,82.03,997
65,2019,1,2,8,30,18,3.3000000000000003,-4.800000000000001,78.39,997
66,2019,1,2,9,0,29,3.6,-4.2,78.86,997
67,2019,1,2,9,30,41,3.9,-3.7,75.88,996
68,2019,1,2,10,0,54,4.1000000000000005,-3.3000000000000003,76.68,995
69,2019,1,2,10,30,80,4.5,-2.9000000000000004,74.43,995
70,2019,1,2,11,0,122,4.9,-2.5,74.33,994
71,2019,1,2,11,30,53,5.1000000000000005,-2.3000000000000003,73.17,993
72,2019,1,2,12,0,81,5.4,-2.1,73.04,992
73,2019,1,2,12,30,103,5.5,-2.0,72.51,992
74,2019,1,2,13,0,82,5.6000000000000005,-1.9,72.05,992
75,2019,1,2,13,30,91,5.6000000000000005,-1.9,71.98,991
76,2019,1,2,14,0,108,5.6000000000000005,-1.9,71.08,991
77,2019,1,2,14,30,101,5.4,-2.0,71.60000000000001,991
78,2019,1,2,15,0,85,5.2,-2.1,70.84,991
79,2019,1,2,15,30,62,4.4,-2.8000000000000003,74.68,992
80,2019,1,2,16,0,42,3.7,-3.4000000000000004,76.13,992
81,2019,1,2,16,30,13,3.1,-4.3,81.44,992
82,2019,1,2,17,0,0,2.6,-5.1000000000000005,82.54,992
83,2019,1,2,17,30,0,2.6,-5.1000000000000005,82.54,992
84,2019,1,2,18,0,0,2.2,-6.0,85.66,992
85,2019,1,2,18,30,0,2.2,-6.2,86.98,992
86,2019,1,2,19,0,0,2.2,-6.300000000000001,86.31,992
87,2019,1,2,19,30,0,2.3000000000000003,-6.4,86.97,992
88,2019,1,2,20,0,0,2.3000000000000003,-6.4,86.8,992
89,2019,1,2,20,30,0,2.5,-6.4,86.8,992
90,2019,1,2,21,0,0,2.6,-6.4,87.38,992
91,2019,1,2,21,30,0,2.9000000000000004,-6.5,88.05,992
92,2019,1,2,22,0,0,3.1,-6.5,88.91,992
93,2019,1,2,22,30,0,3.2,-6.7,90.28,992
94,2019,1,2,23,0,0,3.3000000000000003,-6.9,91.9,992
95,2019,1,2,23,30,0,3.3000000000000003,-7.1000000000000005,93.32,992
96,2019,1,3,0,0,0,3.3000000000000003,-7.300000000000001,94.57,992
97,2019,1,3,0,30,0,3.2,-7.4,95.31,992
98,2019,1,3,1,0,0,3.1,-7.6,96.25,992
99,2019,1,3,1,30,0,3.0,-7.7,97.0,992
100,2019,1,3,2,0,0,3.0,-7.800000000000001,97.1,992
101,2019,1,3,2,30,0,2.9000000000000004,-7.800000000000001,97.1,992
102,2019,1,3,3,0,0,2.9000000000000004,-7.800000000000001,96.7,992
103,2019,1,3,3,30,0,2.7,-7.9,97.45,992
104,2019,1,3,4,0,0,2.5,-7.9,96.76,992
105,2019,1,3,4,30,0,2.4000000000000004,-8.0,97.51,992
106,2019,1,3,5,0,0,2.3000000000000003,-8.0,96.68,992
107,2019,1,3,5,30,0,2.4000000000000004,-8.0,96.68,992
108,2019,1,3,6,0,0,2.5,-8.0,96.15,992
109,2019,1,3,6,30,0,2.8000000000000003,-7.9,95.41,992
110,2019,1,3,7,0,0,3.1,-7.800000000000001,94.96,992
111,2019,1,3,7,30,2,3.4000000000000004,-7.0,89.28,992
112,2019,1,3,8,0,15,3.7,-6.2,89.87,992
113,2019,1,3,8,30,68,3.7,-5.2,83.29,992
114,2019,1,3,9,0,180,3.7,-4.1000000000000005,84.58,991
115,2019,1,3,9,30,269,3.8,-2.8000000000000003,76.76,991
116,2019,1,3,10,0,329,3.9,-1.4,79.2,991
117,2019,1,3,10,30,380,4.1000000000000005,0.1,70.93,990
118,2019,1,3,11,0,418,4.4,1.6,70.04,990
119,2019,1,3,11,30,442,4.2,2.3000000000000003,66.57000000000001,989
120,2019,1,3,12,0,452,4.0,3.1,68.12,989
121,2019,1,3,12,30,448,3.9,3.5,66.15,988
122,2019,1,3,13,0,430,3.8,3.9,68.37,988
123,2019,1,3,13,30,399,3.9,4.0,67.89,988
124,2019,1,3,14,0,355,3.9,4.1000000000000005,70.54,988
