,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-0.1,97.83,993
1,2019,1,1,0,30,0,4.0,-0.2,98.64,994
2,2019,1,1,1,0,0,3.8,-0.2,97.29,995
3,2019,1,1,1,30,0,3.4000000000000004,-0.3,98.0,995
4,2019,1,1,2,0,0,3.1,-0.4,97.1,996
5,2019,1,1,2,30,0,2.7,-0.7000000000000001,99.25,996
6,2019,1,1,3,0,0,2.3000000000000003,-0.9,98.65,996
7,2019,1,1,3,30,0,2.2,-1.2000000000000002,100.0,996
8,2019,1,1,4,0,0,2.0,-1.4,100.0,996
9,2019,1,1,4,30,0,1.9,-1.4,100.0,997
10,2019,1,1,5,0,0,1.8,-1.5,100.0,997
11,2019,1,1,5,30,0,1.8,-1.5,100.0,998
12,2019,1,1,6,0,0,1.7000000000000002,-1.5,99.25,998
13,2019,1,1,6,30,0,1.8,-1.2000000000000002,97.19,999
14,2019,1,1,7,0,0,1.9,-0.9,95.52,999
15,2019,1,1,7,30,4,2.5,0.0,89.56,1000
16,2019,1,1,8,0,8,3.0,0.8,87.78,1000
17,2019,1,1,8,30,15,3.1,1.4,84.08,1000
18,2019,1,1,9,0,24,3.1,2.0,80.85000000000001,1001
19,2019,1,1,9,30,33,2.9000000000000004,2.5,78.03,1001
20,2019,1,1,10,0,39,2.7,3.0,76.08,1001
21,2019,1,1,10,30,46,2.4000000000000004,3.3000000000000003,74.49,1001
22,2019,1,1,11,0,48,2.1,3.7,73.8,1001
23,2019,1,1,11,30,54,2.1,3.9,72.7,1000
24,2019,1,1,12,0,62,2.1,4.0,72.38,1000
25,2019,1,1,12,30,75,2.3000000000000003,4.1000000000000005,71.87,1000
26,2019,1,1,13,0,76,2.4000000000000004,4.1000000000000005,71.47,1000
27,2019,1,1,13,30,61,2.4000000000000004,4.0,71.97,1000
28,2019,1,1,14,0,40,2.5,3.9,71.59,1000
29,2019,1,1,14,30,22,2.3000000000000003,3.6,73.12,1000
30,2019,1,1,15,0,15,2.1,3.3000000000000003,75.9,1001
31,2019,1,1,15,30,10,1.7000000000000002,2.3000000000000003,81.47,1001
32,2019,1,1,16,0,5,1.2000000000000002,1.4,89.27,1001
33,2019,1,1,16,30,1,1.4,0.9,92.53,1001
34,2019,1,1,17,0,0,1.5,0.4,90.78,1001
35,2019,1,1,17,30,0,1.5,0.4,90.78,1001
36,2019,1,1,18,0,0,1.7000000000000002,-0.2,91.7,1002
37,2019,1,1,18,30,0,1.7000000000000002,-0.5,93.72,1002
38,2019,1,1,19,0,0,1.8,-0.8,92.87,1002
