,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.3,-2.7,87.63,987
1,2019,1,1,0,30,0,4.4,-2.9000000000000004,89.12,989
2,2019,1,1,1,0,0,4.5,-3.1,84.49,990
3,2019,1,1,1,30,0,4.5,-3.4000000000000004,86.49,991
4,2019,1,1,2,0,0,4.5,-3.7,83.15,992
5,2019,1,1,2,30,0,4.5,-4.0,85.04,992
6,2019,1,1,3,0,0,4.5,-4.3,82.62,992
7,2019,1,1,3,30,0,4.5,-4.5,83.88,992
8,2019,1,1,4,0,0,4.5,-4.800000000000001,82.22,993
9,2019,1,1,4,30,0,4.3,-5.1000000000000005,84.10000000000001,993
10,2019,1,1,5,0,0,4.2,-5.4,82.01,993
11,2019,1,1,5,30,0,4.0,-5.7,83.99,994
12,2019,1,1,6,0,0,3.7,-6.0,81.55,995
13,2019,1,1,6,30,0,3.6,-6.2,82.8,995
14,2019,1,1,7,0,0,3.4000000000000004,-6.300000000000001,80.72,996
15,2019,1,1,7,30,5,3.5,-6.1000000000000005,79.57000000000001,997
16,2019,1,1,8,0,23,3.6,-5.800000000000001,78.11,997
17,2019,1,1,8,30,51,3.7,-5.4,75.77,997
18,2019,1,1,9,0,84,3.8,-5.0,74.63,997
19,2019,1,1,9,30,103,3.6,-4.7,72.96000000000001,997
20,2019,1,1,10,0,164,3.3000000000000003,-4.4,73.79,997
21,2019,1,1,10,30,280,3.1,-4.1000000000000005,72.14,997
22,2019,1,1,11,0,286,2.9000000000000004,-3.8,73.5,997
23,2019,1,1,11,30,227,2.7,-3.5,71.87,997
24,2019,1,1,12,0,207,2.6,-3.3000000000000003,73.10000000000001,997
25,2019,1,1,12,30,238,2.5,-3.3000000000000003,73.10000000000001,997
26,2019,1,1,13,0,155,2.4000000000000004,-3.2,73.66,997
27,2019,1,1,13,30,156,2.3000000000000003,-3.3000000000000003,74.21000000000001,997
28,2019,1,1,14,0,139,2.2,-3.4000000000000004,74.92,997
29,2019,1,1,14,30,148,2.1,-3.7,76.62,997
30,2019,1,1,15,0,125,1.9,-4.0,78.35000000000001,997
31,2019,1,1,15,30,79,1.9,-4.5,81.35000000000001,997
32,2019,1,1,16,0,33,1.8,-5.0,79.16,997
33,2019,1,1,16,30,6,1.8,-5.300000000000001,81.06,998
34,2019,1,1,17,0,0,1.9,-5.6000000000000005,79.79,998
35,2019,1,1,17,30,0,1.9,-5.6000000000000005,79.79,998
36,2019,1,1,18,0,0,1.8,-6.0,80.87,998
37,2019,1,1,18,30,0,1.6,-6.2,82.11,998
38,2019,1,1,19,0,0,1.5,-6.300000000000001,81.81,997
39,2019,1,1,19,30,0,1.4,-6.5,83.07000000000001,997
40,2019,1,1,20,0,0,1.2000000000000002,-6.7,84.05,997
41,2019,1,1,20,30,0,1.0,-6.9,85.35000000000001,997
42,2019,1,1,21,0,0,0.8,-7.1000000000000005,86.64,996
43,2019,1,1,21,30,0,0.6000000000000001,-7.300000000000001,87.98,996
44,2019,1,1,22,0,0,0.5,-7.5,88.3,996
45,2019,1,1,22,30,0,0.4,-7.6,88.99,996
46,2019,1,1,23,0,0,0.4,-7.7,88.26,996
47,2019,1,1,23,30,0,0.4,-7.800000000000001,88.85000000000001,995
48,2019,1,2,0,0,0,0.4,-8.0,89.66,995
49,2019,1,2,0,30,0,0.6000000000000001,-8.200000000000001,91.06,995
50,2019,1,2,1,0,0,0.7000000000000001,-8.5,92.44,995
51,2019,1,2,1,30,0,0.9,-8.700000000000001,93.9,995
52,2019,1,2,2,0,0,1.1,-8.8,94.11,995
53,2019,1,2,2,30,0,1.2000000000000002,-8.700000000000001,93.38,995
54,2019,1,2,3,0,0,1.3,-8.6,93.52,995
55,2019,1,2,3,30,0,1.4,-8.3,91.27,994
