,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.3000000000000003,-0.9,96.03,996
1,2019,1,1,0,30,0,3.1,-0.8,95.43,997
2,2019,1,1,1,0,0,2.9000000000000004,-0.8,95.01,998
3,2019,1,1,1,30,0,2.8000000000000003,-0.8,95.01,998
4,2019,1,1,2,0,0,2.8000000000000003,-0.8,94.2,999
5,2019,1,1,2,30,0,2.9000000000000004,-0.8,94.2,999
6,2019,1,1,3,0,0,3.0,-0.8,92.61,999
7,2019,1,1,3,30,0,3.1,-0.9,93.29,999
8,2019,1,1,4,0,0,3.2,-1.0,90.41,1000
9,2019,1,1,4,30,0,3.2,-1.1,91.07,1000
10,2019,1,1,5,0,0,3.2,-1.3,87.33,1001
11,2019,1,1,5,30,0,3.3000000000000003,-1.4,87.97,1001
12,2019,1,1,6,0,0,3.3000000000000003,-1.5,84.59,1002
13,2019,1,1,6,30,0,3.4000000000000004,-1.6,85.3,1003
14,2019,1,1,7,0,0,3.5,-1.7000000000000002,82.35000000000001,1003
15,2019,1,1,7,30,2,3.7,-1.5,81.23,1004
16,2019,1,1,8,0,10,3.9,-1.2000000000000002,76.60000000000001,1004
17,2019,1,1,8,30,20,3.8,-0.9,74.94,1004
18,2019,1,1,9,0,33,3.7,-0.5,70.5,1005
19,2019,1,1,9,30,38,3.3000000000000003,-0.2,68.98,1005
20,2019,1,1,10,0,43,3.0,0.2,67.55,1005
21,2019,1,1,10,30,60,2.7,0.5,66.1,1005
22,2019,1,1,11,0,62,2.4000000000000004,0.8,66.07000000000001,1004
23,2019,1,1,11,30,73,2.3000000000000003,1.0,65.13,1004
24,2019,1,1,12,0,80,2.3000000000000003,1.1,65.84,1004
25,2019,1,1,12,30,78,2.4000000000000004,1.1,65.84,1004
26,2019,1,1,13,0,63,2.4000000000000004,1.1,66.28,1004
27,2019,1,1,13,30,67,2.5,0.9,67.24,1004
28,2019,1,1,14,0,53,2.6,0.8,67.58,1004
29,2019,1,1,14,30,37,2.5,0.4,69.55,1004
30,2019,1,1,15,0,77,2.3000000000000003,0.1,72.41,1004
31,2019,1,1,15,30,48,2.1,-0.7000000000000001,76.82000000000001,1005
32,2019,1,1,16,0,24,1.8,-1.5,82.62,1005
33,2019,1,1,16,30,5,1.9,-1.8,84.46000000000001,1005
34,2019,1,1,17,0,0,2.1,-2.1,83.54,1005
35,2019,1,1,17,30,0,2.1,-2.1,83.54,1005
36,2019,1,1,18,0,0,2.1,-2.6,85.01,1005
37,2019,1,1,18,30,0,2.1,-2.7,85.64,1005
38,2019,1,1,19,0,0,2.0,-2.9000000000000004,85.64,1005
39,2019,1,1,19,30,0,1.9,-3.1,86.92,1005
40,2019,1,1,20,0,0,1.7000000000000002,-3.3000000000000003,87.3,1005
41,2019,1,1,20,30,0,1.5,-3.4000000000000004,87.95,1005
42,2019,1,1,21,0,0,1.2000000000000002,-3.6,88.26,1004
43,2019,1,1,21,30,0,1.0,-3.7,88.92,1004
44,2019,1,1,22,0,0,0.8,-3.8,89.9,1004
45,2019,1,1,22,30,0,0.7000000000000001,-3.8,89.9,1004
46,2019,1,1,23,0,0,0.6000000000000001,-3.8,89.81,1004
47,2019,1,1,23,30,0,0.6000000000000001,-3.7,89.15,1004
