,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.7,-1.6,97.97,991
1,2019,1,1,0,30,0,3.5,-1.6,98.07,992
2,2019,1,1,1,0,0,3.3000000000000003,-1.7000000000000002,96.79,992
3,2019,1,1,1,30,0,3.1,-1.8,97.6,993
4,2019,1,1,2,0,0,2.9000000000000004,-2.0,96.77,993
5,2019,1,1,2,30,0,2.8000000000000003,-2.2,98.21,993
6,2019,1,1,3,0,0,2.7,-2.3000000000000003,97.14,993
7,2019,1,1,3,30,0,2.8000000000000003,-2.2,96.52,994
8,2019,1,1,4,0,0,2.9000000000000004,-2.1,95.52,994
9,2019,1,1,4,30,0,3.0,-1.9,94.12,994
10,2019,1,1,5,0,0,3.2,-1.7000000000000002,93.08,995
11,2019,1,1,5,30,0,3.2,-1.7000000000000002,93.08,995
12,2019,1,1,6,0,0,3.2,-1.6,92.58,996
13,2019,1,1,6,30,0,3.3000000000000003,-1.6,92.58,996
14,2019,1,1,7,0,0,3.3000000000000003,-1.6,91.82,997
15,2019,1,1,7,30,1,3.5,-1.2000000000000002,89.17,997
16,2019,1,1,8,0,7,3.7,-0.9,87.46000000000001,998
17,2019,1,1,8,30,13,3.9,-0.5,84.95,998
18,2019,1,1,9,0,20,4.1000000000000005,-0.1,80.38,998
19,2019,1,1,9,30,26,4.0,0.2,78.73,999
20,2019,1,1,10,0,34,3.8,0.5,75.24,999
21,2019,1,1,10,30,39,3.6,0.6000000000000001,74.7,999
22,2019,1,1,11,0,47,3.4000000000000004,0.8,72.57000000000001,999
23,2019,1,1,11,30,57,3.4000000000000004,0.8,72.49,998
24,2019,1,1,12,0,59,3.3000000000000003,0.9,71.18,998
25,2019,1,1,12,30,61,3.3000000000000003,0.9,71.18,998
26,2019,1,1,13,0,61,3.3000000000000003,0.9,70.04,998
27,2019,1,1,13,30,51,3.3000000000000003,0.7000000000000001,71.06,998
28,2019,1,1,14,0,42,3.2,0.6000000000000001,70.14,998
29,2019,1,1,14,30,31,3.1,0.2,72.2,998
30,2019,1,1,15,0,26,3.0,-0.1,72.81,998
31,2019,1,1,15,30,19,2.5,-0.8,76.62,998
32,2019,1,1,16,0,11,2.0,-1.5,82.51,999
33,2019,1,1,16,30,6,1.9,-2.1,86.24,999
34,2019,1,1,17,0,0,1.9,-2.7,87.9,999
35,2019,1,1,17,30,0,1.9,-2.7,87.9,999
36,2019,1,1,18,0,0,2.0,-3.2,88.67,999
37,2019,1,1,18,30,0,1.9,-3.5,90.68,999
38,2019,1,1,19,0,0,1.8,-3.8,90.64,999
39,2019,1,1,19,30,0,1.7000000000000002,-3.9,91.32,999
40,2019,1,1,20,0,0,1.6,-4.1000000000000005,91.67,999
41,2019,1,1,20,30,0,1.4,-4.2,92.36,999
42,2019,1,1,21,0,0,1.3,-4.3,92.04,998
43,2019,1,1,21,30,0,1.2000000000000002,-4.4,92.74,998
44,2019,1,1,22,0,0,1.1,-4.5,92.42,998
45,2019,1,1,22,30,0,1.1,-4.5,92.42,998
46,2019,1,1,23,0,0,1.1,-4.5,91.81,998
47,2019,1,1,23,30,0,1.0,-4.4,91.12,998
48,2019,1,2,0,0,0,0.9,-4.3,90.6,998
49,2019,1,2,0,30,0,1.0,-4.2,89.92,998
50,2019,1,2,1,0,0,1.0,-4.1000000000000005,89.45,998
51,2019,1,2,1,30,0,1.0,-4.0,88.78,998
52,2019,1,2,2,0,0,1.1,-3.9,87.83,998
53,2019,1,2,2,30,0,1.0,-3.8,87.09,997
54,2019,1,2,3,0,0,0.8,-3.8,88.79,997
55,2019,1,2,3,30,0,0.7000000000000001,-3.7,88.04,996
56,2019,1,2,4,0,0,0.7000000000000001,-3.5,88.64,996
57,2019,1,2,4,30,0,0.7000000000000001,-3.4000000000000004,87.98,996
58,2019,1,2,5,0,0,0.7000000000000001,-3.2,88.54,996
59,2019,1,2,5,30,0,0.8,-3.1,87.88,996
60,2019,1,2,6,0,0,0.9,-2.9000000000000004,88.48,996
61,2019,1,2,6,30,0,1.1,-2.7,87.17,996
62,2019,1,2,7,0,0,1.4,-2.5,86.99,996
63,2019,1,2,7,30,3,1.9,-2.0,83.83,996
64,2019,1,2,8,0,13,2.5,-1.4,78.7,996
65,2019,1,2,8,30,13,2.9000000000000004,-1.1,76.91,995
66,2019,1,2,9,0,39,3.2,-0.7000000000000001,74.94,995
67,2019,1,2,9,30,32,3.6,-0.5,73.86,995
68,2019,1,2,10,0,44,4.0,-0.2,72.69,995
69,2019,1,2,10,30,46,4.3,-0.1,72.09,994
70,2019,1,2,11,0,50,4.6000000000000005,0.0,71.7,994
71,2019,1,2,11,30,127,4.7,-0.1,72.15,993
72,2019,1,2,12,0,119,4.7,-0.2,71.75,993
73,2019,1,2,12,30,94,4.7,-0.3,72.2,992
74,2019,1,2,13,0,90,4.7,-0.4,71.2,992
75,2019,1,2,13,30,82,4.7,-0.5,71.65,991
76,2019,1,2,14,0,62,4.7,-0.7000000000000001,70.88,991
77,2019,1,2,14,30,55,4.5,-0.9,71.92,991
78,2019,1,2,15,0,50,4.3,-1.1,71.52,991
79,2019,1,2,15,30,42,3.9,-1.5,73.64,991
80,2019,1,2,16,0,25,3.5,-1.8,75.32000000000001,991
81,2019,1,2,16,30,10,3.1,-2.2,77.58,991
82,2019,1,2,17,0,0,2.8000000000000003,-2.5,79.92,991
83,2019,1,2,17,30,0,2.8000000000000003,-2.5,79.92,991
84,2019,1,2,18,0,0,2.4000000000000004,-2.9000000000000004,83.14,991
85,2019,1,2,18,30,0,2.2,-3.0,83.84,992
86,2019,1,2,19,0,0,2.1,-3.1,85.34,992
87,2019,1,2,19,30,0,2.2,-3.1,85.34,992
88,2019,1,2,20,0,0,2.3000000000000003,-3.1,85.48,992
89,2019,1,2,20,30,0,2.4000000000000004,-3.1,85.48,992
90,2019,1,2,21,0,0,2.5,-3.1,85.56,992
91,2019,1,2,21,30,0,2.3000000000000003,-3.2,86.2,992
92,2019,1,2,22,0,0,2.2,-3.3000000000000003,87.07000000000001,992
93,2019,1,2,22,30,0,2.2,-3.3000000000000003,87.07000000000001,992
94,2019,1,2,23,0,0,2.1,-3.4000000000000004,87.61,992
95,2019,1,2,23,30,0,2.1,-3.5,88.27,992
