,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.4,3.0,100.0,1000
1,2019,1,1,0,30,0,1.4,2.8000000000000003,100.0,1001
2,2019,1,1,1,0,0,1.3,2.6,100.0,1001
3,2019,1,1,1,30,0,1.3,2.2,100.0,1002
4,2019,1,1,2,0,0,1.2000000000000002,1.9,100.0,1002
5,2019,1,1,2,30,0,1.3,1.7000000000000002,100.0,1002
6,2019,1,1,3,0,0,1.4,1.5,100.0,1002
7,2019,1,1,3,30,0,1.4,1.3,100.0,1002
8,2019,1,1,4,0,0,1.5,1.1,100.0,1002
9,2019,1,1,4,30,0,1.5,0.8,100.0,1003
10,2019,1,1,5,0,0,1.5,0.5,100.0,1003
11,2019,1,1,5,30,0,1.6,0.4,100.0,1003
12,2019,1,1,6,0,0,1.6,0.2,100.0,1004
13,2019,1,1,6,30,0,1.9,0.4,100.0,1004
14,2019,1,1,7,0,0,2.1,0.6000000000000001,98.29,1005
15,2019,1,1,7,30,9,2.4000000000000004,1.3,93.46,1005
16,2019,1,1,8,0,29,2.7,2.1,89.49,1006
17,2019,1,1,8,30,54,2.7,3.1,83.37,1006
18,2019,1,1,9,0,59,2.8000000000000003,4.0,81.03,1007
19,2019,1,1,9,30,45,2.7,5.0,75.57000000000001,1007
20,2019,1,1,10,0,60,2.6,6.1000000000000005,72.39,1007
21,2019,1,1,10,30,72,2.6,6.5,70.35000000000001,1006
22,2019,1,1,11,0,99,2.6,6.9,69.92,1006
23,2019,1,1,11,30,87,2.7,6.9,69.92,1006
24,2019,1,1,12,0,62,2.8000000000000003,6.9,70.25,1006
25,2019,1,1,12,30,72,2.7,6.800000000000001,70.73,1006
26,2019,1,1,13,0,69,2.7,6.7,70.57000000000001,1006
27,2019,1,1,13,30,45,2.7,6.4,72.04,1006
28,2019,1,1,14,0,58,2.7,6.1000000000000005,72.3,1006
29,2019,1,1,14,30,74,2.6,5.7,74.33,1006
30,2019,1,1,15,0,30,2.5,5.2,75.52,1006
31,2019,1,1,15,30,8,2.0,4.5,79.29,1006
32,2019,1,1,16,0,7,1.5,3.8,84.4,1007
33,2019,1,1,16,30,3,1.3,3.2,88.04,1007
34,2019,1,1,17,0,0,1.2000000000000002,2.6,90.76,1007
35,2019,1,1,17,30,0,1.2000000000000002,2.6,90.76,1007
36,2019,1,1,18,0,0,1.1,1.9,92.8,1008
37,2019,1,1,18,30,0,1.1,1.6,94.81,1008
38,2019,1,1,19,0,0,1.2000000000000002,1.4,93.95,1008
39,2019,1,1,19,30,0,1.2000000000000002,1.3,94.62,1008
40,2019,1,1,20,0,0,1.2000000000000002,1.2000000000000002,94.37,1008
41,2019,1,1,20,30,0,1.2000000000000002,1.1,95.05,1008
42,2019,1,1,21,0,0,1.2000000000000002,1.1,94.34,1007
43,2019,1,1,21,30,0,1.2000000000000002,0.9,95.7,1007
44,2019,1,1,22,0,0,1.1,0.8,95.73,1007
45,2019,1,1,22,30,0,1.1,0.7000000000000001,96.42,1007
46,2019,1,1,23,0,0,1.0,0.5,96.73,1007
47,2019,1,1,23,30,0,1.0,0.4,97.43,1007
48,2019,1,2,0,0,0,1.0,0.3,97.27,1007
49,2019,1,2,0,30,0,1.1,0.3,97.27,1007
50,2019,1,2,1,0,0,1.1,0.2,97.36,1007
51,2019,1,2,1,30,0,1.1,0.2,97.36,1007
52,2019,1,2,2,0,0,1.2000000000000002,0.1,97.62,1007
53,2019,1,2,2,30,0,1.2000000000000002,0.1,97.52,1006
54,2019,1,2,3,0,0,1.2000000000000002,0.1,96.9,1006
55,2019,1,2,3,30,0,1.2000000000000002,0.0,97.61,1006
56,2019,1,2,4,0,0,1.1,0.0,97.0,1006
57,2019,1,2,4,30,0,1.0,0.0,97.0,1006
58,2019,1,2,5,0,0,0.9,0.0,96.72,1006
59,2019,1,2,5,30,0,0.9,0.0,96.72,1006
60,2019,1,2,6,0,0,0.8,0.0,96.46,1006
61,2019,1,2,6,30,0,0.7000000000000001,0.0,96.46,1006
62,2019,1,2,7,0,0,0.7000000000000001,0.1,95.92,1007
63,2019,1,2,7,30,5,0.9,0.4,93.87,1007
64,2019,1,2,8,0,11,1.0,0.8,90.58,1007
65,2019,1,2,8,30,17,0.9,1.2000000000000002,88.01,1007
66,2019,1,2,9,0,25,0.7000000000000001,1.6,85.78,1007
67,2019,1,2,9,30,38,0.9,2.2,82.18,1007
68,2019,1,2,10,0,69,1.1,2.7,79.63,1006
69,2019,1,2,10,30,88,1.3,2.8000000000000003,79.07000000000001,1006
70,2019,1,2,11,0,76,1.5,2.9000000000000004,79.07000000000001,1005
71,2019,1,2,11,30,65,1.6,3.0,78.51,1005
72,2019,1,2,12,0,86,1.7000000000000002,3.1,77.91,1004
73,2019,1,2,12,30,146,1.6,3.1,77.91,1004
74,2019,1,2,13,0,177,1.6,3.1,77.58,1003
75,2019,1,2,13,30,159,1.5,3.0,78.13,1003
76,2019,1,2,14,0,138,1.4,3.0,78.53,1002
77,2019,1,2,14,30,102,1.1,2.7,80.22,1002
78,2019,1,2,15,0,71,0.8,2.5,87.14,1002
79,2019,1,2,15,30,51,0.8,2.0,90.29,1002
80,2019,1,2,16,0,29,0.8,1.5,93.35,1002
81,2019,1,2,16,30,9,0.8,1.3,94.7,1002
82,2019,1,2,17,0,0,0.8,1.0,94.09,1002
83,2019,1,2,17,30,0,0.8,1.0,94.09,1002
84,2019,1,2,18,0,0,0.8,0.8,94.59,1002
85,2019,1,2,18,30,0,0.9,0.7000000000000001,95.28,1002
86,2019,1,2,19,0,0,1.0,0.7000000000000001,94.27,1003
87,2019,1,2,19,30,0,1.0,0.6000000000000001,94.95,1003
88,2019,1,2,20,0,0,1.0,0.5,94.37,1003
89,2019,1,2,20,30,0,1.1,0.4,95.05,1003
90,2019,1,2,21,0,0,1.1,0.3,94.6,1002
91,2019,1,2,21,30,0,1.0,0.1,95.98,1002
92,2019,1,2,22,0,0,1.0,0.0,95.97,1002
93,2019,1,2,22,30,0,0.9,-0.2,97.37,1002
94,2019,1,2,23,0,0,0.7000000000000001,-0.3,96.96,1002
95,2019,1,2,23,30,0,0.7000000000000001,-0.4,97.66,1002
96,2019,1,3,0,0,0,0.6000000000000001,-0.6000000000000001,97.84,1003
97,2019,1,3,0,30,0,0.6000000000000001,-0.6000000000000001,97.84,1003
98,2019,1,3,1,0,0,0.6000000000000001,-0.7000000000000001,97.14,1003
99,2019,1,3,1,30,0,0.6000000000000001,-0.8,97.85,1003
100,2019,1,3,2,0,0,0.6000000000000001,-0.9,97.06,1003
101,2019,1,3,2,30,0,0.6000000000000001,-1.0,97.67,1002
102,2019,1,3,3,0,0,0.7000000000000001,-1.1,96.5,1002
103,2019,1,3,3,30,0,0.7000000000000001,-1.3,97.93,1002
104,2019,1,3,4,0,0,0.7000000000000001,-1.4,96.25,1002
105,2019,1,3,4,30,0,0.7000000000000001,-1.7000000000000002,98.39,1002
106,2019,1,3,5,0,0,0.8,-2.0,97.24,1002
107,2019,1,3,5,30,0,0.8,-2.4000000000000004,100.0,1002
108,2019,1,3,6,0,0,0.8,-2.8000000000000003,99.74,1002
109,2019,1,3,6,30,0,0.9,-2.6,98.27,1002
110,2019,1,3,7,0,0,1.0,-2.4000000000000004,95.81,1002
111,2019,1,3,7,30,35,1.5,-1.2000000000000002,87.8,1003
112,2019,1,3,8,0,106,1.9,0.0,80.85000000000001,1003
