,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.4,2.7,100.0,1003
1,2019,1,1,0,30,0,1.4,2.5,100.0,1004
2,2019,1,1,1,0,0,1.4,2.3000000000000003,100.0,1004
3,2019,1,1,1,30,0,1.4,2.0,100.0,1005
4,2019,1,1,2,0,0,1.4,1.7000000000000002,100.0,1005
5,2019,1,1,2,30,0,1.5,1.6,100.0,1005
6,2019,1,1,3,0,0,1.6,1.5,100.0,1005
7,2019,1,1,3,30,0,1.7000000000000002,1.3,100.0,1005
8,2019,1,1,4,0,0,1.8,1.2000000000000002,100.0,1005
9,2019,1,1,4,30,0,1.8,0.9,100.0,1006
10,2019,1,1,5,0,0,1.9,0.7000000000000001,100.0,1006
11,2019,1,1,5,30,0,1.9,0.5,100.0,1007
12,2019,1,1,6,0,0,1.9,0.3,100.0,1007
13,2019,1,1,6,30,0,2.2,0.4,100.0,1008
14,2019,1,1,7,0,0,2.4000000000000004,0.6000000000000001,98.19,1008
15,2019,1,1,7,30,10,2.8000000000000003,1.4,92.8,1009
16,2019,1,1,8,0,29,3.2,2.3000000000000003,88.13,1009
17,2019,1,1,8,30,55,3.4000000000000004,3.3000000000000003,82.10000000000001,1009
18,2019,1,1,9,0,80,3.5,4.3,78.14,1010
19,2019,1,1,9,30,117,3.4000000000000004,5.2,73.39,1010
20,2019,1,1,10,0,131,3.2,6.0,71.12,1010
21,2019,1,1,10,30,122,3.1,6.4,69.19,1010
22,2019,1,1,11,0,133,3.1,6.7,69.11,1009
23,2019,1,1,11,30,114,3.1,6.800000000000001,68.64,1009
24,2019,1,1,12,0,89,3.0,6.9,68.64,1009
25,2019,1,1,12,30,98,3.0,6.9,68.64,1009
26,2019,1,1,13,0,103,3.0,6.800000000000001,68.63,1009
27,2019,1,1,13,30,66,2.9000000000000004,6.6000000000000005,69.58,1009
28,2019,1,1,14,0,65,2.9000000000000004,6.300000000000001,69.97,1009
29,2019,1,1,14,30,53,2.8000000000000003,5.9,71.93,1009
30,2019,1,1,15,0,87,2.8000000000000003,5.5,72.65,1009
31,2019,1,1,15,30,37,2.3000000000000003,4.7,76.8,1009
32,2019,1,1,16,0,13,1.8,3.9,82.71000000000001,1010
33,2019,1,1,16,30,6,1.6,3.3000000000000003,86.27,1010
34,2019,1,1,17,0,0,1.5,2.6,89.53,1010
35,2019,1,1,17,30,0,1.5,2.6,89.53,1010
36,2019,1,1,18,0,0,1.6,2.1,90.23,1011
37,2019,1,1,18,30,0,1.7000000000000002,1.9,91.53,1011
38,2019,1,1,19,0,0,1.7000000000000002,1.7000000000000002,90.82,1011
39,2019,1,1,19,30,0,1.7000000000000002,1.5,92.13,1011
40,2019,1,1,20,0,0,1.7000000000000002,1.3,92.27,1011
41,2019,1,1,20,30,0,1.6,1.1,93.6,1011
42,2019,1,1,21,0,0,1.5,0.9,93.86,1011
43,2019,1,1,21,30,0,1.4,0.8,94.44,1010
44,2019,1,1,22,0,0,1.3,0.6000000000000001,94.5,1010
45,2019,1,1,22,30,0,1.3,0.5,95.18,1010
46,2019,1,1,23,0,0,1.2000000000000002,0.3,95.22,1010
47,2019,1,1,23,30,0,1.2000000000000002,0.2,95.92,1010
48,2019,1,2,0,0,0,1.3,0.1,95.54,1010
49,2019,1,2,0,30,0,1.3,0.1,95.54,1010
50,2019,1,2,1,0,0,1.4,0.0,95.32,1010
51,2019,1,2,1,30,0,1.4,-0.1,96.01,1010
52,2019,1,2,2,0,0,1.4,-0.1,95.0,1010
53,2019,1,2,2,30,0,1.4,-0.2,95.6,1009
54,2019,1,2,3,0,0,1.4,-0.3,95.13,1009
55,2019,1,2,3,30,0,1.3,-0.4,95.82,1009
56,2019,1,2,4,0,0,1.1,-0.5,95.51,1009
57,2019,1,2,4,30,0,1.1,-0.5,95.51,1009
58,2019,1,2,5,0,0,1.0,-0.6000000000000001,95.51,1009
59,2019,1,2,5,30,0,1.0,-0.6000000000000001,95.51,1009
60,2019,1,2,6,0,0,0.9,-0.6000000000000001,94.88,1009
61,2019,1,2,6,30,0,0.9,-0.6000000000000001,94.97,1010
62,2019,1,2,7,0,0,0.8,-0.5,94.56,1010
63,2019,1,2,7,30,8,0.9,0.0,91.19,1010
64,2019,1,2,8,0,14,1.0,0.4,89.66,1010
65,2019,1,2,8,30,23,0.8,0.8,87.11,1010
66,2019,1,2,9,0,35,0.6000000000000001,1.2000000000000002,83.66,1010
67,2019,1,2,9,30,63,0.8,1.7000000000000002,80.72,1010
68,2019,1,2,10,0,80,1.0,2.2,79.57000000000001,1010
69,2019,1,2,10,30,80,1.2000000000000002,2.4000000000000004,78.37,1009
70,2019,1,2,11,0,96,1.3,2.7,77.66,1008
71,2019,1,2,11,30,108,1.5,2.8000000000000003,77.11,1008
72,2019,1,2,12,0,130,1.6,3.0,76.04,1007
73,2019,1,2,12,30,153,1.6,3.0,76.04,1007
74,2019,1,2,13,0,156,1.6,3.0,75.91,1006
75,2019,1,2,13,30,144,1.5,3.0,75.91,1006
76,2019,1,2,14,0,121,1.4,2.9000000000000004,77.36,1005
77,2019,1,2,14,30,100,1.1,2.7,78.46000000000001,1005
78,2019,1,2,15,0,76,0.9,2.4000000000000004,86.21000000000001,1005
79,2019,1,2,15,30,48,0.8,2.0,88.7,1005
80,2019,1,2,16,0,28,0.8,1.5,91.95,1005
81,2019,1,2,16,30,12,0.8,1.3,93.27,1005
82,2019,1,2,17,0,0,0.7000000000000001,1.0,92.99,1005
83,2019,1,2,17,30,0,0.7000000000000001,1.0,92.99,1005
84,2019,1,2,18,0,0,0.8,0.8,93.86,1005
85,2019,1,2,18,30,0,0.9,0.8,93.86,1005
86,2019,1,2,19,0,0,0.9,0.7000000000000001,93.61,1006
87,2019,1,2,19,30,0,0.9,0.6000000000000001,94.28,1006
88,2019,1,2,20,0,0,0.9,0.5,94.08,1006
89,2019,1,2,20,30,0,1.0,0.4,94.77,1006
90,2019,1,2,21,0,0,1.1,0.3,94.51,1005
91,2019,1,2,21,30,0,1.0,0.2,95.19,1005
92,2019,1,2,22,0,0,1.0,0.1,95.22,1005
93,2019,1,2,22,30,0,0.9,0.0,95.92,1005
94,2019,1,2,23,0,0,0.9,-0.2,96.45,1005
95,2019,1,2,23,30,0,0.8,-0.2,96.45,1005
96,2019,1,3,0,0,0,0.8,-0.3,96.24,1006
97,2019,1,3,0,30,0,0.8,-0.4,96.94,1006
98,2019,1,3,1,0,0,0.9,-0.4,96.22,1006
99,2019,1,3,1,30,0,0.9,-0.4,96.22,1006
100,2019,1,3,2,0,0,1.0,-0.4,95.28,1006
101,2019,1,3,2,30,0,1.1,-0.5,95.89,1005
102,2019,1,3,3,0,0,1.2000000000000002,-0.6000000000000001,94.72,1005
103,2019,1,3,3,30,0,1.2000000000000002,-0.8,96.11,1005
104,2019,1,3,4,0,0,1.3,-1.0,95.06,1005
105,2019,1,3,4,30,0,1.3,-1.3,97.17,1005
106,2019,1,3,5,0,0,1.3,-1.7000000000000002,97.01,1005
107,2019,1,3,5,30,0,1.2000000000000002,-2.0,99.17,1005
