,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.0,-0.9,94.87,994
1,2019,1,1,0,30,0,2.9000000000000004,-0.9,94.96,995
2,2019,1,1,1,0,0,2.8000000000000003,-0.8,92.35,996
3,2019,1,1,1,30,0,2.7,-0.9,93.03,996
4,2019,1,1,2,0,0,2.7,-1.1,91.2,997
5,2019,1,1,2,30,0,3.0,-1.2000000000000002,91.87,997
6,2019,1,1,3,0,0,3.2,-1.4,88.52,998
7,2019,1,1,3,30,0,3.4000000000000004,-1.6,89.83,998
8,2019,1,1,4,0,0,3.6,-1.8,85.41,998
9,2019,1,1,4,30,0,3.5,-2.1,87.4,999
10,2019,1,1,5,0,0,3.5,-2.4000000000000004,83.21000000000001,999
11,2019,1,1,5,30,0,3.4000000000000004,-2.5,83.91,1000
12,2019,1,1,6,0,0,3.3000000000000003,-2.7,81.76,1000
13,2019,1,1,6,30,0,3.4000000000000004,-2.8000000000000003,82.45,1001
14,2019,1,1,7,0,0,3.5,-2.8000000000000003,80.60000000000001,1002
15,2019,1,1,7,30,2,3.7,-2.6,79.42,1002
16,2019,1,1,8,0,13,3.9,-2.3000000000000003,75.53,1003
17,2019,1,1,8,30,26,3.8,-2.0,73.87,1003
18,2019,1,1,9,0,42,3.7,-1.6,70.58,1003
19,2019,1,1,9,30,66,3.4000000000000004,-1.2000000000000002,68.54,1003
20,2019,1,1,10,0,73,3.1,-0.8,67.7,1003
21,2019,1,1,10,30,92,2.8000000000000003,-0.5,66.23,1003
22,2019,1,1,11,0,145,2.5,-0.1,66.14,1003
23,2019,1,1,11,30,126,2.4000000000000004,0.1,65.19,1003
24,2019,1,1,12,0,92,2.2,0.4,65.32000000000001,1003
25,2019,1,1,12,30,100,2.3000000000000003,0.4,65.26,1002
26,2019,1,1,13,0,85,2.3000000000000003,0.4,66.03,1002
27,2019,1,1,13,30,87,2.4000000000000004,0.3,66.51,1002
28,2019,1,1,14,0,61,2.4000000000000004,0.1,67.64,1002
29,2019,1,1,14,30,44,2.3000000000000003,-0.2,69.2,1003
30,2019,1,1,15,0,38,2.2,-0.6000000000000001,72.17,1003
31,2019,1,1,15,30,21,1.9,-1.3,75.96000000000001,1003
32,2019,1,1,16,0,9,1.7000000000000002,-2.0,81.69,1003
33,2019,1,1,16,30,4,1.8,-2.3000000000000003,83.52,1003
34,2019,1,1,17,0,0,2.0,-2.6,82.76,1004
35,2019,1,1,17,30,0,2.0,-2.6,82.76,1004
36,2019,1,1,18,0,0,2.1,-3.1,84.21000000000001,1004
37,2019,1,1,18,30,0,2.0,-3.3000000000000003,85.47,1004
38,2019,1,1,19,0,0,1.9,-3.5,85.64,1004
39,2019,1,1,19,30,0,1.7000000000000002,-3.7,86.84,1003
40,2019,1,1,20,0,0,1.5,-3.9,87.66,1003
41,2019,1,1,20,30,0,1.3,-4.0,88.32000000000001,1003
42,2019,1,1,21,0,0,1.1,-4.1000000000000005,88.75,1003
43,2019,1,1,21,30,0,1.0,-4.2,89.41,1003
44,2019,1,1,22,0,0,0.8,-4.3,89.83,1002
45,2019,1,1,22,30,0,0.7000000000000001,-4.2,89.16,1002
46,2019,1,1,23,0,0,0.5,-4.2,89.57000000000001,1002
47,2019,1,1,23,30,0,0.4,-4.2,89.57000000000001,1002
48,2019,1,2,0,0,0,0.3,-4.1000000000000005,88.46000000000001,1002
49,2019,1,2,0,30,0,0.4,-4.1000000000000005,88.46000000000001,1002
50,2019,1,2,1,0,0,0.5,-4.0,87.94,1002
51,2019,1,2,1,30,0,0.8,-4.0,87.94,1002
52,2019,1,2,2,0,0,1.1,-3.9,87.75,1002
53,2019,1,2,2,30,0,1.2000000000000002,-3.8,87.01,1001
54,2019,1,2,3,0,0,1.3,-3.7,87.69,1001
55,2019,1,2,3,30,0,1.4,-3.5,86.39,1001
56,2019,1,2,4,0,0,1.5,-3.4000000000000004,86.97,1000
57,2019,1,2,4,30,0,1.5,-3.3000000000000003,86.33,1000
58,2019,1,2,5,0,0,1.5,-3.2,86.52,1000
59,2019,1,2,5,30,0,1.6,-3.2,86.52,1000
60,2019,1,2,6,0,0,1.7000000000000002,-3.2,86.11,1000
61,2019,1,2,6,30,0,2.0,-3.1,85.47,1000
62,2019,1,2,7,0,0,2.3000000000000003,-3.0,83.94,1000
63,2019,1,2,7,30,1,2.8000000000000003,-2.5,80.89,1000
64,2019,1,2,8,0,8,3.3000000000000003,-2.1,77.86,1000
65,2019,1,2,8,30,9,3.8,-1.8,76.16,1000
66,2019,1,2,9,0,14,4.3,-1.5,71.26,1000
67,2019,1,2,9,30,19,4.5,-1.3,70.16,999
68,2019,1,2,10,0,27,4.6000000000000005,-1.2000000000000002,68.29,999
