,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.4000000000000004,1.8,97.16,1001
1,2019,1,1,0,30,0,3.4000000000000004,1.6,98.66,1002
2,2019,1,1,1,0,0,3.4000000000000004,1.4,98.06,1002
3,2019,1,1,1,30,0,3.1,1.0,100.0,1003
4,2019,1,1,2,0,0,2.7,0.6000000000000001,100.0,1003
5,2019,1,1,2,30,0,2.6,0.4,100.0,1003
6,2019,1,1,3,0,0,2.4000000000000004,0.2,100.0,1004
7,2019,1,1,3,30,0,2.4000000000000004,0.1,100.0,1004
8,2019,1,1,4,0,0,2.4000000000000004,-0.1,100.0,1004
9,2019,1,1,4,30,0,2.4000000000000004,-0.1,100.0,1004
10,2019,1,1,5,0,0,2.4000000000000004,-0.2,99.2,1005
11,2019,1,1,5,30,0,2.2,-0.4,100.0,1005
12,2019,1,1,6,0,0,2.0,-0.6000000000000001,100.0,1006
13,2019,1,1,6,30,0,2.0,-0.5,99.37,1006
14,2019,1,1,7,0,0,1.9,-0.5,98.72,1006
15,2019,1,1,7,30,6,2.4000000000000004,0.6000000000000001,91.25,1007
16,2019,1,1,8,0,13,2.8000000000000003,1.7000000000000002,88.07000000000001,1007
17,2019,1,1,8,30,23,2.7,2.9000000000000004,80.95,1008
18,2019,1,1,9,0,42,2.6,4.0,79.06,1008
19,2019,1,1,9,30,56,2.3000000000000003,4.9,74.24,1008
20,2019,1,1,10,0,81,2.0,5.9,72.98,1008
21,2019,1,1,10,30,109,2.1,6.1000000000000005,71.98,1008
22,2019,1,1,11,0,89,2.1,6.4,71.72,1007
23,2019,1,1,11,30,98,2.4000000000000004,6.4,71.72,1007
24,2019,1,1,12,0,71,2.7,6.4,71.77,1007
25,2019,1,1,12,30,81,2.8000000000000003,6.2,72.76,1007
26,2019,1,1,13,0,79,2.8000000000000003,6.1000000000000005,72.52,1007
27,2019,1,1,13,30,67,2.8000000000000003,5.9,73.53,1007
28,2019,1,1,14,0,44,2.7,5.7,73.55,1007
29,2019,1,1,14,30,27,2.6,5.300000000000001,75.61,1007
30,2019,1,1,15,0,15,2.4000000000000004,5.0,77.38,1008
31,2019,1,1,15,30,10,1.9,4.2,81.82000000000001,1008
32,2019,1,1,16,0,6,1.3,3.3000000000000003,89.78,1008
33,2019,1,1,16,30,2,1.3,2.8000000000000003,93.01,1008
34,2019,1,1,17,0,0,1.3,2.3000000000000003,92.83,1009
35,2019,1,1,17,30,0,1.3,2.3000000000000003,92.83,1009
36,2019,1,1,18,0,0,1.5,1.8,93.41,1009
37,2019,1,1,18,30,0,1.5,1.6,94.75,1009
38,2019,1,1,19,0,0,1.6,1.4,93.69,1009
39,2019,1,1,19,30,0,1.6,1.2000000000000002,95.04,1009
40,2019,1,1,20,0,0,1.5,1.0,94.44,1009
41,2019,1,1,20,30,0,1.5,0.8,95.8,1009
42,2019,1,1,21,0,0,1.4,0.7000000000000001,94.65,1009
43,2019,1,1,21,30,0,1.3,0.5,96.02,1009
44,2019,1,1,22,0,0,1.2000000000000002,0.4,94.88,1008
45,2019,1,1,22,30,0,1.2000000000000002,0.3,95.57,1008
46,2019,1,1,23,0,0,1.1,0.1,95.24,1008
47,2019,1,1,23,30,0,1.1,0.1,95.24,1008
48,2019,1,2,0,0,0,1.0,0.0,94.77,1008
49,2019,1,2,0,30,0,1.0,-0.1,95.46,1008
50,2019,1,2,1,0,0,0.9,-0.1,94.31,1008
51,2019,1,2,1,30,0,0.9,-0.2,94.99,1008
52,2019,1,2,2,0,0,0.9,-0.2,93.88,1008
53,2019,1,2,2,30,0,0.9,-0.3,94.56,1008
54,2019,1,2,3,0,0,0.9,-0.3,94.02,1008
55,2019,1,2,3,30,0,0.9,-0.3,93.93,1007
56,2019,1,2,4,0,0,0.9,-0.3,93.77,1007
57,2019,1,2,4,30,0,0.9,-0.3,93.77,1007
58,2019,1,2,5,0,0,0.9,-0.3,93.29,1007
59,2019,1,2,5,30,0,0.9,-0.3,93.29,1007
60,2019,1,2,6,0,0,0.8,-0.3,92.91,1008
61,2019,1,2,6,30,0,0.9,-0.3,92.91,1008
