,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.7,-0.6000000000000001,90.06,998
1,2019,1,1,0,30,0,4.0,-0.7000000000000001,90.81,999
2,2019,1,1,1,0,0,4.2,-0.8,88.75,1000
3,2019,1,1,1,30,0,4.4,-1.2000000000000002,91.38,1000
4,2019,1,1,2,0,0,4.7,-1.5,85.86,1001
5,2019,1,1,2,30,0,4.7,-2.1,89.74,1001
6,2019,1,1,3,0,0,4.7,-2.7,82.88,1001
7,2019,1,1,3,30,0,4.6000000000000005,-3.1,85.47,1002
8,2019,1,1,4,0,0,4.4,-3.6,80.84,1002
9,2019,1,1,4,30,0,4.2,-3.8,82.14,1003
10,2019,1,1,5,0,0,4.0,-4.0,79.96000000000001,1003
11,2019,1,1,5,30,0,3.8,-4.1000000000000005,80.65,1004
12,2019,1,1,6,0,0,3.6,-4.3,79.67,1005
13,2019,1,1,6,30,0,3.6,-4.4,80.27,1005
14,2019,1,1,7,0,0,3.5,-4.6000000000000005,79.35000000000001,1006
15,2019,1,1,7,30,0,3.7,-4.4,78.16,1006
16,2019,1,1,8,0,4,3.8,-4.2,76.85000000000001,1006
17,2019,1,1,8,30,8,3.8,-3.8,74.65,1007
18,2019,1,1,9,0,12,3.9,-3.5,72.41,1007
19,2019,1,1,9,30,22,3.6,-3.2,70.81,1007
20,2019,1,1,10,0,26,3.4000000000000004,-3.0,70.12,1007
21,2019,1,1,10,30,43,3.1,-2.8000000000000003,69.09,1007
22,2019,1,1,11,0,51,2.9000000000000004,-2.5,69.22,1007
23,2019,1,1,11,30,65,2.8000000000000003,-2.4000000000000004,68.71000000000001,1007
24,2019,1,1,12,0,46,2.7,-2.3000000000000003,69.41,1006
25,2019,1,1,12,30,42,2.7,-2.3000000000000003,69.41,1006
26,2019,1,1,13,0,51,2.6,-2.3000000000000003,69.92,1006
27,2019,1,1,13,30,55,2.6,-2.5,70.96000000000001,1006
28,2019,1,1,14,0,59,2.6,-2.6,71.39,1006
29,2019,1,1,14,30,14,2.4000000000000004,-2.8000000000000003,72.45,1006
30,2019,1,1,15,0,22,2.2,-3.1,74.14,1006
31,2019,1,1,15,30,18,2.1,-3.5,76.46000000000001,1007
32,2019,1,1,16,0,10,2.0,-3.9,75.34,1007
