,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,2.3000000000000003,2.8000000000000003,98.73,1005
1,2019,1,1,0,30,0,2.2,2.6,100.0,1006
2,2019,1,1,1,0,0,2.2,2.4000000000000004,99.71,1007
3,2019,1,1,1,30,0,2.0,2.0,100.0,1007
4,2019,1,1,2,0,0,1.9,1.6,100.0,1007
5,2019,1,1,2,30,0,1.9,1.4,100.0,1007
6,2019,1,1,3,0,0,1.9,1.2000000000000002,100.0,1007
7,2019,1,1,3,30,0,2.1,1.0,100.0,1008
8,2019,1,1,4,0,0,2.3000000000000003,0.8,100.0,1008
9,2019,1,1,4,30,0,2.3000000000000003,0.5,100.0,1008
10,2019,1,1,5,0,0,2.3000000000000003,0.3,100.0,1008
11,2019,1,1,5,30,0,2.2,0.2,100.0,1009
12,2019,1,1,6,0,0,2.1,0.1,100.0,1009
13,2019,1,1,6,30,0,2.3000000000000003,0.2,99.8,1010
14,2019,1,1,7,0,0,2.4000000000000004,0.3,96.53,1010
15,2019,1,1,7,30,3,2.8000000000000003,1.1,91.21,1011
16,2019,1,1,8,0,8,3.1,2.0,87.46000000000001,1011
17,2019,1,1,8,30,14,3.2,3.0,81.55,1012
18,2019,1,1,9,0,22,3.2,4.0,79.29,1012
19,2019,1,1,9,30,41,3.1,5.0,73.95,1012
20,2019,1,1,10,0,69,2.9000000000000004,6.0,72.27,1012
21,2019,1,1,10,30,73,2.9000000000000004,6.300000000000001,70.79,1012
22,2019,1,1,11,0,88,2.9000000000000004,6.7,70.2,1011
23,2019,1,1,11,30,123,3.1,6.7,70.2,1011
24,2019,1,1,12,0,92,3.3000000000000003,6.6000000000000005,70.7,1011
25,2019,1,1,12,30,101,3.3000000000000003,6.5,71.18,1011
26,2019,1,1,13,0,110,3.2,6.300000000000001,71.25,1011
27,2019,1,1,13,30,113,3.2,6.1000000000000005,72.24,1011
28,2019,1,1,14,0,138,3.1,5.800000000000001,72.51,1011
29,2019,1,1,14,30,100,3.0,5.4,74.54,1011
30,2019,1,1,15,0,55,2.9000000000000004,5.0,75.60000000000001,1012
31,2019,1,1,15,30,36,2.3000000000000003,4.3,79.38,1012
32,2019,1,1,16,0,25,1.7000000000000002,3.6,85.04,1012
33,2019,1,1,16,30,9,1.5,3.0,88.71000000000001,1012
34,2019,1,1,17,0,0,1.4,2.4000000000000004,90.88,1012
35,2019,1,1,17,30,0,1.4,2.4000000000000004,90.88,1012
36,2019,1,1,18,0,0,1.4,1.8,92.44,1013
37,2019,1,1,18,30,0,1.5,1.6,93.78,1013
38,2019,1,1,19,0,0,1.5,1.4,93.37,1013
39,2019,1,1,19,30,0,1.6,1.4,93.37,1013
40,2019,1,1,20,0,0,1.6,1.3,93.31,1013
41,2019,1,1,20,30,0,1.6,1.2000000000000002,93.98,1013
42,2019,1,1,21,0,0,1.6,1.2000000000000002,93.5,1013
43,2019,1,1,21,30,0,1.6,1.1,94.18,1013
44,2019,1,1,22,0,0,1.5,1.0,94.22,1012
45,2019,1,1,22,30,0,1.4,0.8,95.59,1012
46,2019,1,1,23,0,0,1.4,0.7000000000000001,95.03,1012
47,2019,1,1,23,30,0,1.3,0.6000000000000001,95.71,1012
48,2019,1,2,0,0,0,1.3,0.5,95.17,1012
49,2019,1,2,0,30,0,1.4,0.4,95.86,1012
50,2019,1,2,1,0,0,1.5,0.3,95.61,1012
51,2019,1,2,1,30,0,1.5,0.3,95.61,1012
52,2019,1,2,2,0,0,1.5,0.3,94.76,1012
53,2019,1,2,2,30,0,1.5,0.2,95.45,1012
54,2019,1,2,3,0,0,1.6,0.2,94.43,1011
55,2019,1,2,3,30,0,1.5,0.1,95.12,1011
56,2019,1,2,4,0,0,1.4,0.1,94.41,1011
57,2019,1,2,4,30,0,1.3,0.1,94.41,1011
58,2019,1,2,5,0,0,1.2000000000000002,0.1,94.05,1011
59,2019,1,2,5,30,0,1.1,0.0,94.74,1011
60,2019,1,2,6,0,0,0.9,0.0,94.55,1012
61,2019,1,2,6,30,0,0.9,0.1,93.87,1012
62,2019,1,2,7,0,0,0.9,0.2,93.2,1012
63,2019,1,2,7,30,7,1.1,0.5,91.2,1012
64,2019,1,2,8,0,12,1.3,0.9,87.08,1012
65,2019,1,2,8,30,19,1.1,1.3,84.62,1012
66,2019,1,2,9,0,28,0.9,1.7000000000000002,82.08,1012
67,2019,1,2,9,30,50,1.2000000000000002,2.2,79.21000000000001,1012
68,2019,1,2,10,0,62,1.4,2.7,77.08,1012
69,2019,1,2,10,30,60,1.8,2.8000000000000003,76.46000000000001,1011
70,2019,1,2,11,0,71,2.2,2.9000000000000004,76.51,1011
71,2019,1,2,11,30,75,2.2,3.0,75.9,1010
72,2019,1,2,12,0,87,2.3000000000000003,3.0,75.84,1009
73,2019,1,2,12,30,84,2.3000000000000003,3.0,75.84,1009
74,2019,1,2,13,0,88,2.2,3.0,75.59,1008
75,2019,1,2,13,30,123,2.1,3.0,75.59,1008
76,2019,1,2,14,0,109,2.0,2.9000000000000004,76.69,1008
77,2019,1,2,14,30,100,1.7000000000000002,2.7,77.71000000000001,1007
78,2019,1,2,15,0,69,1.3,2.4000000000000004,84.55,1007
79,2019,1,2,15,30,45,1.2000000000000002,1.9,87.61,1007
80,2019,1,2,16,0,26,1.0,1.4,91.33,1007
81,2019,1,2,16,30,8,1.1,1.2000000000000002,92.65,1007
82,2019,1,2,17,0,0,1.2000000000000002,1.0,91.61,1007
83,2019,1,2,17,30,0,1.2000000000000002,1.0,91.61,1007
84,2019,1,2,18,0,0,1.2000000000000002,0.8,92.18,1007
85,2019,1,2,18,30,0,1.3,0.7000000000000001,92.85,1007
86,2019,1,2,19,0,0,1.3,0.6000000000000001,92.89,1008
87,2019,1,2,19,30,0,1.4,0.6000000000000001,92.89,1008
88,2019,1,2,20,0,0,1.5,0.5,92.68,1008
89,2019,1,2,20,30,0,1.5,0.4,93.35,1008
90,2019,1,2,21,0,0,1.6,0.3,92.85,1008
91,2019,1,2,21,30,0,1.5,0.0,94.89,1008
92,2019,1,2,22,0,0,1.4,-0.2,94.51,1007
93,2019,1,2,22,30,0,1.2000000000000002,-0.4,95.9,1007
94,2019,1,2,23,0,0,1.1,-0.6000000000000001,95.24,1007
95,2019,1,2,23,30,0,0.9,-0.7000000000000001,96.03,1008
96,2019,1,3,0,0,0,0.8,-0.8,94.59,1008
97,2019,1,3,0,30,0,0.8,-0.9,95.28,1008
98,2019,1,3,1,0,0,0.7000000000000001,-1.1,94.59,1008
99,2019,1,3,1,30,0,0.7000000000000001,-1.1,94.59,1008
100,2019,1,3,2,0,0,0.7000000000000001,-1.2000000000000002,93.16,1008
101,2019,1,3,2,30,0,0.7000000000000001,-1.4,94.54,1008
102,2019,1,3,3,0,0,0.7000000000000001,-1.6,93.6,1007
103,2019,1,3,3,30,0,0.8,-1.7000000000000002,94.29,1007
104,2019,1,3,4,0,0,0.8,-1.9,93.2,1007
105,2019,1,3,4,30,0,0.8,-2.2,95.28,1007
106,2019,1,3,5,0,0,0.9,-2.6,95.02,1007
107,2019,1,3,5,30,0,0.9,-2.9000000000000004,97.26,1008
108,2019,1,3,6,0,0,0.9,-3.2,96.93,1008
109,2019,1,3,6,30,0,0.9,-2.9000000000000004,94.79,1008
110,2019,1,3,7,0,0,1.0,-2.7,93.39,1008
111,2019,1,3,7,30,34,1.4,-1.5,85.48,1008
112,2019,1,3,8,0,94,1.8,-0.3,78.7,1008
113,2019,1,3,8,30,188,1.8,0.6000000000000001,73.74,1008
114,2019,1,3,9,0,268,1.8,1.4,69.33,1008
115,2019,1,3,9,30,342,1.8,2.1,65.95,1008
116,2019,1,3,10,0,401,1.8,2.8000000000000003,65.4,1007
117,2019,1,3,10,30,405,1.7000000000000002,3.4000000000000004,62.68,1007
118,2019,1,3,11,0,406,1.7000000000000002,4.1000000000000005,62.78,1006
119,2019,1,3,11,30,416,1.7000000000000002,4.5,61.05,1006
120,2019,1,3,12,0,418,1.7000000000000002,4.9,61.9,1005
121,2019,1,3,12,30,403,1.6,4.9,61.9,1005
122,2019,1,3,13,0,397,1.6,5.0,62.07,1005
123,2019,1,3,13,30,346,1.6,4.800000000000001,62.93,1005
124,2019,1,3,14,0,267,1.7000000000000002,4.7,65.48,1005
125,2019,1,3,14,30,194,1.2000000000000002,4.3,67.33,1005
126,2019,1,3,15,0,143,0.7000000000000001,4.0,77.86,1005
127,2019,1,3,15,30,92,0.5,3.5,80.64,1005
128,2019,1,3,16,0,50,0.3,3.0,76.25,1005
129,2019,1,3,16,30,14,0.6000000000000001,2.4000000000000004,79.49,1004
130,2019,1,3,17,0,0,0.9,1.9,81.93,1004
131,2019,1,3,17,30,0,0.9,1.9,81.93,1004
132,2019,1,3,18,0,0,1.1,0.9,86.48,1004
133,2019,1,3,18,30,0,1.0,1.0,85.94,1005
134,2019,1,3,19,0,0,1.0,1.1,85.38,1005
135,2019,1,3,19,30,0,1.0,0.9,86.62,1005
136,2019,1,3,20,0,0,1.1,0.8,87.61,1004
137,2019,1,3,20,30,0,1.2000000000000002,0.7000000000000001,88.24,1004
138,2019,1,3,21,0,0,1.3,0.7000000000000001,88.67,1003
139,2019,1,3,21,30,0,1.3,0.4,90.52,1002
140,2019,1,3,22,0,0,1.3,0.2,90.82,1002
141,2019,1,3,22,30,0,1.3,-0.2,93.49,1002
142,2019,1,3,23,0,0,1.3,-0.7000000000000001,96.67,1002
143,2019,1,3,23,30,0,1.5,-0.3,93.8,1001
144,2019,1,4,0,0,0,1.8,0.2,92.29,1000
145,2019,1,4,0,30,0,1.9,0.3,91.53,999
146,2019,1,4,1,0,0,2.1,0.4,92.01,999
147,2019,1,4,1,30,0,2.0,-0.1,95.4,999
148,2019,1,4,2,0,0,1.9,-0.6000000000000001,97.46,999
149,2019,1,4,2,30,0,2.2,-0.3,95.35,999
150,2019,1,4,3,0,0,2.4000000000000004,0.1,94.33,998
151,2019,1,4,3,30,0,2.5,0.1,94.33,998
152,2019,1,4,4,0,0,2.7,0.1,94.79,997
153,2019,1,4,4,30,0,3.0,0.2,94.11,997
154,2019,1,4,5,0,0,3.4000000000000004,0.3,93.56,996
155,2019,1,4,5,30,0,3.9,0.4,92.8,995
156,2019,1,4,6,0,0,4.3,0.6000000000000001,92.95,995
157,2019,1,4,6,30,0,4.4,0.9,90.97,995
158,2019,1,4,7,0,0,4.4,1.3,91.5,994
159,2019,1,4,7,30,7,4.5,1.8,88.28,994
160,2019,1,4,8,0,13,4.7,2.4000000000000004,89.79,994
161,2019,1,4,8,30,21,4.6000000000000005,3.0,86.05,994
162,2019,1,4,9,0,19,4.5,3.5,89.39,994
163,2019,1,4,9,30,55,4.5,4.1000000000000005,85.7,994
164,2019,1,4,10,0,27,4.5,4.6000000000000005,88.63,994
165,2019,1,4,10,30,23,4.5,4.800000000000001,87.32000000000001,993
166,2019,1,4,11,0,56,4.6000000000000005,5.1000000000000005,88.78,992
167,2019,1,4,11,30,28,4.6000000000000005,5.2,88.17,992
168,2019,1,4,12,0,25,4.7,5.4,88.67,992
169,2019,1,4,12,30,24,4.7,5.4,88.67,992
170,2019,1,4,13,0,23,4.6000000000000005,5.4,89.22,991
171,2019,1,4,13,30,23,4.5,5.300000000000001,89.93,992
172,2019,1,4,14,0,27,4.3,5.1000000000000005,90.35,992
173,2019,1,4,14,30,21,4.2,4.9,91.61,992
174,2019,1,4,15,0,37,4.1000000000000005,4.6000000000000005,91.04,992
175,2019,1,4,15,30,34,4.0,4.4,92.42,993
176,2019,1,4,16,0,22,3.9,4.1000000000000005,90.79,993
177,2019,1,4,16,30,9,3.5,4.0,91.52,994
178,2019,1,4,17,0,0,3.2,3.8,90.39,995
179,2019,1,4,17,30,0,3.2,3.8,90.39,995
180,2019,1,4,18,0,0,2.8000000000000003,3.6,88.60000000000001,995
181,2019,1,4,18,30,0,2.8000000000000003,3.5,89.22,995
182,2019,1,4,19,0,0,2.8000000000000003,3.4000000000000004,86.7,996
183,2019,1,4,19,30,0,2.8000000000000003,3.2,87.93,996
184,2019,1,4,20,0,0,2.8000000000000003,3.0,86.93,996
185,2019,1,4,20,30,0,2.8000000000000003,2.6,89.43,996
186,2019,1,4,21,0,0,2.8000000000000003,2.1,89.54,996
187,2019,1,4,21,30,0,2.8000000000000003,1.6,92.79,996
188,2019,1,4,22,0,0,2.8000000000000003,1.1,93.09,996
189,2019,1,4,22,30,0,2.8000000000000003,0.9,94.44,996
190,2019,1,4,23,0,0,2.8000000000000003,0.6000000000000001,95.22,997
191,2019,1,4,23,30,0,2.8000000000000003,0.5,95.91,997
192,2019,1,5,0,0,0,2.7,0.4,96.1,997
193,2019,1,5,0,30,0,2.7,0.3,96.8,997
194,2019,1,5,1,0,0,2.6,0.2,97.21,998
195,2019,1,5,1,30,0,2.5,0.0,98.62,998
196,2019,1,5,2,0,0,2.4000000000000004,-0.1,98.65,998
197,2019,1,5,2,30,0,2.4000000000000004,-0.3,100.0,998
198,2019,1,5,3,0,0,2.3000000000000003,-0.4,99.92,998
199,2019,1,5,3,30,0,2.3000000000000003,-0.5,100.0,999
200,2019,1,5,4,0,0,2.2,-0.6000000000000001,100.0,999
201,2019,1,5,4,30,0,2.1,-0.8,100.0,999
202,2019,1,5,5,0,0,2.0,-0.9,100.0,1000
203,2019,1,5,5,30,0,1.9,-1.0,100.0,1000
204,2019,1,5,6,0,0,1.8,-1.1,100.0,1001
205,2019,1,5,6,30,0,1.9,-0.7000000000000001,99.95,1001
206,2019,1,5,7,0,0,1.9,-0.3,99.34,1002
207,2019,1,5,7,30,33,2.4000000000000004,1.0,90.44,1002
208,2019,1,5,8,0,97,2.9000000000000004,2.4000000000000004,90.37,1003
209,2019,1,5,8,30,183,2.8000000000000003,3.6,83.02,1003
210,2019,1,5,9,0,265,2.6,4.9,85.31,1004
211,2019,1,5,9,30,337,2.6,6.4,76.9,1004
212,2019,1,5,10,0,399,2.7,8.0,79.48,1004
213,2019,1,5,10,30,450,2.8000000000000003,9.5,71.76,1003
214,2019,1,5,11,0,487,2.9000000000000004,10.9,72.16,1003
215,2019,1,5,11,30,509,3.0,11.8,68.0,1003
216,2019,1,5,12,0,516,3.1,12.7,67.5,1003
217,2019,1,5,12,30,507,3.1,13.2,65.34,1003
218,2019,1,5,13,0,484,3.2,13.7,64.43,1003
219,2019,1,5,13,30,447,3.1,13.7,64.43,1003
220,2019,1,5,14,0,396,3.0,13.7,66.19,1003
221,2019,1,5,14,30,334,2.4000000000000004,13.0,69.28,1003
222,2019,1,5,15,0,262,1.8,12.2,78.88,1003
223,2019,1,5,15,30,183,1.6,10.3,89.52,1004
224,2019,1,5,16,0,104,1.5,8.4,90.67,1004
225,2019,1,5,16,30,33,1.6,7.6,95.72,1004
226,2019,1,5,17,0,0,1.7000000000000002,6.9,96.16,1004
227,2019,1,5,17,30,0,1.7000000000000002,6.9,96.16,1004
228,2019,1,5,18,0,0,1.9,6.5,97.91,1005
229,2019,1,5,18,30,0,2.0,6.300000000000001,99.27,1005
230,2019,1,5,19,0,0,2.0,6.2,98.84,1005
231,2019,1,5,19,30,0,2.0,5.9,100.0,1006
232,2019,1,5,20,0,0,1.9,5.6000000000000005,100.0,1006
233,2019,1,5,20,30,0,1.9,5.300000000000001,100.0,1006
234,2019,1,5,21,0,0,1.9,5.0,100.0,1006
235,2019,1,5,21,30,0,1.8,4.7,100.0,1006
236,2019,1,5,22,0,0,1.8,4.4,100.0,1006
237,2019,1,5,22,30,0,1.8,4.1000000000000005,100.0,1006
238,2019,1,5,23,0,0,1.7000000000000002,3.8,100.0,1005
239,2019,1,5,23,30,0,1.7000000000000002,3.5,100.0,1005
240,2019,1,6,0,0,0,1.6,3.2,100.0,1006
241,2019,1,6,0,30,0,1.6,3.2,100.0,1006
242,2019,1,6,1,0,0,1.5,3.1,100.0,1006
243,2019,1,6,1,30,0,1.5,3.4000000000000004,100.0,1006
244,2019,1,6,2,0,0,1.5,3.7,100.0,1007
245,2019,1,6,2,30,0,1.6,3.9,100.0,1007
246,2019,1,6,3,0,0,1.6,4.1000000000000005,100.0,1007
247,2019,1,6,3,30,0,1.5,4.1000000000000005,100.0,1007
248,2019,1,6,4,0,0,1.3,4.1000000000000005,99.75,1007
249,2019,1,6,4,30,0,1.2000000000000002,4.1000000000000005,99.75,1007
250,2019,1,6,5,0,0,1.1,4.1000000000000005,98.67,1007
251,2019,1,6,5,30,0,1.0,4.1000000000000005,98.67,1007
252,2019,1,6,6,0,0,0.9,4.0,98.63,1007
253,2019,1,6,6,30,0,1.1,4.1000000000000005,97.94,1007
254,2019,1,6,7,0,0,1.3,4.1000000000000005,97.92,1008
255,2019,1,6,7,30,22,1.6,4.5,95.22,1008
256,2019,1,6,8,0,74,1.8,4.9,96.32,1008
257,2019,1,6,8,30,153,2.0,5.6000000000000005,91.75,1008
258,2019,1,6,9,0,242,2.1,6.300000000000001,93.99,1008
259,2019,1,6,9,30,248,2.2,7.2,88.36,1008
260,2019,1,6,10,0,302,2.3000000000000003,8.1,88.97,1008
261,2019,1,6,10,30,382,2.4000000000000004,8.700000000000001,85.44,1008
262,2019,1,6,11,0,378,2.5,9.3,85.83,1007
263,2019,1,6,11,30,340,2.6,9.7,83.56,1007
264,2019,1,6,12,0,406,2.7,10.0,84.87,1006
265,2019,1,6,12,30,400,2.8000000000000003,10.6,81.55,1006
266,2019,1,6,13,0,366,2.9000000000000004,11.2,81.97,1005
267,2019,1,6,13,30,248,2.9000000000000004,11.7,79.31,1005
268,2019,1,6,14,0,144,2.9000000000000004,12.3,80.05,1005
269,2019,1,6,14,30,196,2.4000000000000004,12.1,81.19,1006
270,2019,1,6,15,0,168,1.8,11.8,86.99,1006
271,2019,1,6,15,30,121,1.6,10.4,95.43,1006
272,2019,1,6,16,0,34,1.4,9.1,97.7,1006
273,2019,1,6,16,30,12,1.7000000000000002,8.8,99.69,1006
274,2019,1,6,17,0,0,1.9,8.5,100.0,1006
275,2019,1,6,17,30,0,1.9,8.5,100.0,1006
276,2019,1,6,18,0,0,2.5,8.5,100.0,1006
277,2019,1,6,18,30,0,2.7,8.6,99.68,1005
278,2019,1,6,19,0,0,2.8000000000000003,8.6,98.54,1005
279,2019,1,6,19,30,0,2.9000000000000004,8.5,99.21,1005
280,2019,1,6,20,0,0,2.9000000000000004,8.3,98.25,1005
