,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.0,-0.7000000000000001,97.38,996
1,2019,1,1,0,30,0,3.7,-0.8,98.19,997
2,2019,1,1,1,0,0,3.4000000000000004,-1.0,97.66,998
3,2019,1,1,1,30,0,3.1,-1.2000000000000002,99.1,998
4,2019,1,1,2,0,0,2.8000000000000003,-1.4,98.41,999
5,2019,1,1,2,30,0,2.5,-1.6,99.86,999
6,2019,1,1,3,0,0,2.2,-1.8,99.42,999
7,2019,1,1,3,30,0,2.1,-1.9,100.0,999
8,2019,1,1,4,0,0,1.9,-1.9,99.45,999
9,2019,1,1,4,30,0,1.9,-1.8,98.82,1000
10,2019,1,1,5,0,0,1.8,-1.6,97.51,1000
11,2019,1,1,5,30,0,1.8,-1.5,96.89,1001
12,2019,1,1,6,0,0,1.9,-1.4,96.63,1001
13,2019,1,1,6,30,0,2.0,-1.1,94.62,1002
14,2019,1,1,7,0,0,2.2,-0.8,93.8,1002
15,2019,1,1,7,30,4,2.6,0.0,88.59,1003
16,2019,1,1,8,0,9,3.1,0.7000000000000001,87.43,1003
17,2019,1,1,8,30,18,3.2,1.2000000000000002,84.35000000000001,1003
18,2019,1,1,9,0,26,3.3000000000000003,1.7000000000000002,80.19,1004
19,2019,1,1,9,30,26,3.1,2.1,77.94,1004
20,2019,1,1,10,0,37,3.0,2.4000000000000004,74.27,1004
21,2019,1,1,10,30,49,2.7,2.6,73.23,1004
22,2019,1,1,11,0,56,2.5,2.8000000000000003,71.73,1004
23,2019,1,1,11,30,59,2.4000000000000004,2.9000000000000004,71.23,1004
24,2019,1,1,12,0,76,2.4000000000000004,3.1,69.79,1003
25,2019,1,1,12,30,79,2.5,3.0,70.28,1003
26,2019,1,1,13,0,76,2.6,3.0,69.43,1003
27,2019,1,1,13,30,58,2.6,2.9000000000000004,69.92,1003
28,2019,1,1,14,0,41,2.7,2.7,69.74,1003
29,2019,1,1,14,30,27,2.5,2.4000000000000004,71.31,1004
30,2019,1,1,15,0,15,2.3000000000000003,2.0,73.92,1004
31,2019,1,1,15,30,10,1.9,1.1,78.83,1004
32,2019,1,1,16,0,6,1.5,0.1,86.85000000000001,1004
33,2019,1,1,16,30,4,1.6,-0.4,90.06,1004
34,2019,1,1,17,0,0,1.8,-0.9,88.9,1005
35,2019,1,1,17,30,0,1.8,-0.9,88.9,1005
36,2019,1,1,18,0,0,2.0,-1.4,89.0,1005
37,2019,1,1,18,30,0,1.9,-1.8,91.66,1005
38,2019,1,1,19,0,0,1.8,-2.1,90.91,1005
39,2019,1,1,19,30,0,1.7000000000000002,-2.5,93.64,1005
40,2019,1,1,20,0,0,1.5,-2.8000000000000003,93.03,1005
41,2019,1,1,20,30,0,1.4,-3.0,94.42,1005
42,2019,1,1,21,0,0,1.2000000000000002,-3.2,94.3,1004
43,2019,1,1,21,30,0,1.1,-3.3000000000000003,95.0,1004
44,2019,1,1,22,0,0,1.0,-3.4000000000000004,94.9,1004
45,2019,1,1,22,30,0,0.9,-3.4000000000000004,94.9,1004
46,2019,1,1,23,0,0,0.9,-3.5,94.95,1004
47,2019,1,1,23,30,0,0.8,-3.5,94.95,1004
48,2019,1,2,0,0,0,0.8,-3.5,94.35,1004
49,2019,1,2,0,30,0,0.8,-3.4000000000000004,93.65,1004
50,2019,1,2,1,0,0,0.8,-3.4000000000000004,93.17,1004
51,2019,1,2,1,30,0,0.9,-3.4000000000000004,93.17,1004
52,2019,1,2,2,0,0,1.0,-3.4000000000000004,92.6,1004
53,2019,1,2,2,30,0,1.0,-3.3000000000000003,91.82,1003
54,2019,1,2,3,0,0,1.0,-3.2,91.61,1003
55,2019,1,2,3,30,0,0.9,-3.2,91.61,1003
56,2019,1,2,4,0,0,0.9,-3.1,91.16,1002
57,2019,1,2,4,30,0,0.8,-3.1,91.16,1002
58,2019,1,2,5,0,0,0.8,-3.1,90.8,1002
59,2019,1,2,5,30,0,0.8,-3.1,90.8,1002
60,2019,1,2,6,0,0,0.8,-3.0,89.87,1002
61,2019,1,2,6,30,0,1.0,-2.8000000000000003,88.63,1003
62,2019,1,2,7,0,0,1.2000000000000002,-2.5,87.64,1003
63,2019,1,2,7,30,4,1.8,-1.9,83.84,1003
64,2019,1,2,8,0,8,2.5,-1.2000000000000002,77.06,1003
65,2019,1,2,8,30,11,2.9000000000000004,-0.8,74.77,1002
66,2019,1,2,9,0,56,3.4000000000000004,-0.3,70.66,1002
67,2019,1,2,9,30,52,3.6,-0.1,69.64,1002
68,2019,1,2,10,0,60,3.9,0.2,68.83,1001
69,2019,1,2,10,30,77,4.2,0.3,68.33,1001
70,2019,1,2,11,0,65,4.4,0.4,69.60000000000001,1000
71,2019,1,2,11,30,121,4.6000000000000005,0.5,69.10000000000001,1000
72,2019,1,2,12,0,84,4.7,0.5,70.99,999
73,2019,1,2,12,30,62,4.7,0.4,71.51,999
74,2019,1,2,13,0,41,4.7,0.3,73.52,998
75,2019,1,2,13,30,43,4.7,0.2,74.05,998
76,2019,1,2,14,0,48,4.7,0.0,75.86,997
77,2019,1,2,14,30,44,4.5,-0.2,76.96000000000001,997
78,2019,1,2,15,0,34,4.3,-0.4,78.36,997
79,2019,1,2,15,30,20,3.9,-0.8,80.67,997
80,2019,1,2,16,0,13,3.6,-1.1,81.97,997
81,2019,1,2,16,30,6,3.3000000000000003,-1.4,83.79,997
82,2019,1,2,17,0,0,3.1,-1.6,83.67,998
83,2019,1,2,17,30,0,3.1,-1.6,83.67,998
84,2019,1,2,18,0,0,2.6,-2.2,85.63,998
85,2019,1,2,18,30,0,2.4000000000000004,-2.4000000000000004,86.9,998
86,2019,1,2,19,0,0,2.2,-2.7,86.99,998
87,2019,1,2,19,30,0,2.2,-2.8000000000000003,87.64,998
88,2019,1,2,20,0,0,2.2,-2.9000000000000004,87.28,999
89,2019,1,2,20,30,0,2.2,-2.9000000000000004,87.28,999
90,2019,1,2,21,0,0,2.3000000000000003,-2.9000000000000004,86.76,999
91,2019,1,2,21,30,0,2.3000000000000003,-3.0,87.41,999
92,2019,1,2,22,0,0,2.2,-3.0,87.31,998
93,2019,1,2,22,30,0,2.2,-3.0,87.31,998
94,2019,1,2,23,0,0,2.2,-3.0,87.08,998
95,2019,1,2,23,30,0,2.2,-3.1,87.73,998
96,2019,1,3,0,0,0,2.2,-3.1,87.36,998
97,2019,1,3,0,30,0,2.1,-3.2,88.11,999
98,2019,1,3,1,0,0,2.0,-3.3000000000000003,88.24,999
99,2019,1,3,1,30,0,1.8,-3.6,90.24,999
