,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.0,-0.9,94.85,991
1,2019,1,1,0,30,0,2.9000000000000004,-0.9,94.94,992
2,2019,1,1,1,0,0,2.8000000000000003,-0.9,93.93,993
3,2019,1,1,1,30,0,2.9000000000000004,-0.9,94.02,994
4,2019,1,1,2,0,0,3.0,-1.0,92.63,995
5,2019,1,1,2,30,0,3.2,-1.1,93.31,995
6,2019,1,1,3,0,0,3.5,-1.2000000000000002,90.13,995
7,2019,1,1,3,30,0,3.6,-1.4,91.46,995
8,2019,1,1,4,0,0,3.7,-1.7000000000000002,87.06,996
9,2019,1,1,4,30,0,3.7,-2.0,89.0,996
10,2019,1,1,5,0,0,3.7,-2.2,83.10000000000001,997
11,2019,1,1,5,30,0,3.6,-2.4000000000000004,84.34,997
12,2019,1,1,6,0,0,3.6,-2.6,81.39,998
13,2019,1,1,6,30,0,3.6,-2.7,82.07000000000001,999
14,2019,1,1,7,0,0,3.6,-2.8000000000000003,80.29,999
15,2019,1,1,7,30,3,3.7,-2.6,79.19,1000
16,2019,1,1,8,0,8,3.9,-2.3000000000000003,75.60000000000001,1000
17,2019,1,1,8,30,16,3.8,-1.9,73.41,1000
18,2019,1,1,9,0,26,3.7,-1.6,70.86,1000
19,2019,1,1,9,30,37,3.4000000000000004,-1.2000000000000002,68.88,1001
20,2019,1,1,10,0,50,3.0,-0.9,68.25,1001
21,2019,1,1,10,30,92,2.8000000000000003,-0.6000000000000001,66.77,1001
22,2019,1,1,11,0,122,2.5,-0.3,66.84,1000
23,2019,1,1,11,30,129,2.4000000000000004,-0.1,65.88,1000
24,2019,1,1,12,0,110,2.4000000000000004,0.0,66.68,1000
25,2019,1,1,12,30,95,2.4000000000000004,0.0,66.68,1000
26,2019,1,1,13,0,82,2.5,0.0,67.22,1000
27,2019,1,1,13,30,66,2.6,-0.2,68.2,1000
28,2019,1,1,14,0,46,2.6,-0.3,68.59,1000
29,2019,1,1,14,30,32,2.6,-0.7000000000000001,70.62,1000
30,2019,1,1,15,0,40,2.5,-1.0,72.23,1000
31,2019,1,1,15,30,11,2.3000000000000003,-1.6,75.55,1001
32,2019,1,1,16,0,6,2.0,-2.2,79.97,1001
33,2019,1,1,16,30,2,2.1,-2.5,81.77,1001
34,2019,1,1,17,0,0,2.3000000000000003,-2.8000000000000003,81.46000000000001,1001
35,2019,1,1,17,30,0,2.3000000000000003,-2.8000000000000003,81.46000000000001,1001
36,2019,1,1,18,0,0,2.2,-3.3000000000000003,83.10000000000001,1001
37,2019,1,1,18,30,0,2.1,-3.5,84.35000000000001,1001
38,2019,1,1,19,0,0,2.1,-3.7,84.43,1001
39,2019,1,1,19,30,0,1.9,-3.9,85.71000000000001,1001
40,2019,1,1,20,0,0,1.8,-4.0,85.65,1001
41,2019,1,1,20,30,0,1.5,-4.2,86.86,1000
42,2019,1,1,21,0,0,1.3,-4.3,87.11,1000
43,2019,1,1,21,30,0,1.0,-4.4,87.77,1000
44,2019,1,1,22,0,0,0.7000000000000001,-4.6000000000000005,89.5,1000
45,2019,1,1,22,30,0,0.6000000000000001,-4.6000000000000005,89.5,1000
46,2019,1,1,23,0,0,0.5,-4.7,90.0,999
47,2019,1,1,23,30,0,0.5,-4.7,90.0,999
48,2019,1,2,0,0,0,0.4,-4.7,87.83,999
49,2019,1,2,0,30,0,0.6000000000000001,-4.7,87.83,999
50,2019,1,2,1,0,0,0.7000000000000001,-4.7,87.48,999
51,2019,1,2,1,30,0,1.1,-4.7,87.48,999
52,2019,1,2,2,0,0,1.4,-4.6000000000000005,86.95,999
53,2019,1,2,2,30,0,1.5,-4.6000000000000005,86.95,999
54,2019,1,2,3,0,0,1.6,-4.6000000000000005,87.03,998
55,2019,1,2,3,30,0,1.7000000000000002,-4.5,86.37,998
56,2019,1,2,4,0,0,1.8,-4.4,85.83,998
57,2019,1,2,4,30,0,1.8,-4.4,85.75,997
58,2019,1,2,5,0,0,1.8,-4.3,85.0,997
59,2019,1,2,5,30,0,1.8,-4.3,85.0,997
60,2019,1,2,6,0,0,1.9,-4.3,84.55,997
61,2019,1,2,6,30,0,2.1,-4.2,83.92,997
62,2019,1,2,7,0,0,2.3000000000000003,-4.1000000000000005,83.05,997
63,2019,1,2,7,30,3,2.7,-3.7,80.59,997
64,2019,1,2,8,0,6,3.1,-3.3000000000000003,79.07000000000001,997
65,2019,1,2,8,30,11,3.5,-2.8000000000000003,76.18,997
66,2019,1,2,9,0,18,4.0,-2.4000000000000004,73.19,997
67,2019,1,2,9,30,27,4.2,-2.1,71.59,997
68,2019,1,2,10,0,41,4.4,-1.8,70.35000000000001,996
69,2019,1,2,10,30,35,4.6000000000000005,-1.5,68.74,995
70,2019,1,2,11,0,47,4.9,-1.2000000000000002,68.4,994
71,2019,1,2,11,30,64,5.1000000000000005,-1.1,67.9,994
72,2019,1,2,12,0,68,5.300000000000001,-1.0,68.8,993
73,2019,1,2,12,30,85,5.5,-0.9,68.3,993
74,2019,1,2,13,0,165,5.6000000000000005,-0.8,69.03,992
75,2019,1,2,13,30,240,5.7,-0.9,69.53,992
76,2019,1,2,14,0,125,5.7,-1.0,70.51,991
77,2019,1,2,14,30,100,5.6000000000000005,-1.3,72.15,992
78,2019,1,2,15,0,41,5.5,-1.5,72.62,992
79,2019,1,2,15,30,49,5.0,-1.9,74.79,992
80,2019,1,2,16,0,22,4.5,-2.2,75.45,992
81,2019,1,2,16,30,5,4.0,-2.7,78.29,992
82,2019,1,2,17,0,0,3.4000000000000004,-3.1,78.95,992
83,2019,1,2,17,30,0,3.4000000000000004,-3.1,78.95,992
84,2019,1,2,18,0,0,2.8000000000000003,-4.0,82.66,992
85,2019,1,2,18,30,0,2.5,-4.3,84.54,992
86,2019,1,2,19,0,0,2.3000000000000003,-4.7,85.87,992
87,2019,1,2,19,30,0,2.2,-4.9,87.27,993
88,2019,1,2,20,0,0,2.2,-5.1000000000000005,88.06,993
89,2019,1,2,20,30,0,2.3000000000000003,-5.1000000000000005,88.06,993
90,2019,1,2,21,0,0,2.4000000000000004,-5.1000000000000005,88.36,993
91,2019,1,2,21,30,0,2.7,-5.1000000000000005,88.36,993
92,2019,1,2,22,0,0,3.0,-5.0,88.57000000000001,993
93,2019,1,2,22,30,0,3.1,-5.1000000000000005,89.24,993
94,2019,1,2,23,0,0,3.2,-5.2,90.6,993
95,2019,1,2,23,30,0,3.2,-5.4,91.98,993
96,2019,1,3,0,0,0,3.2,-5.6000000000000005,93.14,993
97,2019,1,3,0,30,0,3.1,-5.800000000000001,94.56,993
98,2019,1,3,1,0,0,3.0,-6.0,95.12,993
99,2019,1,3,1,30,0,3.0,-6.2,96.59,993
100,2019,1,3,2,0,0,3.0,-6.4,97.02,993
101,2019,1,3,2,30,0,3.0,-6.5,97.77,993
102,2019,1,3,3,0,0,3.0,-6.7,98.2,993
103,2019,1,3,3,30,0,2.7,-6.800000000000001,98.86,992
104,2019,1,3,4,0,0,2.5,-7.0,99.2,992
105,2019,1,3,4,30,0,2.3000000000000003,-7.1000000000000005,99.96,992
106,2019,1,3,5,0,0,2.1,-7.2,99.41,992
107,2019,1,3,5,30,0,2.2,-7.2,99.41,992
108,2019,1,3,6,0,0,2.3000000000000003,-7.2,98.34,992
109,2019,1,3,6,30,0,2.7,-7.0,96.84,992
110,2019,1,3,7,0,0,3.2,-6.9,96.33,992
111,2019,1,3,7,30,7,3.5,-6.1000000000000005,90.6,992
112,2019,1,3,8,0,26,3.7,-5.4,90.05,992
113,2019,1,3,8,30,67,3.7,-4.3,82.87,992
