,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,5.0,-3.5,85.35000000000001,987
1,2019,1,1,0,30,0,4.9,-3.9,88.12,989
2,2019,1,1,1,0,0,4.7,-4.2,83.48,990
3,2019,1,1,1,30,0,4.7,-4.5,85.47,991
4,2019,1,1,2,0,0,4.6000000000000005,-4.800000000000001,82.46000000000001,991
5,2019,1,1,2,30,0,4.7,-5.0,83.8,992
6,2019,1,1,3,0,0,4.7,-5.300000000000001,82.43,992
7,2019,1,1,3,30,0,4.7,-5.6000000000000005,84.32000000000001,992
8,2019,1,1,4,0,0,4.7,-5.9,82.47,993
9,2019,1,1,4,30,0,4.4,-6.300000000000001,85.02,993
10,2019,1,1,5,0,0,4.2,-6.7,82.51,993
11,2019,1,1,5,30,0,3.8,-7.2,85.83,994
12,2019,1,1,6,0,0,3.4000000000000004,-7.7,83.32000000000001,995
13,2019,1,1,6,30,0,3.2,-7.800000000000001,83.97,995
14,2019,1,1,7,0,0,3.0,-8.0,82.4,996
15,2019,1,1,7,30,4,3.1,-7.6,79.88,996
16,2019,1,1,8,0,30,3.2,-7.2,79.64,997
17,2019,1,1,8,30,72,3.5,-6.7,76.64,997
18,2019,1,1,9,0,123,3.8,-6.2,76.19,997
19,2019,1,1,9,30,117,3.6,-5.9,74.47,997
20,2019,1,1,10,0,206,3.4000000000000004,-5.6000000000000005,74.98,997
21,2019,1,1,10,30,291,3.2,-5.4,73.85000000000001,997
22,2019,1,1,11,0,244,3.0,-5.1000000000000005,74.8,997
23,2019,1,1,11,30,256,2.8000000000000003,-4.9,73.68,997
24,2019,1,1,12,0,265,2.7,-4.7,74.81,997
25,2019,1,1,12,30,266,2.5,-4.7,74.81,997
26,2019,1,1,13,0,168,2.3000000000000003,-4.6000000000000005,75.0,996
27,2019,1,1,13,30,170,2.2,-4.7,75.65,997
28,2019,1,1,14,0,195,2.0,-4.7,75.15,997
29,2019,1,1,14,30,168,1.8,-5.0,76.87,997
30,2019,1,1,15,0,94,1.6,-5.300000000000001,78.66,997
31,2019,1,1,15,30,60,1.6,-5.9,82.33,997
32,2019,1,1,16,0,27,1.6,-6.5,78.85000000000001,997
33,2019,1,1,16,30,6,1.6,-6.800000000000001,80.68,997
34,2019,1,1,17,0,0,1.7000000000000002,-7.2,79.12,997
35,2019,1,1,17,30,0,1.7000000000000002,-7.2,79.12,997
36,2019,1,1,18,0,0,1.6,-7.6,80.15,997
37,2019,1,1,18,30,0,1.5,-7.800000000000001,81.4,997
38,2019,1,1,19,0,0,1.4,-8.0,82.16,997
39,2019,1,1,19,30,0,1.2000000000000002,-8.200000000000001,83.45,997
40,2019,1,1,20,0,0,1.0,-8.4,84.51,996
41,2019,1,1,20,30,0,0.8,-8.6,85.84,996
42,2019,1,1,21,0,0,0.6000000000000001,-8.700000000000001,86.88,996
43,2019,1,1,21,30,0,0.5,-8.9,88.25,996
44,2019,1,1,22,0,0,0.3,-9.0,88.36,995
45,2019,1,1,22,30,0,0.3,-9.1,89.05,995
46,2019,1,1,23,0,0,0.3,-9.3,89.42,995
47,2019,1,1,23,30,0,0.4,-9.5,90.84,995
48,2019,1,2,0,0,0,0.6000000000000001,-9.7,91.44,995
49,2019,1,2,0,30,0,0.8,-10.0,93.63,995
50,2019,1,2,1,0,0,1.0,-10.3,94.31,995
51,2019,1,2,1,30,0,1.2000000000000002,-10.5,95.81,995
52,2019,1,2,2,0,0,1.4,-10.7,95.43,995
53,2019,1,2,2,30,0,1.6,-10.6,94.58,994
54,2019,1,2,3,0,0,1.7000000000000002,-10.6,94.47,994
55,2019,1,2,3,30,0,1.7000000000000002,-10.3,92.15,993
56,2019,1,2,4,0,0,1.8,-10.0,92.03,993
57,2019,1,2,4,30,0,1.8,-9.7,89.79,992
58,2019,1,2,5,0,0,1.8,-9.5,91.03,992
59,2019,1,2,5,30,0,1.8,-9.1,88.22,992
60,2019,1,2,6,0,0,1.8,-8.8,89.32000000000001,992
61,2019,1,2,6,30,0,1.9,-8.6,87.93,992
62,2019,1,2,7,0,0,1.9,-8.4,88.98,992
63,2019,1,2,7,30,3,2.2,-7.7,84.27,992
64,2019,1,2,8,0,22,2.4000000000000004,-7.1000000000000005,87.06,992
65,2019,1,2,8,30,53,3.0,-6.2,81.25,992
66,2019,1,2,9,0,89,3.7,-5.4,82.43,992
67,2019,1,2,9,30,132,4.0,-5.1000000000000005,80.5,991
