,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.7,-1.1,97.29,994
1,2019,1,1,0,30,0,3.4000000000000004,-1.1,97.39,995
2,2019,1,1,1,0,0,3.2,-1.1,97.11,996
3,2019,1,1,1,30,0,2.8000000000000003,-1.1,97.2,997
4,2019,1,1,2,0,0,2.4000000000000004,-1.1,96.85,997
5,2019,1,1,2,30,0,2.2,-1.1,96.85,997
6,2019,1,1,3,0,0,2.0,-1.1,96.59,997
7,2019,1,1,3,30,0,2.1,-1.1,96.69,998
8,2019,1,1,4,0,0,2.1,-1.0,95.12,998
9,2019,1,1,4,30,0,2.1,-1.0,95.12,998
10,2019,1,1,5,0,0,2.1,-1.0,92.72,999
11,2019,1,1,5,30,0,2.4000000000000004,-1.0,92.72,999
12,2019,1,1,6,0,0,2.6,-1.0,89.63,1000
13,2019,1,1,6,30,0,2.8000000000000003,-1.1,90.38,1001
14,2019,1,1,7,0,0,3.0,-1.1,86.06,1001
15,2019,1,1,7,30,2,3.4000000000000004,-0.9,84.89,1002
16,2019,1,1,8,0,10,3.8,-0.6000000000000001,79.11,1002
17,2019,1,1,8,30,21,3.7,-0.3,77.41,1002
18,2019,1,1,9,0,33,3.7,0.0,72.52,1003
19,2019,1,1,9,30,35,3.3000000000000003,0.4,70.45,1003
20,2019,1,1,10,0,40,3.0,0.9,68.89,1003
21,2019,1,1,10,30,45,2.7,1.2000000000000002,67.42,1003
22,2019,1,1,11,0,53,2.3000000000000003,1.6,67.27,1003
23,2019,1,1,11,30,56,2.2,1.8,66.32000000000001,1003
24,2019,1,1,12,0,52,2.0,2.1,66.14,1002
25,2019,1,1,12,30,50,2.1,2.1,66.14,1002
26,2019,1,1,13,0,47,2.2,2.1,66.62,1002
27,2019,1,1,13,30,59,2.2,2.0,67.1,1002
28,2019,1,1,14,0,66,2.3000000000000003,1.9,67.43,1002
29,2019,1,1,14,30,41,2.0,1.4,69.88,1002
30,2019,1,1,15,0,24,1.6,1.0,76.16,1003
31,2019,1,1,15,30,16,1.4,0.0,81.86,1003
32,2019,1,1,16,0,8,1.2000000000000002,-1.0,87.13,1003
33,2019,1,1,16,30,2,1.4,-1.3,89.06,1003
34,2019,1,1,17,0,0,1.5,-1.6,87.14,1003
35,2019,1,1,17,30,0,1.5,-1.6,87.14,1003
36,2019,1,1,18,0,0,1.7000000000000002,-2.0,87.85000000000001,1004
37,2019,1,1,18,30,0,1.7000000000000002,-2.3000000000000003,89.82000000000001,1004
38,2019,1,1,19,0,0,1.6,-2.5,89.18,1004
39,2019,1,1,19,30,0,1.5,-2.8000000000000003,91.1,1003
40,2019,1,1,20,0,0,1.4,-3.0,90.8,1003
41,2019,1,1,20,30,0,1.3,-3.2,92.16,1003
42,2019,1,1,21,0,0,1.1,-3.3000000000000003,92.07,1003
43,2019,1,1,21,30,0,1.0,-3.3000000000000003,92.07,1003
44,2019,1,1,22,0,0,0.8,-3.3000000000000003,91.91,1003
45,2019,1,1,22,30,0,0.7000000000000001,-3.4000000000000004,92.5,1002
46,2019,1,1,23,0,0,0.6000000000000001,-3.4000000000000004,91.55,1002
47,2019,1,1,23,30,0,0.5,-3.2,90.19,1002
48,2019,1,2,0,0,0,0.4,-3.1,89.32000000000001,1002
49,2019,1,2,0,30,0,0.3,-3.0,88.66,1002
50,2019,1,2,1,0,0,0.2,-2.9000000000000004,88.63,1002
51,2019,1,2,1,30,0,0.5,-2.9000000000000004,88.63,1002
52,2019,1,2,2,0,0,0.7000000000000001,-2.9000000000000004,90.73,1002
53,2019,1,2,2,30,0,0.8,-2.8000000000000003,90.06,1002
54,2019,1,2,3,0,0,0.9,-2.7,90.02,1001
55,2019,1,2,3,30,0,1.0,-2.7,90.02,1001
56,2019,1,2,4,0,0,1.0,-2.7,89.86,1001
57,2019,1,2,4,30,0,1.1,-2.7,89.86,1001
58,2019,1,2,5,0,0,1.1,-2.7,89.34,1000
59,2019,1,2,5,30,0,1.2000000000000002,-2.6,88.68,1000
60,2019,1,2,6,0,0,1.3,-2.6,88.31,1001
61,2019,1,2,6,30,0,1.6,-2.4000000000000004,87.02,1001
62,2019,1,2,7,0,0,2.0,-2.3000000000000003,84.83,1001
63,2019,1,2,7,30,1,2.6,-1.9,82.36,1001
64,2019,1,2,8,0,6,3.3000000000000003,-1.5,76.68,1001
65,2019,1,2,8,30,10,3.8,-1.1,74.47,1001
66,2019,1,2,9,0,16,4.3,-0.8,69.95,1000
67,2019,1,2,9,30,22,4.4,-0.7000000000000001,69.45,1000
68,2019,1,2,10,0,45,4.5,-0.6000000000000001,68.93,999
69,2019,1,2,10,30,55,4.6000000000000005,-0.4,67.94,999
70,2019,1,2,11,0,52,4.800000000000001,-0.3,68.73,998
71,2019,1,2,11,30,66,4.9,-0.2,68.23,998
72,2019,1,2,12,0,61,5.1000000000000005,-0.1,69.15,997
73,2019,1,2,12,30,96,5.2,-0.1,69.08,996
74,2019,1,2,13,0,51,5.300000000000001,0.0,70.32000000000001,996
75,2019,1,2,13,30,38,5.300000000000001,-0.1,70.76,995
76,2019,1,2,14,0,48,5.300000000000001,-0.2,73.08,995
77,2019,1,2,14,30,62,5.2,-0.4,74.15,995
78,2019,1,2,15,0,56,5.0,-0.7000000000000001,76.98,995
79,2019,1,2,15,30,31,4.7,-1.0,78.68,995
80,2019,1,2,16,0,14,4.4,-1.3,79.89,995
81,2019,1,2,16,30,6,4.2,-1.6,81.75,996
82,2019,1,2,17,0,0,3.9,-1.9,80.87,996
83,2019,1,2,17,30,0,3.9,-1.9,80.87,996
84,2019,1,2,18,0,0,3.3000000000000003,-2.3000000000000003,81.65,996
85,2019,1,2,18,30,0,3.0,-2.5,82.86,996
86,2019,1,2,19,0,0,2.8000000000000003,-2.7,83.92,996
87,2019,1,2,19,30,0,2.6,-2.8000000000000003,84.55,996
