,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.2000000000000002,1.7000000000000002,100.0,997
1,2019,1,1,0,30,0,1.2000000000000002,1.4,100.0,998
2,2019,1,1,1,0,0,1.1,1.1,100.0,999
3,2019,1,1,1,30,0,1.1,0.9,100.0,999
4,2019,1,1,2,0,0,1.1,0.6000000000000001,100.0,999
5,2019,1,1,2,30,0,1.2000000000000002,0.6000000000000001,100.0,999
6,2019,1,1,3,0,0,1.3,0.5,100.0,999
7,2019,1,1,3,30,0,1.4,0.4,100.0,1000
8,2019,1,1,4,0,0,1.5,0.3,100.0,1000
9,2019,1,1,4,30,0,1.6,0.1,100.0,1000
10,2019,1,1,5,0,0,1.8,-0.1,100.0,1000
11,2019,1,1,5,30,0,1.7000000000000002,-0.3,100.0,1001
12,2019,1,1,6,0,0,1.7000000000000002,-0.4,100.0,1001
13,2019,1,1,6,30,0,1.8,-0.3,100.0,1002
14,2019,1,1,7,0,0,2.0,-0.2,98.14,1002
15,2019,1,1,7,30,5,2.2,0.7000000000000001,92.05,1003
16,2019,1,1,8,0,9,2.5,1.6,88.0,1003
17,2019,1,1,8,30,16,2.7,2.7,81.45,1004
18,2019,1,1,9,0,21,2.8000000000000003,3.8,76.66,1004
19,2019,1,1,9,30,27,2.7,4.5,72.99,1004
20,2019,1,1,10,0,41,2.6,5.2,71.16,1004
21,2019,1,1,10,30,60,2.6,5.5,69.69,1004
22,2019,1,1,11,0,86,2.6,5.7,69.56,1004
23,2019,1,1,11,30,106,2.6,5.7,69.56,1004
24,2019,1,1,12,0,79,2.7,5.7,69.36,1003
25,2019,1,1,12,30,59,2.6,5.6000000000000005,69.84,1003
26,2019,1,1,13,0,71,2.5,5.5,69.56,1003
27,2019,1,1,13,30,79,2.5,5.2,71.02,1003
28,2019,1,1,14,0,112,2.5,5.0,70.8,1003
29,2019,1,1,14,30,88,2.4000000000000004,4.5,73.31,1003
30,2019,1,1,15,0,36,2.3000000000000003,4.1000000000000005,74.12,1004
31,2019,1,1,15,30,26,1.9,3.4000000000000004,77.85000000000001,1004
32,2019,1,1,16,0,15,1.4,2.7,83.26,1004
33,2019,1,1,16,30,6,1.2000000000000002,2.1,86.89,1004
34,2019,1,1,17,0,0,1.0,1.4,91.48,1005
35,2019,1,1,17,30,0,1.0,1.4,91.48,1005
36,2019,1,1,18,0,0,1.1,0.9,93.0,1005
37,2019,1,1,18,30,0,1.1,0.8,93.67,1005
38,2019,1,1,19,0,0,1.1,0.7000000000000001,92.91,1005
39,2019,1,1,19,30,0,1.2000000000000002,0.6000000000000001,93.59,1005
40,2019,1,1,20,0,0,1.2000000000000002,0.5,93.71,1005
41,2019,1,1,20,30,0,1.2000000000000002,0.4,94.39,1005
42,2019,1,1,21,0,0,1.1,0.2,94.91,1005
43,2019,1,1,21,30,0,1.1,0.0,96.29,1005
44,2019,1,1,22,0,0,1.0,-0.2,95.89,1004
45,2019,1,1,22,30,0,1.0,-0.3,96.59,1004
46,2019,1,1,23,0,0,1.0,-0.5,96.24,1004
47,2019,1,1,23,30,0,1.0,-0.6000000000000001,96.94,1004
48,2019,1,2,0,0,0,1.0,-0.8,96.83,1004
49,2019,1,2,0,30,0,1.1,-0.9,97.54,1004
50,2019,1,2,1,0,0,1.1,-1.0,96.56,1004
51,2019,1,2,1,30,0,1.1,-1.1,97.27,1004
52,2019,1,2,2,0,0,1.2000000000000002,-1.2000000000000002,96.1,1004
53,2019,1,2,2,30,0,1.1,-1.3,96.81,1004
54,2019,1,2,3,0,0,1.1,-1.4,95.67,1003
55,2019,1,2,3,30,0,1.0,-1.5,96.38,1003
56,2019,1,2,4,0,0,0.9,-1.5,95.13,1003
57,2019,1,2,4,30,0,0.8,-1.6,95.84,1003
58,2019,1,2,5,0,0,0.7000000000000001,-1.7000000000000002,95.86,1003
59,2019,1,2,5,30,0,0.6000000000000001,-1.7000000000000002,95.86,1003
60,2019,1,2,6,0,0,0.6000000000000001,-1.7000000000000002,95.39,1004
61,2019,1,2,6,30,0,0.5,-1.7000000000000002,95.39,1004
62,2019,1,2,7,0,0,0.5,-1.6,94.97,1004
63,2019,1,2,7,30,5,0.5,-1.1,91.55,1004
64,2019,1,2,8,0,13,0.5,-0.5,89.79,1004
65,2019,1,2,8,30,20,0.3,0.0,86.59,1004
66,2019,1,2,9,0,21,0.2,0.4,81.66,1004
67,2019,1,2,9,30,51,0.6000000000000001,1.0,78.2,1004
68,2019,1,2,10,0,69,1.0,1.5,77.8,1004
69,2019,1,2,10,30,78,1.2000000000000002,1.7000000000000002,76.62,1003
70,2019,1,2,11,0,101,1.3,1.8,77.66,1002
71,2019,1,2,11,30,104,1.4,2.0,76.56,1002
72,2019,1,2,12,0,91,1.5,2.1,76.48,1001
73,2019,1,2,12,30,83,1.5,2.2,75.93,1001
74,2019,1,2,13,0,90,1.4,2.3000000000000003,75.56,1000
75,2019,1,2,13,30,110,1.4,2.2,76.10000000000001,1000
76,2019,1,2,14,0,138,1.3,2.2,77.33,999
77,2019,1,2,14,30,107,1.1,2.0,78.44,999
78,2019,1,2,15,0,78,0.8,1.7000000000000002,86.56,999
79,2019,1,2,15,30,50,0.7000000000000001,1.2000000000000002,89.72,999
80,2019,1,2,16,0,29,0.7000000000000001,0.7000000000000001,93.14,999
81,2019,1,2,16,30,12,0.7000000000000001,0.4,95.18,999
82,2019,1,2,17,0,0,0.7000000000000001,0.2,94.59,999
83,2019,1,2,17,30,0,0.7000000000000001,0.2,94.59,999
