,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.3000000000000003,-1.2000000000000002,94.42,991
1,2019,1,1,0,30,0,3.3000000000000003,-1.1,93.83,992
2,2019,1,1,1,0,0,3.3000000000000003,-1.0,93.74,993
3,2019,1,1,1,30,0,3.6,-1.0,93.83,994
4,2019,1,1,2,0,0,3.8,-1.0,93.26,994
5,2019,1,1,2,30,0,4.0,-1.1,93.94,994
6,2019,1,1,3,0,0,4.2,-1.2000000000000002,90.94,995
7,2019,1,1,3,30,0,4.2,-1.5,92.96,995
8,2019,1,1,4,0,0,4.3,-1.7000000000000002,86.22,995
9,2019,1,1,4,30,0,4.2,-2.0,88.23,996
10,2019,1,1,5,0,0,4.1000000000000005,-2.3000000000000003,83.54,997
11,2019,1,1,5,30,0,4.0,-2.5,84.79,997
12,2019,1,1,6,0,0,3.9,-2.8000000000000003,81.89,998
13,2019,1,1,6,30,0,3.9,-2.9000000000000004,82.59,999
14,2019,1,1,7,0,0,3.9,-3.0,80.77,999
15,2019,1,1,7,30,1,4.0,-2.7,78.99,999
16,2019,1,1,8,0,5,4.1000000000000005,-2.5,75.99,1000
17,2019,1,1,8,30,10,4.1000000000000005,-2.2,74.33,1000
18,2019,1,1,9,0,16,4.0,-1.9,71.78,1000
19,2019,1,1,9,30,23,3.7,-1.6,70.21000000000001,1000
20,2019,1,1,10,0,35,3.4000000000000004,-1.3,69.37,1000
21,2019,1,1,10,30,45,3.2,-1.1,68.36,1000
22,2019,1,1,11,0,52,2.9000000000000004,-0.9,68.64,1000
23,2019,1,1,11,30,56,2.9000000000000004,-0.9,68.64,1000
24,2019,1,1,12,0,52,2.9000000000000004,-0.8,68.93,1000
25,2019,1,1,12,30,56,2.9000000000000004,-0.9,69.44,1000
26,2019,1,1,13,0,55,3.0,-1.0,69.94,1000
27,2019,1,1,13,30,49,3.0,-1.2000000000000002,70.97,1000
28,2019,1,1,14,0,36,3.0,-1.4,71.17,1000
29,2019,1,1,14,30,21,2.9000000000000004,-1.7000000000000002,72.76,1000
30,2019,1,1,15,0,15,2.8000000000000003,-2.0,73.28,1000
31,2019,1,1,15,30,10,2.7,-2.4000000000000004,75.48,1000
32,2019,1,1,16,0,6,2.6,-2.9000000000000004,77.12,1000
33,2019,1,1,16,30,4,2.5,-3.2,78.86,1000
34,2019,1,1,17,0,0,2.5,-3.5,79.61,1001
35,2019,1,1,17,30,0,2.5,-3.5,79.61,1001
36,2019,1,1,18,0,0,2.4000000000000004,-3.9,81.23,1001
37,2019,1,1,18,30,0,2.2,-4.1000000000000005,82.46000000000001,1001
38,2019,1,1,19,0,0,2.1,-4.3,83.41,1001
39,2019,1,1,19,30,0,1.9,-4.6000000000000005,85.23,1000
40,2019,1,1,20,0,0,1.7000000000000002,-4.800000000000001,85.91,1000
41,2019,1,1,20,30,0,1.5,-5.0,87.22,1000
42,2019,1,1,21,0,0,1.3,-5.1000000000000005,87.06,1000
43,2019,1,1,21,30,0,1.1,-5.300000000000001,88.3,999
44,2019,1,1,22,0,0,1.0,-5.5,89.47,999
45,2019,1,1,22,30,0,1.0,-5.7,90.84,999
46,2019,1,1,23,0,0,0.9,-5.800000000000001,90.25,999
