,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,4.2,-1.4,88.03,992
1,2019,1,1,0,30,0,4.3,-1.7000000000000002,90.08,993
2,2019,1,1,1,0,0,4.3,-1.9,86.19,994
3,2019,1,1,1,30,0,4.4,-2.3000000000000003,88.86,995
4,2019,1,1,2,0,0,4.5,-2.7,84.86,996
5,2019,1,1,2,30,0,4.5,-3.1,87.42,996
6,2019,1,1,3,0,0,4.5,-3.5,82.88,996
7,2019,1,1,3,30,0,4.4,-3.9,85.48,997
8,2019,1,1,4,0,0,4.3,-4.2,81.74,997
9,2019,1,1,4,30,0,4.2,-4.4,82.98,997
10,2019,1,1,5,0,0,4.1000000000000005,-4.7,81.48,998
11,2019,1,1,5,30,0,3.9,-4.9,82.8,999
12,2019,1,1,6,0,0,3.6,-5.1000000000000005,81.26,999
13,2019,1,1,6,30,0,3.5,-5.2,81.96000000000001,1000
14,2019,1,1,7,0,0,3.3000000000000003,-5.300000000000001,80.44,1001
15,2019,1,1,7,30,2,3.5,-5.1000000000000005,79.24,1001
16,2019,1,1,8,0,18,3.6,-4.9,77.31,1001
17,2019,1,1,8,30,43,3.7,-4.5,75.01,1001
18,2019,1,1,9,0,72,3.7,-4.1000000000000005,72.67,1002
19,2019,1,1,9,30,77,3.5,-3.9,71.59,1002
20,2019,1,1,10,0,123,3.3000000000000003,-3.6,71.27,1002
21,2019,1,1,10,30,229,3.0,-3.3000000000000003,69.7,1002
22,2019,1,1,11,0,183,2.8000000000000003,-3.0,70.38,1002
23,2019,1,1,11,30,144,2.7,-2.8000000000000003,69.27,1001
24,2019,1,1,12,0,178,2.6,-2.7,70.61,1001
25,2019,1,1,12,30,190,2.5,-2.6,70.09,1001
26,2019,1,1,13,0,159,2.4000000000000004,-2.6,70.96000000000001,1001
27,2019,1,1,13,30,142,2.3000000000000003,-2.7,71.49,1001
28,2019,1,1,14,0,114,2.3000000000000003,-2.8000000000000003,72.11,1001
29,2019,1,1,14,30,104,2.2,-3.1,73.73,1001
30,2019,1,1,15,0,108,2.0,-3.4000000000000004,75.45,1001
