,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,1.8,2.4000000000000004,100.0,1003
1,2019,1,1,0,30,0,1.7000000000000002,2.1,100.0,1004
2,2019,1,1,1,0,0,1.6,1.9,100.0,1005
3,2019,1,1,1,30,0,1.6,1.5,100.0,1005
4,2019,1,1,2,0,0,1.5,1.2000000000000002,100.0,1005
5,2019,1,1,2,30,0,1.6,1.0,100.0,1006
6,2019,1,1,3,0,0,1.7000000000000002,0.9,100.0,1006
7,2019,1,1,3,30,0,1.8,0.7000000000000001,100.0,1006
8,2019,1,1,4,0,0,1.9,0.6000000000000001,100.0,1006
9,2019,1,1,4,30,0,1.9,0.4,100.0,1006
10,2019,1,1,5,0,0,2.0,0.1,100.0,1007
11,2019,1,1,5,30,0,1.9,0.0,100.0,1007
12,2019,1,1,6,0,0,1.9,-0.1,100.0,1007
13,2019,1,1,6,30,0,2.0,0.0,99.96,1008
14,2019,1,1,7,0,0,2.2,0.1,96.66,1009
15,2019,1,1,7,30,6,2.5,1.0,90.58,1009
16,2019,1,1,8,0,14,2.9000000000000004,1.8,87.48,1010
17,2019,1,1,8,30,26,2.9000000000000004,2.9000000000000004,80.9,1010
18,2019,1,1,9,0,34,3.0,3.9,77.94,1010
19,2019,1,1,9,30,44,2.9000000000000004,4.800000000000001,73.19,1010
20,2019,1,1,10,0,53,2.8000000000000003,5.7,71.2,1010
21,2019,1,1,10,30,57,2.8000000000000003,5.9,70.22,1010
22,2019,1,1,11,0,59,2.8000000000000003,6.2,69.92,1010
23,2019,1,1,11,30,72,2.9000000000000004,6.2,69.92,1010
24,2019,1,1,12,0,89,3.0,6.2,69.73,1009
25,2019,1,1,12,30,84,3.0,6.0,70.7,1009
26,2019,1,1,13,0,92,3.0,5.9,70.29,1009
27,2019,1,1,13,30,91,2.9000000000000004,5.6000000000000005,71.76,1009
28,2019,1,1,14,0,78,2.9000000000000004,5.4,71.57000000000001,1009
29,2019,1,1,14,30,49,2.7,5.0,73.66,1010
30,2019,1,1,15,0,37,2.6,4.6000000000000005,74.62,1010
31,2019,1,1,15,30,27,2.1,3.9,78.36,1010
32,2019,1,1,16,0,15,1.6,3.2,84.0,1010
33,2019,1,1,16,30,6,1.4,2.6,87.64,1010
34,2019,1,1,17,0,0,1.2000000000000002,2.0,90.34,1011
35,2019,1,1,17,30,0,1.2000000000000002,2.0,90.34,1011
36,2019,1,1,18,0,0,1.2000000000000002,1.3,92.55,1011
37,2019,1,1,18,30,0,1.3,1.2000000000000002,93.22,1011
38,2019,1,1,19,0,0,1.3,1.0,92.87,1011
39,2019,1,1,19,30,0,1.3,0.9,93.54,1011
40,2019,1,1,20,0,0,1.4,0.8,93.62,1011
41,2019,1,1,20,30,0,1.4,0.8,93.62,1011
42,2019,1,1,21,0,0,1.4,0.7000000000000001,93.74,1011
43,2019,1,1,21,30,0,1.4,0.6000000000000001,94.42,1011
44,2019,1,1,22,0,0,1.3,0.5,94.26,1011
45,2019,1,1,22,30,0,1.2000000000000002,0.3,95.54,1010
46,2019,1,1,23,0,0,1.2000000000000002,0.1,95.43,1010
47,2019,1,1,23,30,0,1.2000000000000002,0.0,96.12,1010
48,2019,1,2,0,0,0,1.2000000000000002,-0.1,95.44,1010
49,2019,1,2,0,30,0,1.3,-0.2,96.14,1010
50,2019,1,2,1,0,0,1.3,-0.3,95.69,1010
51,2019,1,2,1,30,0,1.3,-0.3,95.69,1010
52,2019,1,2,2,0,0,1.4,-0.4,95.15,1010
