,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.3000000000000003,-1.1,97.92,990
1,2019,1,1,0,30,0,3.0,-1.1,98.02,991
2,2019,1,1,1,0,0,2.8000000000000003,-1.0,96.53,992
3,2019,1,1,1,30,0,2.6,-1.1,97.24,992
4,2019,1,1,2,0,0,2.5,-1.2000000000000002,96.64,993
5,2019,1,1,2,30,0,2.6,-1.2000000000000002,96.64,993
6,2019,1,1,3,0,0,2.7,-1.2000000000000002,94.18,993
7,2019,1,1,3,30,0,2.8000000000000003,-1.3,94.96,994
8,2019,1,1,4,0,0,3.0,-1.4,91.62,994
9,2019,1,1,4,30,0,3.0,-1.6,92.97,994
10,2019,1,1,5,0,0,3.0,-1.8,89.11,995
11,2019,1,1,5,30,0,3.0,-1.9,89.77,995
12,2019,1,1,6,0,0,3.0,-2.0,86.67,996
13,2019,1,1,6,30,0,3.2,-2.0,86.76,997
14,2019,1,1,7,0,0,3.3000000000000003,-2.1,84.27,997
15,2019,1,1,7,30,4,3.6,-1.8,82.51,998
16,2019,1,1,8,0,8,3.9,-1.6,78.5,998
17,2019,1,1,8,30,16,3.8,-1.2000000000000002,76.23,998
18,2019,1,1,9,0,25,3.7,-0.8,72.56,999
19,2019,1,1,9,30,33,3.4000000000000004,-0.3,69.96000000000001,999
20,2019,1,1,10,0,48,3.1,0.1,69.32000000000001,999
21,2019,1,1,10,30,58,2.7,0.5,67.34,999
22,2019,1,1,11,0,74,2.4000000000000004,0.9,67.22,999
23,2019,1,1,11,30,119,2.3000000000000003,1.1,66.19,998
24,2019,1,1,12,0,104,2.1,1.3,66.58,998
25,2019,1,1,12,30,100,2.2,1.3,66.58,998
26,2019,1,1,13,0,82,2.3000000000000003,1.3,67.08,998
27,2019,1,1,13,30,75,2.3000000000000003,1.2000000000000002,67.57000000000001,998
28,2019,1,1,14,0,76,2.4000000000000004,1.1,67.96000000000001,998
29,2019,1,1,14,30,42,2.2,0.7000000000000001,69.94,998
30,2019,1,1,15,0,26,2.0,0.3,74.78,999
31,2019,1,1,15,30,14,1.7000000000000002,-0.7000000000000001,80.41,999
32,2019,1,1,16,0,7,1.4,-1.6,86.48,999
33,2019,1,1,16,30,4,1.6,-1.9,88.41,999
34,2019,1,1,17,0,0,1.8,-2.2,86.9,999
35,2019,1,1,17,30,0,1.8,-2.2,86.9,999
36,2019,1,1,18,0,0,1.9,-2.6,87.63,1000
37,2019,1,1,18,30,0,1.9,-2.8000000000000003,88.94,1000
38,2019,1,1,19,0,0,1.8,-3.1,89.35000000000001,1000
39,2019,1,1,19,30,0,1.6,-3.3000000000000003,90.6,999
40,2019,1,1,20,0,0,1.5,-3.5,90.71,999
41,2019,1,1,20,30,0,1.3,-3.6,91.39,999
42,2019,1,1,21,0,0,1.1,-3.7,91.67,999
43,2019,1,1,21,30,0,1.0,-3.7,91.67,999
44,2019,1,1,22,0,0,0.8,-3.7,91.89,998
45,2019,1,1,22,30,0,0.7000000000000001,-3.7,91.89,998
46,2019,1,1,23,0,0,0.6000000000000001,-3.7,92.12,998
47,2019,1,1,23,30,0,0.4,-3.6,91.43,998
48,2019,1,2,0,0,0,0.3,-3.5,90.49,998
49,2019,1,2,0,30,0,0.3,-3.4000000000000004,89.82000000000001,998
50,2019,1,2,1,0,0,0.3,-3.3000000000000003,89.44,998
51,2019,1,2,1,30,0,0.6000000000000001,-3.2,88.78,998
52,2019,1,2,2,0,0,0.9,-3.2,89.78,998
53,2019,1,2,2,30,0,1.0,-3.1,89.11,998
54,2019,1,2,3,0,0,1.2000000000000002,-3.0,89.8,997
55,2019,1,2,3,30,0,1.3,-2.9000000000000004,89.14,997
56,2019,1,2,4,0,0,1.3,-2.8000000000000003,89.16,996
57,2019,1,2,4,30,0,1.3,-2.8000000000000003,89.16,996
58,2019,1,2,5,0,0,1.4,-2.7,88.68,996
59,2019,1,2,5,30,0,1.5,-2.7,88.68,996
60,2019,1,2,6,0,0,1.6,-2.7,88.27,996
61,2019,1,2,6,30,0,1.9,-2.5,86.97,996
62,2019,1,2,7,0,0,2.2,-2.4000000000000004,85.2,996
63,2019,1,2,7,30,3,2.8000000000000003,-2.0,82.72,996
64,2019,1,2,8,0,9,3.3000000000000003,-1.6,77.69,996
65,2019,1,2,8,30,19,3.9,-1.4,76.56,996
66,2019,1,2,9,0,62,4.4,-1.1,70.83,996
67,2019,1,2,9,30,28,4.5,-1.0,70.32000000000001,996
68,2019,1,2,10,0,38,4.6000000000000005,-0.9,68.79,995
69,2019,1,2,10,30,49,4.7,-0.8,68.22,994
70,2019,1,2,11,0,68,4.9,-0.7000000000000001,68.39,994
71,2019,1,2,11,30,75,5.0,-0.6000000000000001,67.83,993
72,2019,1,2,12,0,102,5.2,-0.5,68.43,992
73,2019,1,2,12,30,77,5.300000000000001,-0.5,68.43,992
74,2019,1,2,13,0,131,5.5,-0.4,69.38,991
75,2019,1,2,13,30,76,5.5,-0.5,69.88,991
76,2019,1,2,14,0,51,5.5,-0.6000000000000001,72.15,991
77,2019,1,2,14,30,73,5.4,-0.8,73.21000000000001,991
78,2019,1,2,15,0,97,5.2,-0.9,75.42,991
79,2019,1,2,15,30,40,4.9,-1.3,77.66,991
80,2019,1,2,16,0,13,4.6000000000000005,-1.6,79.87,991
81,2019,1,2,16,30,6,4.3,-1.8,81.05,991
82,2019,1,2,17,0,0,4.1000000000000005,-2.1,80.94,991
83,2019,1,2,17,30,0,4.1000000000000005,-2.1,80.94,991
84,2019,1,2,18,0,0,3.6,-2.5,80.83,991
85,2019,1,2,18,30,0,3.4000000000000004,-2.7,82.04,991
86,2019,1,2,19,0,0,3.1,-2.9000000000000004,82.07000000000001,992
87,2019,1,2,19,30,0,2.9000000000000004,-3.1,83.29,992
88,2019,1,2,20,0,0,2.6,-3.3000000000000003,85.06,992
89,2019,1,2,20,30,0,2.7,-3.4000000000000004,85.7,992
90,2019,1,2,21,0,0,2.7,-3.4000000000000004,86.51,992
91,2019,1,2,21,30,0,2.9000000000000004,-3.4000000000000004,86.51,992
92,2019,1,2,22,0,0,3.2,-3.4000000000000004,87.04,992
93,2019,1,2,22,30,0,3.3000000000000003,-3.4000000000000004,87.04,992
94,2019,1,2,23,0,0,3.4000000000000004,-3.5,88.01,992
95,2019,1,2,23,30,0,3.4000000000000004,-3.6,88.67,992
96,2019,1,3,0,0,0,3.4000000000000004,-3.6,88.24,992
97,2019,1,3,0,30,0,3.3000000000000003,-3.8,89.57000000000001,992
98,2019,1,3,1,0,0,3.3000000000000003,-3.9,89.41,992
99,2019,1,3,1,30,0,3.2,-4.1000000000000005,90.76,992
100,2019,1,3,2,0,0,3.1,-4.3,90.95,992
101,2019,1,3,2,30,0,3.2,-4.4,91.64,992
102,2019,1,3,3,0,0,3.2,-4.6000000000000005,92.07,992
103,2019,1,3,3,30,0,3.0,-4.7,92.77,992
104,2019,1,3,4,0,0,2.8000000000000003,-4.800000000000001,92.66,991
105,2019,1,3,4,30,0,2.5,-5.0,94.07,991
106,2019,1,3,5,0,0,2.2,-5.1000000000000005,94.3,992
107,2019,1,3,5,30,0,2.2,-5.2,95.02,992
108,2019,1,3,6,0,0,2.2,-5.300000000000001,95.48,992
109,2019,1,3,6,30,0,2.6,-5.2,94.76,992
110,2019,1,3,7,0,0,2.9000000000000004,-5.1000000000000005,94.64,992
111,2019,1,3,7,30,3,3.3000000000000003,-4.3,89.10000000000001,992
112,2019,1,3,8,0,8,3.7,-3.6,87.77,992
113,2019,1,3,8,30,22,3.8,-2.5,80.88,992
114,2019,1,3,9,0,156,4.0,-1.3,76.72,992
115,2019,1,3,9,30,294,4.3,-0.1,70.23,991
116,2019,1,3,10,0,355,4.6000000000000005,1.2000000000000002,65.7,991
117,2019,1,3,10,30,403,4.6000000000000005,2.1,61.61,991
118,2019,1,3,11,0,437,4.7,3.0,59.79,990
119,2019,1,3,11,30,459,4.5,3.6,57.25,989
120,2019,1,3,12,0,468,4.3,4.2,56.91,989
121,2019,1,3,12,30,459,4.2,4.5,55.67,988
122,2019,1,3,13,0,437,4.1000000000000005,4.800000000000001,56.39,988
123,2019,1,3,13,30,403,4.0,4.7,56.79,988
124,2019,1,3,14,0,354,4.0,4.6000000000000005,59.66,988
125,2019,1,3,14,30,294,3.7,3.9,62.71,989
126,2019,1,3,15,0,226,3.3000000000000003,3.1,70.82000000000001,989
127,2019,1,3,15,30,152,3.3000000000000003,1.9,77.12,989
128,2019,1,3,16,0,78,3.2,0.7000000000000001,81.31,989
129,2019,1,3,16,30,13,3.4000000000000004,0.4,83.09,989
130,2019,1,3,17,0,0,3.6,0.1,83.60000000000001,989
131,2019,1,3,17,30,0,3.6,0.1,83.60000000000001,989
132,2019,1,3,18,0,0,3.4000000000000004,-0.2,84.78,989
133,2019,1,3,18,30,0,3.2,-0.4,85.94,988
134,2019,1,3,19,0,0,2.9000000000000004,-0.7000000000000001,86.69,988
135,2019,1,3,19,30,0,3.2,-0.6000000000000001,86.06,988
136,2019,1,3,20,0,0,3.5,-0.5,85.09,988
137,2019,1,3,20,30,0,3.9,-0.5,85.09,988
138,2019,1,3,21,0,0,4.3,-0.4,84.55,988
139,2019,1,3,21,30,0,3.9,-0.7000000000000001,86.42,988
140,2019,1,3,22,0,0,3.5,-1.0,88.03,988
141,2019,1,3,22,30,0,2.9000000000000004,-1.3,89.9,987
142,2019,1,3,23,0,0,2.4000000000000004,-1.6,90.51,987
143,2019,1,3,23,30,0,2.2,-1.7000000000000002,91.08,986
144,2019,1,4,0,0,0,2.0,-1.8,91.02,986
145,2019,1,4,0,30,0,2.2,-1.7000000000000002,90.35,986
146,2019,1,4,1,0,0,2.4000000000000004,-1.6,90.05,986
147,2019,1,4,1,30,0,2.4000000000000004,-1.7000000000000002,90.71,986
148,2019,1,4,2,0,0,2.3000000000000003,-1.7000000000000002,90.09,986
149,2019,1,4,2,30,0,2.0,-1.8,90.66,985
150,2019,1,4,3,0,0,1.7000000000000002,-1.8,89.3,985
151,2019,1,4,3,30,0,1.7000000000000002,-1.9,89.86,984
152,2019,1,4,4,0,0,1.6,-1.9,89.56,984
153,2019,1,4,4,30,0,1.8,-1.9,89.56,984
154,2019,1,4,5,0,0,2.0,-1.9,89.98,984
155,2019,1,4,5,30,0,2.0,-2.0,90.65,984
156,2019,1,4,6,0,0,2.0,-2.1,91.24,985
157,2019,1,4,6,30,0,1.8,-2.1,91.15,984
158,2019,1,4,7,0,0,1.7000000000000002,-2.1,91.35,984
159,2019,1,4,7,30,2,1.8,-0.9,83.65,984
160,2019,1,4,8,0,8,1.9,0.4,82.8,984
161,2019,1,4,8,30,26,2.0,1.3,77.61,984
